ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΔΡΕΑΔΕΛΛΗ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΖΕΡΒΟΥ-ΤΕΝΤΟΜΑ ΜΑΡΙΑ του Σταύρου,ΚΟΤΣΑΛΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΜΠΟΥΡΝΟΥΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΛΛΗΣ ΓΕΩΡΓΙΟΣ του Ευστρατίου,Νέα Δημοκρατία,ΑΘΑΝΑΣΙΟΥ ΧΑΡΑΛΑΜΠΟΣ του Χριστόφα,ΒΑΛΣΑΜΙΔΗΣ ΘΕΟΔΩΡΟΣ του Σπυρίδωνος,ΓΟΜΟΣ ΔΗΜΗΤΡΙΟΣ του Ευστρατίου -  Παντελεήμονα,ΜΑΚΡΗ ΕΛΕΝΗ του Φωτίου,ΧΡΥΣΑΦΗ ΜΑΡΙΑ του Μόσχου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΥΛΑΚΗ ΜΑΡΙΑ του Ιωάννη,ΓΥΛΑΡΗ ΑΝΑΣΤΑΣΙΑ του Μόσχου,ΧΑΡΑΛΑΜΠΗΣ ΜΑΡΙΟΣ του Παναγιώτη,Κίνημα Αλλαγής,ΓΙΑΚΑΛΗΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,ΓΙΑΝΝΟΥΛΕΛΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΡΟΜΜΥΔΑ ΛΑΜΠΡΙΝΗ του Αναστασίου,ΜΗΛΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΧΟΧΛΑΚΑ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Θεοδώρου,Κ.Κ.Ε.,ΖΑΦΕΙΡΙΟΥ ΙΩΑΝΝΗΣ του Παναγιώτη,ΚΑΚΝΑΒΑΤΟΥ ΖΗΝΟΒΙΑ του Στυλιανού,ΚΛΙΟΜΙΔΙΩΤΗΣ ΘΕΜΙΣΤΟΚΛΗΣ του Ευστρατίου,ΚΟΜΝΗΝΑΚΑ ΜΑΡΙΑ του Αποστόλου,ΠΛΑΝΤΖΟΣ ΣΠΥΡΙΔΩΝ του Νικολάου,Ένωση Κεντρώων,ΑΛΕΞΑΝΔΡΟΥ ΠΑΝΑΓΙΩΤΗΣ του Σάββα,ΖΟΥΡΕΛΗ ΧΑΡΙΚΛΕΙΑ του Βασιλείου,ΣΥΚΗ ΠΑΝΑΓΙΩΤΑ του Γρηγορίου,Ο.Κ.Δ.Ε.,ΜΑΝΩΛΙΑ ΕΛΕΝΗ του Ιγνατίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΖΑΜΠΡΑΣ ΧΡΗΣΤΟΣ -  ΑΛΕΞΑΝΔΡΟΣ του Ελευθερίου,ΖΩΓΡΑΦΙΣΤΟΥ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,ΚΛΕΙΔΩΝΑ ΙΣΜΗΝΗ του Ιωάννη,ΜΑΝΑΒΗΣ ΝΙΚΟΛΑΟΣ του Αποστόλου,Ελλήνων Συνέλευσις,ΕΛΕΥΘΕΡΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΕΛΕΥΘΕΡΑΚΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΧΕΛΑ ΕΛΙΣΣΑΒΕΤ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΜΒΕΤΣΟΥ ΜΑΡΙΑΝΘΗ του Ευστρατίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΡΟΖΑΝΑ του Κωνσταντίνου,ΠΑΠΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Αγγέλου,Κ.Κ.Ε. (μ-λ),ΓΙΑΝΝΟΥΛΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΧΟΥΒΑΡΔΑ ΙΩΑΝΝΑ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΛΕΟΝΤΗ ΑΝΑΣΤΑΣΙΑ του Ιπποκράτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΙΝΙΚΛΗ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΤΣΙΑΡΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΠΕΤΡΙΤΖΙΚΛΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Νικολάου,ΤΕΡΖΟΓΛΟΥ ΑΚΥΛΑΣ του Ηλία,Λαϊκή Ενότητα,ΖΕΡΔΕΛΗΣ ΙΩΑΝΝΗΣ του Χριστόφορου,ΚΟΥΤΛΗ ΠΑΠΑΔΟΥΛΑ του Γεωργίου,ΦΟΥΣΚΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΙΩΑΝΝΙΔΟΥ ΕΛΕΝΗ του Ιωάννη,ΚΟΛΙΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Ακριβάκη,ΜΠΟΥΡΛΑΚΗΣ ΠΑΡΑΣΧΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΑΧΤΣΑΒΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,ΛΕΩΝΙΔΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Χρήστου,ΤΣΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΙΑΜΑΝΤΖΙΟΥΡΑΣ ΣΤΑΥΡΟΣ (ΑΚΗΣ) του Δημητρίου
48 - Λέσβου,90 E.T. Δήμου Δυτικής Λέσβου,481,248,2,3,5,243,51,7,5,0,12,10,124,61,46,0,8,1,1,0,0,0,27,8,0,0,3,8,14,1,0,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,1,0,5,0,1,4,4,1
48 - Λέσβου,91 E.T. Δήμου Δυτικής Λέσβου,465,228,5,1,6,222,61,9,2,2,17,13,101,34,40,3,12,3,2,0,1,0,25,10,1,2,3,8,11,2,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,0,0,2,1,0,0,0,3,1,1,1,9,6,2,0,1,0,0,1,1,0
48 - Λέσβου,92 E.T. Δήμου Δυτικής Λέσβου,456,214,4,4,8,206,54,2,7,2,11,13,110,46,30,9,8,0,0,0,0,0,7,3,0,0,0,0,15,1,0,4,7,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,1,1,0,0,0,0,0,0,0,3,2,0,1,4,4,0,0,1,0,0,0,3,0
48 - Λέσβου,93 E.T. Δήμου Δυτικής Λέσβου,466,212,3,0,3,209,39,7,2,0,17,5,117,57,38,2,13,0,4,0,1,2,10,2,0,0,0,8,25,0,1,14,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,1,0,0,1,0,0,0,3,1
48 - Λέσβου,94 E.T. Δήμου Δυτικής Λέσβου,486,232,2,2,4,228,100,2,5,4,49,32,65,42,10,7,1,0,8,6,0,0,22,11,0,1,0,7,23,1,0,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0
48 - Λέσβου,95 E.T. Δήμου Μυτιλήνης,381,184,1,0,1,183,51,13,7,0,17,7,91,53,24,7,3,0,5,2,0,3,16,4,0,1,5,4,10,1,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,1,1
48 - Λέσβου,96 E.T. Δήμου Μυτιλήνης,403,182,5,2,7,175,39,11,4,2,8,8,79,47,7,14,1,1,9,3,0,2,20,1,0,1,11,6,8,2,0,0,3,0,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,8,4,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,2,0,0,0,1,0,1,0,2,1
48 - Λέσβου,97 E.T. Δήμου Μυτιλήνης,378,277,4,2,6,271,80,9,6,1,25,10,95,39,35,5,3,1,15,5,1,4,18,8,4,0,2,2,25,3,1,0,12,0,4,3,0,0,0,0,2,1,0,1,0,0,0,0,0,11,4,0,2,1,0,1,0,0,2,0,0,0,0,2,1,0,0,10,1,0,1,2,0,0,1,4,3
48 - Λέσβου,98 E.T. Δήμου Μυτιλήνης,576,361,9,2,11,350,100,14,12,1,20,19,121,66,32,7,4,0,24,7,4,3,27,4,0,1,2,14,47,9,21,0,9,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,0,0,0,0,0,3,0,0,0,1,1,1,0,0,12,6,0,0,0,0,0,0,4,1
48 - Λέσβου,99 E.T. Δήμου Μυτιλήνης,555,295,5,1,6,289,96,18,7,0,53,11,93,55,22,12,1,1,10,3,1,1,34,8,5,0,6,11,29,0,0,1,19,0,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,10,3,1,1,1,0,0,0,0,1,0,0,0,0,2,2,0,0,4,1,0,0,1,0,0,0,3,0
48 - Λέσβου,100 E.T. Δήμου Μυτιλήνης,562,330,2,2,4,326,135,30,4,1,58,11,99,48,26,12,6,0,8,3,1,0,27,6,2,0,8,9,35,3,3,0,21,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,12,3,0,2,0,0,0,0,0,2,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,2,1
48 - Λέσβου,101 E.T. Δήμου Μυτιλήνης,562,326,4,1,5,321,146,24,9,3,80,15,83,48,12,14,3,0,7,1,1,2,23,7,1,0,7,5,43,4,1,0,33,0,4,2,1,0,0,0,1,1,0,0,0,0,0,0,0,6,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,3,1
48 - Λέσβου,102 E.T. Δήμου Μυτιλήνης,471,293,6,0,6,287,88,20,9,0,20,21,106,51,19,11,8,0,17,2,1,2,27,5,1,4,6,9,31,5,16,0,3,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,6,1,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,1,0,0,2,0,1,0,2,0
48 - Λέσβου,103 E.T. Δήμου Μυτιλήνης,497,291,6,2,8,283,89,12,8,1,29,24,125,75,15,12,8,1,12,6,0,3,10,4,0,0,0,6,28,4,18,0,3,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,4,1,1,0,3,0,0,1,3,3
48 - Λέσβου,104 E.T. Δήμου Μυτιλήνης,485,277,6,2,8,269,85,13,12,0,21,28,102,62,6,9,10,0,14,7,0,1,20,9,1,0,3,6,27,5,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2,0,0,0,0,0,1,0,0,1,0,1,1,0,0,9,3,1,1,2,0,1,1,1,0
48 - Λέσβου,105 E.T. Δήμου Μυτιλήνης,452,234,1,4,5,229,63,16,6,1,18,9,88,46,24,6,2,2,5,2,0,0,14,5,0,1,2,5,30,6,17,0,5,0,1,1,0,0,0,0,2,1,0,0,0,0,0,0,0,9,1,1,5,2,0,0,0,0,1,0,0,0,0,1,1,0,0,7,2,2,0,3,0,1,2,3,2
48 - Λέσβου,106 E.T. Δήμου Μυτιλήνης,450,206,5,3,8,198,69,13,8,2,17,16,75,48,11,5,5,1,2,1,0,0,9,2,0,0,0,6,19,2,6,1,8,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,6,4,0,0,3,0,1,0,1,0
48 - Λέσβου,107 E.T. Δήμου Μυτιλήνης,481,224,1,0,1,223,66,11,7,1,21,12,90,44,23,11,7,0,10,6,1,0,7,4,0,0,0,2,15,3,6,0,5,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,0,13,5,3,2,1,1,0,0,0,3,0,0,0,1,2,2,0,0,9,2,2,2,2,2,0,0,1,1
48 - Λέσβου,108 E.T. Δήμου Μυτιλήνης,451,202,2,2,4,198,66,16,8,1,22,9,74,40,18,5,7,1,7,4,1,0,21,5,4,1,7,3,11,1,5,0,2,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,4,1,1,1,1,0,0,1,7,1
48 - Λέσβου,109 E.T. Δήμου Μυτιλήνης,421,256,3,2,5,251,74,18,5,1,19,19,97,56,22,5,7,1,10,4,0,2,30,8,1,7,0,14,13,4,5,2,1,0,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,2,0,0,0,1,0,1,0,0,1,0,0,0,0,0,8,2,2,1,2,0,0,1,1,0
48 - Λέσβου,110 E.T. Δήμου Μυτιλήνης,421,237,1,4,5,232,83,9,1,0,27,25,87,44,22,9,4,0,8,4,1,2,15,4,0,3,0,7,18,6,6,0,4,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,9,3,2,0,2,0,0,1,2,1
48 - Λέσβου,111 E.T. Δήμου Μυτιλήνης,307,228,1,4,5,223,60,21,3,1,13,3,77,28,16,5,5,0,11,5,1,1,13,0,3,0,1,7,34,7,3,0,14,1,6,3,1,0,0,0,1,0,0,0,0,0,0,0,0,8,3,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,0,0,5,1,0,2,2,1
48 - Λέσβου,112 E.T. Δήμου Μυτιλήνης,315,185,8,1,9,176,65,21,7,1,20,4,50,26,17,2,2,0,4,1,0,1,6,3,1,0,0,1,34,0,1,0,21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,4,0,0,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,1,1,1
48 - Λέσβου,113 E.T. Δήμου Μυτιλήνης,556,344,1,0,1,343,120,33,3,2,40,23,130,67,45,7,4,0,10,4,1,4,28,4,4,3,5,10,24,7,0,2,10,0,5,1,2,0,0,0,1,1,0,0,0,0,0,0,0,8,2,0,4,2,1,0,0,0,1,1,0,0,0,2,1,1,0,7,3,0,0,2,0,1,0,3,1
48 - Λέσβου,114 E.T. Δήμου Μυτιλήνης,567,343,5,4,9,334,106,11,9,1,41,17,136,61,32,15,15,2,20,9,3,2,10,5,1,0,0,2,31,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,2,0,1,0,0,3,0,0,1,0,2,2,0,0,8,1,0,1,1,0,0,0,0,0
48 - Λέσβου,115 E.T. Δήμου Μυτιλήνης,570,351,9,4,13,338,123,18,16,2,39,23,107,61,21,6,5,2,12,0,2,4,25,11,0,0,4,9,28,7,2,0,9,0,9,5,1,1,0,0,4,0,0,0,2,0,0,0,0,10,2,1,3,2,1,1,0,0,3,2,0,0,0,2,1,0,0,6,0,0,1,3,1,1,1,4,2
48 - Λέσβου,116 E.T. Δήμου Μυτιλήνης,549,326,4,6,10,316,107,14,11,1,24,34,103,44,19,16,11,1,17,4,1,5,33,10,2,1,2,15,22,4,4,0,10,0,3,0,0,1,0,0,2,0,0,1,0,0,0,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,9,5,0,0,11,6,0,1,1,0,0,0,4,3
48 - Λέσβου,117 E.T. Δήμου Μυτιλήνης,558,335,5,6,11,324,100,19,7,0,38,21,106,52,25,8,9,1,19,5,4,5,29,10,2,2,1,9,26,8,3,0,6,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,18,4,2,5,0,0,0,2,0,0,0,0,0,0,2,2,0,0,13,1,1,0,2,1,0,0,4,3
48 - Λέσβου,118 E.T. Δήμου Μυτιλήνης,564,334,18,3,21,313,124,14,12,2,36,36,96,45,18,9,12,2,15,6,1,2,24,6,3,1,1,9,26,2,1,3,14,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,2,0,0,0,0,0,5,1,0,0,0,0,0,0,0,3,0,0,0,2,0,1,0,9,7
48 - Λέσβου,119 E.T. Δήμου Μυτιλήνης,560,310,5,2,7,303,103,9,5,1,33,28,110,67,23,6,10,0,16,2,2,4,17,3,4,0,2,5,21,3,4,2,7,0,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,8,1,1,1,2,1,0,0,0,1,0,0,1,0,3,2,0,0,5,0,0,0,4,0,1,0,7,2
48 - Λέσβου,120 E.T. Δήμου Μυτιλήνης,570,302,8,4,12,290,102,19,9,1,20,23,119,58,25,8,9,2,10,3,0,3,14,4,2,1,0,7,12,1,2,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,1,1,2,2,0,0,0,1,0,0,1,0,4,4,0,0,8,2,1,0,5,1,1,2,4,3
48 - Λέσβου,121 E.T. Δήμου Μυτιλήνης,551,310,2,3,5,305,108,16,16,1,33,22,104,55,24,10,8,2,9,2,0,3,19,8,2,2,1,6,20,3,1,1,10,0,3,1,2,0,0,0,6,3,0,1,1,1,0,0,0,7,0,5,2,0,0,0,0,0,3,1,0,0,0,8,5,1,0,13,6,0,0,1,0,1,0,3,1
48 - Λέσβου,122 E.T. Δήμου Μυτιλήνης,565,321,5,2,7,314,125,19,10,3,42,18,72,46,12,5,3,0,19,3,0,6,19,5,1,1,2,9,30,3,2,1,20,0,7,3,0,0,1,1,1,0,0,0,0,0,0,0,0,13,3,1,5,2,1,0,0,0,3,0,0,0,0,2,0,0,0,9,2,4,0,2,1,0,0,9,6
48 - Λέσβου,123 E.T. Δήμου Μυτιλήνης,552,289,2,6,8,281,81,8,7,0,23,18,108,56,25,11,5,0,15,6,0,1,29,6,4,1,2,10,16,0,3,0,7,0,3,0,1,0,1,0,3,1,0,0,0,0,0,0,0,7,0,0,3,1,0,1,0,0,2,0,0,2,0,3,3,0,0,6,3,0,0,4,0,0,0,2,0
48 - Λέσβου,124 E.T. Δήμου Μυτιλήνης,561,336,5,3,8,328,104,12,12,1,38,20,109,46,31,12,9,1,18,4,3,7,33,11,2,2,4,11,29,6,2,0,13,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,9,3,0,2,1,0,0,0,0,4,2,0,1,0,0,0,0,0,10,4,0,0,5,0,3,0,4,2
48 - Λέσβου,125 E.T. Δήμου Μυτιλήνης,567,329,8,2,10,319,109,17,11,1,33,26,120,59,28,16,8,0,16,9,1,5,21,7,2,1,3,5,24,5,2,0,10,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,0,0,0,0,0,4,2,1,1,10,5,1,1,0,0,0,0,3,2
48 - Λέσβου,126 E.T. Δήμου Μυτιλήνης,569,334,9,7,16,318,114,16,12,3,42,21,109,42,32,13,11,0,11,4,2,3,19,5,3,1,2,7,21,3,2,1,11,0,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,5,2,0,0,0,0,3,3,0,0,0,1,1,0,0,8,1,1,0,6,0,2,1,4,2
48 - Λέσβου,127 E.T. Δήμου Μυτιλήνης,561,343,4,4,8,335,108,14,6,0,40,30,109,48,21,14,14,1,13,3,0,4,30,11,3,3,0,9,34,6,4,1,18,0,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,13,5,2,2,1,1,0,0,0,3,0,1,1,1,3,1,0,0,10,3,1,0,3,1,1,0,2,2
48 - Λέσβου,128 E.T. Δήμου Μυτιλήνης,570,348,3,4,7,341,108,21,9,1,37,22,141,65,40,6,10,0,14,3,2,6,22,2,2,4,4,8,27,7,4,0,8,0,3,1,1,0,0,0,3,1,1,0,1,0,0,0,0,6,4,1,0,0,0,0,0,0,1,1,0,0,0,4,3,0,1,6,3,1,1,2,0,1,0,4,3
48 - Λέσβου,129 E.T. Δήμου Μυτιλήνης,602,342,4,6,10,332,97,14,7,2,32,19,142,64,37,15,13,2,11,4,0,1,22,7,0,2,1,6,19,3,0,1,9,0,8,3,2,0,0,0,3,0,0,0,1,0,0,0,0,6,0,0,2,1,1,0,0,0,1,1,0,0,0,5,4,0,0,10,1,1,1,1,0,0,0,6,3
48 - Λέσβου,130 E.T. Δήμου Μυτιλήνης,603,366,5,3,8,358,100,21,10,1,35,22,138,57,43,20,6,1,14,6,1,4,24,11,1,1,4,3,35,6,5,0,15,0,6,2,0,1,0,0,1,0,0,0,0,0,0,0,0,12,2,0,4,1,0,0,0,0,1,0,0,1,0,2,1,1,0,17,6,0,0,2,1,1,0,5,4
48 - Λέσβου,131 E.T. Δήμου Μυτιλήνης,603,354,4,4,8,346,104,12,9,0,42,25,140,58,39,20,9,0,10,3,0,2,26,7,1,0,4,7,24,2,6,2,9,0,5,1,0,1,0,0,1,0,0,0,0,0,0,0,0,10,3,0,3,0,0,0,0,0,1,0,0,0,0,3,3,0,0,15,5,1,0,2,0,1,0,5,4
48 - Λέσβου,132 E.T. Δήμου Μυτιλήνης,602,364,6,4,10,354,104,6,10,1,36,29,162,61,42,25,14,3,5,4,0,0,24,7,1,1,2,8,16,3,1,2,6,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,11,2,2,0,1,0,0,0,0,6,2,0,3,0,4,3,1,0,7,4,0,0,6,0,1,0,4,0
48 - Λέσβου,133 E.T. Δήμου Μυτιλήνης,602,371,4,1,5,366,114,20,11,1,42,18,142,71,41,9,7,2,12,5,1,4,22,8,0,0,6,5,28,4,5,0,11,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0,0,0,0,2,0,0,0,0,9,8,0,0,17,5,0,1,4,1,1,1,4,1
48 - Λέσβου,134 E.T. Δήμου Μυτιλήνης,602,354,6,1,7,347,114,20,12,1,29,25,137,61,36,20,8,0,20,12,0,4,31,5,8,0,6,9,19,5,3,0,5,0,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,1,0,1,0,0,1,0,3,1,0,0,7,4,1,0,2,0,1,0,4,2
48 - Λέσβου,135 E.T. Δήμου Μυτιλήνης,602,346,3,5,8,338,106,18,7,1,43,22,125,66,39,9,4,1,10,6,1,2,37,13,4,2,2,8,23,5,1,1,12,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,7,1,0,2,0,0,0,0,0,2,1,0,1,0,4,3,0,1,11,5,0,1,7,2,5,0,3,2
48 - Λέσβου,136 E.T. Δήμου Μυτιλήνης,601,340,6,6,12,328,111,5,14,2,45,16,124,51,40,11,8,2,17,3,1,3,14,6,0,0,1,7,20,2,0,0,10,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,1,0,0,0,0,3,1,0,2,0,5,3,0,0,11,5,0,1,4,2,1,0,8,5
48 - Λέσβου,137 E.T. Δήμου Μυτιλήνης,604,363,5,3,8,355,112,20,9,0,42,24,135,69,37,8,5,1,11,5,0,5,38,22,0,1,3,11,25,2,4,1,8,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,3,0,0,0,0,0,4,1,0,3,0,2,1,0,0,7,3,1,0,6,0,5,0,3,2
48 - Λέσβου,138 E.T. Δήμου Μυτιλήνης,603,345,9,5,14,331,96,14,5,2,40,17,152,70,49,11,13,0,11,3,0,2,23,4,3,2,1,12,15,1,5,1,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,4,0,6,0,0,0,0,0,1,0,0,0,0,2,1,0,0,8,1,0,2,8,0,0,0,3,1
48 - Λέσβου,139 E.T. Δήμου Μυτιλήνης,603,317,3,1,4,313,99,16,8,3,31,25,122,44,45,7,15,2,10,1,0,2,16,8,1,0,1,5,25,1,2,0,15,1,8,1,2,2,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,2,2,1,0,0,0,1,3,3,0,0,18,10,0,2,0,0,0,0,4,4
48 - Λέσβου,140 E.T. Δήμου Μυτιλήνης,603,363,5,2,7,356,103,8,5,0,45,27,156,86,36,11,8,1,13,2,0,7,22,5,2,1,2,11,24,3,3,1,11,0,7,1,2,0,0,0,1,1,0,0,0,0,0,0,0,7,1,0,3,0,0,0,0,0,4,2,0,2,0,4,3,1,0,9,4,0,1,4,1,0,2,2,2
48 - Λέσβου,141 E.T. Δήμου Μυτιλήνης,603,335,6,4,10,325,100,10,9,4,35,26,134,49,46,10,14,2,13,4,1,4,23,12,3,0,3,4,20,4,3,0,7,0,10,2,1,3,0,0,0,0,0,0,0,0,0,0,0,6,1,1,2,0,0,0,0,0,1,0,0,0,0,3,2,0,0,8,5,0,0,5,0,2,2,2,1
48 - Λέσβου,142 E.T. Δήμου Μυτιλήνης,603,353,4,3,7,346,108,23,10,1,41,18,142,55,39,14,15,4,11,3,0,3,29,7,2,1,2,12,17,2,0,0,12,0,2,1,0,0,0,0,4,1,0,0,2,0,0,0,0,7,2,0,1,0,0,0,0,0,2,0,1,0,0,8,7,0,0,8,2,1,1,4,0,2,0,4,2
48 - Λέσβου,143 E.T. Δήμου Μυτιλήνης,603,340,2,2,4,336,82,13,10,0,26,20,149,64,44,15,10,0,11,2,2,4,28,5,5,0,3,9,27,2,4,2,15,0,7,2,1,0,0,0,1,1,0,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,1,0,0,0,0,2,1,0,0,10,2,1,1,4,0,1,1,8,4
48 - Λέσβου,144 E.T. Δήμου Μυτιλήνης,603,341,4,3,7,334,118,15,15,3,40,20,126,45,43,13,10,0,6,3,0,1,20,8,1,0,0,5,27,2,1,0,15,0,4,1,0,0,0,0,2,1,0,0,0,0,0,0,0,7,0,1,1,2,0,0,2,0,4,1,0,1,1,4,1,2,0,5,2,1,0,3,0,0,0,4,0
48 - Λέσβου,145 E.T. Δήμου Μυτιλήνης,602,339,9,2,11,328,106,8,15,1,46,26,149,66,39,8,16,5,10,3,0,5,11,2,1,0,1,4,15,3,0,1,9,0,7,0,2,1,0,0,1,0,0,0,1,0,0,0,0,9,4,0,3,0,0,0,1,1,3,0,0,2,0,3,3,0,0,9,2,1,2,2,1,1,0,2,1
48 - Λέσβου,146 E.T. Δήμου Μυτιλήνης,605,335,8,4,12,323,79,6,6,1,36,13,152,77,42,15,9,3,15,6,0,4,24,10,3,0,2,7,23,2,2,0,8,1,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,13,2,1,3,1,0,0,0,0,0,0,0,0,0,4,4,0,0,6,1,0,0,0,0,0,0,3,1
48 - Λέσβου,147 E.T. Δήμου Μυτιλήνης,627,187,0,1,1,186,29,2,4,0,6,8,108,38,12,8,9,0,12,3,0,2,10,0,1,1,1,6,3,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,0,0,0,0,0,1,0,1,0,0,1,1,0,0,3,1,0,0,9,0,1,0,1,1
