ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΔΡΕΑΔΕΛΛΗ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΖΕΡΒΟΥ-ΤΕΝΤΟΜΑ ΜΑΡΙΑ του Σταύρου,ΚΟΤΣΑΛΗΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΜΠΟΥΡΝΟΥΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΛΛΗΣ ΓΕΩΡΓΙΟΣ του Ευστρατίου,Νέα Δημοκρατία,ΑΘΑΝΑΣΙΟΥ ΧΑΡΑΛΑΜΠΟΣ του Χριστόφα,ΒΑΛΣΑΜΙΔΗΣ ΘΕΟΔΩΡΟΣ του Σπυρίδωνος,ΓΟΜΟΣ ΔΗΜΗΤΡΙΟΣ του Ευστρατίου -  Παντελεήμονα,ΜΑΚΡΗ ΕΛΕΝΗ του Φωτίου,ΧΡΥΣΑΦΗ ΜΑΡΙΑ του Μόσχου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΥΛΑΚΗ ΜΑΡΙΑ του Ιωάννη,ΓΥΛΑΡΗ ΑΝΑΣΤΑΣΙΑ του Μόσχου,ΧΑΡΑΛΑΜΠΗΣ ΜΑΡΙΟΣ του Παναγιώτη,Κίνημα Αλλαγής,ΓΙΑΚΑΛΗΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,ΓΙΑΝΝΟΥΛΕΛΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΚΡΟΜΜΥΔΑ ΛΑΜΠΡΙΝΗ του Αναστασίου,ΜΗΛΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΧΟΧΛΑΚΑ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Θεοδώρου,Κ.Κ.Ε.,ΖΑΦΕΙΡΙΟΥ ΙΩΑΝΝΗΣ του Παναγιώτη,ΚΑΚΝΑΒΑΤΟΥ ΖΗΝΟΒΙΑ του Στυλιανού,ΚΛΙΟΜΙΔΙΩΤΗΣ ΘΕΜΙΣΤΟΚΛΗΣ του Ευστρατίου,ΚΟΜΝΗΝΑΚΑ ΜΑΡΙΑ του Αποστόλου,ΠΛΑΝΤΖΟΣ ΣΠΥΡΙΔΩΝ του Νικολάου,Ένωση Κεντρώων,ΑΛΕΞΑΝΔΡΟΥ ΠΑΝΑΓΙΩΤΗΣ του Σάββα,ΖΟΥΡΕΛΗ ΧΑΡΙΚΛΕΙΑ του Βασιλείου,ΣΥΚΗ ΠΑΝΑΓΙΩΤΑ του Γρηγορίου,Ο.Κ.Δ.Ε.,ΜΑΝΩΛΙΑ ΕΛΕΝΗ του Ιγνατίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΖΑΜΠΡΑΣ ΧΡΗΣΤΟΣ -  ΑΛΕΞΑΝΔΡΟΣ του Ελευθερίου,ΖΩΓΡΑΦΙΣΤΟΥ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,ΚΛΕΙΔΩΝΑ ΙΣΜΗΝΗ του Ιωάννη,ΜΑΝΑΒΗΣ ΝΙΚΟΛΑΟΣ του Αποστόλου,Ελλήνων Συνέλευσις,ΕΛΕΥΘΕΡΑΚΗΣ ΕΥΑΓΓΕΛΟΣ του Κωνσταντίνου,ΕΛΕΥΘΕΡΑΚΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΧΕΛΑ ΕΛΙΣΣΑΒΕΤ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΜΒΕΤΣΟΥ ΜΑΡΙΑΝΘΗ του Ευστρατίου,ΔΗΜΗΤΡΑΝΤΖΟΥ ΡΟΖΑΝΑ του Κωνσταντίνου,ΠΑΠΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Αγγέλου,Κ.Κ.Ε. (μ-λ),ΓΙΑΝΝΟΥΛΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΧΟΥΒΑΡΔΑ ΙΩΑΝΝΑ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΛΕΟΝΤΗ ΑΝΑΣΤΑΣΙΑ του Ιπποκράτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΙΝΙΚΛΗ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΤΣΙΑΡΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΠΕΤΡΙΤΖΙΚΛΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Νικολάου,ΤΕΡΖΟΓΛΟΥ ΑΚΥΛΑΣ του Ηλία,Λαϊκή Ενότητα,ΖΕΡΔΕΛΗΣ ΙΩΑΝΝΗΣ του Χριστόφορου,ΚΟΥΤΛΗ ΠΑΠΑΔΟΥΛΑ του Γεωργίου,ΦΟΥΣΚΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΙΩΑΝΝΙΔΟΥ ΕΛΕΝΗ του Ιωάννη,ΚΟΛΙΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Ακριβάκη,ΜΠΟΥΡΛΑΚΗΣ ΠΑΡΑΣΧΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΒΑΧΤΣΑΒΑΝΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,ΛΕΩΝΙΔΑΚΗ ΚΩΝΣΤΑΝΤΙΝΑ του Χρήστου,ΤΣΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΙΑΜΑΝΤΖΙΟΥΡΑΣ ΣΤΑΥΡΟΣ (ΑΚΗΣ) του Δημητρίου
48 - Λέσβου,74 E.T. Δήμου Μυτιλήνης,573,331,3,1,4,327,79,13,4,0,33,16,121,53,35,20,5,0,13,3,1,3,14,2,2,0,1,5,77,58,3,0,15,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,4,0,1,0,1,1,1,0,0,8,7,0,0,1,0,0,0,2,0
48 - Λέσβου,75 E.T. Δήμου Μυτιλήνης,578,309,3,3,6,303,89,6,7,1,44,13,115,58,35,13,3,1,10,2,1,3,18,8,4,1,1,3,45,33,5,0,5,0,2,1,0,0,0,0,1,1,0,0,0,2,0,0,1,4,0,0,2,0,0,0,0,0,2,1,0,0,0,4,3,1,0,8,6,0,2,2,1,1,0,1,1
48 - Λέσβου,76 E.T. Δήμου Μυτιλήνης,355,164,10,4,14,150,43,2,4,0,17,11,49,20,18,4,3,0,2,0,0,1,6,2,1,1,0,1,27,6,8,0,9,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,5,1,2,0,0,0,0,0,0,5,4,0,0,0,2,2,0,0,5,2,0,1,2,0,1,0,1,0
48 - Λέσβου,77 E.T. Δήμου Μυτιλήνης,424,212,3,0,3,209,65,10,4,2,18,23,75,44,16,10,3,0,8,1,1,3,10,8,0,0,0,1,34,10,9,0,11,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,4,2,0,2,1,0,0,1,0,2,1,0,1,0,1,1,0,0,2,0,1,0,2,2,0,0,2,2
48 - Λέσβου,78 E.T. Δήμου Μυτιλήνης,588,312,7,2,9,303,114,17,6,3,34,26,99,38,20,28,1,1,20,4,2,4,26,11,0,0,8,3,24,19,3,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,2,0,0,0,0,0,4,0,0,2,0,0,0,0,0,3,1,0,0,1,1,0,0,6,3
48 - Λέσβου,79 E.T. Δήμου Μυτιλήνης,596,346,6,0,6,340,93,9,9,0,30,22,119,65,16,24,4,1,9,3,2,2,53,43,0,0,0,4,48,1,35,2,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,11,5,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
48 - Λέσβου,80 E.T. Δήμου Μυτιλήνης,375,252,6,1,7,245,49,10,5,1,21,5,126,61,43,15,2,1,10,1,4,2,15,5,1,0,4,1,14,4,6,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,3,2,0,1,0,0,0,0,0,0,0,2,2,0,0,5,1,0,1,2,0,1,0,6,5
48 - Λέσβου,81 E.T. Δήμου Δυτικής Λέσβου,532,255,8,0,8,247,50,1,25,1,4,8,55,25,11,7,6,0,2,0,0,1,12,5,0,0,0,4,108,5,2,85,8,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,0,1,1,1,1,1,0,0,9,2,1,2,0,0,0,0,1,1
48 - Λέσβου,82 E.T. Δήμου Δυτικής Λέσβου,522,324,8,5,13,311,72,5,29,3,11,5,50,23,4,3,13,1,10,2,0,4,12,1,1,2,1,3,127,2,1,104,7,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,12,6,0,2,0,0,0,2,0,4,0,1,0,3,5,4,1,0,7,3,1,0,4,1,0,0,2,1
48 - Λέσβου,83 E.T. Δήμου Δυτικής Λέσβου,520,264,3,2,5,259,64,11,23,0,11,9,54,32,12,4,1,0,0,0,0,0,15,6,0,0,0,7,104,2,0,80,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,4,1,1,0,0,0,0,0,1,0,0,0,0,2,2,0,0,6,1,0,0,1,0,0,0,0,0
48 - Λέσβου,84 E.T. Δήμου Δυτικής Λέσβου,341,164,4,2,6,158,39,7,7,0,7,7,56,25,7,3,15,0,2,0,0,1,8,0,0,0,0,7,37,2,0,25,2,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,6,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,2,1
48 - Λέσβου,85 E.T. Δήμου Δυτικής Λέσβου,373,198,3,1,4,194,50,9,12,2,8,8,62,37,7,4,9,0,4,2,0,1,11,0,1,0,3,6,53,7,3,37,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,1,0,1,0,0,1,1,0,0,0,3,1,0,0,2,1,0,0,1,0,0,0,0,0
48 - Λέσβου,86 E.T. Δήμου Δυτικής Λέσβου,578,261,5,1,6,255,76,7,18,0,11,14,103,52,24,9,6,0,5,3,1,0,10,2,0,2,0,1,39,6,1,11,13,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,6,1,0,3,0,2,1,0,0,7,2,1,2,2,1,1,0,0,0
48 - Λέσβου,87 E.T. Δήμου Δυτικής Λέσβου,547,299,1,1,2,297,112,16,14,1,51,21,105,39,30,18,11,1,4,1,1,0,7,0,0,0,0,5,34,7,1,13,3,1,2,1,1,0,1,1,1,1,0,0,0,0,0,0,0,7,3,0,4,0,0,0,0,0,1,0,0,0,0,3,3,0,0,7,4,1,0,12,6,4,2,1,1
48 - Λέσβου,88 E.T. Δήμου Δυτικής Λέσβου,262,155,1,0,1,154,52,7,3,1,13,15,45,22,10,8,3,1,3,1,0,0,23,2,0,1,0,13,21,0,0,18,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,1,0,1,1,0,0,3,3,0,0,0,0,0,0,0,0
48 - Λέσβου,89 E.T. Δήμου Δυτικής Λέσβου,173,83,3,2,5,78,36,3,2,1,21,3,25,13,6,5,0,0,0,0,0,0,7,1,1,0,1,3,2,0,0,1,0,0,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,1
