ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΙΤΣΕΛΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΞΑΦΟΣ ΑΘΑΝΑΣΙΟΣ του Αγγελου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Αποστόλου,ΣΙΜΟΡΕΛΗΣ ΧΡΗΣΤΟΣ του Βασιλείου,ΣΤΑΜΟΥ ΔΗΜΗΤΡΙΟΣ του Σωτηρίου,ΧΑΡΤΟΠΟΥΛΟΥ ΠΕΡΙΣΤΕΡΑ (ΠΕΡΥ) του Μενέλαου,Νέα Δημοκρατία,ΒΛΑΧΟΓΙΑΝΝΗΣ ΗΛΙΑΣ του Γεωργίου,ΓΑΛΛΟΥ-ΔΑΛΚΑΦΟΥΚΗ ΧΡΥΣΑΝΘΗ του Αθανασίου,ΛΙΟΥΤΑΣ ΑΘΑΝΑΣΙΟΣ του Αχιλλέως,ΠΑΠΑΚΩΣΤΑ-ΠΑΛΙΟΥΡΑ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΤΕΡΙΝΑ) του Δημητρίου,ΣΚΡΕΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΧΑΤΖΗΓΑΚΗΣ ΜΙΧΑΗΛ (ΜΙΚΕΛΗΣ) του Σωτηρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΩΣΤΗΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΜΙΣΙΑΚΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΜΠΑΜΠΟΥΡΔΑ ΠΑΝΑΓΙΩΤΑ του Αγγελή,ΠΑΡΔΑΛΗΣ ΓΕΩΡΓΙΟΣ του Στεργίου,ΤΣΕΚΟΥΡΑ ΑΓΓΕΛΙΚΗ του Νικολάου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΟΥ ΦΩΤΕΙΝΗ του Θεόφιλου,ΗΛΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Προκοπίου,ΜΠΛΕΤΣΑΣ ΣΩΤΗΡΙΟΣ του Σεραφείμ,ΝΤΙΝΤΗ ΧΡΙΣΤΟΥΛΑ (ΧΡΥΣΑ) του Κωνσταντίνου,ΠΑΠΑΕΥΘΥΜΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,ΦΑΜΙΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σωτηρίου,Κ.Κ.Ε.,ΚΑΪΚΗΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,ΚΑΝΤΑΡΤΖΗΣ ΑΧΙΛΛΕΑΣ του Κλεομένη,ΚΑΠΕΤΗ ΓΕΩΡΓΙΑ του Παντελή,ΛΙΑΤΙΦΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΤΟΥΡΛΙΟΣ ΛΑΜΠΡΟΣ του Νικολάου,ΠΕΤΡΑΚΗ ΕΙΡΗΝΗ του Αντωνίου,Ένωση Κεντρώων,ΑΚΡΙΒΟΣ ΑΠΟΣΤΟΛΟΣ του Κωνσταντίνου,ΕΚΟΥΤΣΙΔΗ ΜΑΡΙΑ του Σαββελίου,ΜΑΝΤΖΑΝΑ ΒΑΣΙΛΙΚΗ του Αχιλλέα,ΜΗΤΣΙΟΣ ΜΑΡΙΟΣ του Ναπολέοντος,ΣΑΡΤΑΜΠΑΚΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΔΡΑΓΟΥΤΑ ΜΑΡΙΑ του Παύλου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΑΚΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΡΕΚΑΤΕΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΣΑΒΒΟΥΛΙΔΗ ΣΟΥΛΤΑΝΑ του Ευαγγέλου,ΤΑΧΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Δημητρίου,ΤΣΟΛΑΚΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,Ελλήνων Συνέλευσις,ΒΑΣΙΛΕΙΟΥ ΣΤΕΦΑΝΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΜΑΓΚΟΥΤΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΠΑΝΑΓΟΥ ΚΩΝΣΤΑΝΤΙΑ του Στυλιανού,ΠΙΝΙΑΡΑ ΑΓΓΕΛΙΚΗ του Αθανασίου,ΣΒΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Βασιλείου,ΣΤΑΣΟΣ ΑΧΙΛΛΕΥΣ του Κωνσταντίνου,ΤΣΙΟΥΜΑΣ ΛΕΩΝΙΔΑΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΖΟΛΩΤΑ ΕΥΑΓΓΕΛΗ (ΕΛΙΖΑ) του Γεωργίου,ΜΠΑΛΑΦΑΣ ΓΡΗΓΟΡΙΟΣ του Νικολάου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αποστόλου,ΣΑΠΟΥΝΑ ΕΥΑΓΓΕΛΙΑ του Ιωάννη,ΤΟΥΦΕΞΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΟΥ ΑΝΝΑ του Πολυχρόνη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΖΑΝΑΚΗΣ ΦΙΛΙΠΠΟΣ του Ιωάννη,ΚΑΝΤΑΚΟΥ ΑΝΔΡΟΜΑΧΗ του Φωτίου,Λαϊκή Ενότητα,ΧΟΝΔΡΟΥΛΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΜέΡΑ25,ΕΛΕΝΗ ΜΑΡΙΑ του Αναστασίου,ΠΑΝΤΑΖΩΝΗ ΦΩΤΕΙΝΗ (ΦΕΝΙΑ) του Φωκίωνος,ΤΡΙΑΝΤΑΦΥΛΛΟΣ ΝΙΚΟΛΑΟΣ του Θαλή,ΧΟΥΤΟΣ ΑΛΕΞΑΝΔΡΟΣ του Γεωργίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΑΛΑΝΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΓΚΙΟΞΑΡΗ ΒΑΡΒΑΡΑ του Ελευθερίου,ΜΠΑΡΤΖΙΩΚΑΣ ΑΘΑΝΑΣΙΟΣ του Γρηγορίου,ΣΕΠΥΡΓΙΩΤΗ ΑΓΓΕΛΙΚΗ του Ευσταθίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΖΩΓΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου
24 - Τρικάλων,171 E.T. Δήμου Τρικκαίων,401,221,2,1,3,218,80,27,6,38,20,1,10,99,16,1,41,44,30,19,2,0,2,0,0,1,16,4,0,2,6,7,3,9,3,2,2,2,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,1,2,0,0,1,0,2,0
24 - Τρικάλων,172 E.T. Δήμου Τρικκαίων,464,292,6,2,8,284,81,36,7,35,18,2,4,127,28,11,39,47,39,39,4,2,1,0,0,0,27,3,12,1,11,14,0,26,7,6,1,5,12,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,4,2,0,1,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,8,0,0,7,0,3,3
24 - Τρικάλων,173 E.T. Δήμου Τρικκαίων,454,299,1,2,3,296,95,32,21,34,28,4,10,135,29,5,22,111,26,8,6,1,2,1,1,0,25,2,7,2,12,5,6,11,2,2,0,3,5,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,9,7,1,3,2,0,1,1,0,0,0,0,0,1,0,1,1,1,2,2,2,0,0,0,0,5,0,0,4,0,0,0
24 - Τρικάλων,174 E.T. Δήμου Τρικκαίων,367,248,2,0,2,246,59,30,11,16,13,0,9,147,36,10,20,102,35,30,5,1,0,0,0,0,13,0,8,0,8,7,1,5,2,5,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,7,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,3,1,0,1,0,1,0,0,0,1,0,0
24 - Τρικάλων,175 E.T. Δήμου Τρικκαίων,163,108,2,2,4,104,24,3,2,11,10,1,0,57,4,11,30,19,13,3,1,0,0,0,0,0,9,0,7,0,4,4,2,10,3,3,0,4,5,1,0,0,0,0,0,0,0,0,3,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,176 E.T. Δήμου Τρικκαίων,408,256,2,1,3,253,62,15,12,25,18,4,9,112,35,13,28,43,43,16,7,0,5,0,2,0,28,3,13,2,13,6,2,22,8,7,2,8,10,3,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,7,3,1,3,2,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,1,0,4,4
24 - Τρικάλων,177 E.T. Δήμου Τρικκαίων,471,328,3,2,5,323,99,40,8,48,21,2,5,113,25,5,25,36,54,33,3,0,0,0,0,0,59,4,22,3,37,14,2,17,4,5,0,0,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,10,3,2,0,4,0,0,2,1,0,1,0,1,0,0,0,0,0,0,0,7,0,0,0,0,7,1,0,7,0,2,0
24 - Τρικάλων,178 E.T. Δήμου Τρικκαίων,408,213,4,0,4,209,41,15,6,16,13,1,4,132,23,11,38,45,66,32,1,0,0,0,0,0,9,0,3,2,0,7,2,5,1,1,0,1,0,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,11,4,0,2,2,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,2,0,0,0,0,1,0
24 - Τρικάλων,179 E.T. Δήμου Τρικκαίων,372,216,0,3,3,213,47,20,4,27,5,2,6,119,29,5,16,43,70,26,10,0,0,0,3,0,16,4,1,0,4,5,0,4,2,2,0,1,0,0,10,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
24 - Τρικάλων,180 E.T. Δήμου Τρικκαίων,507,317,2,1,3,314,62,14,17,24,9,4,2,203,36,34,47,56,123,59,5,0,3,1,3,3,23,6,4,0,19,8,1,10,7,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,3,1,2,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,4,0,0,2,4,1,0,0,1,0,0,0
24 - Τρικάλων,181 E.T. Δήμου Τρικκαίων,392,238,0,0,0,238,59,15,3,25,15,2,3,127,27,12,26,70,55,23,0,0,0,0,0,0,12,5,3,0,4,3,0,32,11,11,8,17,2,5,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,0,0,1,1,0,0,0,0,0,0
24 - Τρικάλων,182 E.T. Δήμου Τρικκαίων,457,298,4,5,9,289,103,44,3,49,9,5,12,110,11,4,28,54,47,34,1,0,0,0,0,1,12,0,3,0,6,8,0,51,15,11,23,39,1,2,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,2,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,183 E.T. Δήμου Τρικκαίων,508,317,2,1,3,314,73,10,4,23,16,5,8,118,34,8,25,34,70,25,10,0,6,0,2,1,26,9,15,1,10,5,1,59,18,17,24,23,8,3,3,0,1,1,1,2,0,0,1,0,0,0,1,1,0,0,11,2,1,1,3,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,7,1,2,0,0,1,0,0,0,0,4,4
24 - Τρικάλων,184 E.T. Δήμου Τρικκαίων,492,259,2,0,2,257,57,20,11,17,8,9,7,147,38,23,39,44,82,37,0,0,0,0,0,0,15,3,9,0,10,3,1,24,4,6,12,11,2,1,4,3,2,2,1,0,0,0,1,0,0,0,0,0,0,0,4,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,2,2
24 - Τρικάλων,185 E.T. Δήμου Τρικκαίων,419,210,1,0,1,209,65,19,13,23,17,6,0,97,23,7,20,32,62,14,4,0,3,0,0,0,24,3,10,0,13,13,1,15,3,5,6,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
24 - Τρικάλων,186 E.T. Δήμου Τρικκαίων,523,333,5,3,8,325,92,29,19,26,25,4,6,144,43,2,20,46,70,24,3,1,2,1,0,2,37,4,11,0,3,26,3,17,12,10,0,0,5,1,2,1,0,1,0,0,0,0,1,0,0,0,1,0,5,5,2,1,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,1,0,0,10,5,3,4,2,2,0,0,1,0,7,4
24 - Τρικάλων,187 E.T. Δήμου Τρικκαίων,476,302,4,2,6,296,110,21,13,36,28,8,12,118,43,16,15,30,53,27,1,1,0,0,0,1,25,2,7,3,10,10,3,19,11,9,3,0,6,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,2,2,4,3,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,8,3,1,0,1,3,0,0,1,0,3,1
24 - Τρικάλων,188 E.T. Δήμου Τρικκαίων,452,253,6,1,7,246,73,21,14,32,19,8,1,107,17,9,24,34,59,32,3,0,0,0,0,2,23,3,7,1,5,14,3,13,8,3,1,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,7,4,2,1,3,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,7,1,3,2,0,1,0,0,0,0,5,4
24 - Τρικάλων,189 E.T. Δήμου Τρικκαίων,450,295,0,0,0,295,90,33,17,31,14,7,9,120,28,13,25,29,51,37,4,1,3,0,1,0,39,3,8,3,13,22,9,19,10,7,0,0,8,3,3,3,0,1,0,1,0,0,1,0,0,0,1,0,0,0,4,0,1,1,2,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,5,1,1,1,1,5,2,1,2,0,2,1
24 - Τρικάλων,190 E.T. Δήμου Τρικκαίων,462,285,3,3,6,279,99,30,17,42,16,6,7,112,28,9,28,26,44,43,2,0,2,1,0,0,29,0,0,4,13,9,5,26,15,9,1,0,12,1,0,0,0,0,0,0,1,0,2,1,2,0,1,0,0,0,5,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
24 - Τρικάλων,191 E.T. Δήμου Τρικκαίων,390,241,3,5,8,233,72,12,54,18,3,1,4,77,29,6,16,22,32,11,4,2,2,0,0,1,39,10,23,3,8,22,3,22,16,10,1,2,2,0,1,0,0,0,0,0,1,0,2,0,0,0,1,0,0,0,6,0,1,0,1,0,3,1,0,0,0,1,0,0,0,1,0,0,0,0,4,0,1,1,1,3,0,1,2,0,0,0
24 - Τρικάλων,192 E.T. Δήμου Τρικκαίων,307,174,2,1,3,171,57,25,15,16,13,1,5,69,16,4,42,12,40,12,4,2,0,1,2,0,9,2,0,0,6,2,3,10,6,2,1,0,5,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,1,3,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,5,2,2,0,0,0,0,0,0,0,3,2
24 - Τρικάλων,193 E.T. Δήμου Τρικκαίων,399,237,5,1,6,231,65,24,11,18,8,4,0,115,18,6,50,36,49,23,7,0,1,0,1,3,9,0,5,1,3,3,2,5,3,0,3,1,1,1,3,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,17,2,2,2,5,1,2,0,0,0,0,0,0,0,0,2,0,2,0,0,4,3,2,0,0,1,1,0,1,0,2,1
24 - Τρικάλων,194 E.T. Δήμου Τρικκαίων,404,240,3,3,6,234,55,24,3,19,23,6,3,92,31,4,30,17,27,32,6,2,3,3,0,0,35,4,14,2,10,14,4,13,10,6,1,7,0,0,1,0,0,0,0,0,0,0,3,0,0,0,3,1,6,6,2,1,0,0,1,0,0,8,2,0,2,6,1,0,0,1,0,0,0,0,7,2,2,4,1,0,0,0,0,0,5,3
24 - Τρικάλων,195 E.T. Δήμου Τρικκαίων,385,214,5,1,6,208,66,18,9,18,25,3,3,76,28,1,25,16,35,25,4,1,1,1,0,0,24,1,15,0,5,9,4,20,15,10,1,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,6,0,1,5,1,1,0
24 - Τρικάλων,196 E.T. Δήμου Τρικκαίων,410,283,1,1,2,281,67,1,8,23,14,2,1,123,35,6,40,25,49,35,3,2,2,0,1,0,51,9,21,2,13,16,4,15,7,2,1,3,5,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,2,8,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,4,4
24 - Τρικάλων,197 E.T. Δήμου Τρικκαίων,366,168,0,1,1,167,66,18,8,23,26,10,6,52,23,2,13,10,16,19,1,0,0,1,0,1,20,0,14,1,10,4,3,6,3,0,0,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,3,1,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,10,6,4,1,3,2,1,0,2,0,1,1
24 - Τρικάλων,198 E.T. Δήμου Τρικκαίων,276,120,1,1,2,118,46,17,7,16,9,5,4,47,28,10,4,8,21,8,1,1,0,0,0,0,16,3,6,2,6,10,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
24 - Τρικάλων,199 E.T. Δήμου Τρικκαίων,326,204,3,0,3,201,69,21,6,20,24,2,8,41,12,0,8,5,21,16,1,1,0,0,1,0,14,4,0,0,2,12,3,66,43,6,1,53,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,1,0,0,0,0,2,0
24 - Τρικάλων,200 E.T. Δήμου Τρικκαίων,306,206,3,1,4,202,58,14,7,21,17,0,1,50,9,5,5,17,36,3,3,0,1,0,1,0,24,4,8,1,8,16,0,59,35,17,1,31,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0
24 - Τρικάλων,201 E.T. Δήμου Τρικκαίων,266,166,1,0,1,165,58,16,3,19,21,1,2,54,11,12,17,14,11,10,0,0,0,0,0,0,20,0,5,0,5,9,7,18,7,11,1,1,1,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,2,0,0,1,1,0,1,0,0,1,0,0,0,0,2,1,2,0,0,3,1,0,0,1,1,0,0,1,0,1,0
24 - Τρικάλων,202 E.T. Δήμου Τρικκαίων,354,238,4,3,7,231,65,13,9,27,24,0,1,89,36,9,30,12,39,6,4,0,2,1,0,0,30,9,2,0,8,11,20,25,6,13,1,3,3,4,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,1,0,0,0,3,1,0,0,0,1,0,0,0,2,0,0,1,0,3,1,1,0,1,2,0,0,2,0,3,0
24 - Τρικάλων,203 E.T. Δήμου Τρικκαίων,499,356,1,5,6,350,81,23,4,19,37,1,5,108,22,12,20,40,45,19,5,2,0,0,0,1,25,4,8,0,6,12,4,97,45,39,3,13,5,10,4,0,0,0,1,0,0,0,1,0,0,0,1,1,1,1,8,4,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,1,2,2,1,6,0,0,5,0,6,4
24 - Τρικάλων,204 E.T. Δήμου Τρικκαίων,246,125,2,1,3,122,29,11,3,13,7,2,4,39,13,3,4,8,21,11,1,1,1,0,0,0,22,6,11,0,9,4,3,22,7,9,2,0,2,6,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2
24 - Τρικάλων,205 E.T. Δήμου Τρικκαίων,175,97,0,0,0,97,32,16,4,10,8,2,0,37,13,3,18,1,21,9,1,1,0,0,0,0,13,2,7,2,9,3,1,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4,1,3,4,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
24 - Τρικάλων,206 E.T. Δήμου Τρικκαίων,507,271,6,0,6,265,81,22,14,34,17,8,5,101,24,5,20,19,50,22,8,1,4,2,0,1,27,5,13,2,7,8,5,20,10,6,8,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,2,5,0,3,2,3,0,1,0,1,0,1,0,1,1,0,0,0,8,4,3,1,1,1,0,0,1,0,4,1
24 - Τρικάλων,207 E.T. Δήμου Τρικκαίων,507,266,4,2,6,260,98,30,7,36,27,11,9,95,27,1,23,31,52,14,4,0,0,4,0,0,30,5,17,4,8,12,3,15,5,3,4,3,2,2,0,0,0,0,0,0,0,0,3,1,0,0,0,1,0,0,5,0,1,3,0,2,2,2,0,0,0,1,0,0,0,3,0,0,0,0,3,2,2,0,0,2,0,0,1,0,0,0
24 - Τρικάλων,208 E.T. Δήμου Τρικκαίων,517,305,2,2,4,301,96,30,7,29,24,10,10,123,26,7,31,23,77,22,11,2,6,1,2,2,26,5,10,3,6,10,7,15,10,5,8,0,1,0,5,2,2,2,0,1,0,0,2,0,0,0,1,1,0,0,7,2,0,1,0,2,3,0,0,0,0,0,0,1,0,1,1,1,0,0,4,2,0,1,1,4,0,0,3,0,6,2
24 - Τρικάλων,209 E.T. Δήμου Τρικκαίων,467,214,0,5,5,209,33,4,4,19,7,1,2,85,21,6,35,25,29,8,3,1,1,1,2,1,51,7,28,2,8,17,13,12,10,5,4,1,0,1,6,1,1,1,0,0,1,0,2,0,0,0,0,1,0,0,4,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,2,0,0,0,0,1,0
24 - Τρικάλων,210 E.T. Δήμου Τρικκαίων,485,265,0,0,0,265,83,37,16,16,23,6,12,107,30,6,10,32,72,25,3,1,0,1,0,0,50,10,29,3,3,25,4,8,3,5,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,0,2,0,0,0,0,0,6,2
24 - Τρικάλων,211 E.T. Δήμου Τρικκαίων,420,222,0,1,1,221,71,19,14,26,18,6,12,88,22,3,11,23,52,28,9,1,1,3,1,2,31,5,16,1,3,16,3,12,3,2,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,1,1,0,0,1,0,0,0,0,1,0
24 - Τρικάλων,212 E.T. Δήμου Τρικκαίων,393,241,2,1,3,238,92,39,3,39,29,3,4,52,13,8,16,8,23,14,2,0,0,1,0,0,29,1,5,1,12,10,2,46,29,24,9,2,2,1,3,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,6,4,0,1,1,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
24 - Τρικάλων,213 E.T. Δήμου Τρικκαίων,483,259,1,2,3,256,81,30,5,24,22,5,2,79,28,15,14,12,32,10,7,2,2,0,2,0,31,3,11,3,13,4,4,38,18,21,7,5,3,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,1,1,0,0,1,0,5,4
24 - Τρικάλων,214 E.T. Δήμου Τρικκαίων,388,271,4,2,6,265,48,13,0,20,8,3,7,103,32,7,29,20,57,11,5,0,1,1,2,2,88,21,29,2,30,29,36,7,1,4,1,0,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0,0
24 - Τρικάλων,215 E.T. Δήμου Τρικκαίων,565,363,4,4,8,355,101,29,6,42,33,1,6,182,39,19,46,37,86,48,8,0,1,3,2,3,24,4,6,1,3,9,5,16,10,8,2,3,2,2,2,1,0,2,1,0,0,0,1,0,0,0,0,0,0,0,8,2,4,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,6,0,0,0,0,3,0,0,2,0,3,3
24 - Τρικάλων,216 E.T. Δήμου Τρικκαίων,540,362,4,1,5,357,107,31,10,43,36,5,14,143,41,13,31,40,58,35,8,1,4,2,3,0,30,8,9,1,8,11,5,25,13,10,2,2,3,7,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,18,5,4,2,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,13,1,0,1,4,4,0,0,0,1,5,1
24 - Τρικάλων,217 E.T. Δήμου Τρικκαίων,530,344,5,1,6,338,131,42,12,54,45,3,7,115,33,12,31,23,52,30,7,0,0,1,0,1,22,1,11,0,2,11,2,23,10,8,3,0,4,2,1,0,0,0,0,0,0,0,2,0,0,0,1,1,0,0,12,4,1,0,2,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4,3,2,2,6,0,0,2,2,11,5
24 - Τρικάλων,218 E.T. Δήμου Τρικκαίων,542,345,11,2,13,332,107,35,7,42,31,7,12,134,37,6,28,34,75,31,5,1,1,1,2,0,22,2,11,7,1,10,5,37,15,14,4,3,15,2,4,0,0,1,0,0,0,0,2,0,1,0,2,0,0,0,9,3,0,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,1,1,6,1,1,1,1,2,0,0,0,0,2,1
24 - Τρικάλων,219 E.T. Δήμου Τρικκαίων,540,349,1,3,4,345,107,42,19,36,19,4,8,150,31,10,35,43,81,35,5,1,3,0,3,2,30,1,15,0,13,9,3,12,11,9,1,0,0,1,2,0,0,0,0,0,1,0,3,2,0,0,1,1,0,0,9,4,4,2,1,3,0,3,2,1,0,1,0,0,0,3,0,1,1,1,11,2,2,1,1,4,0,0,1,0,4,3
