ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΟΓΕΡΑ-ΜΙΧΑΛΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Γεωργίου,ΜΙΧΑΗΛΙΔΗΣ ΑΝΔΡΕΑΣ του Φραγκούλη,ΠΕΙΡΑΝΤΑΚΟΥ ΣΕΒΑΣΤΗ του Ιωάννη,ΣΕΡΓΗΣ ΦΡΑΓΚΙΣΚΟΣ του Ευαγγέλου,Νέα Δημοκρατία,ΜΗΤΑΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΝΟΤΗΣ) του Αντωνίου,ΜΙΧΑΗΛΙΔΗΣ ΣΤΑΥΡΟΣ του Γεωργίου,ΜΠΟΥΡΝΙΑ ΙΣΑΒΕΛΛΑ του Αδαμαντίου,ΠΟΤΑΜΟΥΣΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Ηρακλή,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΥΛΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΩΤΙΔΟΥ ΜΑΡΙΑ του Ιωακείμ,ΜΗΝΙΩΤΗΣ ΜΙΧΑΗΛ του Δημητρίου,Κίνημα Αλλαγής,ΑΜΕΝΤΑΣ ΓΕΩΡΓΙΟΣ του Αντωνίου,ΔΑΝΙΗΛ ΕΙΡΗΝΗ του Νικολάου,ΛΑΜΠΡΙΝΟΥΔΗΣ ΠΟΛΥΔΩΡΟΣ του Εμμανουήλ,ΜΑΘΙΟΥΔΗ ΑΜΑΛΙΑ του Ισιδώρου,Κ.Κ.Ε.,ΑΜΠΑΖΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΔΙΑΚΟΡΩΝΑ ΜΑΡΙΑ- ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) συζ. Νικολάου,ΜΙΧΑΛΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Νικολάου,ΠΑΛΗΟΥ ΧΡΙΣΤΙΝΑ - ΕΙΡΗΝΗ του Ιωάννη,Ένωση Κεντρώων,ΔΗΜΟΣ ΒΑΣΙΛΗΣ του Αντωνίου,ΜΑΡΑΤΣΟΥ ΑΝΔΡΟΝΙΚΗ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΟΥΡΙΛΑ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΠΟΣΤΟΛΙΔΗΣ ΖΑΝΝΗΣ του Μικέ,Ελλήνων Συνέλευσις,ΠΑΡΑΣΚΕΥΑΣ ΣΤΕΦΑΝΟΣ του Κοσμά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΔΟΥΡΗΣ ΕΛΕΥΘΕΡΙΟΣ του Ισιδώρου,ΖΗΡΡΙΑ ΕΛΕΝΗ του Γεωργίου,ΚΟΣΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,Κ.Κ.Ε. (μ-λ),ΓΙΑΝΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Απόστολου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΗ ΧΡΥΣΟΥΛΑ του Ιωσήφ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΘΑΝΑΣΙΑΔΟΥ ΚΥΡΙΑΚΗ του Νικολάου,ΜΠΑΛΟΜΟΥΤΣΟΥΝΟΣ ΣΤΑΜΑΤΙΟΣ του Παναγιώτη,Λαϊκή Ενότητα,ΓΟΥΤΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΜέΡΑ25,ΚΙΟΣΠΕΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΣΤΑΥΡΟΥ ΧΡΥΣΑΝΘΗ (ΧΡΥΣΑ) του Κωνσταντίνου,Δημιουργία ξανά - Θ. Τζήμερος,ΝΙΚΟΥ ΠΕΡΙΣΤΕΡΑ του Δημητρίου,ΣΤΑΜΑΤΙΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΡΖΕΝΤΑ ΜΑΡΙΕΤΤΑ του Βιδιάνου
49 - Χίου,65 E.T. Δήμου Χίου,475,186,3,0,3,183,26,4,16,2,1,91,37,36,6,5,8,4,2,2,36,9,0,21,5,2,2,0,0,0,5,0,5,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,2,0,10,8,2,0,0,0,1,1
49 - Χίου,66 E.T. Δήμου Χίου,150,40,0,0,0,40,6,1,0,0,0,14,0,10,1,3,4,2,0,0,10,2,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
49 - Χίου,67 E.T. Δήμου Χίου,420,358,15,3,18,340,100,10,54,9,5,126,58,42,10,2,17,8,1,0,43,17,1,23,1,13,4,0,2,1,2,0,1,0,0,1,1,0,0,9,0,0,0,1,0,0,0,3,1,0,2,1,15,1,2,2,0,1,6,3
49 - Χίου,68 E.T. Δήμου Χίου,362,95,0,2,2,93,17,2,9,2,0,25,3,12,6,2,2,2,0,0,37,10,2,25,0,3,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,0,0,0,1,0
49 - Χίου,69 E.T. Δήμου Χίου,479,213,2,1,3,210,21,0,15,2,4,109,49,43,16,1,4,2,0,0,61,12,0,49,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,8,1,1,0,0,0,0,0
49 - Χίου,70 E.T. Δήμου Χίου,523,240,2,0,2,238,49,1,4,36,2,127,86,33,3,1,6,2,1,0,42,14,0,23,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,6,0,1,4,2,0,0,0
49 - Χίου,71 E.T. Δήμου Χίου,538,262,4,0,4,258,66,3,10,47,2,127,83,32,10,0,1,0,0,0,43,20,0,21,1,7,3,0,1,0,0,0,0,0,0,0,0,1,0,4,2,1,0,1,1,0,0,3,2,0,0,0,2,0,0,3,0,0,0,0
49 - Χίου,72 E.T. Δήμου Χίου,350,126,1,2,3,123,17,3,14,0,0,74,43,27,1,3,2,2,0,0,23,1,0,21,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,2,1
49 - Χίου,73 E.T. Δήμου Χίου,368,166,1,0,1,165,31,7,15,0,2,83,60,19,4,0,5,1,0,1,31,2,0,28,0,3,3,0,0,0,1,0,0,0,0,0,0,0,0,6,4,0,1,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0
49 - Χίου,74 E.T. Δήμου Χίου,317,131,0,0,0,131,25,5,7,3,1,54,32,12,1,4,1,0,0,0,32,6,0,18,3,3,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,2,1,9,1,3,1,0,0,1,0
49 - Χίου,75 E.T. Δήμου Χίου,392,190,4,1,5,185,37,7,9,1,6,93,44,34,9,1,5,4,0,1,37,4,0,31,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,2,1,1,0,0,1,0
49 - Χίου,76 E.T. Δήμου Χίου,464,206,6,1,7,199,30,7,10,11,0,113,80,22,7,0,8,1,1,1,31,6,0,24,0,5,2,1,0,2,2,2,0,0,0,0,0,0,0,6,0,2,3,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0
49 - Χίου,77 E.T. Δήμου Χίου,146,60,3,0,3,57,6,1,4,1,0,31,19,9,1,0,0,0,0,0,10,0,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,1,4,0,0,0,1,1
49 - Χίου,78 E.T. Δήμου Χίου,394,212,1,1,2,210,35,6,17,4,2,114,36,65,9,0,4,1,0,1,43,9,0,34,0,2,0,0,0,0,2,2,0,0,0,1,1,0,0,5,1,1,1,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,2,1
49 - Χίου,79 E.T. Δήμου Χίου,453,252,2,4,6,246,34,4,16,5,3,128,65,47,6,2,5,2,0,0,64,4,0,55,0,3,0,0,0,0,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,1,1
49 - Χίου,80 E.T. Δήμου Χίου,416,253,2,3,5,248,32,7,12,8,4,138,56,69,1,0,4,1,1,0,50,14,0,33,0,9,4,1,0,1,1,0,1,0,0,0,0,0,0,11,4,3,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1
49 - Χίου,81 E.T. Δήμου Χίου,547,269,3,7,10,259,73,12,32,5,7,90,38,34,13,1,3,0,3,0,35,14,2,15,4,21,7,1,8,2,7,3,0,0,0,1,0,0,0,7,3,1,0,0,0,0,0,1,0,0,1,0,12,3,2,2,0,1,6,3
49 - Χίου,82 E.T. Δήμου Χίου,559,246,1,1,2,244,45,6,18,1,11,114,53,39,16,2,4,1,0,0,41,15,1,11,10,13,3,0,3,5,4,2,1,0,0,0,0,0,0,8,1,4,2,1,0,0,0,1,1,0,2,2,6,1,1,1,0,0,4,1
49 - Χίου,83 E.T. Δήμου Χίου,558,264,7,3,10,254,64,11,34,1,10,113,69,29,6,1,9,5,2,0,33,8,0,19,4,9,1,0,3,5,3,2,1,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,1,1,13,3,9,1,1,0,4,4
49 - Χίου,84 E.T. Δήμου Χίου,546,272,1,1,2,270,49,5,30,2,3,139,79,39,15,2,11,5,2,2,35,15,2,11,4,19,2,1,4,8,5,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,6,1,2,1,1,0,3,1
49 - Χίου,85 E.T. Δήμου Χίου,545,277,10,3,13,264,51,8,22,4,8,129,63,39,18,2,5,0,2,1,36,7,0,10,15,15,6,1,1,6,3,2,0,0,0,0,0,0,0,10,4,0,3,0,0,0,0,1,1,0,0,0,8,1,2,2,1,0,4,3
49 - Χίου,86 E.T. Δήμου Χίου,564,256,1,2,3,253,76,13,45,0,8,118,73,22,15,2,5,3,0,1,23,11,0,8,2,13,4,1,2,3,4,1,3,0,0,0,0,0,0,6,1,1,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,4,3
49 - Χίου,87 E.T. Δήμου Χίου,533,245,3,1,4,241,65,15,35,3,2,104,54,32,13,2,5,2,0,0,27,9,0,14,3,21,4,2,1,8,1,1,0,0,0,0,0,1,1,3,1,0,1,0,0,0,0,1,0,0,0,0,4,1,2,4,0,1,5,4
49 - Χίου,88 E.T. Δήμου Χίου,539,251,5,3,8,243,62,13,35,3,7,110,60,31,12,4,10,5,0,2,28,17,0,7,4,11,3,1,4,2,3,0,1,0,0,0,0,0,0,10,2,2,4,0,0,0,0,0,0,0,0,0,5,1,3,1,0,0,3,1
49 - Χίου,89 E.T. Δήμου Χίου,546,282,7,2,9,273,58,9,23,1,7,114,35,52,18,3,3,1,0,0,42,12,1,24,4,29,4,0,12,5,3,1,0,0,0,0,0,0,0,7,3,1,2,0,0,0,0,0,0,0,0,0,11,1,2,3,1,1,3,0
49 - Χίου,90 E.T. Δήμου Χίου,535,261,1,4,5,256,49,13,24,1,2,118,63,36,15,1,0,0,0,0,40,19,1,14,4,26,7,1,7,6,2,0,0,0,0,1,0,0,0,7,2,1,3,0,0,0,0,0,0,0,3,1,8,1,2,1,0,0,1,0
49 - Χίου,91 E.T. Δήμου Χίου,554,267,2,0,2,265,60,5,35,0,13,122,63,40,10,4,6,3,0,2,25,7,1,12,2,30,14,0,7,4,3,0,1,0,0,0,0,0,0,3,1,0,1,1,0,2,0,0,0,0,0,0,8,2,2,2,1,1,3,0
49 - Χίου,92 E.T. Δήμου Χίου,57,21,0,0,0,21,5,1,3,1,0,4,3,1,0,0,1,0,0,0,4,1,0,3,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
49 - Χίου,93 E.T. Δήμου Χίου,189,70,2,0,2,68,11,1,4,0,3,37,25,5,7,0,0,0,0,0,14,0,0,13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
49 - Χίου,94 E.T. Δήμου Χίου,513,226,3,1,4,222,34,1,25,0,3,130,82,30,12,2,10,8,1,0,27,3,0,11,12,6,5,0,0,0,2,0,0,0,0,1,1,0,0,7,2,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,2
49 - Χίου,95 E.T. Δήμου Χίου,436,195,5,1,6,189,26,1,17,1,1,109,68,19,18,0,10,1,4,0,27,1,0,22,3,2,2,0,0,0,2,0,1,0,0,0,0,0,0,7,1,1,4,0,0,0,0,1,1,0,1,0,2,1,1,0,0,0,2,1
49 - Χίου,96 E.T. Δήμου Χίου,486,366,7,5,12,354,74,8,44,2,7,85,44,18,8,2,25,8,3,2,67,9,0,43,9,56,23,5,11,6,6,2,0,0,0,4,2,0,0,12,7,3,0,1,1,0,0,2,1,0,2,0,13,3,4,1,0,0,6,2
49 - Χίου,97 E.T. Δήμου Χίου,457,296,4,0,4,292,65,2,44,3,3,86,45,24,9,0,4,0,2,1,69,11,2,46,7,43,23,0,8,8,5,3,0,0,0,1,0,0,0,2,2,0,0,0,0,1,0,1,1,0,4,1,6,1,0,1,1,0,4,1
49 - Χίου,98 E.T. Δήμου Χίου,224,129,4,1,5,124,52,6,25,3,10,38,19,9,8,0,2,0,1,1,14,5,0,3,2,8,4,0,2,0,0,0,0,2,1,0,0,0,0,2,0,0,2,1,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0
49 - Χίου,99 E.T. Δήμου Χίου,389,233,1,1,2,231,41,3,23,3,1,84,42,30,6,3,3,0,0,0,69,11,1,35,20,26,21,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,3,0,2,0,0,0,3,1
49 - Χίου,100 E.T. Δήμου Χίου,323,216,2,1,3,213,32,1,27,0,0,90,31,38,10,2,2,1,0,0,48,14,0,20,12,25,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,3,1,0,0,0,9,6
49 - Χίου,101 E.T. Δήμου Χίου,507,221,1,0,1,220,59,12,25,2,4,94,42,34,10,0,5,2,0,0,37,9,0,23,2,7,2,1,1,2,4,1,0,0,0,0,0,0,0,5,0,1,2,0,0,1,0,1,0,0,0,0,3,1,1,0,0,0,4,1
49 - Χίου,102 E.T. Δήμου Χίου,518,274,6,7,13,261,58,11,27,1,5,108,49,34,18,1,7,4,1,1,40,11,2,21,2,12,7,1,0,1,6,1,0,0,0,0,0,3,2,9,3,1,1,0,0,0,0,0,0,0,1,0,10,2,2,3,0,0,4,1
49 - Χίου,103 E.T. Δήμου Χίου,505,310,0,4,4,306,87,10,42,3,7,135,56,51,17,1,10,6,1,0,45,17,0,23,1,6,2,1,1,0,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,10,1,3,1,0,0,6,2
49 - Χίου,104 E.T. Δήμου Χίου,511,309,9,3,12,297,89,11,58,3,3,122,65,42,12,2,7,6,1,0,34,20,0,10,2,12,5,1,0,2,6,2,0,0,0,1,0,0,0,6,2,1,2,0,0,0,0,0,0,0,0,0,9,3,3,4,0,1,7,2
49 - Χίου,105 E.T. Δήμου Χίου,513,330,4,3,7,323,85,13,41,3,8,141,70,43,17,1,13,10,0,0,34,10,0,19,1,20,6,3,1,1,5,1,2,0,0,1,0,0,0,5,1,0,2,1,1,0,0,0,0,0,0,0,10,1,3,3,0,1,5,2
49 - Χίου,106 E.T. Δήμου Χίου,497,302,2,4,6,296,57,15,22,0,0,144,66,65,6,0,18,8,1,4,29,6,0,22,0,16,8,1,2,1,5,2,2,0,0,2,0,0,0,8,1,3,1,0,0,0,0,0,0,0,1,0,8,1,6,2,1,0,6,3
49 - Χίου,107 E.T. Δήμου Χίου,504,424,9,8,17,407,107,19,48,4,9,176,92,52,15,5,15,4,2,2,35,13,1,20,1,22,13,1,4,1,8,2,4,0,0,0,0,2,1,14,6,2,2,0,0,1,0,4,3,0,1,1,12,7,2,2,0,1,8,5
49 - Χίου,108 E.T. Δήμου Χίου,508,294,8,2,10,284,87,17,42,5,4,125,60,40,18,0,7,4,0,2,24,6,0,16,0,10,5,0,1,0,10,2,1,0,0,2,1,0,0,6,3,1,2,0,0,0,0,1,1,0,0,0,7,2,0,1,0,0,4,2
49 - Χίου,109 E.T. Δήμου Χίου,507,300,8,7,15,285,73,10,42,1,4,116,52,41,18,1,11,5,1,2,45,13,1,28,1,9,1,0,3,2,7,1,2,0,0,1,1,0,0,7,1,1,3,0,0,0,0,0,0,0,1,1,5,0,3,3,1,0,7,2
49 - Χίου,110 E.T. Δήμου Χίου,541,344,3,5,8,336,71,7,35,0,8,149,77,48,14,1,13,6,2,1,46,17,0,23,2,8,3,1,1,1,6,2,1,0,0,0,0,0,0,13,2,4,2,0,0,0,0,6,0,0,0,0,14,3,2,2,1,1,8,4
49 - Χίου,111 E.T. Δήμου Χίου,548,278,4,3,7,271,67,10,28,3,7,105,35,43,12,0,10,10,0,0,54,18,1,27,6,10,4,1,0,2,3,0,3,0,0,0,0,1,1,9,0,1,2,0,0,0,0,0,0,0,1,1,3,1,0,3,2,0,5,4
49 - Χίου,112 E.T. Δήμου Χίου,554,264,1,1,2,262,61,16,30,2,0,114,62,38,9,0,9,6,1,1,35,12,0,19,0,15,11,0,2,0,1,1,0,0,0,0,0,1,0,5,1,1,0,0,0,0,0,1,0,0,4,2,12,2,5,2,1,0,2,1
49 - Χίου,113 E.T. Δήμου Χίου,562,238,4,4,8,230,57,7,23,2,6,101,63,26,10,1,6,4,1,0,31,9,4,15,0,9,4,1,0,1,3,0,2,0,0,1,0,0,0,6,1,0,0,0,0,0,0,1,0,0,0,0,9,2,3,2,1,0,4,3
49 - Χίου,114 E.T. Δήμου Χίου,520,187,6,2,8,179,51,11,27,2,7,71,37,23,7,2,8,6,2,0,19,3,4,10,0,9,2,3,1,2,0,0,0,1,0,0,0,0,0,5,1,1,2,0,0,1,1,1,1,0,5,4,6,0,4,0,0,0,2,1
49 - Χίου,115 E.T. Δήμου Χίου,523,244,3,0,3,241,53,10,26,0,4,119,50,49,10,3,9,3,2,1,22,11,0,8,1,11,4,0,2,2,5,1,3,0,0,0,0,0,0,10,3,1,3,0,0,0,0,2,1,0,0,0,7,0,0,0,0,0,3,2
49 - Χίου,116 E.T. Δήμου Χίου,530,199,2,1,3,196,52,7,32,0,1,97,47,36,6,0,7,4,1,2,13,3,1,5,0,3,1,0,1,0,1,0,1,0,0,1,1,0,0,7,3,1,0,0,0,1,0,2,2,0,1,0,8,2,2,0,0,0,3,3
49 - Χίου,117 E.T. Δήμου Χίου,563,187,3,1,4,183,55,7,24,2,8,66,37,14,5,3,3,1,1,0,27,7,0,16,3,10,4,1,0,0,3,1,1,0,0,3,1,0,0,2,0,1,0,0,0,0,0,2,1,1,1,0,8,2,4,1,0,0,2,1
49 - Χίου,118 E.T. Δήμου Χίου,541,215,1,1,2,213,52,8,29,2,2,101,58,39,2,0,7,3,1,1,26,10,0,15,0,9,5,0,2,2,1,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,11,1,7,1,1,0,1,1
49 - Χίου,119 E.T. Δήμου Χίου,560,210,4,3,7,203,57,7,27,2,15,94,38,40,9,6,3,0,2,0,20,7,0,7,0,5,1,1,0,1,5,2,1,0,0,0,0,0,0,9,4,2,2,0,0,0,0,0,0,0,1,1,6,1,4,0,0,0,3,1
49 - Χίου,120 E.T. Δήμου Χίου,555,193,4,0,4,189,53,10,26,2,3,76,39,28,5,0,5,1,1,1,24,7,0,16,0,11,5,1,0,2,3,2,0,0,0,0,0,0,0,3,1,0,0,1,0,1,1,0,0,0,0,0,5,0,3,0,0,0,7,5
49 - Χίου,121 E.T. Δήμου Χίου,562,225,3,1,4,221,63,12,35,3,3,87,27,37,16,2,10,6,1,2,30,12,2,9,5,10,4,2,1,2,3,2,1,0,0,0,0,0,0,4,1,1,0,0,0,0,0,2,1,0,0,0,10,3,2,0,0,0,2,1
49 - Χίου,122 E.T. Δήμου Χίου,558,230,4,1,5,225,56,12,25,0,5,110,55,38,11,0,14,8,1,5,18,6,0,12,0,9,6,1,2,0,1,1,0,0,0,0,0,2,1,5,2,3,0,0,0,0,0,0,0,0,1,0,4,1,2,0,0,0,5,2
49 - Χίου,123 E.T. Δήμου Χίου,558,219,7,0,7,212,59,8,33,4,2,75,45,24,4,1,10,4,0,1,29,5,0,14,5,12,5,2,1,1,2,0,1,0,0,0,0,0,0,8,1,1,3,0,0,0,0,1,1,0,0,0,9,0,3,4,1,0,3,2
49 - Χίου,124 E.T. Δήμου Χίου,546,200,1,2,3,197,54,9,29,2,3,92,33,28,23,0,5,2,1,0,18,5,1,6,0,12,8,0,0,0,1,0,0,0,0,0,0,0,0,5,2,0,1,1,0,0,0,0,0,0,0,0,7,1,3,0,0,0,2,0
49 - Χίου,125 E.T. Δήμου Χίου,559,273,5,5,10,263,66,12,23,2,2,104,37,50,3,2,13,6,3,0,31,7,3,15,0,18,5,4,0,2,5,2,1,0,0,1,0,0,0,12,3,0,2,0,0,0,0,1,0,0,0,0,4,2,0,2,0,1,6,5
49 - Χίου,126 E.T. Δήμου Χίου,541,247,4,7,11,236,61,11,35,2,0,108,49,40,6,6,7,1,4,1,22,5,1,15,0,6,5,1,0,0,3,2,1,0,0,0,0,0,0,12,4,3,1,0,0,0,0,3,0,0,1,1,7,4,1,2,1,1,4,2
49 - Χίου,127 E.T. Δήμου Χίου,520,224,4,3,7,217,51,6,24,2,6,98,40,36,10,3,8,4,0,1,21,9,1,11,0,16,7,1,2,4,4,2,1,0,0,0,0,0,0,6,3,1,1,0,0,0,0,2,1,0,0,0,7,4,1,1,0,1,3,2
49 - Χίου,128 E.T. Δήμου Χίου,559,234,11,6,17,217,57,4,26,6,4,103,54,35,9,1,11,4,1,0,14,2,0,8,2,10,5,2,0,2,3,1,2,0,0,0,0,0,0,9,2,1,1,0,0,0,0,1,0,0,1,0,4,1,0,2,1,0,2,1
49 - Χίου,129 E.T. Δήμου Χίου,558,240,3,1,4,236,53,9,26,0,9,101,43,38,13,1,10,3,1,0,36,4,1,29,1,13,7,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,1,9,1,1,0,0,0,4,4
49 - Χίου,130 E.T. Δήμου Χίου,531,242,6,2,8,234,59,8,35,3,5,110,45,42,13,2,8,5,0,0,22,1,1,18,2,11,3,0,1,2,2,1,1,0,0,1,0,0,0,10,0,1,3,0,0,0,0,0,0,0,0,0,9,3,5,1,0,0,1,0
49 - Χίου,131 E.T. Δήμου Χίου,541,215,3,1,4,211,57,8,31,4,3,91,52,27,6,1,4,3,0,1,18,6,0,12,0,9,5,1,1,1,3,1,2,0,0,0,0,0,0,8,3,0,2,0,0,0,0,1,0,0,0,0,16,2,6,0,0,0,4,4
49 - Χίου,132 E.T. Δήμου Χίου,555,234,5,0,5,229,67,13,34,2,1,110,54,43,4,2,6,3,0,2,20,7,0,12,0,10,3,0,2,1,4,1,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,1,1,0,0,0,6,2,0,0,0,0,2,1
49 - Χίου,133 E.T. Δήμου Χίου,529,347,3,2,5,342,73,14,34,5,2,167,71,73,10,3,7,3,0,0,37,7,0,24,1,23,6,3,3,5,5,1,0,0,0,0,0,2,1,11,1,1,3,0,0,0,0,3,0,2,0,0,12,1,5,0,0,0,2,1
49 - Χίου,134 E.T. Δήμου Χίου,537,341,6,2,8,333,81,6,38,7,5,134,54,58,9,3,12,7,2,1,57,15,4,31,2,10,4,0,0,2,2,1,1,0,0,1,0,0,0,6,1,2,0,0,0,0,0,0,0,0,0,0,19,1,6,4,1,2,7,0
49 - Χίου,135 E.T. Δήμου Χίου,543,345,7,3,10,335,69,19,24,5,8,167,84,56,15,3,15,4,3,3,22,6,1,12,2,23,5,1,3,3,2,0,2,0,0,3,1,0,0,9,1,1,4,0,0,1,0,0,0,0,0,0,19,3,4,2,0,0,3,3
49 - Χίου,136 E.T. Δήμου Χίου,530,337,4,6,10,327,89,11,52,2,7,137,65,45,13,1,13,7,0,2,37,10,4,20,1,13,4,1,4,2,5,1,2,1,0,0,0,0,0,8,1,5,1,0,0,0,0,1,0,0,0,0,9,1,3,2,0,1,12,6
49 - Χίου,137 E.T. Δήμου Χίου,531,345,3,4,7,338,76,8,48,3,3,151,73,56,12,2,14,4,2,1,41,17,0,21,1,18,4,1,4,3,8,2,2,1,1,0,0,0,0,8,2,1,3,0,0,0,0,4,3,0,1,1,11,2,4,1,0,0,4,0
49 - Χίου,138 E.T. Δήμου Χίου,531,337,4,2,6,331,76,11,35,5,9,152,72,44,16,3,9,5,1,0,33,10,0,22,1,20,6,0,1,2,12,4,3,0,0,0,0,0,0,12,4,2,1,0,0,2,0,2,0,0,1,0,6,1,1,0,0,0,6,3
49 - Χίου,139 E.T. Δήμου Χίου,542,299,1,3,4,295,80,10,40,4,8,143,65,56,11,3,6,2,1,0,22,5,1,15,0,9,1,0,0,1,4,0,1,0,0,1,1,0,0,7,3,1,2,1,0,0,0,2,1,0,0,0,11,2,4,0,0,0,9,5
49 - Χίου,140 E.T. Δήμου Χίου,526,333,20,4,24,309,77,12,32,7,11,128,61,48,9,8,8,6,0,0,51,25,1,23,1,20,4,0,3,5,2,0,0,0,0,0,0,0,0,3,2,0,0,1,0,1,1,3,2,0,0,0,11,2,5,0,0,0,4,3
49 - Χίου,141 E.T. Δήμου Χίου,549,335,8,3,11,324,79,14,41,1,6,138,72,52,8,0,7,4,1,1,41,6,0,30,2,22,6,2,1,6,5,2,1,1,0,1,0,3,2,6,2,3,0,1,1,1,1,1,1,0,2,1,9,1,3,2,1,0,5,2
49 - Χίου,142 E.T. Δήμου Χίου,552,436,11,3,14,422,107,19,44,4,10,182,80,68,12,1,24,7,2,2,43,13,1,21,1,12,1,0,3,3,7,1,3,0,0,1,0,0,0,17,4,5,3,0,0,0,0,0,0,0,1,1,20,2,8,3,0,2,5,2
49 - Χίου,143 E.T. Δήμου Χίου,563,445,5,6,11,434,105,20,48,4,5,195,90,68,7,6,16,8,1,3,39,16,0,15,2,23,8,4,2,3,11,4,0,0,0,1,0,4,3,10,4,1,2,0,0,0,0,0,0,0,2,0,15,3,4,2,1,0,11,3
49 - Χίου,145 E.T. Δήμου Ηρωικής Νήσου Ψαρών,298,175,1,1,2,173,53,9,30,3,5,86,46,30,3,0,7,2,0,1,11,2,0,9,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,7,1,2,1,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,3,3
