ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΟΓΕΡΑ-ΜΙΧΑΛΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Γεωργίου,ΜΙΧΑΗΛΙΔΗΣ ΑΝΔΡΕΑΣ του Φραγκούλη,ΠΕΙΡΑΝΤΑΚΟΥ ΣΕΒΑΣΤΗ του Ιωάννη,ΣΕΡΓΗΣ ΦΡΑΓΚΙΣΚΟΣ του Ευαγγέλου,Νέα Δημοκρατία,ΜΗΤΑΡΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΝΟΤΗΣ) του Αντωνίου,ΜΙΧΑΗΛΙΔΗΣ ΣΤΑΥΡΟΣ του Γεωργίου,ΜΠΟΥΡΝΙΑ ΙΣΑΒΕΛΛΑ του Αδαμαντίου,ΠΟΤΑΜΟΥΣΗ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Ηρακλή,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΟΥΛΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΩΤΙΔΟΥ ΜΑΡΙΑ του Ιωακείμ,ΜΗΝΙΩΤΗΣ ΜΙΧΑΗΛ του Δημητρίου,Κίνημα Αλλαγής,ΑΜΕΝΤΑΣ ΓΕΩΡΓΙΟΣ του Αντωνίου,ΔΑΝΙΗΛ ΕΙΡΗΝΗ του Νικολάου,ΛΑΜΠΡΙΝΟΥΔΗΣ ΠΟΛΥΔΩΡΟΣ του Εμμανουήλ,ΜΑΘΙΟΥΔΗ ΑΜΑΛΙΑ του Ισιδώρου,Κ.Κ.Ε.,ΑΜΠΑΖΗΣ ΓΕΩΡΓΙΟΣ του Ηλία,ΔΙΑΚΟΡΩΝΑ ΜΑΡΙΑ- ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) συζ. Νικολάου,ΜΙΧΑΛΑΚΗΣ ΑΡΙΣΤΕΙΔΗΣ (ΑΡΗΣ) του Νικολάου,ΠΑΛΗΟΥ ΧΡΙΣΤΙΝΑ - ΕΙΡΗΝΗ του Ιωάννη,Ένωση Κεντρώων,ΔΗΜΟΣ ΒΑΣΙΛΗΣ του Αντωνίου,ΜΑΡΑΤΣΟΥ ΑΝΔΡΟΝΙΚΗ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΟΥΡΙΛΑ ΑΝΑΣΤΑΣΙΑ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΠΟΣΤΟΛΙΔΗΣ ΖΑΝΝΗΣ του Μικέ,Ελλήνων Συνέλευσις,ΠΑΡΑΣΚΕΥΑΣ ΣΤΕΦΑΝΟΣ του Κοσμά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΔΟΥΡΗΣ ΕΛΕΥΘΕΡΙΟΣ του Ισιδώρου,ΖΗΡΡΙΑ ΕΛΕΝΗ του Γεωργίου,ΚΟΣΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,Κ.Κ.Ε. (μ-λ),ΓΙΑΝΝΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Απόστολου,Μ-Λ Κ.Κ.Ε.,ΣΤΑΥΡΙΔΗ ΧΡΥΣΟΥΛΑ του Ιωσήφ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΘΑΝΑΣΙΑΔΟΥ ΚΥΡΙΑΚΗ του Νικολάου,ΜΠΑΛΟΜΟΥΤΣΟΥΝΟΣ ΣΤΑΜΑΤΙΟΣ του Παναγιώτη,Λαϊκή Ενότητα,ΓΟΥΤΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΜέΡΑ25,ΚΙΟΣΠΕΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΣΤΑΥΡΟΥ ΧΡΥΣΑΝΘΗ (ΧΡΥΣΑ) του Κωνσταντίνου,Δημιουργία ξανά - Θ. Τζήμερος,ΝΙΚΟΥ ΠΕΡΙΣΤΕΡΑ του Δημητρίου,ΣΤΑΜΑΤΙΟΥ ΧΡΗΣΤΟΣ του Ιωάννη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΡΖΕΝΤΑ ΜΑΡΙΕΤΤΑ του Βιδιάνου
49 - Χίου,34 E.T. Δήμου Χίου,431,176,1,1,2,174,31,5,9,0,1,86,66,10,4,0,5,3,0,1,30,2,0,27,0,10,2,0,3,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,7,4,1,0,0,0,1,0
49 - Χίου,35 E.T. Δήμου Χίου,478,270,4,2,6,264,66,11,29,5,2,112,50,44,5,2,7,4,1,2,51,18,0,28,0,13,4,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,8,0,4,0,0,0,4,2
49 - Χίου,36 E.T. Δήμου Χίου,183,111,5,4,9,102,17,2,5,2,3,48,15,24,7,0,1,1,0,0,19,10,0,9,0,4,0,1,0,0,5,0,2,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,2,0
49 - Χίου,37 E.T. Δήμου Χίου,310,154,4,2,6,148,28,11,10,1,1,66,37,20,5,0,1,0,0,0,29,19,0,9,1,14,6,4,1,2,2,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,5,1,3,0,0,0,2,0
49 - Χίου,38 E.T. Δήμου Χίου,142,58,0,0,0,58,12,0,10,0,0,33,22,10,0,0,0,0,0,0,7,3,0,3,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
49 - Χίου,39 E.T. Δήμου Χίου,513,316,2,4,6,310,67,10,32,5,4,103,49,32,8,4,5,0,0,1,62,16,0,36,0,34,17,2,4,2,6,3,1,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,2,0,16,1,6,6,0,0,3,1
49 - Χίου,40 E.T. Δήμου Χίου,600,411,2,2,4,407,77,19,29,12,0,179,88,74,3,6,7,4,1,0,66,25,0,35,2,35,17,0,7,3,6,4,2,1,0,0,0,0,0,18,5,6,0,0,0,0,0,0,0,0,1,0,12,4,3,2,0,0,3,2
49 - Χίου,41 E.T. Δήμου Χίου,79,52,0,0,0,52,11,1,5,1,2,15,2,11,0,1,0,0,0,0,14,6,0,7,1,6,5,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,1,1
49 - Χίου,42 E.T. Δήμου Χίου,107,71,0,0,0,71,28,0,15,7,0,18,6,11,1,0,2,0,0,1,15,3,0,10,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
49 - Χίου,43 E.T. Δήμου Χίου,313,271,11,0,11,260,45,7,18,3,5,83,46,19,8,3,20,12,4,0,71,6,0,61,2,7,3,0,2,0,5,3,1,1,0,0,0,2,0,12,2,2,1,0,0,0,0,1,0,0,0,0,6,0,2,1,1,0,6,4
49 - Χίου,44 E.T. Δήμου Χίου,354,303,2,2,4,299,40,6,21,0,1,124,63,38,10,0,14,5,3,1,81,11,0,66,2,11,2,2,3,1,6,5,1,0,0,2,0,2,2,5,2,1,1,1,1,0,0,1,0,1,2,1,5,1,0,3,1,0,2,2
49 - Χίου,45 E.T. Δήμου Χίου,301,146,1,6,7,139,23,5,9,1,0,56,29,24,2,0,8,5,0,1,43,4,0,36,1,4,2,1,0,0,2,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0
49 - Χίου,46 E.T. Δήμου Χίου,451,261,3,3,6,255,45,2,24,3,6,106,40,34,18,3,5,0,2,0,58,15,1,40,1,11,7,0,0,3,1,0,1,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,0,0,1,1,10,5,1,5,2,1,7,4
49 - Χίου,47 E.T. Δήμου Χίου,250,169,2,0,2,167,32,2,23,0,2,67,36,24,2,0,8,2,0,1,41,4,1,36,0,1,0,0,1,0,7,3,0,0,0,0,0,0,0,4,1,0,2,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,4,3
49 - Χίου,48 E.T. Δήμου Χίου,391,216,2,1,3,213,25,5,10,0,5,42,30,7,3,0,5,5,0,0,131,3,0,123,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,1,0,1,0,0,3,0,3,0,0,0,1,1
49 - Χίου,49 E.T. Δήμου Χίου,297,152,1,2,3,149,26,2,16,0,3,45,29,3,7,2,0,0,0,0,69,0,0,66,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,3,2,1,1,0,0,0,0
49 - Χίου,50 E.T. Δήμου Χίου,185,194,7,2,9,185,32,6,15,0,4,80,40,22,6,1,11,5,2,0,26,7,1,17,1,5,3,0,1,0,3,1,2,0,0,1,1,0,0,10,4,1,3,0,0,0,0,4,1,1,1,0,7,0,1,0,0,0,5,3
49 - Χίου,51 E.T. Δήμου Χίου,480,157,5,0,5,152,22,3,12,0,1,70,50,16,4,0,2,0,0,0,47,16,0,26,1,7,5,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
49 - Χίου,52 E.T. Δήμου Χίου,480,201,0,1,1,200,33,3,20,2,1,101,66,30,2,1,3,2,0,0,41,7,0,32,0,3,2,1,0,0,3,1,0,0,0,0,0,0,0,8,0,1,1,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,1,1
49 - Χίου,53 E.T. Δήμου Χίου,489,184,3,0,3,181,23,2,13,1,3,92,70,16,3,0,5,2,0,0,43,19,1,21,1,5,3,1,0,1,3,2,1,1,0,0,0,0,0,5,1,0,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0
49 - Χίου,54 E.T. Δήμου Χίου,452,208,5,5,10,198,51,6,25,2,2,90,39,32,7,0,16,5,3,2,9,3,0,5,1,6,2,0,1,1,6,1,2,0,0,0,0,0,0,5,2,0,0,0,0,0,0,5,2,1,2,0,2,1,1,1,0,0,5,4
49 - Χίου,55 E.T. Δήμου Χίου,493,127,2,0,2,125,33,5,21,1,0,66,23,36,5,0,3,2,1,0,7,3,0,4,0,5,2,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,3,1,1,0,0,3,1
49 - Χίου,56 E.T. Δήμου Χίου,492,130,0,2,2,128,38,3,26,0,2,56,33,17,3,1,4,3,1,0,13,2,0,11,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,7,1,1,1,1,0,4,4
49 - Χίου,57 E.T. Δήμου Χίου,485,172,0,1,1,171,38,3,22,2,9,89,50,33,3,0,3,1,1,1,16,6,0,4,4,7,4,0,0,2,3,0,1,0,0,3,0,0,0,1,1,0,0,0,0,0,0,2,0,2,0,0,6,0,1,1,1,0,2,2
49 - Χίου,58 E.T. Δήμου Χίου,482,152,5,0,5,147,39,7,24,1,0,71,32,23,13,0,2,0,1,0,16,5,0,9,1,5,2,0,1,1,3,1,2,0,0,2,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,1,1
49 - Χίου,59 E.T. Δήμου Χίου,467,107,1,0,1,106,37,6,23,1,2,40,21,17,1,0,4,2,0,0,10,5,0,5,0,4,1,1,0,0,2,1,1,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,3
49 - Χίου,60 E.T. Δήμου Χίου,483,152,0,1,1,151,34,12,15,1,2,69,39,27,2,0,4,2,0,0,25,6,1,13,3,8,2,1,1,1,2,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,1,1,0,0,0,2,0,1,3,1,0,1,1
49 - Χίου,61 E.T. Δήμου Χίου,450,151,0,0,0,151,34,7,16,1,5,75,34,33,3,1,0,0,0,0,23,5,0,9,4,9,0,2,1,1,2,2,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,0,1,1
49 - Χίου,62 E.T. Δήμου Χίου,397,143,1,0,1,142,31,4,15,1,5,78,25,39,2,6,0,0,0,0,30,6,0,18,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49 - Χίου,63 E.T. Δήμου Χίου,362,112,0,1,1,111,14,5,5,0,0,44,20,18,4,0,2,2,0,0,35,10,0,14,10,8,7,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,3,2,0,0,0,0,0
49 - Χίου,64 E.T. Δήμου Χίου,457,51,0,0,0,51,9,3,4,1,1,29,13,15,1,0,0,0,0,0,12,8,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
