ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΤΙΑΝΟΣ ΔΙΟΝΥΣΙΟΣ-ΧΑΡΑΛΑΜΠΟΣ του Χρήστου,ΜΠΑΛΑΟΥΡΑΣ ΓΕΡΑΣΙΜΟΣ (ΜΑΚΗΣ) του Δημητρίου,ΜΠΑΞΕΒΑΝΑΚΗΣ ΔΗΜΗΤΡΙΟΣ του Σόλωνα,ΝΟΤΑΡΑ ΚΑΤΕΡΙΝΑ-ΜΥΡΤΩ του Σταύρου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΠΑΡΑΣΚΕΥΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Γεωργίου,ΤΖΑΜΠΑΖΗ ΜΑΡΙΑ του Ηλία,Νέα Δημοκρατία,ΑΥΓΕΡΙΝΟΠΟΥΛΟΥ ΔΙΟΝΥΣΙΑ-ΘΕΟΔΩΡΑ του Ζήσιμου,ΚΑΣΤΡΙΝΟΣ ΑΛΕΞΙΟΣ του Αθανασίου,ΚΟΝΤΟΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΙΚΟΛΑΚΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Θεοδώρου,ΝΙΚΟΛΟΠΟΥΛΟΥ ΕΥΓΕΝΙΑ (ΝΤΕΝΗ) του Ιωάννη,ΣΤΑΘΟΠΟΥΛΟΥ ΙΩΑΝΝΑ-ΜΑΡΙΑ (ΜΑΡΙΑΝΝΑ) του Κωνσταντίνου,ΤΖΑΒΑΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΡΑΓΩΝΑΣ ΓΕΩΡΓΙΟΣ του Χαραλάμπους,ΚΡΕΣΠΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,ΚΩΝΣΤΑΝΤΙΝΟΥ ΝΙΚΟΛΑΟΣ του Χρήστου,ΛΑΒΔΑ ΔΙΟΝΥΣΙΑ του Παναγιώτη,ΧΡΙΣΤΟΦΟΡΟΥ ΣΠΥΡΙΔΟΥΛΑ του Αναστασίου,Κίνημα Αλλαγής,ΒΕΡΓΟΠΟΥΛΟΥ ΠΑΡΑΣΚΕΥΗ του Γεωργίου,ΓΙΑΤΡΑ ΖΩΗ του Διονυσίου,ΖΑΦΕΙΡΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Γεωργίου,ΚΑΤΡΙΝΗΣ ΜΙΧΑΗΛ του Ιωάννη,ΚΟΤΣΙΦΑΣ ΔΙΟΝΥΣΙΟΣ (ΣΑΚΗΣ) του Κωνσταντίνου,ΚΟΥΤΣΟΥΚΟΣ ΓΙΑΝΝΗΣ του Δημητρίου,ΧΡΟΝΗΣ ΑΡΙΣΤΟΜΕΝΗΣ του Παναγιώτη,Κ.Κ.Ε.,ΑΘΑΝΑΣΟΠΟΥΛΟΣ ΤΡΥΦΩΝ του Δημητρίου,ΓΙΑΝΝΑΡΟΣ ΧΡΗΣΤΟΣ του Παναγιώτη,ΓΙΑΝΝΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημοσθένη,ΚΑΡΑΠΑΝΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΞΕΝΟΣΤΑΘΗ ΑΘΑΝΑΣΙΑ (ΣΙΑ) του Ηλία,ΠΑΝΑΓΙΩΤΑΡΑ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Νικολάου,ΤΣΑΣΗ ΖΩΙΤΣΑ (ΖΩΗ) του Νικολάου,Ένωση Κεντρώων,ΔΗΛΑΡΗΣ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΔΟΥΔΟΥΞΗΣ ΔΗΜΗΤΡΗΣ του Σταμάτη,ΜΑΥΡΙΔΟΥ ΠΑΡΘΕΝΑ του Ξενοφώντος,ΠΑΝΑΓΟΠΟΥΛΟΥ-ΠΕΤΡΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΣΤΑΜΑΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χαράλαμπου,ΤΣΑΜΠΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΤΣΟΥΜΑ ΣΩΤΗΡΙΑ του Βασιλείου,Ο.Κ.Δ.Ε.,ΤΣΙΑΝΤΑ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΧΟΥΡΟΥ ΒΑΣΙΛΙΚΗ του Θεοδώρου,ΣΑΜΑΡΑΣ ΕΥΑΓΓΕΛΟΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΒΡΥΝΙΩΤΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΖΑΧΑΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΠΑΛΑΣΚΑ ΧΑΡΑΛΑΜΠΙΑ του Διονυσίου,ΠΑΠΑΔΑΤΟΥ-ΛΙΑΝΟΥ ΑΙΚΑΤΕΡΙΝΗ του Διονυσίου,ΧΡΙΣΤΟΔΟΥΛΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ του Αγγελή,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΦΩΤΙΟΣ του Νικολάου,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΑΝΔΡΕΑΣ του Δημητρίου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΚΑΝΕΛΛΑ του Σωτηρίου,ΤΑΚΟΥΜΑΚΗ ΤΡΙΑΝΤΑΦΥΛΛΙΑ του Παναγιώτη,ΦΡΑΓΚΟΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΑΝΔΡΙΚΟΓΙΑΝΝΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Γεωργίου,ΖΟΥΛΟΥΜΗ ΚΩΝΣΤΑΝΤΙΝΑ του Χαράλαμπου,ΚΟΥΦΟΠΑΝΤΕΛΗΣ ΜΑΡΙΝΟΣ του Παντελή,Μ-Λ Κ.Κ.Ε.,ΣΟΦΗ ΠΑΡΑΣΚΕΥΟΥΛΑ του Δημητρίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΡΑΓΙΑΝΝΗΣ ΠΑΝΑΓΙΩΤΗΣ του Γρηγορίου,Λαϊκή Ενότητα,ΒΑΜΒΑΚΑ ΠΑΝΑΓΙΩΤΑ του Κωνσταντίνου,ΚΑΡΑΜΑΝΗ ΕΛΕΝΗ του Αθανασίου,ΚΟΥΗΣ ΧΡΗΣΤΟΣ-ΧΡΥΣΟΣΤΟΜΟΣ του Διονυσίου,ΠΑΠΙΩΤΗΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΜέΡΑ25,ΚΑΝΕΛΛΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Διονυσίου,ΜΗΤΣΟΠΟΥΛΟΥ ΙΩΑΝΝΑ-ΦΩΤΕΙΝΗ του Γεωργίου,ΡΑΜΜΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΣΑΣΣΑΛΟΥ ΕΥΓΕΝΙΑ του Ανδρέα,ΦΩΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Δημιουργία ξανά - Θ. Τζήμερος,ΓΚΙΑΤΑ ΜΑΡΙΑ του Γεωργίου,ΚΑΤΣΙΚΑΔΑΚΟΥ ΙΟΥΛΙΑ του Βασιλείου,ΜΗΤΡΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΠΑΝΤΑΖΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΤΣΑΤΣΑΡΗΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΟΥΝΙΑΣ ΓΕΩΡΓΙΟΣ του Ανδρέα
32 - Ηλείας,93 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,271,156,2,1,3,153,38,16,16,9,2,11,3,0,57,31,8,7,13,1,2,17,1,0,0,0,0,0,23,0,1,5,9,0,4,8,19,17,2,8,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,4,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
32 - Ηλείας,94 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,299,203,1,0,1,202,49,43,8,10,5,5,5,7,56,40,2,15,6,26,3,20,4,1,3,0,0,0,67,8,4,24,50,2,32,14,10,7,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,9,0,6,1,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0
32 - Ηλείας,95 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,278,137,5,0,5,132,68,23,13,10,8,5,7,6,31,11,0,11,4,2,4,10,3,1,2,0,0,0,12,1,0,5,6,1,8,0,5,2,0,1,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,2,1,0,0,0,0,0,0,0,0
32 - Ηλείας,96 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,324,155,1,1,2,153,55,23,14,13,8,2,4,7,49,17,4,11,10,0,3,12,3,0,3,0,0,1,24,2,0,9,13,0,15,0,7,6,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,2,0,1,0,0,0,0,0,2,0
32 - Ηλείας,97 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,276,118,2,1,3,115,25,5,7,4,2,3,5,2,61,33,6,18,12,2,1,21,4,3,3,1,1,0,8,0,0,6,2,0,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,8,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1
32 - Ηλείας,98 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,297,125,0,1,1,124,37,8,6,9,3,4,2,3,51,27,4,6,11,0,2,25,3,0,1,0,1,0,11,2,0,5,3,1,4,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,2,1,0,2,0,0,0,0,0,1,0
32 - Ηλείας,99 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,415,179,1,2,3,176,73,41,17,13,6,3,8,3,70,37,1,16,6,5,1,30,5,0,2,1,3,1,18,0,1,11,8,0,5,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,5,0
32 - Ηλείας,100 E.T. Δήμου Ανδρίτσαινας - Κρεστένων,330,155,1,1,2,153,23,8,2,1,1,2,3,1,91,39,13,31,5,7,4,55,2,0,0,0,0,0,24,3,1,11,7,1,14,0,2,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
32 - Ηλείας,101 E.T. Δήμου Αρχαίας Ολυμπίας,559,340,3,2,5,335,103,46,32,12,6,5,8,5,142,60,24,17,27,13,7,52,7,1,3,3,0,1,32,8,2,3,15,1,11,4,14,6,8,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,4,0,0,3,10,4,1,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,3,0,2,1,0,0,0,0,0,0,8,0
32 - Ηλείας,102 E.T. Δήμου Αρχαίας Ολυμπίας,561,351,2,0,2,349,116,57,35,19,14,1,8,10,143,57,19,14,31,13,6,65,5,1,0,0,1,0,29,4,7,2,18,0,9,4,19,7,11,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,16,4,4,3,5,3,0,0,0,0,0,0,7,0
32 - Ηλείας,103 E.T. Δήμου Αρχαίας Ολυμπίας,427,189,2,0,2,187,49,18,23,8,7,2,1,3,102,32,9,22,25,5,3,67,4,1,3,3,0,0,18,10,0,2,12,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,3,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0
32 - Ηλείας,104 E.T. Δήμου Αρχαίας Ολυμπίας,303,151,0,2,2,149,51,25,11,11,6,2,1,6,51,25,9,8,10,3,4,20,0,0,0,0,0,0,33,7,2,4,19,4,17,2,6,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0
32 - Ηλείας,105 E.T. Δήμου Αρχαίας Ολυμπίας,343,180,2,1,3,177,43,13,13,12,4,2,3,1,83,27,28,13,18,5,3,39,7,2,2,0,2,0,26,4,0,1,14,0,11,5,8,3,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,0
32 - Ηλείας,106 E.T. Δήμου Αρχαίας Ολυμπίας,480,250,2,1,3,247,98,64,5,22,7,4,2,2,77,41,4,12,11,3,7,36,2,1,0,1,0,0,42,8,1,3,15,2,17,4,10,1,4,1,4,0,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,2,0,0,0,0,0,2,0
32 - Ηλείας,107 E.T. Δήμου Αρχαίας Ολυμπίας,264,134,2,0,2,132,28,13,3,8,5,0,5,3,56,15,13,13,13,10,5,27,2,0,2,0,1,1,32,1,1,2,23,2,13,3,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
32 - Ηλείας,108 E.T. Δήμου Αρχαίας Ολυμπίας,209,142,1,0,1,141,43,24,10,9,6,6,6,1,42,19,11,7,9,11,2,16,1,0,1,0,0,1,32,2,4,1,16,0,22,7,9,3,5,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,6,1,1,1,0,1,0,0,0,0,0,0,3,0
32 - Ηλείας,109 E.T. Δήμου Αρχαίας Ολυμπίας,152,89,0,0,0,89,23,13,7,5,4,1,1,1,39,23,7,4,11,14,1,10,0,0,0,0,0,0,14,1,0,0,8,1,7,2,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,2,2,0,1,0,0,0,0,0,0,0,0,0
32 - Ηλείας,110 E.T. Δήμου Αρχαίας Ολυμπίας,216,135,4,1,5,130,34,12,9,3,1,1,1,1,73,28,26,23,14,1,3,35,1,1,0,1,0,0,13,3,0,2,9,1,3,0,4,1,2,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
32 - Ηλείας,111 E.T. Δήμου Αρχαίας Ολυμπίας,274,106,2,1,3,103,43,28,3,3,2,3,3,2,32,17,2,2,13,4,2,12,3,1,1,1,0,1,13,0,1,0,10,1,2,0,7,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
32 - Ηλείας,112 E.T. Δήμου Αρχαίας Ολυμπίας,186,132,0,1,1,131,52,24,10,7,8,8,2,5,49,34,9,7,12,3,8,12,0,0,0,0,0,0,19,1,1,2,10,0,10,3,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
32 - Ηλείας,113 E.T. Δήμου Αρχαίας Ολυμπίας,257,149,2,0,2,147,40,26,4,12,3,2,8,2,51,28,8,16,3,0,1,25,5,0,2,0,2,1,43,4,1,0,15,0,39,3,5,5,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
32 - Ηλείας,114 E.T. Δήμου Αρχαίας Ολυμπίας,123,86,1,0,1,85,13,7,4,6,0,1,1,0,33,9,2,6,3,2,1,27,4,2,0,0,0,0,14,5,1,0,4,1,11,0,7,3,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,1,0,0,0,0,0,5,0
32 - Ηλείας,115 E.T. Δήμου Αρχαίας Ολυμπίας,492,290,4,3,7,283,93,41,27,12,4,6,5,1,103,38,8,15,22,11,2,47,12,0,0,0,0,0,39,4,4,2,25,0,11,3,2,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,14,1,1,0,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,7,1,2,2,0,1,6,1,2,0,1,0,3,0
32 - Ηλείας,116 E.T. Δήμου Αρχαίας Ολυμπίας,214,127,0,0,0,127,39,9,7,5,3,0,1,1,45,23,0,6,4,1,3,21,3,2,2,0,1,1,26,8,2,3,16,2,9,4,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
32 - Ηλείας,117 E.T. Δήμου Αρχαίας Ολυμπίας,384,188,0,2,2,186,58,27,2,22,1,0,5,1,76,32,3,3,20,1,3,45,4,1,0,1,0,1,21,0,1,3,7,1,8,1,5,2,2,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11,2,3,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,1,1,0,1,1,0,0,0,0,0,0,3,3
32 - Ηλείας,118 E.T. Δήμου Αρχαίας Ολυμπίας,476,253,2,0,2,251,92,47,30,17,9,4,5,8,72,46,13,17,21,3,3,22,8,2,3,2,0,3,38,5,1,2,25,1,13,3,13,9,9,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,12,5,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,1,0,1,0,0,0,0,0,3,0
32 - Ηλείας,119 E.T. Δήμου Αρχαίας Ολυμπίας,544,305,2,1,3,302,117,58,31,20,18,3,9,8,95,33,16,17,36,7,12,40,13,4,10,2,0,5,36,3,1,0,28,0,14,3,17,14,13,1,0,1,1,1,6,1,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,8,4,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1,1,0,0,0,0,0,3,2
32 - Ηλείας,120 E.T. Δήμου Αρχαίας Ολυμπίας,369,204,2,0,2,202,51,13,6,10,4,2,5,1,89,50,4,15,9,4,3,53,9,3,2,3,1,0,25,0,0,5,14,0,18,0,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,3,1,2,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,0,1,0,0,1,0,0,0,0,0,2,0
32 - Ηλείας,121 E.T. Δήμου Αρχαίας Ολυμπίας,436,248,5,2,7,241,71,29,23,5,8,4,7,9,114,42,33,14,41,11,5,41,4,0,1,2,1,0,25,3,2,3,10,0,14,2,6,3,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,2,0,2,0,0,0,0,0,0,2,2,1,0,1,0,0,5,3,1,1,1,0,2,0,0,0,0,0,5,2
32 - Ηλείας,122 E.T. Δήμου Αρχαίας Ολυμπίας,500,276,1,3,4,272,103,41,19,23,13,12,5,3,102,47,24,13,31,5,5,40,8,5,3,2,1,1,33,2,2,4,20,0,14,6,8,6,4,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,1,1,2,0,0,0,0,0,0,0,2,0
32 - Ηλείας,123 E.T. Δήμου Αρχαίας Ολυμπίας,243,147,2,1,3,144,65,24,23,23,13,5,10,4,34,8,0,7,9,7,0,20,2,1,0,0,0,0,25,1,1,1,20,0,7,0,5,1,3,0,0,0,0,0,3,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4,0,1,0,0,2,1,1,0,0,0,0,1,1
32 - Ηλείας,124 E.T. Δήμου Αρχαίας Ολυμπίας,290,160,1,3,4,156,43,30,5,13,5,3,2,0,57,23,12,7,15,12,2,23,4,3,2,1,0,0,29,1,1,0,21,1,13,1,10,6,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,2,2,0,3,0,0,0,0,0,0,2,0
32 - Ηλείας,125 E.T. Δήμου Αρχαίας Ολυμπίας,300,178,7,1,8,170,63,31,18,14,7,1,5,3,49,13,3,6,18,5,4,15,5,0,3,0,1,1,37,0,0,3,27,0,13,4,7,2,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,1
32 - Ηλείας,126 E.T. Δήμου Αρχαίας Ολυμπίας,364,195,4,1,5,190,78,43,25,14,9,7,7,3,66,18,8,17,22,6,1,24,3,0,1,0,1,0,18,3,3,0,16,0,2,0,3,2,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,12,6,4,2,2,0,1,0,0,0,0,0,1,0
32 - Ηλείας,127 E.T. Δήμου Αρχαίας Ολυμπίας,453,239,2,1,3,236,102,58,38,20,11,1,8,9,71,22,14,18,20,5,5,37,4,0,3,1,1,2,34,1,2,0,25,2,11,1,8,1,2,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,13,3,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
32 - Ηλείας,128 E.T. Δήμου Αρχαίας Ολυμπίας,504,277,2,0,2,275,128,41,44,15,11,8,7,8,97,45,32,12,20,2,1,36,9,2,0,0,3,3,17,1,1,0,4,4,10,1,3,1,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,2,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,0,0,1,1,0,0,0,0,0,5,0
32 - Ηλείας,129 E.T. Δήμου Αρχαίας Ολυμπίας,424,185,2,1,3,182,55,33,15,14,6,2,6,3,76,23,4,13,18,12,24,29,4,2,2,0,1,0,29,1,1,0,17,0,18,0,5,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5
32 - Ηλείας,130 E.T. Δήμου Αρχαίας Ολυμπίας,491,191,4,0,4,187,93,44,21,24,4,5,10,5,60,11,1,5,23,6,20,27,1,0,1,1,0,0,20,2,3,0,6,1,14,4,6,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
32 - Ηλείας,131 E.T. Δήμου Αρχαίας Ολυμπίας,411,226,2,2,4,222,68,16,19,4,11,4,7,4,101,25,9,38,43,8,10,35,9,0,4,4,0,1,32,10,2,1,21,0,13,0,5,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
32 - Ηλείας,132 E.T. Δήμου Αρχαίας Ολυμπίας,384,188,2,0,2,186,57,16,10,8,9,5,11,4,61,22,6,6,16,10,1,26,5,4,2,1,0,0,48,6,2,1,23,1,24,1,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,3,0
32 - Ηλείας,133 E.T. Δήμου Αρχαίας Ολυμπίας,358,176,3,0,3,173,81,18,25,10,10,16,11,8,54,31,1,15,11,4,4,16,4,2,0,1,1,0,24,1,0,2,11,1,11,3,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0
32 - Ηλείας,134 E.T. Δήμου Αρχαίας Ολυμπίας,262,126,0,0,0,126,56,29,15,4,9,7,4,2,23,8,0,12,11,2,1,5,2,0,0,0,0,0,37,9,1,0,23,19,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0
