ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΦΙΛΙΠΠΟΣ του Δημητρίου,ΚΕΒΡΕΚΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Χαράλαμπου,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΣΕΛΤΣΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΜΙΣΚΑΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΜΠΟΥΤΣΚΟΥ ΛΕΜΟΝΙΑ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΓΛΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Παντελή,ΓΙΑΝΝΑΚΙΔΟΥ ΕΛΕΝΗ του Θεοχάρη,Κίνημα Αλλαγής,ΚΩΣΤΑΡΕΛΛΗΣ ΠΕΤΡΟΣ του Κωνσταντίνου,ΜΑΥΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Δήμου,ΠΙΧΤΡΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΡΕΠΠΑ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΛΕΥΘΕΡΙΑΔΗΣ ΚΥΡΙΑΚΟΣ του Ιωάννη,ΣΤΟΪΚΟΥ ΑΦΡΟΔΙΤΗ του Γεωργίου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ένωση Κεντρώων,ΒΑΣΙΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κωνσταντίνου,ΚΛΑΔΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΔΗΜΗΤΡΙΟΥ ΛΕΩΝΙΔΑΣ του Σωκράτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΝΑΪΔΟΣ ΝΙΚΟΛΑΟΣ του Λουκά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΣΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Ζήση,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΣΕΜΕΡΤΖΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΒΑΝΙΤΗΣ ΒΑΣΙΛΕΙΟΣ του Πέτρου,ΚΥΡΑΓΙΑΝΝΗ ΕΛΕΝΗ του Γεωργίου,Λαϊκή Ενότητα,ΠΑΠΑΝΤΩΝΙΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,ΜέΡΑ25,ΙΩΑΝΝΟΥ ΧΡΗΣΤΟΣ του Αναστασίου,ΚΑΚΑΡΕΤΣΑ ΕΛΕΝΗ του Θεοδώρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΝΙΚΟΛΑΪΔΗΣ ΘΕΟΚΛΗΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
14 - Φλώρινας,121 E.T. Δήμου Φλώρινας,493,139,4,2,6,133,32,3,0,18,3,54,30,8,7,7,6,4,1,23,1,19,1,0,1,0,0,0,0,0,0,0,0,0,0,0,11,11,0,0,1,0,0,0,0,0,0,0,0,3,2,1,2,0,0,0,0
14 - Φλώρινας,122 E.T. Δήμου Φλώρινας,489,201,0,1,1,200,56,2,2,19,24,86,39,14,13,5,3,3,0,29,0,29,0,0,1,0,0,0,0,1,0,0,0,0,1,1,12,12,0,0,0,0,0,0,1,0,0,0,0,0,1,4,10,0,0,0,0
14 - Φλώρινας,123 E.T. Δήμου Φλώρινας,537,244,2,1,3,241,96,7,2,38,34,93,44,14,17,12,3,2,1,13,0,9,0,4,6,1,0,1,3,0,0,0,2,2,0,0,20,18,1,0,0,0,0,0,2,1,0,0,0,3,1,1,3,2,0,0,0
14 - Φλώρινας,124 E.T. Δήμου Φλώρινας,585,324,1,4,5,319,97,7,4,30,48,140,77,24,15,14,5,1,2,16,3,7,0,2,8,1,1,0,5,4,0,0,1,1,3,1,28,23,0,0,0,0,0,0,1,0,1,0,0,11,1,7,1,0,0,4,3
14 - Φλώρινας,125 E.T. Δήμου Φλώρινας,345,118,1,1,2,116,38,5,2,12,10,53,36,11,0,1,2,0,1,6,1,5,0,0,1,0,0,0,1,2,1,0,0,0,1,0,9,9,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
14 - Φλώρινας,126 E.T. Δήμου Φλώρινας,623,302,0,0,0,302,105,8,9,41,34,100,50,10,18,2,7,4,0,33,3,26,0,0,7,4,0,0,1,2,0,0,1,1,3,3,26,20,1,2,0,0,0,0,5,1,1,0,0,11,3,3,1,0,1,1,0
14 - Φλώρινας,127 E.T. Δήμου Φλώρινας,529,200,1,1,2,198,114,5,6,44,38,36,24,6,3,0,5,0,0,18,4,11,0,1,3,0,0,1,0,1,0,0,0,0,2,0,11,9,0,1,1,0,0,0,1,1,0,1,0,4,1,0,1,0,0,0,0
14 - Φλώρινας,128 E.T. Δήμου Φλώρινας,495,177,3,3,6,171,68,5,3,33,14,60,38,7,9,0,4,1,1,15,0,9,0,0,3,1,0,0,1,3,2,1,3,3,0,0,8,7,0,1,0,0,0,0,1,0,0,0,0,5,2,2,0,0,0,1,0
14 - Φλώρινας,129 E.T. Δήμου Φλώρινας,424,207,2,0,2,205,54,3,16,26,3,90,71,8,1,1,10,2,5,24,0,17,0,4,1,0,0,0,1,2,0,0,0,0,0,0,17,15,0,1,1,1,0,0,2,1,1,0,0,3,2,0,0,0,0,1,1
14 - Φλώρινας,130 E.T. Δήμου Φλώρινας,127,56,0,0,0,56,19,0,7,4,1,24,22,1,1,0,4,3,0,3,0,3,0,0,3,0,0,0,2,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,131 E.T. Δήμου Φλώρινας,557,224,3,2,5,219,106,6,7,36,45,75,50,6,8,2,2,0,1,18,1,15,0,1,1,0,0,1,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,1,0,0,0,0,4,4,0,1,0,0,1,1
14 - Φλώρινας,132 E.T. Δήμου Φλώρινας,553,288,2,4,6,282,118,2,19,36,55,100,69,4,9,2,3,0,2,26,1,14,0,3,4,1,0,1,2,2,0,0,0,0,0,0,23,21,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,3,1
14 - Φλώρινας,133 E.T. Δήμου Φλώρινας,537,221,2,1,3,218,85,5,12,22,31,84,63,4,4,6,5,4,1,18,4,12,0,1,3,1,0,0,0,1,0,0,0,0,0,0,16,15,0,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0
14 - Φλώρινας,134 E.T. Δήμου Φλώρινας,574,241,3,2,5,236,82,2,11,37,20,86,55,9,5,6,5,1,1,23,4,14,1,1,1,0,0,0,0,0,0,0,0,0,1,0,32,31,0,0,0,0,0,0,1,0,0,0,0,3,1,2,0,0,0,2,1
