ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΦΙΛΙΠΠΟΣ του Δημητρίου,ΚΕΒΡΕΚΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Χαράλαμπου,ΠΕΡΚΑ ΘΕΟΠΙΣΤΗ (ΠΕΤΗ) του Χαράλαμπου,ΣΕΛΤΣΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Νέα Δημοκρατία,ΑΝΤΩΝΙΑΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΗΛΙΑΔΟΥ-ΤΑΧΟΥ ΣΟΦΙΑ του Σταύρου,ΜΙΣΚΑΣ ΙΩΑΝΝΗΣ του Αχιλλέα,ΜΠΟΥΤΣΚΟΥ ΛΕΜΟΝΙΑ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΟΓΛΙΔΗΣ ΑΘΑΝΑΣΙΟΣ του Παντελή,ΓΙΑΝΝΑΚΙΔΟΥ ΕΛΕΝΗ του Θεοχάρη,Κίνημα Αλλαγής,ΚΩΣΤΑΡΕΛΛΗΣ ΠΕΤΡΟΣ του Κωνσταντίνου,ΜΑΥΡΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Δήμου,ΠΙΧΤΡΑΚΗ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΡΕΠΠΑ ΠΑΝΑΓΙΩΤΑ του Γεωργίου,Κ.Κ.Ε.,ΑΛΕΞΙΟΥ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΕΛΕΥΘΕΡΙΑΔΗΣ ΚΥΡΙΑΚΟΣ του Ιωάννη,ΣΤΟΪΚΟΥ ΑΦΡΟΔΙΤΗ του Γεωργίου,ΤΟΡΛΑΧΙΔΟΥ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Μιχαήλ,Ένωση Κεντρώων,ΒΑΣΙΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Κωνσταντίνου,ΚΛΑΔΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΔΗΜΗΤΡΙΟΥ ΛΕΩΝΙΔΑΣ του Σωκράτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΝΑΪΔΟΣ ΝΙΚΟΛΑΟΣ του Λουκά,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΣΚΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Ζήση,ΠΑΠΟΥΛΙΔΟΥ ΑΝΝΑ του Γεωργίου,ΣΕΜΕΡΤΖΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΒΑ ΔΗΜΗΤΡΑ του Στυλιανού,Μ-Λ Κ.Κ.Ε.,ΔΕΡΝΟΒΙΟΥ ΕΙΡΗΝΗ του Στυλιανού,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΒΑΝΙΤΗΣ ΒΑΣΙΛΕΙΟΣ του Πέτρου,ΚΥΡΑΓΙΑΝΝΗ ΕΛΕΝΗ του Γεωργίου,Λαϊκή Ενότητα,ΠΑΠΑΝΤΩΝΙΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,ΜέΡΑ25,ΙΩΑΝΝΟΥ ΧΡΗΣΤΟΣ του Αναστασίου,ΚΑΚΑΡΕΤΣΑ ΕΛΕΝΗ του Θεοδώρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΜΑΝΑΤΙΔΟΥ ΑΝΑΣΤΑΣΙΑ του Νικολάου,ΝΙΚΟΛΑΪΔΗΣ ΘΕΟΚΛΗΣ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΧΑΝΙΩΤΗ ΧΡΙΣΤΙΝΑ του Μιχαήλ
14 - Φλώρινας,149 E.T. Δήμου Φλώρινας,404,166,1,0,1,165,52,2,2,45,0,57,45,4,1,2,3,0,2,33,23,10,0,0,11,0,1,0,8,1,0,0,0,0,0,0,7,3,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
14 - Φλώρινας,150 E.T. Δήμου Φλώρινας,407,133,4,1,5,128,52,0,2,47,1,37,30,3,1,3,2,1,1,22,19,2,0,1,2,1,0,0,1,2,1,0,0,0,0,0,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,1
14 - Φλώρινας,151 E.T. Δήμου Φλώρινας,424,172,1,0,1,171,51,2,1,43,1,71,44,10,8,7,5,2,3,22,18,3,0,0,9,0,0,0,9,2,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,2,1
14 - Φλώρινας,152 E.T. Δήμου Φλώρινας,541,269,4,3,7,262,91,15,8,42,12,115,75,13,16,2,3,2,0,12,0,10,0,1,3,2,0,0,1,2,2,0,0,0,3,2,19,15,1,0,0,0,1,0,0,0,0,0,0,9,0,4,1,1,0,3,2
14 - Φλώρινας,153 E.T. Δήμου Φλώρινας,539,275,5,1,6,269,95,13,4,48,17,103,59,16,14,4,10,7,2,12,0,10,0,0,5,0,0,2,0,4,2,0,0,0,0,0,25,20,0,0,0,0,0,0,0,0,0,0,0,8,1,4,3,1,1,4,0
14 - Φλώρινας,154 E.T. Δήμου Φλώρινας,551,272,3,3,6,266,84,24,5,34,10,109,48,26,15,8,4,1,2,13,3,7,0,1,13,6,0,3,2,4,0,0,0,0,0,0,27,22,2,1,0,0,0,0,0,0,0,0,0,6,1,3,1,0,1,5,3
14 - Φλώρινας,155 E.T. Δήμου Φλώρινας,558,274,1,3,4,270,76,13,3,42,9,112,71,19,8,3,3,3,0,22,1,15,0,1,6,0,0,1,3,6,2,0,0,0,1,1,25,15,1,1,0,0,0,0,1,0,0,2,1,10,2,0,5,1,0,1,0
14 - Φλώρινας,156 E.T. Δήμου Φλώρινας,550,262,2,1,3,259,86,10,6,41,12,108,54,19,11,9,13,12,1,13,0,9,0,1,4,0,1,0,2,5,1,0,0,0,0,0,19,18,0,0,0,0,0,0,0,0,0,0,0,9,4,3,1,1,0,1,1
14 - Φλώρινας,157 E.T. Δήμου Φλώρινας,559,246,1,0,1,245,86,15,8,44,11,101,50,30,10,1,2,0,1,8,0,5,0,2,15,4,0,0,7,6,3,1,0,0,0,0,7,4,0,2,0,0,0,0,1,0,0,0,0,10,7,1,4,1,1,5,3
14 - Φλώρινας,158 E.T. Δήμου Φλώρινας,532,221,1,5,6,215,47,6,1,28,8,98,48,25,8,7,4,2,1,15,0,13,0,2,7,1,0,2,2,3,1,1,0,0,1,0,15,12,0,0,1,0,1,0,0,0,0,0,0,14,11,2,1,0,0,8,5
14 - Φλώρινας,159 E.T. Δήμου Φλώρινας,542,249,4,1,5,244,71,9,6,36,14,101,54,17,10,8,6,2,0,14,0,13,0,1,10,1,0,1,6,4,2,0,0,0,1,1,18,15,1,0,0,0,0,0,1,1,0,0,0,13,6,4,2,1,0,3,1
14 - Φλώρινας,160 E.T. Δήμου Φλώρινας,555,264,5,3,8,256,79,10,7,35,8,125,71,28,11,6,5,0,3,12,3,6,1,1,6,1,0,1,1,3,0,1,0,0,2,2,9,7,0,0,0,0,0,0,1,1,0,2,0,8,1,2,2,1,1,2,1
14 - Φλώρινας,161 E.T. Δήμου Φλώρινας,529,261,1,2,3,258,67,7,8,27,11,125,62,41,12,1,4,3,1,19,4,11,0,2,4,1,0,0,0,1,1,0,0,0,1,1,22,19,0,0,0,0,0,0,1,1,0,0,0,10,7,0,4,4,0,0,0
14 - Φλώρινας,162 E.T. Δήμου Φλώρινας,526,276,1,0,1,275,89,21,6,41,7,124,50,25,13,14,8,4,2,8,0,4,1,1,14,4,0,2,6,0,0,0,0,0,0,0,19,19,0,0,0,0,0,0,1,1,0,1,0,6,3,1,4,1,1,1,1
14 - Φλώρινας,163 E.T. Δήμου Φλώρινας,526,240,0,4,4,236,83,13,13,30,13,95,38,26,20,6,5,3,0,10,0,9,0,0,14,2,0,0,5,0,0,0,0,0,1,1,18,16,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,1,0,4,3
14 - Φλώρινας,164 E.T. Δήμου Φλώρινας,528,236,2,2,4,232,65,11,7,30,12,104,65,14,14,1,8,4,0,8,0,8,0,0,11,2,0,1,4,4,1,1,0,0,0,0,19,19,0,0,0,0,0,0,1,1,0,0,0,10,1,0,0,0,0,2,2
14 - Φλώρινας,165 E.T. Δήμου Φλώρινας,545,176,1,1,2,174,59,6,7,29,7,72,41,12,9,3,5,2,0,7,1,4,0,0,8,2,1,1,3,5,3,0,0,0,0,0,9,7,0,1,0,0,0,0,0,0,0,0,0,6,2,1,1,0,0,2,1
14 - Φλώρινας,166 E.T. Δήμου Φλώρινας,533,252,3,4,7,245,81,11,4,36,20,112,66,15,12,6,4,1,1,16,1,10,1,0,7,2,1,0,3,3,0,1,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,1,1,7,3,2,2,0,0,0,0
14 - Φλώρινας,167 E.T. Δήμου Φλώρινας,534,248,4,5,9,239,70,15,3,27,10,115,71,18,12,4,8,5,0,10,1,8,0,0,4,0,1,0,1,1,0,0,0,0,1,0,14,12,0,1,0,0,0,0,1,1,0,0,0,8,3,1,5,2,0,2,0
14 - Φλώρινας,168 E.T. Δήμου Φλώρινας,541,216,4,0,4,212,84,11,5,50,6,76,36,14,11,6,5,4,0,10,0,8,0,0,10,4,0,0,4,6,1,1,0,0,2,1,11,9,0,0,0,0,1,1,0,0,0,0,0,5,2,0,0,0,0,2,1
14 - Φλώρινας,169 E.T. Δήμου Φλώρινας,529,263,5,0,5,258,95,10,7,47,13,93,49,22,11,4,4,1,0,6,0,3,0,0,9,3,1,1,2,5,1,2,1,1,0,0,36,30,0,0,0,0,0,0,1,0,0,0,0,7,1,2,1,0,0,0,0
14 - Φλώρινας,170 E.T. Δήμου Φλώρινας,531,261,2,4,6,255,59,5,3,34,7,116,61,25,12,6,5,3,1,21,3,12,0,1,11,2,0,1,3,3,1,1,0,0,1,1,15,15,0,0,1,1,0,0,2,1,0,0,0,13,4,3,5,3,1,3,1
14 - Φλώρινας,171 E.T. Δήμου Φλώρινας,533,274,6,1,7,267,98,17,10,41,12,97,43,17,12,10,2,1,0,19,2,12,0,2,6,1,0,1,1,1,0,0,0,0,2,1,26,21,0,2,0,0,1,0,0,0,0,1,0,7,7,0,5,2,2,2,0
14 - Φλώρινας,172 E.T. Δήμου Φλώρινας,529,256,4,1,5,251,94,9,17,39,13,104,44,21,17,12,4,3,0,11,0,7,0,0,7,0,1,0,5,1,1,0,0,0,0,0,14,13,0,0,5,2,0,0,0,0,0,0,0,7,3,0,2,0,1,2,0
14 - Φλώρινας,173 E.T. Δήμου Φλώρινας,529,210,7,0,7,203,67,7,11,26,9,82,42,19,8,0,4,3,0,11,1,6,0,0,7,0,1,0,2,3,1,0,0,0,1,1,20,18,0,1,0,0,0,0,2,1,0,0,0,4,0,1,1,1,0,1,1
14 - Φλώρινας,174 E.T. Δήμου Φλώρινας,538,256,6,4,10,246,74,10,14,37,5,110,65,20,11,5,6,6,0,17,0,14,0,1,4,0,0,0,3,5,2,1,0,0,2,1,15,11,0,0,1,0,0,0,1,1,0,1,0,4,1,2,3,2,0,3,1
14 - Φλώρινας,175 E.T. Δήμου Φλώρινας,538,239,6,3,9,230,66,9,7,35,5,97,52,22,4,6,13,8,1,13,3,8,0,0,4,0,0,0,2,2,1,1,0,0,1,1,15,13,0,0,0,0,1,1,1,1,0,1,1,13,6,1,2,0,0,1,0
14 - Φλώρινας,176 E.T. Δήμου Φλώρινας,401,78,0,0,0,78,33,14,3,5,9,19,14,3,0,0,0,0,0,2,0,2,0,0,16,14,0,1,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
14 - Φλώρινας,177 E.T. Δήμου Φλώρινας,504,104,4,0,4,100,36,14,2,11,6,24,13,3,5,1,1,0,0,9,0,9,0,0,24,17,0,1,1,1,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
14 - Φλώρινας,178 E.T. Δήμου Φλώρινας,509,185,4,1,5,180,53,2,4,15,26,79,57,6,5,4,2,1,0,10,2,7,0,0,2,0,0,0,2,4,2,0,0,0,0,0,23,22,0,0,0,0,0,0,0,0,0,0,0,6,2,1,0,0,0,1,0
14 - Φλώρινας,179 E.T. Δήμου Φλώρινας,470,178,5,2,7,171,78,5,8,47,18,63,47,9,2,0,6,5,0,2,0,1,1,0,4,0,1,0,0,1,1,0,0,0,0,0,12,11,1,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,1,1
14 - Φλώρινας,180 E.T. Δήμου Φλώρινας,473,155,1,0,1,154,64,4,8,21,25,50,29,8,9,2,4,1,1,9,0,8,0,0,4,1,1,0,1,2,1,0,0,0,0,0,13,7,1,1,0,0,0,0,0,0,0,0,0,6,0,2,1,1,0,1,0
14 - Φλώρινας,181 E.T. Δήμου Φλώρινας,474,153,0,0,0,153,61,3,3,30,14,68,42,4,7,7,3,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,15,14,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,2,0
14 - Φλώρινας,182 E.T. Δήμου Φλώρινας,550,185,10,0,10,175,66,7,8,21,12,74,52,8,8,0,4,4,0,7,0,6,0,1,2,0,0,0,2,1,1,0,0,0,0,0,4,2,1,0,0,0,0,0,3,1,2,0,0,8,0,1,2,1,1,4,2
14 - Φλώρινας,183 E.T. Δήμου Φλώρινας,406,41,0,2,2,39,9,0,1,2,1,21,17,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
14 - Φλώρινας,184 E.T. Δήμου Φλώρινας,493,57,0,2,2,55,11,0,1,3,4,29,21,3,2,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,185 E.T. Δήμου Φλώρινας,530,118,4,1,5,113,44,3,8,20,10,44,30,8,4,1,2,1,1,2,0,2,0,0,6,0,0,5,1,1,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,1,0
14 - Φλώρινας,186 E.T. Δήμου Φλώρινας,535,93,1,0,1,92,42,3,2,22,8,27,19,6,0,0,3,2,0,6,1,2,1,0,2,0,0,0,2,1,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,2,2
14 - Φλώρινας,187 E.T. Δήμου Φλώρινας,549,130,1,1,2,128,50,6,0,32,4,40,28,3,1,3,4,3,1,10,2,6,0,1,8,1,0,4,0,0,0,0,0,0,0,0,10,10,0,0,1,1,0,0,0,0,0,0,0,4,0,0,0,0,0,1,1
14 - Φλώρινας,188 E.T. Δήμου Φλώρινας,471,98,1,0,1,97,40,3,1,18,9,30,24,0,3,0,2,1,0,10,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1,0,1,0,0,4,2,1,0,0,0,0,0
14 - Φλώρινας,189 E.T. Δήμου Φλώρινας,481,94,8,2,10,84,20,0,1,9,7,35,27,4,3,0,0,0,0,13,0,12,0,0,2,0,0,0,2,0,0,0,0,0,0,0,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14 - Φλώρινας,Ετερ. Φλώρινας (από 32ο Ε.Τ. Νομ. Θεσσαλονίκης),286,176,2,2,4,172,44,5,5,12,6,80,32,19,2,9,6,1,3,8,1,2,1,0,8,2,0,0,2,3,1,0,0,0,0,0,14,7,0,0,0,0,0,0,0,0,0,0,0,7,1,4,0,0,0,2,0
14 - Φλώρινας,Ετερ. Φλώρινας (από Εφετείο Θεσσαλονίκης),57,42,0,0,0,42,9,0,2,3,0,20,11,5,0,4,1,0,0,4,1,2,1,0,2,0,0,0,0,1,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
14 - Φλώρινας,Ετερ. Φλώρινας (από 141ο Ε.Τ. Νομ. Αττικής-Αθηνών),194,126,2,1,3,123,24,1,7,5,8,69,34,8,4,11,0,0,0,9,0,5,0,0,7,0,6,0,1,0,0,0,0,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,7,2,0,3,0,2,0,0
Σύνολο,,89243,33215,457,245,702,32513,11540,854,954,4466,3315,12696,7722,1344,894,1577,767,338,186,2023,352,1020,156,151,1004,141,265,95,197,357,115,34,10,8,86,44,2369,1886,95,105,44,14,13,6,121,48,21,53,21,895,251,222,179,60,29,356,169
