ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΛΕΝΤΖΑΣ ΣΠΥΡΙΔΩΝ του Σωτηρίου,ΚΡΙΤΣΙΜΑ ΧΡΙΣΤΙΝΑ του Λάμπρου,ΜΠΑΡΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοφάνη,ΜΠΟΤΖΙΟΥ ΓΕΩΡΓΙΑ του Μιλτιάδη,Νέα Δημοκρατία,ΓΙΑΝΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,ΚΟΝΤΑΞΗ-ΝΑΣΗ ΣΕΒΑΣΤΗ (ΣΕΒΗ) του Ιωάννη,ΚΥΡΙΑΚΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΡΑΒΑΝΟΥ ΔΗΜΗΤΡΑ του Ιωάννη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΑΚΟΥΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΝΤΡΙΚΟΥ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΤΕΦΑΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΚΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΠΑΠΠΑ ΑΙΚΑΤΕΡΙΝΗ του Αδάμ,ΠΕΠΟΝΗΣ ΧΡΗΣΤΟΣ του Θωμά,Κ.Κ.Ε.,ΚΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωσήφ,ΜΑΛΕΖΑ ΖΗΝΟΒΙΑ του Ευσταθίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΕΙΡΗΝΗ του Δημητρίου,ΠΟΥΜΠΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Ένωση Κεντρώων,ΚΟΥΤΣΟΧΡΗΣΤΟΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,ΛΙΑΣΚΟΥ ΣΩΤΗΡΙΑ του Ξενοφώντος,Ο.Κ.Δ.Ε.,ΖΑΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΟΥΡΕΚΑΣ ΘΕΟΔΩΡΟΣ του Κωνσταντίνου,ΓΙΑΡΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΝΑΝΟΣ ΕΥΑΓΓΕΛΟΣ του Σωτηρίου,Ελλήνων Συνέλευσις,ΣΑΚΚΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΣΙΛΙΚΑΡΗ ΑΡΕΤΗ του Γεωργίου,ΤΣΙΡΙΚΑΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΝΟΥΣΙΑΣ ΟΡΕΣΤΗΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΝΤΟΥΣΚΟΣ ΠΕΤΡΟΣ του Οδυσσέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΣΙΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΛΑΪΝΑ ΠΑΡΘΕΝΙΑ του Νικολάου,ΛΙΒΙΕΡΑΤΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΜέΡΑ25,ΝΙΚΟΥ ΕΡΩΤΟΚΡΙΤΟΣ του Διονυσίου,ΝΤΟΒΑ ΔΗΜΗΤΡΑ του Θεολόγου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΚΩΣΤΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΟΥΜΕΛΙΩΤΗΣ ΣΤΕΦΑΝΟΣ του Ανδρέα
21 - Πρέβεζας,137 E.T. Δήμου Πρέβεζας,528,301,5,0,5,296,101,39,5,31,7,106,53,15,24,9,2,1,1,0,25,0,4,1,16,31,7,5,15,0,2,0,1,0,0,0,0,0,0,2,2,5,4,1,0,0,0,0,3,0,1,2,2,0,14,2,3,0,0,0,3,3
21 - Πρέβεζας,138 E.T. Δήμου Πρέβεζας,530,325,5,1,6,319,145,59,7,57,3,89,60,5,15,6,3,2,0,1,36,0,11,2,13,29,10,4,5,7,0,0,0,0,0,1,1,0,0,1,1,5,3,0,0,0,0,0,4,0,1,0,0,0,4,1,0,2,0,1,0,0
21 - Πρέβεζας,139 E.T. Δήμου Πρέβεζας,537,357,4,1,5,352,115,51,3,48,3,139,87,8,25,12,6,2,0,1,37,3,1,3,29,35,11,2,14,4,1,0,0,0,0,2,0,0,2,2,2,4,0,1,0,0,1,0,1,0,0,3,3,0,3,2,0,0,0,0,3,3
21 - Πρέβεζας,140 E.T. Δήμου Πρέβεζας,531,338,5,0,5,333,145,49,8,57,5,115,64,8,25,9,3,1,0,0,17,2,6,0,5,29,6,2,8,5,0,0,0,0,0,1,0,0,0,2,0,4,0,1,0,0,1,1,0,0,0,4,0,4,7,4,0,1,0,0,4,3
21 - Πρέβεζας,141 E.T. Δήμου Πρέβεζας,526,355,3,0,3,352,130,57,5,54,2,144,79,10,22,10,4,1,2,0,20,0,6,1,7,28,7,7,8,3,5,1,0,0,0,1,1,0,0,4,3,0,0,0,0,0,1,1,1,0,0,2,2,0,4,0,0,4,0,1,4,1
21 - Πρέβεζας,142 E.T. Δήμου Πρέβεζας,526,341,2,1,3,338,123,54,6,48,4,142,87,13,30,4,2,2,0,0,23,1,4,1,0,21,3,2,8,4,3,1,0,0,0,1,0,0,1,0,0,4,2,0,0,0,0,0,0,0,0,2,1,0,9,3,0,0,0,0,8,1
21 - Πρέβεζας,143 E.T. Δήμου Πρέβεζας,562,347,7,4,11,336,123,61,6,41,0,126,71,18,24,7,5,2,2,0,23,1,4,1,12,43,2,7,19,4,1,1,0,0,0,2,0,0,2,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,5,1
21 - Πρέβεζας,144 E.T. Δήμου Πρέβεζας,539,330,6,2,8,322,163,70,9,70,4,94,53,8,24,4,2,1,0,0,19,1,5,0,10,18,4,1,10,0,4,2,1,0,0,2,0,0,2,0,0,6,4,0,2,2,1,1,1,1,0,0,0,0,6,3,2,3,0,1,1,1
21 - Πρέβεζας,145 E.T. Δήμου Πρέβεζας,549,347,6,0,6,341,128,59,5,45,4,130,75,11,25,13,4,2,1,0,41,5,13,1,15,15,3,1,10,0,4,1,0,0,0,0,0,0,0,1,1,3,2,0,1,1,0,0,0,0,0,2,1,0,9,4,4,2,0,0,1,1
21 - Πρέβεζας,146 E.T. Δήμου Πρέβεζας,551,363,5,4,9,354,115,51,4,49,1,163,101,12,27,12,1,0,0,0,39,1,8,0,25,12,4,2,4,2,2,0,1,0,0,0,0,0,0,1,1,4,1,3,0,0,0,0,6,0,4,1,0,0,6,1,1,3,1,0,1,0
21 - Πρέβεζας,147 E.T. Δήμου Πρέβεζας,551,333,4,3,7,326,121,50,7,52,1,128,85,5,21,8,4,1,0,1,24,0,1,0,19,37,6,2,14,12,0,0,0,0,0,1,0,0,1,3,1,4,3,0,0,0,0,0,1,0,1,0,0,0,2,2,0,1,0,0,0,0
21 - Πρέβεζας,148 E.T. Δήμου Πρέβεζας,561,376,8,3,11,365,152,55,11,63,1,126,86,10,14,7,10,4,1,0,23,2,5,0,13,26,9,2,10,2,5,2,1,0,0,4,0,1,3,2,1,6,2,3,0,0,0,0,0,0,0,1,1,0,8,2,0,1,0,1,1,1
21 - Πρέβεζας,149 E.T. Δήμου Πρέβεζας,562,364,1,4,5,359,126,60,10,40,4,155,88,17,28,13,5,1,0,1,19,2,5,0,12,29,9,1,10,6,2,0,0,0,0,1,0,0,1,2,2,6,6,0,0,0,0,0,0,0,0,0,0,0,10,4,2,1,0,0,3,1
21 - Πρέβεζας,150 E.T. Δήμου Πρέβεζας,564,397,7,1,8,389,128,57,7,46,5,162,89,10,40,12,6,2,1,0,40,3,7,1,21,20,6,2,4,2,3,2,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,4,1,0,14,7,5,3,0,2,5,3
21 - Πρέβεζας,151 E.T. Δήμου Πρέβεζας,522,320,5,1,6,314,119,68,6,38,0,113,68,8,27,4,4,0,1,0,31,5,3,0,19,13,5,2,4,1,3,1,0,2,1,5,1,0,4,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,15,7,3,0,0,0,6,4
21 - Πρέβεζας,152 E.T. Δήμου Πρέβεζας,544,341,4,1,5,336,132,56,9,46,6,135,73,7,30,13,3,0,1,0,23,0,5,0,12,21,4,1,11,1,1,0,0,1,0,2,0,0,1,1,1,4,2,1,0,0,0,0,2,0,2,1,1,0,10,1,4,0,0,0,0,0
21 - Πρέβεζας,153 E.T. Δήμου Πρέβεζας,543,318,7,5,12,306,113,52,3,47,0,128,79,9,25,2,4,0,0,1,26,2,4,1,17,14,3,2,5,1,3,1,0,0,0,2,0,0,1,1,1,3,2,0,0,0,0,0,0,0,0,0,0,0,7,1,2,1,0,0,4,2
21 - Πρέβεζας,154 E.T. Δήμου Πρέβεζας,259,185,3,2,5,180,64,16,8,30,0,78,46,6,20,3,1,0,0,1,23,4,2,0,9,5,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,4,1
21 - Πρέβεζας,155 E.T. Δήμου Πρέβεζας,537,398,8,1,9,389,131,53,5,51,1,165,98,8,39,11,5,1,0,2,28,3,10,3,10,34,4,9,10,4,1,1,0,0,0,0,0,0,0,3,3,6,0,1,1,1,0,0,0,0,0,0,0,0,9,3,3,4,1,2,2,0
21 - Πρέβεζας,156 E.T. Δήμου Πρέβεζας,379,259,4,2,6,253,115,38,4,57,2,85,51,4,19,5,6,3,0,0,17,1,3,2,10,11,5,0,3,1,2,0,1,0,0,2,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,4,1,0,3,0,0,0,0
21 - Πρέβεζας,157 E.T. Δήμου Πρέβεζας,386,276,5,2,7,269,71,20,4,37,0,149,99,4,36,8,5,1,1,1,25,3,3,0,14,3,0,0,1,0,2,1,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,7,2
21 - Πρέβεζας,158 E.T. Δήμου Πρέβεζας,456,298,1,4,5,293,114,35,13,51,0,120,75,8,23,3,4,0,2,1,16,3,2,3,5,22,5,9,3,2,1,0,1,0,0,2,0,0,2,3,2,5,1,3,0,0,0,0,0,0,0,0,0,0,5,1,2,1,0,0,0,0
21 - Πρέβεζας,159 E.T. Δήμου Πρέβεζας,381,272,3,4,7,265,95,30,8,51,2,116,74,3,29,7,5,2,0,1,12,2,2,0,8,16,6,4,3,1,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,0,0,0,2,1,0,10,4,2,1,0,0,2,1
21 - Πρέβεζας,160 E.T. Δήμου Πρέβεζας,374,245,4,0,4,241,87,20,12,41,0,98,58,1,20,12,3,1,0,1,27,0,4,0,22,18,7,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,2,0,1,1,0,0,1,0
21 - Πρέβεζας,161 E.T. Δήμου Πρέβεζας,255,172,0,2,2,170,60,15,5,25,0,78,40,3,21,7,2,1,0,0,11,1,1,0,5,5,4,0,0,0,3,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,2,2,0,0,0,2,0,0,3,1,2,1,0,0,0,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από Εφετείο Θεσσαλονίκης),111,66,2,1,3,63,24,4,1,13,1,22,11,3,5,0,0,0,0,0,9,1,4,1,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από 121ο Ε.Τ. Νομ. Αττικής-Αθηνών),512,361,3,0,3,358,127,0,0,0,0,149,0,0,0,0,3,0,0,0,33,0,0,0,0,21,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,7,0,0,1,0,0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από 122ο Ε.Τ. Νομ. Αττικής-Αθηνών),528,382,2,2,4,378,128,0,0,0,0,159,0,0,0,0,3,0,0,0,32,0,0,0,0,25,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,3,0,0,3,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από 123ο Ε.Τ. Νομ. Αττικής-Αθηνών),505,349,1,3,4,345,109,0,0,0,0,131,0,0,0,0,10,0,0,0,37,0,0,0,0,27,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,14,0,0,1,0,0,4,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από 124ο Ε.Τ. Νομ. Αττικής-Αθηνών),533,338,1,4,5,333,111,0,0,0,0,131,0,0,0,0,10,0,0,0,31,0,0,0,0,25,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,2,0,0,0,0,0,8,0,0,0,0,0,6,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από 22ο Ε.Τ. Νομ. Αττικής-Πειραιώς),156,101,0,0,0,101,36,0,0,0,0,34,0,0,0,0,3,0,0,0,8,0,0,0,0,13,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0
21 - Πρέβεζας,Ετερ. Πρέβεζας (από Εφετείο Ναυπλίου),42,22,0,0,0,22,11,4,2,4,1,10,3,0,4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Σύνολο,,66995,39518,489,233,722,38796,13336,3144,1060,5772,479,16870,6852,1453,5915,689,639,186,58,86,3199,465,518,319,1147,2124,721,200,358,221,243,56,55,24,10,157,26,17,55,125,87,530,179,102,30,13,46,30,104,21,27,104,33,18,786,239,179,174,21,70,305,135
