ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΛΕΝΤΖΑΣ ΣΠΥΡΙΔΩΝ του Σωτηρίου,ΚΡΙΤΣΙΜΑ ΧΡΙΣΤΙΝΑ του Λάμπρου,ΜΠΑΡΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοφάνη,ΜΠΟΤΖΙΟΥ ΓΕΩΡΓΙΑ του Μιλτιάδη,Νέα Δημοκρατία,ΓΙΑΝΝΑΚΗΣ ΣΤΕΡΓΙΟΣ του Κωνσταντίνου,ΚΟΝΤΑΞΗ-ΝΑΣΗ ΣΕΒΑΣΤΗ (ΣΕΒΗ) του Ιωάννη,ΚΥΡΙΑΚΗΣ ΣΠΥΡΙΔΩΝ του Γεωργίου,ΡΑΒΑΝΟΥ ΔΗΜΗΤΡΑ του Ιωάννη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΑΚΟΥΛΑΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΝΤΡΙΚΟΥ ΑΓΓΕΛΙΚΗ του Παναγιώτη,ΤΕΦΑΣ ΓΕΩΡΓΙΟΣ του Ευαγγέλου,Κίνημα Αλλαγής,ΑΠΟΣΤΟΛΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΚΩΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,ΠΑΠΠΑ ΑΙΚΑΤΕΡΙΝΗ του Αδάμ,ΠΕΠΟΝΗΣ ΧΡΗΣΤΟΣ του Θωμά,Κ.Κ.Ε.,ΚΥΡΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωσήφ,ΜΑΛΕΖΑ ΖΗΝΟΒΙΑ του Ευσταθίου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΕΙΡΗΝΗ του Δημητρίου,ΠΟΥΜΠΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,Ένωση Κεντρώων,ΚΟΥΤΣΟΧΡΗΣΤΟΣ ΣΩΤΗΡΙΟΣ του Ηρακλή,ΛΙΑΣΚΟΥ ΣΩΤΗΡΙΑ του Ξενοφώντος,Ο.Κ.Δ.Ε.,ΖΑΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΟΥΡΕΚΑΣ ΘΕΟΔΩΡΟΣ του Κωνσταντίνου,ΓΙΑΡΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΝΑΝΟΣ ΕΥΑΓΓΕΛΟΣ του Σωτηρίου,Ελλήνων Συνέλευσις,ΣΑΚΚΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΑΣΙΛΙΚΑΡΗ ΑΡΕΤΗ του Γεωργίου,ΤΣΙΡΙΚΑΣ ΑΘΑΝΑΣΙΟΣ του Παναγιώτη,Κ.Κ.Ε. (μ-λ),ΝΟΥΣΙΑΣ ΟΡΕΣΤΗΣ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΝΤΟΥΣΚΟΣ ΠΕΤΡΟΣ του Οδυσσέα,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΤΡΑ ΔΙΟΝΥΣΙΑ του Πέτρου,ΣΙΑΡΚΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΛΑΪΝΑ ΠΑΡΘΕΝΙΑ του Νικολάου,ΛΙΒΙΕΡΑΤΟΣ ΝΙΚΟΛΑΟΣ του Ηλία,ΜέΡΑ25,ΝΙΚΟΥ ΕΡΩΤΟΚΡΙΤΟΣ του Διονυσίου,ΝΤΟΒΑ ΔΗΜΗΤΡΑ του Θεολόγου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΙΑΚΟΥΛΗ ΦΑΝΗ του Ιωάννη,ΠΑΠΑΚΩΣΤΑΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΟΥΜΕΛΙΩΤΗΣ ΣΤΕΦΑΝΟΣ του Ανδρέα
21 - Πρέβεζας,109 E.T. Δήμου Πρέβεζας,425,288,5,2,7,281,90,24,4,41,3,92,51,3,20,6,6,3,0,2,28,2,8,0,14,49,23,1,10,5,4,0,3,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,2,1,0,0,0,0,5,3,0,0,0,0,2,0
21 - Πρέβεζας,110 E.T. Δήμου Πρέβεζας,487,300,5,2,7,293,109,21,3,67,0,116,56,9,38,8,5,3,0,0,35,6,6,0,17,19,16,0,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,1,0,0,0,4,2,0,0,0,0,1,1
21 - Πρέβεζας,111 E.T. Δήμου Πρέβεζας,488,327,0,0,0,327,137,38,5,74,0,118,50,3,47,10,3,0,1,1,32,0,6,0,18,22,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,3,0,0,2,1
21 - Πρέβεζας,112 E.T. Δήμου Πρέβεζας,530,319,1,0,1,318,130,16,10,81,1,127,59,2,58,2,7,3,0,0,22,0,3,0,16,14,9,1,2,1,0,0,0,0,0,2,0,0,1,0,0,3,1,1,1,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,5,1
21 - Πρέβεζας,113 E.T. Δήμου Πρέβεζας,487,329,2,4,6,323,105,27,9,53,2,162,72,5,66,1,5,2,0,0,20,0,4,0,14,19,14,0,0,0,0,0,0,0,0,2,1,0,1,0,0,3,3,0,0,0,1,0,2,0,1,0,0,0,4,0,0,0,0,0,0,0
21 - Πρέβεζας,114 E.T. Δήμου Πρέβεζας,311,158,0,0,0,158,47,5,4,24,3,70,27,3,29,0,3,0,0,0,15,0,0,2,12,17,16,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,0,0
21 - Πρέβεζας,115 E.T. Δήμου Πρέβεζας,459,218,6,0,6,212,57,6,1,31,1,102,69,4,22,2,0,0,0,0,39,0,3,0,35,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,6,3,2,1,0,0,0,0
21 - Πρέβεζας,116 E.T. Δήμου Πρέβεζας,298,185,1,1,2,183,91,33,3,38,3,52,18,3,23,2,5,1,0,0,17,0,2,1,13,15,13,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21 - Πρέβεζας,117 E.T. Δήμου Πρέβεζας,187,110,0,3,3,107,50,10,2,24,3,37,12,5,15,1,3,1,0,0,10,1,0,0,9,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
21 - Πρέβεζας,118 E.T. Δήμου Πρέβεζας,168,104,2,0,2,102,54,19,2,29,0,17,9,1,6,0,1,0,0,1,10,2,0,0,7,16,14,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
21 - Πρέβεζας,119 E.T. Δήμου Πρέβεζας,206,118,0,0,0,118,58,11,4,26,1,33,24,1,6,0,1,1,0,0,23,3,0,1,18,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
21 - Πρέβεζας,120 E.T. Δήμου Πρέβεζας,98,48,0,0,0,48,20,3,0,9,0,23,14,1,5,3,1,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
21 - Πρέβεζας,121 E.T. Δήμου Πρέβεζας,319,148,1,2,3,145,36,10,5,19,1,73,33,8,24,2,7,3,0,3,15,2,0,1,8,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,2,1,1,0,0,0,3,2,1,0,0,0,2,1
21 - Πρέβεζας,122 E.T. Δήμου Πρέβεζας,370,212,3,2,5,207,83,0,42,25,1,84,43,2,32,2,2,0,0,0,20,2,3,0,11,7,6,0,0,1,2,2,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,1,3,2
