ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΣΟΥΛΤΑΝΑ του Παύλου,ΕΜΜΑΝΟΥΗΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΜΟΡΦΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανέστη,ΝΕΣΤΟΡΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Θεόδωρου,ΠΑΝΑΓΙΩΤΙΔΟΥ ΑΘΗΝΑ του Ιωάννη,ΠΑΠΑΦΙΛΙΠΠΟΥ ΓΕΩΡΓΙΟΣ του Αντωνίου,Νέα Δημοκρατία,ΚΑΛΑΝΤΖΗΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΛΑΖΑΡΙΔΗΣ ΜΑΚΑΡΙΟΣ του Βασιλείου,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΠΑΠΟΥΤΣΗ-ΜΗΤΤΑ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Δημητρίου,ΠΑΣΧΑΛΙΔΗΣ ΙΩΑΝΝΗΣ του Αδάμ,ΧΑΤΖΗΚΩΝΣΤΑΝΤΙΝΟΥ-ΚΑΣΜΕΝΗ ΜΑΡΙΑ (ΜΑΙΡΗ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΝΤΩΝΙΑΔΗΣ ΠΑΥΛΟΣ του Κωνσταντίνου,ΜΑΥΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Αναστασίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παντελή,ΤΣΑΦΑ ΔΕΣΠΟΙΝΑ του Ανέστη,Κίνημα Αλλαγής,ΜΑΝΤΕΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημοσθένη,ΠΑΠΑΚΟΣΜΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγή,ΠΑΠΟΥΤΣΗΣ ΔΗΜΗΤΡΙΟΣ του Πασχάλη,ΤΣΑΛΔΑΡΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΤΣΑΡΔΑΚΛΗ ΠΑΝΑΓΙΩΤΑ (ΓΙΩΤΑ) του Ορέστη,ΤΣΟΥΡΗ ΜΑΡΙΑ του Κυριάκου,Κ.Κ.Ε.,ΓΙΑΓΚΙΔΗΣ ΙΩΑΝΝΗΣ του Μιχαήλ,ΚΑΡΑΓΕΩΡΓΗ ΑΝΑΣΤΑΣΙΑ του Ηλία,ΚΟΝΤΟΓΕΩΡΓΙΟΥ ΘΕΟΔΩΡΟΣ του Γεωργίου,ΠΗΛΙΤΣΗ ΧΑΪΔΟΥΛΑ (ΧΑΡΙΣ) του Δημητρίου,ΣΥΜΕΩΝΙΔΗΣ ΘΕΟΔΩΡΟΣ του Φίλιππου,ΧΡΙΣΤΟΔΟΥΛΕΑ ΑΛΕΞΑΝΔΡΑ του Νικολάου,Ένωση Κεντρώων,ΓΙΑΛΕΛΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΛΥΣΙΜΑΧΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΠΑΣΧΑΛΗ ΔΗΜΗΤΡΑ του Βασιλείου,ΤΟΡΟΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΧΑΤΖΗΛΟΥΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΒΑΚΑΣ ΓΕΩΡΓΙΟΣ του Κοσμά,ΠΙΤΤΑ ΑΝΝΑ (ΤΑΤΙΑΝΑ) του Μάξιμου,ΠΟΖΙΔΟΥ ΡΟΖΑ του Σπυρίδωνα,Ελλήνων Συνέλευσις,ΔΑΛΓΙΑΝΝΑΚΗ ΑΘΗΝΑ του Στέφανου,ΚΑΡΑΚΟΖΙΔΗΣ ΗΛΙΑΣ του Χαράλαμπου,ΜΑΣΤΡΑΝΤΩΝΗ ΔΕΣΠΟΙΝΑ του Χρήστου,ΣΑΒΒΙΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΤΖΙΝΗΣ ΓΕΩΡΓΙΟΣ του Δούκα,ΧΩΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΑΛΑΚΟΥΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΑΣΤΟΡΗΣ ΜΕΝΕΛΑΟΣ του Θεολόγη,ΠΑΠΑΔΟΠΟΥΛΟΥ ΣΩΤΗΡΙΑ του Αλεξίου,ΠΙΠΕΡΓΙΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΧΑΤΖΗΓΙΑΝΝΙΔΟΥ ΠΑΝΑΓΙΩΤΑ του Χρήστου,ΨΑΡΑΓΚΑΘΟΣ ΑΘΑΝΑΣΙΟΣ του Αποστόλου,Κ.Κ.Ε. (μ-λ),ΑΣΒΕΣΤΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευσταθίου,Μ-Λ Κ.Κ.Ε.,ΠΑΣΑΧΙΔΗΣ ΧΡΗΣΤΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΒΟΛΟΝΑΚΗ ΕΥΤΥΧΙΑ του Σπυρίδωνος,ΓΟΥΔΕΒΕΝΟΥ ΚΑΛΛΙΟΠΗ του Σπυρίδωνα,ΝΙΚΗΤΑΣ ΜΙΧΑΗΛ του Νικήτα,ΠΑΚΑΤΑΡΙΔΗΣ ΣΑΒΒΑΣ του Ευσταθίου,Λαϊκή Ενότητα,ΙΩΑΝΝΙΔΗΣ ΗΛΙΑΣ του Λαζάρου,ΚΙΤΣΟΣ ΑΠΟΣΤΟΛΟΣ του Παναγιώτη,ΝΕΟΦΩΤΙΣΤΟΥ ΜΑΡΙΑ του Ανδρέα,ΠΑΠΑΔΟΠΟΥΛΟΥ ΒΑΛΣΑΜΗ του Αργυρίου,ΠΑΣΣΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΤΣΕΒΡΕΜΕΣ ΙΩΑΝΝΗΣ του Αγγελου,ΜέΡΑ25,ΚΡΙΘΑΡΙΔΗ ΤΑΤΙΑΝΑ του Βιατσεσλάβ,ΜΑΚΑΡΙΟΣ ΜΙΧΑΗΛ του Εμμανουήλ,ΝΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Στυλιανού,ΠΑΠΑΔΟΠΟΥΛΟΥ ΠΑΡΘΕΝΑ του Χαράλαμπου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΣΑΡΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΜΥΛΩΝΑΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,ΣΤΟΪΔΗΣ ΒΑΣΙΛΕΙΟΣ του Μάριου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΛΑΣΑΡΙΝΗ ΗΛΙΑΝΝΑ του Παναγιώτη
5 - Καβάλας,206 E.T. Δήμου Νέστου,598,332,5,3,8,324,81,34,14,10,8,10,4,147,25,54,43,14,61,19,14,11,4,1,2,24,0,1,15,10,3,4,4,0,0,0,1,2,0,4,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,17,9,2,5,1,0,1,0,1,0,2,1,0,0,1,2,0,2,0,0,0,0,6,1,1,1,0,1,1,1,0,0,4,1
5 - Καβάλας,207 E.T. Δήμου Νέστου,610,322,8,5,13,309,105,50,14,19,7,8,3,135,18,38,51,14,55,15,7,2,0,1,2,26,1,1,11,17,0,0,1,0,0,0,0,0,0,3,1,0,2,0,0,0,1,1,0,0,1,1,0,0,0,0,1,13,4,2,4,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,10,2,3,2,3,1,0,0,0,0,5,3
5 - Καβάλας,208 E.T. Δήμου Παγγαίου,569,321,6,0,6,315,74,27,28,7,15,6,4,159,14,13,58,4,79,13,9,3,1,2,1,31,1,8,27,1,2,1,11,8,3,4,1,1,1,4,3,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,11,1,4,2,2,0,1,0,0,0,0,5,0,0,3,2,2,1,0,1,0,0,0,4,1,0,0,1,0,0,0,0,0,4,1
5 - Καβάλας,209 E.T. Δήμου Παγγαίου,584,351,3,2,5,346,70,31,23,14,21,14,6,185,20,86,65,5,92,8,9,5,4,2,3,24,1,4,20,0,3,1,7,2,4,0,1,3,2,5,2,1,0,1,0,0,1,0,1,1,1,0,0,0,1,0,1,22,8,16,3,3,3,0,0,0,0,0,2,2,0,2,0,1,1,0,0,0,0,0,11,2,4,0,4,3,1,0,1,0,5,2
5 - Καβάλας,210 E.T. Δήμου Παγγαίου,573,319,5,2,7,312,79,23,24,16,21,11,4,153,25,68,35,5,79,14,8,3,2,0,0,27,1,2,25,0,2,5,6,1,0,0,0,1,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,12,1,5,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,1,3,1,2,3,1,1,0,0,4,0
5 - Καβάλας,211 E.T. Δήμου Παγγαίου,580,292,6,3,9,283,82,29,22,20,14,13,5,125,10,54,50,3,54,10,8,2,2,1,0,21,1,3,18,0,2,1,9,2,1,2,1,0,1,8,3,1,1,0,1,0,0,0,0,0,2,0,0,1,0,0,1,13,0,9,2,1,0,2,0,0,0,0,7,2,1,5,3,0,0,0,0,0,0,0,2,1,0,1,0,1,0,0,0,0,4,3
5 - Καβάλας,212 E.T. Δήμου Παγγαίου,594,304,2,2,4,300,80,25,26,16,11,12,6,129,15,58,33,4,74,7,17,7,1,3,0,14,0,2,13,0,0,0,7,0,2,0,0,1,0,5,2,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,16,5,6,2,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,3,1,3,1,0,0,0,16,8
5 - Καβάλας,213 E.T. Δήμου Παγγαίου,586,322,2,0,2,320,94,19,31,23,16,12,8,120,12,57,46,3,54,15,16,9,4,3,1,32,2,11,24,0,2,2,5,1,1,1,1,0,0,13,5,4,3,5,0,0,1,0,0,0,1,0,0,0,1,0,1,20,6,10,2,2,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,7,2,0,3,4,5,2,1,1,0,5,2
5 - Καβάλας,214 E.T. Δήμου Παγγαίου,601,298,3,5,8,290,84,24,26,20,24,7,9,133,20,60,49,6,56,11,9,5,0,5,3,22,4,3,17,0,3,6,3,2,2,0,1,0,0,11,3,1,2,2,0,0,1,0,1,0,1,0,1,0,0,0,1,11,1,8,0,2,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,8,1,3,2,3,0,0,0,0,0,4,3
5 - Καβάλας,215 E.T. Δήμου Παγγαίου,561,287,3,4,7,280,74,21,20,15,20,9,3,126,15,40,55,5,40,16,19,7,6,5,4,8,1,0,6,0,1,0,3,1,0,0,0,0,0,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,8,3,2,1,0,0,0,0,0,4,1,0,2,2,3,0,1,0,1,1,0,6,4,1,0,3,7,0,3,1,2,5,0
5 - Καβάλας,216 E.T. Δήμου Παγγαίου,580,325,2,1,3,322,96,37,27,15,20,12,5,143,21,62,44,9,66,12,7,4,3,3,1,29,1,9,20,4,2,3,7,0,1,0,2,1,1,2,0,1,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,0,0,0,0,2,2,0,0,0,0,0,11,1,0,2,2,0,0,0,0,0,0,0
5 - Καβάλας,217 E.T. Δήμου Παγγαίου,578,307,4,0,4,303,85,27,20,17,23,15,4,133,17,50,51,4,52,14,16,6,4,5,3,22,5,4,12,1,3,4,2,1,1,0,0,0,0,3,1,0,1,1,0,0,0,0,0,0,7,0,0,0,0,0,0,19,6,4,2,7,3,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,6,2,1,2,3,2,0,1,1,0,6,6
5 - Καβάλας,218 E.T. Δήμου Παγγαίου,574,298,9,6,15,283,69,31,13,3,9,4,12,121,25,45,51,14,26,16,7,0,3,2,0,21,2,2,10,3,5,1,11,1,3,0,2,4,0,4,0,0,0,1,1,1,1,0,0,0,2,2,0,0,0,2,0,17,6,1,4,1,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,2,1,2,5,1,0,2,0,17,8
5 - Καβάλας,219 E.T. Δήμου Παγγαίου,583,317,3,4,7,310,85,36,25,16,12,15,10,122,28,40,38,11,42,22,8,2,0,3,1,34,0,3,33,8,3,2,10,0,1,0,1,4,0,4,2,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,8,2,3,3,1,0,0,0,0,0,4,0,0,1,2,1,1,1,0,0,0,0,11,1,3,1,5,2,0,0,1,1,9,5
5 - Καβάλας,220 E.T. Δήμου Παγγαίου,582,313,2,3,5,308,84,23,18,11,32,10,3,132,25,54,36,9,66,12,9,3,2,1,2,32,0,2,25,0,11,3,9,2,2,0,1,0,0,5,0,1,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,19,1,16,2,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,1,7,0,0,0,0,2,1
5 - Καβάλας,221 E.T. Δήμου Παγγαίου,575,330,3,2,5,325,97,12,19,8,41,8,6,149,22,75,51,11,51,13,11,4,1,0,1,29,0,4,24,0,3,6,4,0,4,0,0,2,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,10,1,5,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,1,2,2,5,0,2,1,0,5,4
5 - Καβάλας,222 E.T. Δήμου Παγγαίου,570,261,5,4,9,252,51,14,20,16,4,7,2,140,18,69,46,13,49,13,10,6,2,4,0,21,0,0,18,3,4,2,4,3,0,1,0,0,1,2,0,0,0,0,0,0,1,0,1,1,5,2,0,0,4,1,3,13,4,7,2,5,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,1
5 - Καβάλας,223 E.T. Δήμου Παγγαίου,487,266,5,1,6,260,78,39,25,16,10,12,3,100,23,34,28,5,32,17,9,5,3,6,1,29,0,3,16,10,1,2,5,1,1,0,1,2,0,6,2,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,9,3,7,2,3,1,0,0,0,0,0,2,0,2,1,1,2,1,0,1,0,0,0,9,3,6,1,4,2,0,0,0,0,8,5
5 - Καβάλας,224 E.T. Δήμου Παγγαίου,471,260,3,4,7,253,71,37,15,25,8,7,0,101,6,34,23,3,42,15,13,2,3,2,3,29,3,6,19,9,2,2,11,2,3,0,1,6,0,3,0,1,0,1,0,0,2,0,0,0,2,0,2,0,1,0,0,13,3,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,1,1,0,4,2
5 - Καβάλας,225 E.T. Δήμου Παγγαίου,487,247,5,1,6,241,63,33,12,22,6,15,3,89,15,38,30,3,33,11,13,3,5,3,4,28,1,2,17,10,5,4,8,0,2,3,1,3,1,5,0,0,1,1,0,0,0,0,0,0,2,0,1,0,2,0,1,10,2,4,1,4,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,6,3,3,0,2,2,0,0,0,0,13,7
5 - Καβάλας,226 E.T. Δήμου Παγγαίου,494,242,1,0,1,241,53,18,8,21,4,7,7,89,21,31,36,9,32,13,13,5,5,1,1,41,5,5,25,10,7,2,4,1,1,1,2,0,1,4,0,1,1,0,0,0,2,2,0,1,4,0,3,0,4,0,1,13,3,2,5,3,5,0,0,0,0,0,3,1,0,1,1,2,2,0,0,0,1,0,5,1,4,1,2,4,0,1,0,0,4,0
5 - Καβάλας,227 E.T. Δήμου Παγγαίου,552,295,2,3,5,290,45,14,13,5,5,7,9,141,37,43,45,9,73,4,16,2,8,4,4,29,2,4,21,3,6,1,3,0,1,0,1,2,0,2,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,29,4,19,6,8,2,0,0,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,12,2,3,4,5,1,1,0,1,0,9,8
5 - Καβάλας,228 E.T. Δήμου Παγγαίου,488,315,3,4,7,308,79,27,46,19,2,6,2,144,30,32,72,12,66,10,13,6,2,0,2,21,0,6,8,4,1,4,11,1,4,1,2,4,1,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,0,2,8,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,9,0,4,2,3,1,0,0,0,0,7,2
5 - Καβάλας,229 E.T. Δήμου Παγγαίου,482,315,6,2,8,307,70,28,28,9,2,8,5,161,36,40,59,15,82,12,19,10,4,1,0,10,0,2,7,0,1,0,8,2,1,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,7,3,3,6,2,0,0,0,0,0,3,0,0,0,3,3,1,0,0,0,2,1,3,1,0,1,1,5,0,0,1,1,3,0
5 - Καβάλας,230 E.T. Δήμου Παγγαίου,483,299,6,2,8,291,68,18,30,10,8,8,1,132,30,27,59,13,55,14,10,4,3,0,0,19,0,6,12,3,2,2,7,0,0,2,1,1,0,6,2,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,23,5,1,4,8,5,5,0,0,0,0,1,0,0,0,0,2,1,1,0,0,0,0,15,5,2,2,0,5,1,1,2,0,2,1
5 - Καβάλας,231 E.T. Δήμου Παγγαίου,480,293,5,2,7,286,67,17,40,5,3,4,2,127,24,35,59,5,49,3,16,5,4,6,5,20,3,3,16,0,2,4,18,1,9,1,0,13,2,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,5,6,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,4,2,5,3,0,0,1,2,6,3
5 - Καβάλας,232 E.T. Δήμου Παγγαίου,497,298,4,3,7,291,78,26,41,8,3,9,4,142,25,50,56,10,54,9,10,2,2,0,0,17,0,5,12,1,3,2,4,1,1,1,0,0,0,5,0,0,0,0,0,0,1,0,0,0,3,1,0,1,1,0,1,14,3,2,2,4,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,8,2,2,0,0,2,1,0,0,0,5,3
5 - Καβάλας,233 E.T. Δήμου Παγγαίου,470,291,1,2,3,288,71,30,23,10,8,15,2,126,12,35,67,9,68,19,4,0,0,0,0,18,1,2,13,3,3,2,5,0,2,3,3,1,0,4,1,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,1,30,10,7,2,10,6,2,0,0,0,0,4,2,2,2,2,2,0,0,0,1,1,0,10,1,2,2,3,5,2,1,1,1,8,4
5 - Καβάλας,234 E.T. Δήμου Παγγαίου,402,252,0,2,2,250,52,24,10,11,11,12,2,129,23,31,41,4,84,7,6,3,3,2,0,30,0,2,24,3,3,4,4,2,1,1,0,0,1,4,2,0,0,2,0,0,0,0,0,0,3,0,0,0,3,0,3,8,3,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,6,2,1,3,1,4,0,2,1,0,3,0
5 - Καβάλας,235 E.T. Δήμου Παγγαίου,401,259,4,0,4,255,62,34,17,5,8,12,2,115,7,27,61,9,65,7,9,5,2,3,3,29,2,6,19,4,4,2,6,0,2,1,0,2,0,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,2,1,2,0,0,0,0,0,0,4,1,0,1,2,2,1,0,0,0,1,0,4,1,3,2,1,4,0,3,1,0,5,3
5 - Καβάλας,236 E.T. Δήμου Παγγαίου,431,304,0,1,1,303,68,39,26,11,4,13,4,142,25,40,53,5,91,4,8,4,5,0,0,48,3,7,32,5,10,2,2,1,1,0,0,0,1,8,2,2,4,2,0,0,1,0,0,0,0,0,0,0,0,0,0,14,7,3,1,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,4,2,0,0,2,3,0,3,0,0,4,3
5 - Καβάλας,237 E.T. Δήμου Παγγαίου,451,275,1,2,3,272,71,18,27,10,5,6,4,125,15,18,49,10,74,14,7,3,2,0,2,18,0,2,12,1,2,1,7,0,0,2,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,23,9,4,2,9,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,6,1,0,0,0,3,1,0,0,0,4,2
5 - Καβάλας,238 E.T. Δήμου Παγγαίου,467,272,3,0,3,269,58,14,27,5,3,6,9,117,21,19,49,9,61,6,13,7,3,1,1,18,1,6,11,0,4,0,14,1,3,0,0,1,3,4,1,2,0,2,1,0,1,0,0,0,5,3,0,2,2,0,3,21,3,6,2,8,0,1,0,0,0,0,2,0,0,1,0,3,2,0,0,0,2,0,3,0,2,1,2,3,0,1,0,1,6,1
5 - Καβάλας,239 E.T. Δήμου Παγγαίου,475,244,2,3,5,239,39,14,13,7,1,6,4,119,15,20,47,12,72,7,9,6,6,1,1,29,0,4,21,3,3,5,3,1,1,0,2,0,0,1,1,0,0,1,0,0,0,0,0,0,4,2,0,0,2,0,3,16,5,1,1,11,1,2,1,0,0,0,1,0,0,0,0,9,3,1,0,0,9,0,4,1,1,0,1,3,2,1,0,1,1,0
5 - Καβάλας,240 E.T. Δήμου Παγγαίου,460,317,6,1,7,310,52,14,12,14,3,7,3,190,19,32,87,34,87,24,8,2,0,0,0,15,0,4,11,1,2,2,9,0,1,0,0,4,1,5,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,19,6,4,2,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,0,1,3,0,1,0,1,2,2
5 - Καβάλας,241 E.T. Δήμου Παγγαίου,502,304,10,1,11,293,63,26,15,13,4,19,3,137,31,49,63,9,38,23,10,3,5,3,1,16,0,4,11,1,3,7,10,1,3,2,1,1,0,4,1,1,1,2,0,0,0,0,0,0,1,0,0,0,1,0,1,26,10,5,5,8,3,2,0,0,0,0,10,1,10,7,0,4,2,0,0,1,0,0,7,1,1,1,1,3,0,0,0,1,2,0
5 - Καβάλας,242 E.T. Δήμου Παγγαίου,527,355,5,4,9,346,73,41,19,14,4,19,4,159,37,52,68,18,52,26,8,2,2,1,0,30,1,12,18,3,4,6,7,0,3,1,1,3,0,7,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,26,10,9,3,9,4,1,0,0,0,0,6,0,4,5,0,2,1,0,0,0,0,1,11,9,5,4,3,2,0,0,0,1,15,8
5 - Καβάλας,243 E.T. Δήμου Παγγαίου,611,382,1,3,4,378,46,14,13,8,8,7,2,209,28,81,87,10,134,17,25,11,9,4,2,24,1,3,11,1,4,3,1,0,0,0,0,0,0,10,0,0,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,41,14,12,5,18,4,4,0,0,0,0,4,1,1,1,0,1,0,0,0,0,0,1,6,1,1,1,0,3,0,1,0,1,7,3
5 - Καβάλας,244 E.T. Δήμου Παγγαίου,451,279,1,0,1,278,43,19,6,6,8,6,3,143,22,56,48,3,60,21,12,6,1,0,0,31,4,5,22,3,8,6,14,0,0,0,0,9,0,1,0,0,0,1,0,0,0,0,0,0,6,2,1,0,0,0,0,13,1,3,0,2,2,5,0,0,0,0,2,1,0,0,0,1,1,0,0,0,0,0,5,0,2,2,1,2,1,0,0,0,5,4
5 - Καβάλας,245 E.T. Δήμου Παγγαίου,430,272,1,2,3,269,35,16,12,2,9,7,4,160,26,65,57,8,88,16,10,4,3,2,0,17,1,1,14,1,3,2,12,0,2,0,0,11,1,4,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,5,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,3,0,1,4,0,0,0,0,0,3,2
5 - Καβάλας,246 E.T. Δήμου Παγγαίου,543,334,5,2,7,327,67,24,15,8,4,13,10,136,16,44,73,8,45,15,11,6,2,0,3,20,2,2,16,2,7,2,6,3,1,0,0,3,3,8,2,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,60,5,2,1,2,2,53,0,0,0,0,5,0,1,1,0,0,0,0,0,0,0,0,8,0,1,1,2,0,0,0,0,0,6,1
5 - Καβάλας,247 E.T. Δήμου Παγγαίου,454,287,3,0,3,284,36,7,6,5,5,4,0,179,27,63,83,7,69,29,8,4,1,1,2,26,0,3,17,3,9,1,2,0,0,0,0,1,1,6,1,1,2,1,0,0,2,1,0,0,0,0,0,0,0,0,0,9,1,2,0,2,0,3,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,0,6,1,2,0,0,1,0,0,0,0,7,5
5 - Καβάλας,248 E.T. Δήμου Παγγαίου,383,247,5,0,5,242,44,21,11,8,5,11,2,107,15,47,42,6,33,9,12,10,1,2,1,38,0,0,16,1,19,0,5,1,1,0,1,1,0,7,1,1,1,4,0,0,0,0,0,0,1,0,0,0,0,0,0,15,3,3,2,1,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,9,0,3,3,3,2,0,2,2,0,1,0
5 - Καβάλας,249 E.T. Δήμου Παγγαίου,506,283,4,2,6,277,34,15,11,10,5,4,2,140,24,63,56,4,63,17,13,10,3,0,0,55,1,8,49,2,19,13,7,3,1,0,0,3,0,5,0,2,1,2,0,0,0,0,0,0,4,0,0,0,3,0,3,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,2,5,7,0,0,0,0,0,2,1
5 - Καβάλας,250 E.T. Δήμου Παγγαίου,432,248,4,1,5,243,32,16,7,6,4,4,0,120,25,64,43,9,34,26,9,6,1,4,2,37,1,8,27,6,16,4,6,0,2,0,2,1,1,7,2,5,3,2,0,0,0,0,0,0,4,0,0,0,3,0,4,5,1,3,0,0,1,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,10,1,4,2,3,2,0,2,2,0,8,3
5 - Καβάλας,251 E.T. Δήμου Παγγαίου,409,231,2,0,2,229,38,11,7,8,5,6,5,114,10,49,32,9,48,10,13,9,2,2,0,21,0,4,14,2,2,4,2,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,27,2,3,1,4,1,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,1,0,0,0,0,0,0,5,4
5 - Καβάλας,252 E.T. Δήμου Παγγαίου,401,240,4,5,9,231,68,24,20,17,5,16,19,85,25,26,35,2,33,11,4,2,0,2,1,27,0,6,24,2,6,3,0,0,0,0,0,0,0,6,1,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,28,5,5,1,1,2,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,1,3,1,1,0,0,4,1
