ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΕΟΠΕΦΤΑΤΟΥ ΑΦΡΟΔΙΤΗ του Χρήστου,ΜΠΑΤΙΣΤΑΤΟΣ ΑΡΙΣΤΟΤΕΛΗΣ του Διονυσίου,ΣΤΑΘΟΠΟΥΛΟΥ ΑΝΝΑ του Νικολάου,Νέα Δημοκρατία,ΑΛΕΞΑΝΔΡΑΤΟΥ ΒΙΚΤΩΡΙΑ του Πλούταρχου,ΚΑΠΠΑΤΟΣ ΠΑΝΑΓΗΣ του Σπυρίδωνος - Διονυσίου,ΚΟΚΚΟΛΗΣ ΓΕΩΡΓΙΟΣ (ΜΠΡΑΟΥΝΗΣ) του Σπυρίδωνος,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΑΒΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΟΙΚΟΝΟΜΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΣΒΟΡΩΝΟΣ ΠΑΝΑΓΗΣ του Νικολάου,Κίνημα Αλλαγής,ΚΟΥΓΙΑΝΟΣ ΓΕΡΑΣΙΜΟΣ του Σπυρίδωνος,ΠΑΞΙΝΟΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΤΣΙΜΑΡΑ ΒΑΣΙΛΙΚΗ (ΒΙΚΥ) του Βαλεντίνου,Κ.Κ.Ε.,ΑΛΙΒΙΖΑΤΟΣ ΔΙΟΝΥΣΙΟΣ του Παναγή,ΜΑΝΤΖΟΥΡΑΤΟΣ ΔΗΜΗΤΡΙΟΣ του Χαράλαμπου,ΠΟΤΑΜΙΑΝΟΥ ΣΟΦΙΑ του Φωτίου,Ένωση Κεντρώων,ΔΑΜΟΥ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΤΖΟΥΜΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΜΙΧΑΗΛΙΔΟΥ ΜΑΓΔΑΛΗΝΗ του Θεοδοσίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΪΤΑΝΙΔΟΥ ΕΥΑΝΘΙΑ του Γερασίμου - Δημητρίου,ΓΑΛΙΑΤΣΑΤΟΣ ΝΙΚΟΛΑΟΣ του Διονυσίου,ΛΟΥΡΑΝΤΟΣ ΝΙΚΟΛΑΟΣ του Γερασίμου,Ελλήνων Συνέλευσις,ΜΕΤΑΞΑΣ ΓΙΑΝΝΗΚΩΣΤΑΣ του Όθωνος,Ελληνική Λύση - Κ. Βελόπουλος,ΑΤΣΑΡΟΣ ΧΡΙΣΤΟΧΡΟΝΗΣ του Σπυρογεράσιμου,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΛΑΜΠΑΔΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΒΛΑΧΟΣ ΓΑΒΡΙΗΛ του Παντελή,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΜΗΤΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΓΚΑΔΗΣ ΓΕΡΑΣΙΜΟΣ του Μιχαήλ,ΜέΡΑ25,ΜΑΝΩΛΑΤΟΣ ΓΑΒΡΙΗΛ του Αργυρίου,ΜΑΡΟΥΛΗ ΧΡΙΣΤΙΝΑ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΣΙΜΩΤΑΣ ΔΗΜΗΤΡΙΟΣ του Παναγή,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΡΑΒΑΝΤΙΝΟΥ ΒΑΡΒΑΡΑ του Καίσαρα - Χοϊδά
28 - Κεφαλληνίας,73 E.T. Δήμου Σάμης,254,69,1,1,2,67,14,9,3,1,32,5,11,16,1,0,1,0,8,2,1,3,5,1,2,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,1,1
28 - Κεφαλληνίας,74 E.T. Δήμου Σάμης,350,109,2,1,3,106,35,17,4,0,42,3,10,27,0,0,0,0,9,1,0,7,3,1,1,0,3,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,5,2,0,0,7,2,0,0,0,0,0
28 - Κεφαλληνίας,75 E.T. Δήμου Σάμης,535,190,2,1,3,187,43,24,8,3,103,14,27,51,1,0,0,0,11,1,0,3,16,3,5,2,1,0,0,0,0,3,1,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,5,1,2,2,2,0,0
28 - Κεφαλληνίας,76 E.T. Δήμου Αργοστολίου,361,167,1,1,2,165,49,27,9,3,46,14,20,11,6,2,0,0,6,4,0,0,30,13,6,6,1,1,0,0,0,0,0,0,0,2,1,4,2,1,0,0,0,0,0,0,0,4,4,8,2,4,0,0,9,0
28 - Κεφαλληνίας,77 E.T. Δήμου Αργοστολίου,440,204,4,2,6,198,59,27,9,3,65,14,30,13,13,4,2,2,8,0,0,4,24,21,0,3,1,0,0,0,0,3,0,2,0,3,2,10,0,0,5,0,0,0,0,0,0,4,3,4,0,2,0,0,4,2
28 - Κεφαλληνίας,78 E.T. Δήμου Αργοστολίου,526,262,3,5,8,254,83,45,13,1,79,19,34,14,13,4,1,2,15,8,0,5,28,24,0,1,1,0,0,0,0,0,0,0,0,5,3,5,0,0,0,1,0,0,0,0,0,0,0,17,5,1,2,0,5,2
28 - Κεφαλληνίας,79 E.T. Δήμου Αργοστολίου,363,184,2,3,5,179,47,16,7,4,98,17,57,16,2,1,0,0,4,0,0,3,13,5,0,3,1,0,0,0,0,1,0,0,0,1,0,3,1,0,0,0,0,0,0,1,0,0,0,5,3,0,3,0,0,0
28 - Κεφαλληνίας,80 E.T. Δήμου Αργοστολίου,543,277,5,5,10,267,89,33,18,5,109,13,57,25,7,0,2,1,13,3,0,1,9,1,3,1,6,2,1,0,0,2,1,0,0,0,0,8,3,1,0,2,2,1,1,2,0,1,0,12,1,2,1,1,5,3
28 - Κεφαλληνίας,81 E.T. Δήμου Αργοστολίου,266,109,4,1,5,104,27,6,10,1,29,6,14,7,10,1,1,3,1,1,0,0,15,9,0,1,1,0,0,0,0,2,1,0,0,2,1,3,1,1,0,0,0,0,0,4,2,1,0,4,0,1,0,0,5,1
28 - Κεφαλληνίας,82 E.T. Δήμου Αργοστολίου,341,157,3,1,4,153,38,21,8,4,61,5,42,11,4,1,0,3,22,17,0,4,7,5,1,1,0,0,0,1,0,2,2,0,0,0,0,5,1,0,2,0,0,0,0,1,0,3,3,7,3,4,1,0,1,1
28 - Κεφαλληνίας,83 E.T. Δήμου Αργοστολίου,373,147,1,3,4,143,51,23,10,2,41,3,22,12,6,6,0,0,14,6,0,6,7,2,1,2,0,0,0,0,0,2,1,0,0,0,0,6,4,0,1,0,0,0,0,1,0,0,0,7,2,3,2,2,6,5
28 - Κεφαλληνίας,84 E.T. Δήμου Αργοστολίου,302,125,0,1,1,124,23,7,5,4,40,9,13,14,4,1,0,3,14,1,0,5,23,15,4,1,3,2,1,0,0,1,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,1,7,1,2,1,0,1,0
28 - Κεφαλληνίας,85 E.T. Δήμου Αργοστολίου,331,187,2,0,2,185,75,36,16,6,57,9,30,14,4,2,0,1,14,1,1,9,14,3,3,3,0,0,0,0,0,0,0,0,0,2,2,3,2,1,0,0,0,2,1,1,0,3,3,6,2,2,1,1,3,2
28 - Κεφαλληνίας,86 E.T. Δήμου Αργοστολίου,322,171,1,3,4,167,42,16,14,4,72,8,52,9,4,1,0,2,15,3,0,11,13,5,2,3,3,2,0,0,0,1,1,0,0,0,0,10,5,0,2,0,0,0,0,0,0,0,0,3,1,2,0,0,4,2
28 - Κεφαλληνίας,87 E.T. Δήμου Αργοστολίου,508,196,2,3,5,191,59,29,14,4,75,12,26,31,12,2,2,5,8,1,0,4,14,0,1,5,4,1,2,0,0,0,0,0,0,0,0,6,2,1,2,0,0,0,0,0,0,1,1,7,2,2,2,0,3,3
28 - Κεφαλληνίας,88 E.T. Δήμου Αργοστολίου,422,176,6,1,7,169,48,18,13,5,66,15,32,13,9,3,0,5,17,10,0,3,5,0,2,1,2,0,0,0,0,2,0,0,0,2,2,8,4,0,1,0,0,0,0,0,0,1,1,3,1,2,2,1,4,1
28 - Κεφαλληνίας,89 E.T. Δήμου Αργοστολίου,519,209,4,1,5,204,77,30,31,4,83,17,44,14,7,0,0,4,8,5,1,0,7,1,1,2,0,0,0,0,0,0,0,0,0,7,6,4,1,1,0,0,0,0,0,0,0,0,0,5,0,4,3,2,3,0
28 - Κεφαλληνίας,90 E.T. Δήμου Αργοστολίου,298,159,0,6,6,153,47,12,7,3,55,9,24,7,8,1,1,1,9,3,0,1,9,1,3,1,1,0,0,0,0,1,1,0,0,0,0,5,0,1,1,0,0,0,0,0,0,2,0,9,0,4,0,0,7,0
28 - Κεφαλληνίας,91 E.T. Δήμου Αργοστολίου,333,159,6,0,6,153,52,16,12,3,47,6,28,9,7,2,0,1,7,4,0,2,22,4,2,11,0,0,0,0,0,1,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,2,1,5,0,1,0,0,2,1
28 - Κεφαλληνίας,92 E.T. Δήμου Αργοστολίου,466,202,3,1,4,198,49,18,13,1,103,39,0,0,13,4,2,2,9,4,0,2,11,3,4,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,0,4,0
28 - Κεφαλληνίας,93 E.T. Δήμου Αργοστολίου,451,184,2,1,3,181,46,25,13,1,87,32,20,28,10,8,0,2,9,6,0,2,10,4,1,3,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,4,3,0,0,5,3,1,3,1,3,2
28 - Κεφαλληνίας,94 E.T. Δήμου Αργοστολίου,495,222,3,2,5,217,74,34,16,5,80,24,23,27,16,8,1,2,3,3,0,0,19,7,3,1,2,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,0,1,0,1,0,8,3,4,2,0,5,0
28 - Κεφαλληνίας,95 E.T. Δήμου Ληξουρίου,523,181,2,2,4,177,59,26,8,1,35,10,12,9,1,0,0,1,7,4,1,0,58,0,45,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,7,2,2,0,0,4,0
28 - Κεφαλληνίας,96 E.T. Δήμου Ληξουρίου,312,127,6,2,8,119,37,8,14,0,42,7,16,10,6,1,1,0,9,7,0,1,17,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,1,0
28 - Κεφαλληνίας,97 E.T. Δήμου Ληξουρίου,357,132,1,1,2,130,62,17,31,3,15,2,2,6,1,0,0,0,6,1,0,4,34,0,26,1,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,2,1,0,3,1
28 - Κεφαλληνίας,98 E.T. Δήμου Ληξουρίου,469,241,2,1,3,238,100,23,29,10,57,12,8,25,5,0,0,0,20,9,0,5,37,0,21,2,3,0,0,0,0,2,1,1,0,0,0,3,0,0,0,0,0,0,0,3,2,0,0,2,0,0,2,1,4,3
28 - Κεφαλληνίας,99 E.T. Δήμου Ληξουρίου,521,250,1,1,2,248,79,31,16,8,63,15,21,24,7,3,1,1,15,3,0,4,54,0,40,1,1,1,0,0,0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,2,2,5,3,6,3,2,2,0,10,5
28 - Κεφαλληνίας,100 E.T. Δήμου Ληξουρίου,199,77,0,0,0,77,33,11,5,3,14,7,4,1,2,0,0,0,5,0,0,1,15,1,9,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0
28 - Κεφαλληνίας,101 E.T. Δήμου Ληξουρίου,327,182,3,0,3,179,50,17,12,5,68,8,21,30,10,1,1,2,5,2,0,1,31,0,29,0,0,0,0,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,2,1,1,0,6,1,3,0,0,1,0
28 - Κεφαλληνίας,102 E.T. Δήμου Ληξουρίου,523,245,3,2,5,240,93,51,14,6,84,18,28,25,8,5,0,2,6,0,0,4,24,2,16,1,1,1,0,0,0,0,0,0,0,0,0,10,3,4,2,0,0,0,0,0,0,3,0,6,2,2,1,0,4,1
28 - Κεφαλληνίας,103 E.T. Δήμου Ληξουρίου,557,240,2,2,4,236,111,52,29,8,50,19,9,18,4,1,1,2,18,6,3,6,21,0,17,0,3,1,1,0,0,1,0,0,0,0,0,6,1,4,0,0,0,0,0,4,2,1,0,8,4,1,2,0,7,5
28 - Κεφαλληνίας,104 E.T. Δήμου Ληξουρίου,533,222,4,1,5,217,92,39,32,2,59,13,20,16,4,0,0,1,10,2,0,6,36,1,23,2,3,1,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,6,1,2,0,0,4,0
28 - Κεφαλληνίας,105 E.T. Δήμου Ληξουρίου,545,269,3,1,4,265,94,42,27,6,100,22,31,32,7,0,2,1,12,4,2,3,35,1,25,1,2,0,2,0,0,2,1,0,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,6,1,1,0,0,4,3
28 - Κεφαλληνίας,106 E.T. Δήμου Ληξουρίου,521,211,4,0,4,207,92,31,29,4,64,11,24,19,5,2,1,1,7,2,0,2,17,0,12,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0,3,0,1,0,6,0,4,1,0,4,2
28 - Κεφαλληνίας,107 E.T. Δήμου Ληξουρίου,520,231,1,0,1,230,80,26,27,5,84,19,37,20,6,2,0,0,6,6,0,0,36,2,22,0,2,0,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,1,0,0,0,5,2,0,3,0,3,1
28 - Κεφαλληνίας,108 E.T. Δήμου Ληξουρίου,531,275,2,2,4,271,146,60,47,7,75,24,13,20,5,0,0,3,13,6,0,1,19,1,14,0,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,6,2,0,0,0,1,0
28 - Κεφαλληνίας,109 E.T. Δήμου Ληξουρίου,527,222,1,0,1,221,93,45,24,4,61,23,17,17,4,3,0,0,9,2,0,4,20,0,19,1,2,1,0,0,0,1,0,0,0,0,0,6,1,0,1,0,0,0,0,0,0,1,1,18,4,5,2,1,4,3
28 - Κεφαλληνίας,110 E.T. Δήμου Ληξουρίου,541,239,2,5,7,232,93,39,33,3,87,21,21,31,3,1,0,0,7,2,0,3,23,1,16,2,3,0,1,0,0,1,1,0,0,1,0,3,1,0,1,0,0,1,0,0,0,1,1,8,1,2,0,0,1,1
28 - Κεφαλληνίας,111 E.T. Δήμου Ληξουρίου,512,162,1,0,1,161,67,21,17,5,32,2,7,21,7,3,1,1,11,3,1,3,22,0,12,9,2,0,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,7,2,1,0,0,6,3
28 - Κεφαλληνίας,112 E.T. Δήμου Ληξουρίου,108,42,0,0,0,42,11,9,2,0,3,0,0,2,3,0,1,0,7,3,2,0,10,0,10,0,4,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
28 - Κεφαλληνίας,113 E.T. Δήμου Ληξουρίου,392,145,2,1,3,142,59,20,20,5,41,9,10,12,2,1,0,1,12,5,1,2,13,0,11,0,2,1,0,0,0,0,0,0,0,0,0,5,3,1,0,2,0,0,0,1,1,1,1,3,1,2,0,0,1,0
28 - Κεφαλληνίας,114 E.T. Δήμου Ληξουρίου,420,198,0,1,1,197,97,48,29,3,42,12,15,12,3,0,1,2,6,4,0,0,24,1,17,2,5,3,1,0,0,0,0,0,0,0,0,6,1,4,0,1,0,0,0,2,0,0,0,9,1,6,1,0,1,0
28 - Κεφαλληνίας,115 E.T. Δήμου Ληξουρίου,237,106,2,1,3,103,32,8,9,2,29,5,11,8,5,1,2,0,2,0,0,1,21,0,13,4,0,0,0,0,0,1,0,1,0,0,0,9,1,2,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,1
28 - Κεφαλληνίας,116 E.T. Δήμου Ληξουρίου,412,139,1,2,3,136,79,22,29,3,40,10,16,9,6,1,1,0,5,1,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 - Κεφαλληνίας,117 E.T. Δήμου Ληξουρίου,413,162,2,1,3,159,70,22,23,5,64,22,13,24,1,0,0,0,5,1,0,3,9,0,8,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,2,0,1,2,1,1,0
28 - Κεφαλληνίας,118 E.T. Δήμου Ληξουρίου,414,173,0,3,3,170,83,29,31,5,46,11,9,19,5,0,1,0,5,0,0,0,13,2,7,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0,8,0,7,0,0,5,2
28 - Κεφαλληνίας,119 E.T. Δήμου Σάμης,425,197,5,1,6,191,55,28,10,5,76,36,18,17,4,2,0,1,9,5,0,1,27,1,11,7,5,2,3,0,0,2,1,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,8,2,2,2,0,1,0
28 - Κεφαλληνίας,120 E.T. Δήμου Σάμης,519,226,2,3,5,221,62,25,15,3,111,41,11,45,13,7,0,2,5,4,0,1,10,0,4,2,2,2,0,0,0,3,1,0,0,0,0,5,1,0,2,1,1,0,0,1,0,1,0,5,0,3,0,0,2,0
28 - Κεφαλληνίας,121 E.T. Δήμου Σάμης,311,124,4,2,6,118,32,19,2,2,59,28,11,19,0,0,0,0,8,1,1,1,6,0,0,3,2,0,1,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,0,0,0,5,1,1,2,0,1,1
28 - Κεφαλληνίας,122 E.T. Δήμου Σάμης,341,123,2,2,4,119,41,18,10,9,45,13,12,12,9,3,3,0,1,1,0,0,14,1,1,11,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,2,0,1,1,1,2,1
28 - Κεφαλληνίας,123 E.T. Δήμου Σάμης,469,178,2,1,3,175,46,25,3,1,75,45,10,10,1,0,0,0,8,4,0,0,25,1,5,9,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,1,2,2,1,0,10,1,5,0,0,2,1
28 - Κεφαλληνίας,124 E.T. Δήμου Σάμης,450,132,3,3,6,126,29,10,10,2,52,22,6,18,0,0,0,0,19,14,0,2,15,1,7,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,6,3,1,0,0,3,0
28 - Κεφαλληνίας,125 E.T. Δήμου Σάμης,436,135,0,1,1,134,50,25,13,0,39,8,17,12,3,0,0,0,14,10,0,4,12,1,2,3,4,1,2,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,2,1,1,3,1,2,1
28 - Κεφαλληνίας,126 E.T. Δήμου Σάμης,351,123,3,0,3,120,45,23,11,1,32,9,9,8,1,0,0,0,5,1,0,1,23,0,6,4,0,0,0,0,0,1,0,0,0,0,0,5,3,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,5,1
28 - Κεφαλληνίας,127 E.T. Δήμου Σάμης,379,121,4,0,4,117,42,24,2,3,42,20,1,17,2,1,0,1,10,6,0,1,5,0,1,2,2,2,0,0,0,3,0,0,0,0,0,5,2,0,1,1,1,1,1,0,0,0,0,3,1,1,0,0,1,1
28 - Κεφαλληνίας,128 E.T. Δήμου Σάμης,296,105,1,0,1,104,33,15,2,6,41,14,8,10,1,1,0,0,10,6,2,0,7,1,1,2,3,1,0,0,0,1,0,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0
28 - Κεφαλληνίας,129 E.T. Δήμου Σάμης,318,163,1,0,1,162,40,16,3,2,44,16,10,10,5,1,0,1,20,11,1,0,24,1,2,10,5,0,0,0,0,0,0,0,0,0,0,5,2,1,0,0,0,0,0,1,0,0,0,8,1,0,1,1,9,0
28 - Κεφαλληνίας,130 E.T. Δήμου Σάμης,435,107,3,1,4,103,31,12,3,0,54,11,30,8,0,0,0,0,5,2,1,0,9,0,5,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28 - Κεφαλληνίας,131 E.T. Δήμου Σάμης,275,74,1,1,2,72,18,7,8,0,40,13,20,5,0,0,0,0,4,0,4,0,6,2,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0
28 - Κεφαλληνίας,132 E.T. Δήμου Σάμης,308,100,4,0,4,96,38,9,13,5,28,8,5,6,0,0,0,0,12,4,6,2,8,1,1,3,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,1
28 - Κεφαλληνίας,133 E.T. Δήμου Σάμης,420,226,2,5,7,219,81,45,15,1,67,19,29,11,8,2,0,2,14,6,2,0,20,3,7,2,3,1,1,4,0,0,0,0,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,7,1,2,0,0,9,1
28 - Κεφαλληνίας,134 E.T. Δήμου Σάμης,418,192,1,3,4,188,60,31,3,1,62,21,26,10,4,2,2,0,10,5,0,0,16,1,7,1,2,1,1,0,0,2,0,0,1,0,0,6,1,2,3,1,0,1,1,2,1,2,0,12,11,1,3,3,5,1
28 - Κεφαλληνίας,135 E.T. Δήμου Σάμης,458,218,4,1,5,213,64,33,9,6,73,20,28,16,7,1,1,0,12,7,1,3,14,1,7,3,6,2,2,0,0,3,0,0,0,0,0,11,2,2,2,0,0,2,1,1,1,1,1,12,6,2,1,1,6,3
28 - Κεφαλληνίας,136 E.T. Δήμου Σάμης,401,142,1,2,3,139,38,16,5,1,55,17,18,14,2,1,0,0,7,2,0,3,16,1,3,0,1,0,0,0,0,1,1,0,0,3,3,3,1,0,0,2,0,0,0,0,0,0,0,5,2,2,1,0,5,1
28 - Κεφαλληνίας,Ετερ. Κεφαλληνίας (από Εφετείο Θεσσαλονίκης),49,33,0,1,1,32,4,1,0,2,17,8,6,1,1,0,1,0,2,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
28 - Κεφαλληνίας,Ετερ. Κεφαλληνίας (από Εφετείο Πάτρας),87,57,0,1,1,56,24,0,0,0,20,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 - Κεφαλληνίας,Ετερ. Κεφαλληνίας (από 83ο Ε.Τ. Νομ. Αττικής-Αθηνών),483,271,1,2,3,268,74,32,12,14,119,41,39,20,7,1,2,4,21,5,1,5,24,4,7,4,0,0,0,0,0,0,0,0,0,0,0,7,4,0,2,1,0,0,0,0,0,1,1,7,1,2,4,2,3,1
28 - Κεφαλληνίας,Ετερ. Κεφαλληνίας (από 84ο Ε.Τ. Νομ. Αττικής-Αθηνών),507,329,3,0,3,326,99,43,22,12,132,38,59,17,8,1,0,4,26,7,3,7,25,4,9,3,4,3,1,0,0,1,1,0,0,0,0,9,1,2,3,0,0,0,0,2,2,1,0,12,2,5,3,1,4,2
28 - Κεφαλληνίας,Ετερ. Κεφαλληνίας (από 85ο Ε.Τ. Νομ. Αττικής-Αθηνών),471,277,6,2,8,269,72,29,21,9,116,29,51,19,4,1,0,2,18,8,3,2,30,7,4,4,0,0,0,0,0,0,0,0,0,0,0,8,4,0,0,0,0,0,0,1,0,4,1,12,3,2,1,1,3,3
28 - Κεφαλληνίας,Ετερ. Κεφαλληνίας (από 16ο Ε.Τ. Νομ. Αττικής-Πειραιώς),221,126,0,0,0,126,34,16,3,6,47,13,14,15,3,2,0,0,13,4,0,7,16,6,5,5,0,0,0,0,0,2,1,0,1,0,0,3,1,0,2,0,0,0,0,1,1,2,2,3,1,0,0,0,2,2
Σύνολο,,56586,23244,320,189,509,22735,7377,3139,1764,514,8625,1794,3520,2291,679,221,63,121,1331,433,121,370,2159,389,792,357,207,63,42,15,1,129,34,24,23,55,34,567,174,86,76,27,11,25,14,104,38,80,38,785,176,239,166,71,404,165
