ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΘΕΟΠΕΦΤΑΤΟΥ ΑΦΡΟΔΙΤΗ του Χρήστου,ΜΠΑΤΙΣΤΑΤΟΣ ΑΡΙΣΤΟΤΕΛΗΣ του Διονυσίου,ΣΤΑΘΟΠΟΥΛΟΥ ΑΝΝΑ του Νικολάου,Νέα Δημοκρατία,ΑΛΕΞΑΝΔΡΑΤΟΥ ΒΙΚΤΩΡΙΑ του Πλούταρχου,ΚΑΠΠΑΤΟΣ ΠΑΝΑΓΗΣ του Σπυρίδωνος - Διονυσίου,ΚΟΚΚΟΛΗΣ ΓΕΩΡΓΙΟΣ (ΜΠΡΑΟΥΝΗΣ) του Σπυρίδωνος,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΑΒΟΥΛΟΣ ΧΡΗΣΤΟΣ του Ιωάννη,ΟΙΚΟΝΟΜΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΣΒΟΡΩΝΟΣ ΠΑΝΑΓΗΣ του Νικολάου,Κίνημα Αλλαγής,ΚΟΥΓΙΑΝΟΣ ΓΕΡΑΣΙΜΟΣ του Σπυρίδωνος,ΠΑΞΙΝΟΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΤΣΙΜΑΡΑ ΒΑΣΙΛΙΚΗ (ΒΙΚΥ) του Βαλεντίνου,Κ.Κ.Ε.,ΑΛΙΒΙΖΑΤΟΣ ΔΙΟΝΥΣΙΟΣ του Παναγή,ΜΑΝΤΖΟΥΡΑΤΟΣ ΔΗΜΗΤΡΙΟΣ του Χαράλαμπου,ΠΟΤΑΜΙΑΝΟΥ ΣΟΦΙΑ του Φωτίου,Ένωση Κεντρώων,ΔΑΜΟΥ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΤΖΟΥΜΑΣ ΑΝΤΩΝΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΜΙΧΑΗΛΙΔΟΥ ΜΑΓΔΑΛΗΝΗ του Θεοδοσίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΑΪΤΑΝΙΔΟΥ ΕΥΑΝΘΙΑ του Γερασίμου - Δημητρίου,ΓΑΛΙΑΤΣΑΤΟΣ ΝΙΚΟΛΑΟΣ του Διονυσίου,ΛΟΥΡΑΝΤΟΣ ΝΙΚΟΛΑΟΣ του Γερασίμου,Ελλήνων Συνέλευσις,ΜΕΤΑΞΑΣ ΓΙΑΝΝΗΚΩΣΤΑΣ του Όθωνος,Ελληνική Λύση - Κ. Βελόπουλος,ΑΤΣΑΡΟΣ ΧΡΙΣΤΟΧΡΟΝΗΣ του Σπυρογεράσιμου,ΒΑΛΣΑΜΟΣ ΧΑΡΑΛΑΜΠΟΣ του Νικολάου,ΛΑΜΠΑΔΑΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΚΟΤΡΩΝΟΥΛΑΣ ΓΡΗΓΟΡΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΒΛΑΧΟΣ ΓΑΒΡΙΗΛ του Παντελή,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΜΗΤΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΓΚΑΔΗΣ ΓΕΡΑΣΙΜΟΣ του Μιχαήλ,ΜέΡΑ25,ΜΑΝΩΛΑΤΟΣ ΓΑΒΡΙΗΛ του Αργυρίου,ΜΑΡΟΥΛΗ ΧΡΙΣΤΙΝΑ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΣΙΜΩΤΑΣ ΔΗΜΗΤΡΙΟΣ του Παναγή,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΑΡΑΒΑΝΤΙΝΟΥ ΒΑΡΒΑΡΑ του Καίσαρα - Χοϊδά
28 - Κεφαλληνίας,45 E.T. Δήμου Αργοστολίου,593,200,4,2,6,194,61,35,11,1,68,20,25,19,7,3,0,4,15,9,0,0,20,7,4,0,0,0,0,1,0,1,0,0,0,0,0,3,0,1,0,2,1,1,1,2,0,0,0,7,0,3,1,0,5,1
28 - Κεφαλληνίας,46 E.T. Δήμου Αργοστολίου,439,147,0,0,0,147,50,24,9,3,47,15,18,8,3,1,1,0,20,12,2,3,8,2,2,0,4,2,1,0,0,0,0,0,0,0,0,5,2,1,1,0,0,0,0,0,0,1,0,7,1,1,0,0,2,0
28 - Κεφαλληνίας,47 E.T. Δήμου Αργοστολίου,568,239,2,0,2,237,84,27,36,3,81,19,39,17,3,1,1,1,21,5,1,8,12,3,3,1,2,1,0,0,0,2,1,0,0,0,0,9,2,1,1,0,0,0,0,3,0,1,0,16,3,5,2,0,1,1
28 - Κεφαλληνίας,48 E.T. Δήμου Αργοστολίου,348,86,0,0,0,86,24,4,8,0,35,5,21,4,3,1,0,0,14,3,2,5,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
28 - Κεφαλληνίας,49 E.T. Δήμου Αργοστολίου,88,23,0,0,0,23,7,1,5,0,9,3,6,0,1,0,1,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1
28 - Κεφαλληνίας,50 E.T. Δήμου Αργοστολίου,421,151,2,0,2,149,49,16,11,3,63,6,25,28,10,2,1,0,6,2,0,3,9,3,2,1,1,0,0,0,0,1,0,1,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,1,1
28 - Κεφαλληνίας,51 E.T. Δήμου Αργοστολίου,490,142,1,0,1,141,33,11,12,4,55,7,24,17,6,2,0,0,5,0,2,3,15,10,4,0,2,0,0,0,0,2,1,0,1,1,1,7,4,3,0,0,0,0,0,1,0,0,0,13,4,6,0,0,1,0
28 - Κεφαλληνίας,52 E.T. Δήμου Αργοστολίου,248,79,1,0,1,78,19,6,5,1,33,14,15,0,3,0,1,1,3,1,0,2,8,3,1,1,0,0,0,0,0,2,0,0,0,1,1,4,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,1,2,1
28 - Κεφαλληνίας,53 E.T. Δήμου Αργοστολίου,442,119,2,2,4,115,31,10,19,0,67,14,16,30,4,0,0,1,2,1,1,0,8,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28 - Κεφαλληνίας,54 E.T. Δήμου Αργοστολίου,463,182,2,6,8,174,51,27,16,4,85,18,26,32,5,2,0,0,9,0,0,4,15,3,2,2,0,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,0,3,3
28 - Κεφαλληνίας,55 E.T. Δήμου Αργοστολίου,415,200,7,0,7,193,72,11,46,1,85,16,38,23,11,7,0,3,5,2,1,2,10,3,1,4,1,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,0,1,0,0,4,4
28 - Κεφαλληνίας,56 E.T. Δήμου Αργοστολίου,370,170,4,3,7,163,48,4,32,1,79,17,35,24,5,0,0,0,5,2,0,2,11,6,1,0,3,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,1,0,5,1,1,2,1,2,0
28 - Κεφαλληνίας,57 E.T. Δήμου Αργοστολίου,355,136,3,0,3,133,49,10,29,1,60,12,27,11,1,0,0,0,8,1,1,6,5,1,2,0,2,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0
28 - Κεφαλληνίας,58 E.T. Δήμου Αργοστολίου,462,198,2,3,5,193,48,8,33,1,89,7,40,28,6,1,0,2,7,1,1,5,25,10,3,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,7,1,5,3,3,4,2
