ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΡΗΤΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σωτηρίου,ΣΕΜΕΡΤΖΙΔΟΥ ΑΝΝΑ του Σάββα,ΣΗΦΑΚΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΤΖΑΚΡΗ ΘΕΟΔΩΡΑ του Εμμανουήλ,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΖΗΣΗΣ του Αθανασίου,Νέα Δημοκρατία,ΒΑΣΙΛΕΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ (ΛΑΚΗΣ) του Νικολάου,ΖΩΓΡΑΦΟΥ - ΤΣΑΝΤΑΚΗ ΜΑΡΙΑ του Γεωργίου,ΚΑΡΑΣΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αθανασίου,ΠΟΖΙΔΟΥ ΝΙΚΟΛΕΤΤΑ του Οδυσσέα,ΣΤΑΜΕΝΙΤΗΣ ΔΙΟΝΥΣΙΟΣ του Ευαγγέλου,ΦΟΥΝΤΟΥΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αχιλλέα,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΑΤΣΑΡΑ-ΧΡΗΣΤΟΥ ΕΙΡΗΝΗ του Νικολάου,ΚΟΥΡΤΙΔΗΣ ΘΩΜΑΣ του Χαραλάμπους,ΣΑΧΙΝΙΔΗΣ ΙΩΑΝΝΗΣ του Ισαάκ,ΤΑΠΚΟΥ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,Κίνημα Αλλαγής,ΑΛΕΞΑΝΔΡΙΔΟΥ ΡΑΧΗΛ του Νικολάου,ΖΑΡΟΓΟΥΛΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αριστοτέλη,ΜΑΚΡΙΔΟΥ ΑΓΑΘΗ του Βασιλείου,ΜΠΟΓΔΑΝΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΠΑΠΑΔΑΚΗ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Γεωργίου,ΠΑΠΑΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΟΣ του Ιωάννη,Κ.Κ.Ε.,ΔΡΟΣΟΓΛΟΥ ΣΤΑΥΡΟΣ του Νικολάου,ΜΠΟΥΦΚΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΟΛΥΜΠΙΑ του Νικολάου,ΣΟΥΜΕΛΙΔΗΣ ΙΩΑΝΝΗΣ του Δημητρίου,ΤΣΙΤΣΑΓΚΑΣ ΧΑΡΑΛΑΜΠΟΣ του Ιωακείμ,ΧΑΤΖΗΒΑΣΙΛΕΙΑΔΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,Ένωση Κεντρώων,ΑΝΑΣΤΑΣΙΟΥ ΣΤΑΥΡΟΣ του Ιωάννη,ΔΗΜΟΠΟΥΛΟΥ ΑΓΓΕΛΙΚΗ του Χαραλάμπους,ΔΟΥΛΚΕΡΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΚΑΤΣΑΝΟΥ ΕΛΕΥΘΕΡΙΑ του Χαρίλαου,ΠΟΥΣΙΝΗΣ ΣΤΑΥΡΟΣ του Πέτρου,Ο.Κ.Δ.Ε.,ΓΑΤΣΟΥ ΙΟΡΔΑΝΑ του Ευάγγελου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΕΡΑΤΙΔΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΛΟΥΣΙΩΤΗΣ ΝΙΚΟΛΑΟΣ του Πέτρου,ΜΠΑΚΑΛΑΚΗ ΟΛΓΑ του Κωνσταντίνου,Ελλήνων Συνέλευσις,ΔΑΝΑΣ ΑΡΓΥΡΙΟΣ του Σταύρου,ΔΙΠΛΑΡΙΔΟΥ ΕΙΡΗΝΗ του Χαραλάμπους,ΔΙΣΚΟΥ ΠΑΡΑΣΚΕΥΗ του Παύλου,ΜΑΤΖΑΡΗΣ ΑΡΙΣΤΕΙΔΗΣ του Γεωργίου,ΟΡΜΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΦΑΝΤΙΔΗΣ ΦΩΤΙΟΣ του Χαράλαμπου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΥΓΕΡΟΥ ΜΑΡΙΑΝΝΑ του Αθανασίου,ΔΕΛΛΙΟΣ ΓΡΗΓΟΡΙΟΣ του Αντωνίου,ΚΑΠΕΤΑΝΙΔΗΣ ΖΑΦΕΙΡΙΟΣ του Ιωάννη,ΚΟΥΚΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Ελευθερίου,ΤΡΙΚΑΛΙΩΤΗ ΑΙΚΑΤΕΡΙΝΗ του Αποστόλου,ΤΣΕΜΠΕΡΛΙΔΟΥ ΚΩΝΣΤΑΝΤΙΝΑ του Αναστασίου,Κ.Κ.Ε. (μ-λ),ΖΑΓΓΑΝΑΣ ΠΑΝΑΓΙΩΤΗΣ του Ταξιάρχη,ΚΟΤΑΝΙΔΟΥ ΜΑΡΙΑ του Δημητρίου ,ΠΑΠΑΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΣΟΥΛΙΩΤΗ ΣΟΦΙΑ του Κωνσταντίνου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΕΥΘΥΜΙΑΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΚΟΚΚΙΝΟΜΑΓΟΥΛΟΥ ΜΑΡΙΑ του Ίον,Λαϊκή Ενότητα,ΚΡΗΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΜΗΛΩΣΗ ΝΙΝΑ του Χρήστου,ΤΟΠΑΛΟΠΟΥΛΟΥ ΑΝΑΣΤΑΣΙΑ του Χρυσοβέργη,ΜέΡΑ25,ΔΟΥΡΔΟΥΜΠΑΚΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΜΑΡΚΟΥΔΑ ΕΥΘΥΜΙΑ (ΕΦΗ) του Αθανασίου,ΜΑΥΡΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΙΚΗ) του Κυριάκου,ΠΟΖΑΡΛΗΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΤΟΥΣΙΑΣ ΛΕΩΝΙΔΑΣ του Αθανασίου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΑΚΡΙΔΗΣ ΦΩΤΙΟΣ του Ευαγγέλου,ΜΑΤΣΑΚΙΔΟΥ ΑΝΘΙΑ του Βασιλείου -  Ελευθερίου,ΜΠΟΣΝΕΑ ΣΟΦΙΑ του Ιωάννη,ΧΑΪΔΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΡΕΝΤΖΟΥΛΑΣ ΑΝΔΡΕΑΣ του Γεωργίου ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΟΠΑΝΟΓΛΟΥ ΕΥΣΤΡΑΤΙΟΣ του Ευθυμίου
11 - Πέλλας,307 E.T. Δήμου Σκύδρας,379,232,5,2,7,225,25,4,0,4,8,10,5,128,11,5,45,103,33,7,8,4,3,4,0,32,26,6,4,3,3,2,3,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,15,0,1,3,1,0,13,8,2,1,2,1,0,3,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,2,1,0,0,0,0,0,0,0,0,2,1
11 - Πέλλας,308 E.T. Δήμου Σκύδρας,273,139,2,1,3,136,35,10,3,9,16,12,5,58,13,6,27,13,24,11,2,1,1,0,0,11,3,1,1,4,3,3,6,2,0,0,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,4,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,3,4,1,0,0,0,0,0,0,6,0
11 - Πέλλας,309 E.T. Δήμου Σκύδρας,479,305,3,1,4,301,90,6,0,9,37,49,1,142,28,36,57,29,52,14,5,1,1,3,0,12,7,1,4,0,5,1,9,0,3,0,8,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,14,1,0,26,0,2,0,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,4,0
11 - Πέλλας,310 E.T. Δήμου Σκύδρας,533,298,2,4,6,292,85,5,2,13,33,43,2,130,37,22,46,19,44,9,12,2,1,5,2,11,9,1,0,1,3,1,14,0,0,0,14,0,5,8,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,23,1,1,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
11 - Πέλλας,311 E.T. Δήμου Σκύδρας,423,305,4,0,4,301,74,17,3,13,35,25,0,161,42,36,84,22,75,10,9,2,4,2,2,24,20,0,2,0,2,0,7,0,1,0,6,0,4,2,0,1,1,1,0,0,0,0,0,0,0,3,0,0,2,0,0,1,17,3,5,1,5,3,4,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
11 - Πέλλας,312 E.T. Δήμου Σκύδρας,450,280,3,2,5,275,67,11,4,15,17,26,5,109,26,19,67,25,42,3,20,6,9,13,4,34,32,1,5,5,1,2,7,2,0,0,5,2,2,2,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,14,2,4,2,2,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,7,0
11 - Πέλλας,313 E.T. Δήμου Σκύδρας,487,348,3,2,5,343,74,13,4,24,18,34,4,174,35,24,114,25,73,13,12,2,6,4,2,37,30,0,0,4,7,6,13,0,0,0,7,0,6,3,2,0,2,0,0,0,0,0,0,0,0,6,0,0,2,2,0,4,14,3,4,4,1,2,2,0,0,0,0,0,0,0,0,0,2,1,1,0,4,1,2,2,1,0,2,0,0,0,1,0,0,2,0
11 - Πέλλας,314 E.T. Δήμου Σκύδρας,391,259,2,0,2,257,94,11,21,5,32,81,1,108,36,24,69,20,46,21,4,2,0,1,2,35,30,0,1,0,6,5,5,1,4,1,2,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,2,0
11 - Πέλλας,315 E.T. Δήμου Σκύδρας,376,249,4,1,5,244,74,4,12,4,12,61,0,120,24,16,70,20,55,10,13,3,4,4,4,29,22,1,0,2,4,4,3,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11 - Πέλλας,316 E.T. Δήμου Σκύδρας,330,213,5,2,7,206,42,6,6,6,8,23,4,96,27,16,54,12,22,13,9,3,1,5,1,30,17,5,1,1,1,13,3,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,11,2,3,2,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,7,1,0,3,0,0,1,0,0,0,0,0,0,4,0
11 - Πέλλας,317 E.T. Δήμου Σκύδρας,413,262,1,2,3,259,66,9,9,17,12,23,11,100,38,11,5,20,18,25,6,3,0,1,1,38,24,5,13,1,4,13,6,1,1,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,24,5,5,4,4,0,5,2,0,0,0,1,0,1,0,0,0,0,0,0,5,1,0,0,0,1,0,0,0,0,0,0,0,3,0
11 - Πέλλας,318 E.T. Δήμου Σκύδρας,516,339,4,0,4,335,73,8,6,2,12,49,5,174,41,24,133,14,46,21,5,0,1,4,3,45,25,1,5,1,10,9,5,0,0,2,4,0,1,4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,17,4,7,1,7,0,2,0,0,0,0,0,0,3,2,2,0,0,0,0,7,1,3,1,0,1,0,0,0,0,0,0,0,1,0
11 - Πέλλας,319 E.T. Δήμου Σκύδρας,593,421,3,1,4,417,108,9,2,4,35,33,10,197,33,26,162,14,65,17,23,4,2,16,10,37,31,0,4,4,16,2,11,0,1,5,6,0,5,5,2,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,16,0,8,1,13,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,14,4,3,4,1,3,1,1,0,0,0,0,0,3,3
11 - Πέλλας,320 E.T. Δήμου Σκύδρας,553,325,6,5,11,314,82,15,6,19,27,48,3,142,49,12,95,25,35,18,20,7,7,10,3,20,15,5,0,1,0,1,7,0,0,0,3,2,5,4,1,1,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,1,16,4,4,1,4,2,1,0,0,0,0,0,0,3,3,0,0,0,0,0,6,3,3,2,3,0,3,3,0,1,0,0,0,9,4
11 - Πέλλας,321 E.T. Δήμου Σκύδρας,515,284,3,2,5,279,106,7,11,23,36,59,3,88,30,9,51,13,21,15,6,1,3,2,1,38,31,1,2,6,2,4,7,1,1,0,3,0,2,7,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,7,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,6,0,0,0,0,0,0,6,0
11 - Πέλλας,322 E.T. Δήμου Σκύδρας,266,156,3,1,4,152,50,9,6,3,20,26,1,50,5,4,35,9,17,7,12,0,12,3,4,11,9,1,0,1,6,1,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,13,1,3,2,6,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,2,2,1,0,0,0,0,0,0,0,0,5,0
11 - Πέλλας,323 E.T. Δήμου Σκύδρας,523,317,1,0,1,316,76,15,3,8,49,37,3,137,34,15,77,42,54,23,54,1,53,33,5,10,7,0,2,0,4,1,3,1,0,2,2,0,1,5,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,22,6,2,5,2,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,4,2,1,1,0,1,0,0,0,0,0,0,0,1,0
11 - Πέλλας,Ετερ. Πέλλας (από 25ο Ε.Τ. Νομ. Θεσσαλονίκης),351,208,11,1,12,196,52,12,4,17,11,27,7,80,16,17,32,11,17,24,8,2,3,3,3,10,3,4,2,0,2,5,8,1,0,4,1,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,3,4,2,1,5,0,0,0,0,0,0,6,0,0,1,0,0,0,10,4,1,2,1,3,0,0,0,0,0,0,0,1,0
11 - Πέλλας,Ετερ. Πέλλας (από Εφετείο Θεσσαλονίκης),49,25,1,0,1,24,10,6,1,3,1,0,2,6,0,0,2,0,4,2,0,0,0,0,0,3,1,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0
11 - Πέλλας,Ετερ. Πέλλας (από 119ο Ε.Τ. Νομ. Αττικής-Αθηνών),354,238,2,1,3,235,61,12,11,19,14,28,7,108,16,24,39,14,39,29,5,0,0,0,0,19,8,4,3,0,4,9,15,3,5,1,4,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,5,3,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,3,4,2,1,3,0,0,0,0,0,0,6,0
11 - Πέλλας,Ετερ. Πέλλας (από Εφετείο Πειραιώς),52,30,0,0,0,30,14,6,1,2,0,8,3,10,2,3,5,1,3,2,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0
Σύνολο,,148924,87115,1080,636,1716,85399,24444,2109,3361,2803,7104,12633,2931,36014,8487,5047,16179,2813,13123,7166,3091,592,512,977,370,7928,3342,1093,700,1687,1636,2049,2205,290,223,484,338,326,822,1311,118,74,116,57,28,32,10,259,16,39,27,372,33,26,37,15,26,29,4786,979,1552,534,1058,420,604,103,4,9,8,31,4,355,70,53,150,21,15,4,2128,327,403,437,400,401,818,172,41,51,29,28,1,1338,245
