ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΙΑΝΝΑΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αλεξάνδρου,ΖΕΪΜΠΕΚ ΧΟΥΣΕΪΝ του Χασάν,ΜΠΕΖΙΑΤ ΒΑΛΕΝΤΙΝΑ-ΛΥΓΙΑ του Βασιλείου,ΡΟΥΤΣΗ-ΕΥΑΓΓΕΛΙΔΟΥ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΣΤΟΓΙΑΝΝΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Κωνσταντίνου,Νέα Δημοκρατία,ΠΑΥΛΙΔΟΥ ΜΑΡΙΝΑ του Γεωργίου,ΣΑΛΤΟΥΡΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΣΙΑΜΠΑΝ ΟΓΛΟΥ ΑΛΕΒ του Σουκρή,ΤΣΙΛΙΓΓΙΡΗΣ ΣΠΥΡΙΔΩΝ (ΣΠΥΡΟΣ) του Γεωργίου,ΧΑΤΖΗ ΜΕΜΙΣ ΤΟΥΡΚΕΣ του Μεχμέτ,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΕΩΡΓΑΚΑΚΗΣ ΙΑΚΩΒΟΣ του Γαβριήλ,ΓΚΟΥΤΖΙΜΙΔΗ ΕΙΡΗΝΗ του Ιωάννη,ΓΟΡΙΔΑΡΗ ΚΥΡΙΑΚΗ του Παναγιώτη,ΚΑΠΑΓΕΡΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΟΤΟΠΟΥΛΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΑΜΑΞΑ ΑΓΛΑΪΑ του Ευαγγέλου,ΑΝΤΩΝΙΑΔΗΣ ΑΝΕΣΤΗΣ του Κωνσταντίνου,ΚΑΡΑΛΙΔΗΣ ΦΩΤΙΟΣ του Γεωργίου,ΜΠΑΡΑΝ ΜΠΟΥΡΧΑΝ του Νετζαντή,ΣΑΦΕΡ ΟΓΛΟΥ ΝΕΡΙΜΑΝ του Χουσεΐν,Κ.Κ.Ε.,ΒΑΚΙΡΤΖΗΣ ΕΥΑΓΓΕΛΟΣ (ΜΠΑΚΕΡΟ) του Χρήστου,ΜΑΧΑΙΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Βίκτωρ,ΡΟΪΔΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΦΩΤΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Πολυκάρπου,ΧΑΤΖΟΓΛΟΥ ΜΟΥΡΑΤ του Σαμπρή,Ένωση Κεντρώων,ΚΥΡΙΑΚΙΔΟΥ ΣΟΝΙΑ του Σέργιου,ΜΠΑΛΤΑΤΖΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΡΑΠΑΣ ΑΛΚΙΒΙΑΔΗΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΝΤΟΥΡΟΥ ΕΛΕΥΘΕΡΙΑ του Θωμά,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΕΞΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Ευαγγέλου,ΜΗΛΙΑΖΗΜ ΤΖΕΜΑΛΗ του Μεχμέτ,Ελλήνων Συνέλευσις,ΚΑΡΑΚΑΣΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΤΟΤΙΕΦ ΕΙΡΗΝΗ του Σέργιου,ΤΣΕΡΝΟΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΕΥΘΥΜΙΑΔΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου,ΚΟΥΤΕΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΣΩΤΗΡΙΟΣ του Λεωνίδα,ΜΥΛΩΝΑΣ ΓΕΩΡΓΙΟΣ του Ανέστη,ΨΑΡΑΓΚΑΘΟΥ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΑΝΤΩΝΙΑΔΟΥ-ΜΑΡΙΟΛΗ ΜΑΡΙΑ του Παναγιώτη,ΙΩΑΝΝΙΔΟΥ ΕΛΙΣΣΑΒΕΤ (ΒΕΤΑ) του Κωνσταντίνου,ΚΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΚΟΣΟΓΛΟΥ ΜΟΥΖΑΦΕΡ του Ρασήμ,ΧΑΤΖΗΣΑΒΒΑΣ ΣΤΕΦΑΝΟΣ του Αποστόλου,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΤΣΙΚΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΡΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΟΣΜΙΔΗΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΧΑΡΑΛΑΜΠΙΔΟΥ ΕΛΙΣΣΑΒΕΤ του Δημητρίου,ΜέΡΑ25,ΓΙΑΝΝΙΚΗ ΕΛΙΣΣΑΒΕΤ του Ιωάννη,ΠΑΠΑΔΟΥΔΗΣ ΑΝΤΩΝΙΟΣ του Χριστοφόρου,ΤΣΑΜΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΕΡΜΗΓΚΑΣ ΓΕΩΡΓΙΟΣ -  ΑΝΔΡΟΜΑΧΟΣ του Δημητρίου,ΜΠΑΝΑ ΖΩΗ του Γεωργίου,ΤΣΙΜΠΕΡΙΔΗΣ ΙΩΑΝΝΗΣ του Βαλσάμη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΥΡΕΝΤΙΑΔΗΣ ΓΙΑΝΝΗΣ του Πέτρου
3 - Ξάνθης,116 E.T. Δήμου Ξάνθης,518,307,4,1,5,302,205,39,96,4,2,37,54,12,7,6,8,17,5,1,1,0,0,2,9,0,4,0,4,0,8,0,1,0,3,0,3,0,2,0,1,0,3,1,1,0,0,0,0,3,1,0,1,0,0,2,1,0,0,0,0,0,0,1,1,0,0,0,0,4,2,1,0,3,0,1,1,1,1
3 - Ξάνθης,117 E.T. Δήμου Ξάνθης,520,273,8,5,13,260,176,28,88,4,1,29,49,12,9,6,7,14,2,0,0,0,1,1,16,0,1,2,12,0,6,1,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,4,1,1,1,2,1,0,1,0,0
3 - Ξάνθης,118 E.T. Δήμου Ξάνθης,511,300,10,7,17,283,180,34,60,5,4,53,48,13,18,3,8,5,4,1,0,0,0,1,18,0,2,5,6,0,7,1,0,1,1,2,1,0,0,1,0,0,1,0,1,0,0,0,0,18,1,0,11,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,0,0,1,0,0,0,1,1
3 - Ξάνθης,119 E.T. Δήμου Ξάνθης,520,298,5,4,9,289,209,11,102,2,1,42,33,13,8,6,1,1,1,0,0,0,0,0,19,0,3,1,11,1,14,0,0,0,1,6,0,0,0,0,1,0,6,0,5,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0
3 - Ξάνθης,120 E.T. Δήμου Ξάνθης,514,326,7,4,11,315,220,6,118,2,3,63,53,14,12,7,0,13,0,0,0,0,0,0,16,0,3,3,6,1,10,2,0,0,3,0,1,1,0,0,0,0,5,0,2,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0
3 - Ξάνθης,121 E.T. Δήμου Ξάνθης,519,252,1,4,5,247,170,25,91,2,1,24,42,11,2,12,3,5,0,0,0,0,0,0,15,0,3,3,5,0,5,0,0,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,2,1,1,0,1,0,0,0
3 - Ξάνθης,122 E.T. Δήμου Ξάνθης,513,287,3,2,5,282,215,27,107,0,1,47,44,13,7,7,10,2,0,0,0,0,0,0,8,0,1,1,6,0,5,2,0,0,0,3,1,1,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2
3 - Ξάνθης,123 E.T. Δήμου Ξάνθης,514,262,9,1,10,252,170,19,87,1,1,41,38,5,13,1,2,14,3,0,0,0,0,2,23,0,3,3,14,0,4,0,0,0,0,1,0,0,0,0,0,0,2,0,2,0,0,0,0,5,1,0,0,0,0,2,0,0,0,0,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,1,0
3 - Ξάνθης,124 E.T. Δήμου Ξάνθης,543,262,6,5,11,251,122,25,42,0,2,9,72,22,19,1,17,9,4,2,0,0,0,1,17,0,6,3,4,0,10,3,0,1,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,6,1,0,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,0,1,2,0,0,0,5,2
3 - Ξάνθης,125 E.T. Δήμου Ξάνθης,560,245,3,1,4,241,129,37,41,2,1,13,62,11,25,0,15,8,3,2,0,0,0,0,12,0,3,6,2,0,0,0,0,0,0,0,5,1,2,0,1,0,2,0,0,0,0,0,0,13,0,1,5,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,7,2,2,2,4,0,2,0,1,1
3 - Ξάνθης,126 E.T. Δήμου Ξάνθης,537,261,5,3,8,253,103,32,24,4,4,7,97,26,20,2,27,11,5,2,0,0,1,0,17,0,2,7,6,0,9,4,2,0,1,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,1,2,2,0,1,0,3,0
3 - Ξάνθης,127 E.T. Δήμου Ξάνθης,542,287,7,3,10,277,104,51,9,4,7,16,103,28,28,4,28,1,9,3,0,0,3,2,14,3,3,2,2,0,9,6,0,0,3,0,1,0,1,0,0,0,2,0,1,0,0,0,0,8,0,0,4,1,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,6,3,3,0,10,0,7,0,6,2
3 - Ξάνθης,128 E.T. Δήμου Ξάνθης,554,322,7,6,13,309,103,38,28,4,9,10,129,37,40,3,36,2,11,6,1,0,0,0,15,1,2,1,9,0,7,2,2,0,0,0,4,0,1,0,0,0,0,0,0,1,0,0,1,12,2,3,4,2,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,17,8,4,0,3,0,2,0,4,4
3 - Ξάνθης,129 E.T. Δήμου Ξάνθης,553,285,3,5,8,277,112,39,24,2,7,21,97,21,31,2,28,4,7,2,0,1,2,0,12,1,1,6,3,0,8,3,0,2,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,8,1,0,2,2,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,17,7,4,0,5,0,4,0,5,4
3 - Ξάνθης,130 E.T. Δήμου Ξάνθης,553,268,3,2,5,263,122,20,61,1,4,9,93,20,21,8,27,14,7,2,0,0,1,1,12,1,1,3,6,0,4,1,0,0,1,0,2,0,1,0,0,0,0,0,0,1,0,0,1,13,1,0,5,4,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,5,4,0,0,1,0,0,0,1,0
3 - Ξάνθης,131 E.T. Δήμου Ξάνθης,548,343,9,3,12,331,129,44,42,1,4,16,130,33,39,3,40,9,6,2,2,0,1,1,17,0,1,5,8,1,13,0,0,0,5,2,0,0,0,0,0,0,1,0,0,0,0,0,0,11,0,0,5,3,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,12,3,3,1,4,1,1,2,5,2
3 - Ξάνθης,132 E.T. Δήμου Ξάνθης,542,350,3,3,6,344,90,33,18,3,8,15,155,47,50,2,45,4,10,1,0,0,2,5,29,0,8,13,5,0,10,6,0,0,3,0,7,2,1,2,0,0,4,2,2,0,0,0,0,13,3,0,2,7,0,1,0,1,0,0,0,0,0,2,1,0,0,0,0,16,3,3,1,4,0,0,2,3,3
3 - Ξάνθης,133 E.T. Δήμου Ξάνθης,542,264,3,1,4,260,143,41,41,3,2,17,72,11,27,3,26,2,6,1,0,0,3,0,7,0,2,4,1,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,13,1,2,3,4,0,0,0,0,0,0,0,0,0,3,3,2,0,2,0,7,4,2,0,3,0,0,1,0,0
3 - Ξάνθης,134 E.T. Δήμου Ξάνθης,544,350,5,1,6,344,102,55,12,2,5,15,156,42,48,0,53,2,6,3,0,0,1,1,20,0,6,10,2,0,7,4,1,1,1,0,2,1,0,0,0,0,3,2,0,1,0,1,0,16,1,0,9,2,0,1,1,0,0,0,0,0,0,3,2,0,0,0,0,18,7,0,1,5,0,1,0,4,3
3 - Ξάνθης,135 E.T. Δήμου Ξάνθης,548,209,4,2,6,203,110,25,48,2,2,18,60,12,11,1,20,10,3,0,0,0,3,0,5,0,3,0,0,0,6,0,1,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,2,0,0,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,6,2,1,0,2,0,1,0,3,3
3 - Ξάνθης,136 E.T. Δήμου Ξάνθης,553,236,6,1,7,229,111,30,39,0,0,10,66,10,24,3,12,11,4,0,0,0,1,2,14,0,2,4,7,0,5,2,0,2,0,0,3,0,1,0,0,0,1,1,0,0,0,0,0,9,3,0,3,0,0,2,0,0,0,1,0,1,0,1,0,2,0,0,0,7,4,1,0,1,0,1,0,2,1
3 - Ξάνθης,137 E.T. Δήμου Ξάνθης,530,299,7,0,7,292,114,29,50,2,3,12,99,22,21,4,37,5,13,5,2,0,2,2,16,1,3,5,2,0,11,3,3,0,3,0,10,2,3,1,0,0,0,0,0,0,0,0,0,12,0,0,4,5,1,0,0,0,0,0,0,0,0,4,3,0,0,0,0,6,2,0,0,4,0,1,1,3,3
3 - Ξάνθης,138 E.T. Δήμου Ξάνθης,543,238,3,7,10,228,103,32,27,2,4,7,72,12,17,10,18,9,7,2,0,0,1,2,17,2,4,3,7,1,6,2,2,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,10,2,0,1,4,1,1,0,0,0,0,0,0,0,1,1,1,0,0,0,4,0,0,1,2,0,2,0,2,0
3 - Ξάνθης,139 E.T. Δήμου Ξάνθης,549,278,3,3,6,272,92,29,36,2,3,11,116,23,39,8,29,10,10,1,1,0,3,4,20,0,5,6,8,0,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,3,4,1,1,0,0,0,1,0,0,0,4,4,0,0,0,0,6,5,1,0,4,0,4,0,3,2
3 - Ξάνθης,140 E.T. Δήμου Ξάνθης,540,285,2,4,6,279,87,44,10,1,4,16,115,25,48,1,29,2,13,2,1,0,3,1,19,1,2,6,8,0,15,2,0,5,1,0,1,0,1,0,0,0,3,1,0,0,0,0,0,8,0,0,1,1,0,2,0,0,1,0,1,0,0,1,0,3,0,0,1,5,1,1,0,1,0,0,1,6,3
3 - Ξάνθης,141 E.T. Δήμου Ξάνθης,548,256,3,3,6,250,143,33,31,0,2,22,67,10,33,4,10,10,2,1,0,0,0,0,9,0,2,3,3,0,3,1,0,0,0,0,2,0,1,0,0,0,3,0,0,0,0,0,0,11,2,0,5,2,0,2,0,0,0,0,0,1,0,1,0,2,0,0,0,2,0,0,0,1,0,1,0,1,1
3 - Ξάνθης,142 E.T. Δήμου Ξάνθης,544,243,5,3,8,235,130,34,50,0,2,12,66,16,23,9,7,7,3,1,0,0,1,1,7,0,1,2,4,0,7,1,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,5,1,2,0,0,0,1,1
3 - Ξάνθης,143 E.T. Δήμου Ξάνθης,551,211,4,2,6,205,119,18,53,0,3,12,65,3,20,5,18,15,4,2,1,0,0,1,2,0,0,0,2,0,5,1,0,0,3,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,1,0,3,2
3 - Ξάνθης,144 E.T. Δήμου Ξάνθης,543,286,2,3,5,281,95,39,22,1,1,10,118,27,46,6,22,7,9,0,0,0,5,1,22,0,2,12,4,2,6,2,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,7,1,0,3,2,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,8,0,6,0,6,0,2,3,3,2
3 - Ξάνθης,145 E.T. Δήμου Ξάνθης,548,302,3,1,4,298,88,26,19,2,6,18,115,31,29,3,39,9,6,0,1,0,2,1,21,1,4,10,3,0,8,0,0,1,2,1,4,1,0,1,0,0,1,0,1,2,0,1,1,23,2,1,12,6,0,1,0,0,0,1,0,0,0,6,3,0,0,0,0,14,7,1,1,4,0,3,0,5,4
3 - Ξάνθης,146 E.T. Δήμου Ξάνθης,544,286,6,6,12,274,117,39,45,5,3,6,104,24,30,3,23,11,0,0,0,0,0,0,17,2,5,5,5,0,12,3,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,7,0,1,0,4,1,0,0,6,2
3 - Ξάνθης,147 E.T. Δήμου Ξάνθης,547,233,4,3,7,226,112,30,46,1,2,20,64,15,18,4,16,9,2,0,0,0,0,0,17,0,1,1,12,0,4,0,0,0,2,1,5,0,2,1,0,0,0,0,0,0,0,0,0,6,2,0,2,0,0,2,0,0,0,2,0,0,0,1,1,1,0,0,0,6,2,2,0,3,1,0,0,3,1
3 - Ξάνθης,148 E.T. Δήμου Ξάνθης,493,266,14,5,19,247,117,29,33,1,10,10,81,17,32,5,12,11,8,2,0,1,1,1,10,0,2,2,5,0,2,0,0,1,0,1,3,0,2,0,0,0,1,0,0,0,0,0,0,10,1,0,2,4,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,9,2,3,1,3,0,1,0,1,1
3 - Ξάνθης,149 E.T. Δήμου Ξάνθης,540,202,9,0,9,193,80,28,21,1,5,11,58,16,13,0,23,1,1,0,0,0,0,0,18,0,6,5,1,1,12,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,2,2,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,6,2,1,0,3,1,0,0,6,4
3 - Ξάνθης,150 E.T. Δήμου Ξάνθης,534,160,3,0,3,157,81,29,19,0,2,14,47,10,18,2,9,6,4,1,0,0,1,0,11,1,2,6,1,0,5,3,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
3 - Ξάνθης,151 E.T. Δήμου Ξάνθης,542,172,0,3,3,169,67,25,17,1,3,5,48,7,14,1,20,2,7,1,0,0,2,2,16,0,8,6,1,1,3,1,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,2,0,1,0,0,0,0,0,2,0,1,0,0,0,4,1,1,1,2,1,1,0,9,4
3 - Ξάνθης,152 E.T. Δήμου Ξάνθης,528,267,2,1,3,264,87,31,5,1,2,26,91,23,29,0,36,0,8,0,0,0,3,2,22,1,13,7,1,0,12,7,1,2,1,0,5,1,1,0,0,0,0,0,0,2,1,0,1,16,4,1,6,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,3,2,1,4,2,1,0,5,3
3 - Ξάνθης,153 E.T. Δήμου Ξάνθης,540,242,2,1,3,239,86,46,11,2,2,17,93,33,26,1,24,2,10,2,1,1,1,2,13,1,4,5,3,0,8,2,0,1,2,0,5,1,2,2,0,0,0,0,0,0,0,0,0,8,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,1,3,0,5,1,1,1,3,3
3 - Ξάνθης,154 E.T. Δήμου Ξάνθης,536,254,3,1,4,250,77,36,7,2,6,14,102,30,34,2,24,2,7,0,0,1,3,0,23,1,5,13,0,0,5,3,0,0,2,0,3,1,1,0,0,0,0,0,0,3,0,1,1,14,3,0,5,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,5,3,1,0,3,0,2,0,6,3
3 - Ξάνθης,155 E.T. Δήμου Ξάνθης,538,252,2,1,3,249,80,35,7,6,11,13,97,29,34,0,26,2,14,4,2,0,6,0,14,1,5,8,0,0,8,1,1,1,2,1,2,1,1,0,0,0,2,0,1,1,0,1,0,8,1,1,2,3,0,2,0,0,2,0,0,0,0,3,1,1,0,0,0,7,1,2,1,2,0,2,0,8,4
3 - Ξάνθης,156 E.T. Δήμου Ξάνθης,540,197,2,1,3,194,95,30,29,0,4,12,72,11,32,9,14,2,5,1,0,0,2,0,6,0,3,1,2,0,1,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,0,0,2,1,0,0,4,2
3 - Ξάνθης,157 E.T. Δήμου Ξάνθης,528,297,1,0,1,296,94,44,9,4,6,16,129,27,41,0,54,2,14,2,1,0,5,3,6,1,4,1,0,0,6,3,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,15,0,1,5,4,0,4,1,3,0,0,0,0,0,1,1,2,0,1,1,13,2,4,1,5,0,1,1,5,4
3 - Ξάνθης,158 E.T. Δήμου Ξάνθης,544,245,3,1,4,241,79,31,22,0,10,6,96,20,30,1,33,6,6,0,0,1,2,3,23,1,7,10,5,0,7,3,0,0,1,1,5,1,0,1,0,0,0,0,0,0,0,0,0,10,2,1,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,1,1,4,0,2,1,4,2
3 - Ξάνθης,159 E.T. Δήμου Ξάνθης,530,287,2,1,3,284,88,34,6,4,4,19,114,23,42,0,36,0,7,0,0,0,2,2,17,1,6,8,0,0,14,7,1,0,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,16,2,0,7,4,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,11,5,2,1,2,0,2,0,8,3
3 - Ξάνθης,160 E.T. Δήμου Ξάνθης,532,264,5,2,7,257,78,33,3,8,15,9,99,25,43,0,27,0,15,4,0,0,4,4,12,3,3,5,1,0,8,1,1,0,0,2,3,2,0,0,0,0,3,2,1,1,0,0,1,15,2,2,7,2,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,10,2,3,2,5,1,1,0,5,4
3 - Ξάνθης,161 E.T. Δήμου Ξάνθης,531,179,8,0,8,171,88,34,21,1,5,7,39,11,12,2,12,1,3,1,0,0,1,1,10,0,3,3,3,0,3,1,0,1,0,0,2,2,0,0,0,0,4,0,4,1,0,0,1,12,2,1,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,2,1,0,0,2,2
3 - Ξάνθης,162 E.T. Δήμου Ξάνθης,538,167,11,1,12,155,78,20,27,4,5,9,44,18,5,1,9,8,5,0,0,0,4,0,5,1,0,3,0,0,9,3,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,1,0,0,0,0,1,1
3 - Ξάνθης,163 E.T. Δήμου Ξάνθης,533,204,1,3,4,200,76,25,14,2,4,14,72,17,19,2,19,4,6,1,0,0,3,0,13,2,4,5,1,0,9,2,0,2,3,0,1,1,0,0,1,0,0,0,0,0,0,0,0,9,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,2,1,0,0,3,0,3,0,6,5
3 - Ξάνθης,164 E.T. Δήμου Ξάνθης,536,183,4,2,6,177,78,32,12,2,5,10,56,10,22,1,16,4,8,4,0,0,1,1,10,0,5,4,0,0,3,1,0,2,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,9,2,1,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,0,2,1
3 - Ξάνθης,165 E.T. Δήμου Ξάνθης,531,240,1,4,5,235,68,37,6,2,2,13,98,24,36,0,28,4,7,0,0,0,1,4,13,2,4,5,1,0,11,4,0,1,3,0,2,0,0,0,0,0,1,0,1,0,0,0,0,14,0,1,9,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11,4,5,1,1,0,1,0,8,4
3 - Ξάνθης,166 E.T. Δήμου Ξάνθης,529,280,4,2,6,274,84,39,2,2,18,15,112,35,36,2,31,1,18,3,1,0,3,9,12,0,3,7,0,0,7,1,0,0,0,0,5,0,4,0,0,0,2,1,0,0,0,0,0,19,5,1,5,4,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,8,1,0,3,3,0,1,1,2,1
3 - Ξάνθης,167 E.T. Δήμου Ξάνθης,535,162,3,1,4,158,67,15,27,0,3,3,59,10,16,1,22,4,3,1,0,0,1,1,9,0,6,3,0,0,5,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,8,1,0,1,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,1,2,2
3 - Ξάνθης,168 E.T. Δήμου Ξάνθης,537,154,5,0,5,149,74,24,23,1,4,6,50,5,18,2,12,13,1,0,0,0,1,0,4,0,1,0,2,0,2,0,1,1,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,8,2,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,0,3,0,0,1,0,0
3 - Ξάνθης,169 E.T. Δήμου Ξάνθης,536,182,4,2,6,176,97,29,24,4,2,13,41,8,15,0,12,4,2,0,0,0,1,0,9,1,1,4,2,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,5,0,0,5,9,2,2,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,0,0,0,5,1
3 - Ξάνθης,170 E.T. Δήμου Ξάνθης,534,247,3,0,3,244,88,34,13,1,10,8,82,21,27,0,29,3,6,1,2,0,2,1,14,1,6,4,2,0,11,4,0,1,2,0,4,0,3,0,0,0,0,0,0,2,0,0,2,11,0,3,4,2,0,2,0,0,0,2,0,0,0,2,2,1,0,1,0,11,2,3,0,3,0,1,1,7,2
3 - Ξάνθης,171 E.T. Δήμου Ξάνθης,534,216,6,3,9,207,79,34,13,3,2,8,68,20,11,2,24,6,12,4,0,0,3,2,18,3,1,12,0,0,4,1,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,7,0,1,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,1,1,2,0,1,0,7,3
3 - Ξάνθης,172 E.T. Δήμου Ξάνθης,521,235,4,2,6,229,85,43,7,0,5,20,75,27,25,0,18,2,10,4,1,0,2,1,19,1,4,12,1,0,12,3,2,2,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,12,3,0,4,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,9,3,2,3,2,1,1,0,1,0
