ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΙΑΝΝΑΚΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Αλεξάνδρου,ΖΕΪΜΠΕΚ ΧΟΥΣΕΪΝ του Χασάν,ΜΠΕΖΙΑΤ ΒΑΛΕΝΤΙΝΑ-ΛΥΓΙΑ του Βασιλείου,ΡΟΥΤΣΗ-ΕΥΑΓΓΕΛΙΔΟΥ ΧΡΙΣΤΙΝΑ του Δημητρίου,ΣΤΟΓΙΑΝΝΙΔΗΣ ΓΡΗΓΟΡΙΟΣ του Κωνσταντίνου,Νέα Δημοκρατία,ΠΑΥΛΙΔΟΥ ΜΑΡΙΝΑ του Γεωργίου,ΣΑΛΤΟΥΡΟΣ ΔΗΜΗΤΡΙΟΣ του Παναγιώτη,ΣΙΑΜΠΑΝ ΟΓΛΟΥ ΑΛΕΒ του Σουκρή,ΤΣΙΛΙΓΓΙΡΗΣ ΣΠΥΡΙΔΩΝ (ΣΠΥΡΟΣ) του Γεωργίου,ΧΑΤΖΗ ΜΕΜΙΣ ΤΟΥΡΚΕΣ του Μεχμέτ,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΕΩΡΓΑΚΑΚΗΣ ΙΑΚΩΒΟΣ του Γαβριήλ,ΓΚΟΥΤΖΙΜΙΔΗ ΕΙΡΗΝΗ του Ιωάννη,ΓΟΡΙΔΑΡΗ ΚΥΡΙΑΚΗ του Παναγιώτη,ΚΑΠΑΓΕΡΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΚΟΤΟΠΟΥΛΟΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΑΜΑΞΑ ΑΓΛΑΪΑ του Ευαγγέλου,ΑΝΤΩΝΙΑΔΗΣ ΑΝΕΣΤΗΣ του Κωνσταντίνου,ΚΑΡΑΛΙΔΗΣ ΦΩΤΙΟΣ του Γεωργίου,ΜΠΑΡΑΝ ΜΠΟΥΡΧΑΝ του Νετζαντή,ΣΑΦΕΡ ΟΓΛΟΥ ΝΕΡΙΜΑΝ του Χουσεΐν,Κ.Κ.Ε.,ΒΑΚΙΡΤΖΗΣ ΕΥΑΓΓΕΛΟΣ (ΜΠΑΚΕΡΟ) του Χρήστου,ΜΑΧΑΙΡΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Βίκτωρ,ΡΟΪΔΟΥ ΠΑΝΑΓΙΩΤΑ του Ιωάννη,ΦΩΤΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Πολυκάρπου,ΧΑΤΖΟΓΛΟΥ ΜΟΥΡΑΤ του Σαμπρή,Ένωση Κεντρώων,ΚΥΡΙΑΚΙΔΟΥ ΣΟΝΙΑ του Σέργιου,ΜΠΑΛΤΑΤΖΗΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΠΡΑΠΑΣ ΑΛΚΙΒΙΑΔΗΣ του Παναγιώτη,Ο.Κ.Δ.Ε.,ΝΤΟΥΡΟΥ ΕΛΕΥΘΕΡΙΑ του Θωμά,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΛΕΞΟΠΟΥΛΟΥ ΒΑΣΙΛΙΚΗ του Ευαγγέλου,ΜΗΛΙΑΖΗΜ ΤΖΕΜΑΛΗ του Μεχμέτ,Ελλήνων Συνέλευσις,ΚΑΡΑΚΑΣΗΣ ΕΥΣΤΡΑΤΙΟΣ του Δημητρίου,ΤΟΤΙΕΦ ΕΙΡΗΝΗ του Σέργιου,ΤΣΕΡΝΟΣ ΙΩΑΝΝΗΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΕΥΘΥΜΙΑΔΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου,ΚΟΥΤΕΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Θεοδώρου,ΜΠΑΪΡΑΚΤΑΡΗΣ ΣΩΤΗΡΙΟΣ του Λεωνίδα,ΜΥΛΩΝΑΣ ΓΕΩΡΓΙΟΣ του Ανέστη,ΨΑΡΑΓΚΑΘΟΥ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΑΝΤΩΝΙΑΔΟΥ-ΜΑΡΙΟΛΗ ΜΑΡΙΑ του Παναγιώτη,ΙΩΑΝΝΙΔΟΥ ΕΛΙΣΣΑΒΕΤ (ΒΕΤΑ) του Κωνσταντίνου,ΚΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΚΟΣΟΓΛΟΥ ΜΟΥΖΑΦΕΡ του Ρασήμ,ΧΑΤΖΗΣΑΒΒΑΣ ΣΤΕΦΑΝΟΣ του Αποστόλου,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΤΣΙΚΟΠΟΥΛΟΣ ΧΑΡΑΛΑΜΠΟΣ του Γεωργίου,Λαϊκή Ενότητα,ΚΑΡΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΚΟΣΜΙΔΗΣ ΑΝΤΩΝΙΟΣ του Νικολάου,ΧΑΡΑΛΑΜΠΙΔΟΥ ΕΛΙΣΣΑΒΕΤ του Δημητρίου,ΜέΡΑ25,ΓΙΑΝΝΙΚΗ ΕΛΙΣΣΑΒΕΤ του Ιωάννη,ΠΑΠΑΔΟΥΔΗΣ ΑΝΤΩΝΙΟΣ του Χριστοφόρου,ΤΣΑΜΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΕΡΜΗΓΚΑΣ ΓΕΩΡΓΙΟΣ -  ΑΝΔΡΟΜΑΧΟΣ του Δημητρίου,ΜΠΑΝΑ ΖΩΗ του Γεωργίου,ΤΣΙΜΠΕΡΙΔΗΣ ΙΩΑΝΝΗΣ του Βαλσάμη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΛΑΥΡΕΝΤΙΑΔΗΣ ΓΙΑΝΝΗΣ του Πέτρου
3 - Ξάνθης,99 E.T. Δήμου Μύκης,416,279,4,1,5,274,144,4,95,0,1,36,102,29,15,9,28,16,1,1,0,0,0,0,15,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,3,0,0,0,0,4,4,0,0,0,0,0,0,2,0
3 - Ξάνθης,100 E.T. Δήμου Μύκης,412,294,4,4,8,286,141,13,99,0,0,9,106,48,14,6,19,15,1,1,0,0,0,0,26,0,8,0,14,1,1,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,1,0,1,0,0,0,2,2,0,0,1,0,0,0,0,0
3 - Ξάνθης,101 E.T. Δήμου Μύκης,575,389,10,6,16,373,225,33,127,0,0,4,107,37,24,15,8,10,1,0,0,0,0,0,27,0,5,4,17,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,1,0,0,0,5,4,0,0,0,0,0,0,1,0
3 - Ξάνθης,102 E.T. Δήμου Μύκης,585,384,6,11,17,367,210,36,114,0,2,3,112,40,12,20,0,29,1,0,0,0,0,0,20,1,2,0,12,0,4,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,0,0,2,0,0,0,2,0
3 - Ξάνθης,103 E.T. Δήμου Μύκης,272,222,0,1,1,221,118,11,88,0,0,1,91,2,16,38,7,26,0,0,0,0,0,0,7,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
3 - Ξάνθης,104 E.T. Δήμου Μύκης,433,268,3,1,4,264,117,1,95,1,2,2,105,12,9,14,31,38,0,0,0,0,0,0,35,0,1,1,32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0
3 - Ξάνθης,105 E.T. Δήμου Μύκης,423,270,2,1,3,267,133,1,103,1,3,2,85,12,6,16,28,22,0,0,0,0,0,0,40,0,0,3,36,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0
3 - Ξάνθης,106 E.T. Δήμου Μύκης,442,262,5,5,10,252,124,1,95,2,0,7,89,31,3,15,8,31,0,0,0,0,0,0,32,0,1,0,30,0,4,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3 - Ξάνθης,107 E.T. Δήμου Μύκης,266,175,3,7,10,165,111,2,76,0,0,4,32,1,5,2,3,20,0,0,0,0,0,0,4,0,0,0,4,0,9,0,0,0,4,4,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,2,0
3 - Ξάνθης,108 E.T. Δήμου Μύκης,556,223,5,1,6,217,147,4,106,2,1,5,59,2,16,11,3,25,1,1,0,0,0,0,7,0,0,0,5,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3 - Ξάνθης,109 E.T. Δήμου Μύκης,543,231,8,2,10,221,144,9,95,1,0,6,56,1,15,7,3,29,0,0,0,0,0,0,10,0,0,0,9,0,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0
3 - Ξάνθης,110 E.T. Δήμου Ξάνθης,464,291,9,2,11,280,113,56,2,3,3,24,76,10,36,0,22,0,9,1,1,1,2,0,25,0,0,16,0,0,8,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,26,5,0,8,8,0,1,1,0,0,0,0,0,0,1,1,1,0,0,0,7,2,4,0,4,0,2,0,6,6
3 - Ξάνθης,111 E.T. Δήμου Ξάνθης,464,248,7,3,10,238,90,53,3,6,3,10,90,23,35,0,24,2,5,1,0,0,1,1,10,1,3,1,3,0,10,1,1,1,4,0,5,4,0,0,0,0,0,0,0,1,0,0,0,8,1,1,3,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,8,4,1,1,5,1,1,0,4,4
3 - Ξάνθης,112 E.T. Δήμου Ξάνθης,472,261,7,3,10,251,97,50,1,1,2,26,76,19,21,0,24,4,13,4,1,0,4,2,10,1,5,3,0,0,12,3,0,2,7,0,5,1,1,0,0,0,0,0,0,0,0,0,0,17,2,2,4,7,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,7,2,1,0,1,0,0,0,10,8
3 - Ξάνθης,113 E.T. Δήμου Ξάνθης,471,269,7,2,9,260,92,49,4,0,10,8,88,22,21,0,30,6,9,0,0,0,4,3,10,0,2,6,0,0,9,2,1,0,1,0,1,1,0,0,0,0,0,0,0,3,0,3,0,20,3,1,1,9,0,1,0,0,0,0,0,0,0,5,1,1,0,0,0,8,4,1,0,3,0,1,0,10,0
3 - Ξάνθης,114 E.T. Δήμου Ξάνθης,471,257,8,0,8,249,87,45,1,3,1,22,78,12,25,2,30,3,15,3,0,1,5,3,14,0,3,8,2,0,8,0,0,0,3,1,4,0,0,0,1,0,1,0,0,1,1,0,0,13,1,2,2,7,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,9,4,1,1,3,0,1,0,12,10
3 - Ξάνθης,115 E.T. Δήμου Ξάνθης,474,235,5,1,6,229,91,53,7,1,2,11,60,9,23,0,18,6,10,2,0,0,3,2,20,0,5,7,5,1,7,1,0,1,5,0,2,0,0,1,0,0,1,0,0,1,0,0,0,19,0,1,6,11,0,1,1,0,0,0,0,0,0,2,1,2,0,0,1,7,3,2,0,0,0,0,0,6,4
