ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΤΣΙΠΡΑΣ ΑΛΕΞΙΟΣ του Παύλου,ΑΠΟΣΤΟΛΟΥ ΕΥΑΓΓΕΛΟΣ του Θωμά,ΒΑΓΕΝΑ ΚΗΛΑΗΔΟΝΗ ΑΝΝΑ χήρα Λουκιανού,ΓΕΛΑΛΗΣ ΔΗΜΗΤΡΙΟΣ του Λεωνίδα,ΖΩΓΡΑΦΟΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,ΚΑΡΙΠΙΔΗΣ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΚΟΚΚΑΛΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΠΑΛΗΟΓΙΑΝΝΗ ΑΙΚΑΤΕΡΙΝΗ (ΚΑΙΤΗ) του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Αβραάμ,ΣΟΥΡΛΑΝΤΖΗ ΖΑΧΑΡΑΚΗ ΧΑΡΙΚΛΕΙΑ (ΡΟΥΛΑ) του Γεωργίου,ΧΡΗΣΤΟΥ ΧΡΥΣΟΥΛΑ του Χαράλαμπου,Νέα Δημοκρατία,ΑΔΑΜΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΑΞΙΟΓΛΟΥ ΕΛΕΝΗ (ΛΕΝΑ) του Ιωάννη,ΚΑΛΛΑ ΘΕΟΔΩΡΑ του Μάρκου,ΚΑΡΑΒΑΝΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΚΑΡΑΧΑΛΙΟΣ ΘΕΟΦΙΛΟΣ του Σωτηρίου,ΚΑΤΣΙΑΝΤΩΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΚΕΛΛΑΣ ΧΡΗΣΤΟΣ του Αχιλλέα,ΜΠΙΖΙΟΥ ΣΤΕΡΓΙΑΝΗ (ΣΤΕΛΛΑ) του Νικολάου,ΣΙΑΦΑΡΙΚΑ ΑΘΗΝΑ του Παύλου,ΤΖΑΝΑΚΟΥΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΧΑΡΑΚΟΠΟΥΛΟΣ ΜΑΞΙΜΟΣ του Παντελή,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΗΣΗ ΖΑΧΑΡΟΥΛΑ του Κωνσταντίνου,ΛΑΜΠΡΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Αναστασίου,ΛΙΑΠΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΜΠΙΛΛΗ-ΤΣΙΤΣΕ ΜΑΡΙΑ συζ. Γεωργίου,ΠΑΠΑΓΕΩΡΓΙΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ-ΔΟΥΚΑΣ ΝΙΚΟΛΑΟΣ-ΙΩΑΝΝΗΣ του Δημητρίου,ΤΖΟΥΤΣΑΣ ΠΕΤΡΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΑΓΟΡΙΤΣΑ ΦΑΝΗ του Θεόφιλου,ΓΑΛΛΙΟΥ ΜΑΡΙΑ του Ιωάννη,ΘΕΟΔΩΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Γρηγορίου,ΚΟΥΚΟΥΛΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΛΙΑΚΟΥΛΗ ΕΥΑΓΓΕΛΙΑ του Θεοφάνη,ΜΑΡΟΥ ΜΑΙΡΗ του Ιωάννη,ΜΠΑΡΓΙΩΤΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΠΑΠΑΒΑΣΙΛΕΙΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΣΑ) του Δημητρίου (Τάκη),ΣΑΧΙΝΙΔΗΣ ΦΙΛΙΠΠΟΣ του Δημητρίου,ΤΟΛΙΚΑΣ ΜΙΧΑΗΛ του Στεργίου,ΤΣΙΤΑ ΒΑΣΙΛΙΚΗ του Γεωργίου,Κ.Κ.Ε.,ΑΒΡΑΝΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΑΡΖΟΜΑΝΙΔΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΓΑΒΑΛΑ ΜΑΡΙΑ του Ρωσσέτου,ΔΑΣΚΑΛΑΚΗ ΑΓΓΕΛΑ του Μιχαήλ,ΚΑΡΥΩΤΗ ΚΥΡΙΑΚΗ του Αθανασίου,ΚΡΙΚΗΣ ΠΕΤΡΟΣ του Χρήστου,ΛΑΜΠΡΟΥΛΗΣ ΓΕΩΡΓΙΟΣ του Αριστείδη,ΜΑΡΟΥΔΑΣ ΡΙΖΟΣ του Κυριαζή,ΠΑΣΧΟΥ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΤΣΙΑΠΛΕΣ ΑΝΑΣΤΑΣΙΟΣ του Θωμά,ΤΣΙΚΡΙΤΣΗΣ ΑΣΤΕΡΙΟΣ του Αντωνίου,Ένωση Κεντρώων,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΚΑΦΕΝΟΥΔΗ ΙΩΑΝΝΑ του Ευαγγέλου,ΛΕΚΚΟΣ ΑΝΑΣΤΑΣΙΟΣ του Κωνσταντίνου,ΜΑΝΤΕΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΝΑΣΙΚΑ ΖΩΗ του Ιωάννη,ΟΙΚΟΝΟΜΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΠΑΝΤΑΖΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΣΑΝΙΔΑ ΜΑΡΙΝΑ του Κωνσταντίνου,ΤΣΕΤΣΙΛΑΣ ΑΘΑΝΑΣΙΟΣ του Πέτρου,ΤΣΙΑΜΟΥΡΑ ΧΡΙΣΤΙΝΑ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΠΑΝΤΑΖΗΣ ΚΥΡΙΑΚΟΣ του Σάββα,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΝΗΚΟΜΣΙΟΥ ΘΕΟΦΑΝΗΣ του Αποστόλου,ΚΑΡΑΝΑΣΤΑΣΗ ΑΙΚΑΤΕΡΙΝΗ του Χρήστου,ΣΙΟΥΛΑΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΤΣΑΜΟΥΡΗ ΦΩΤΕΙΝΗ του Ιωάννη,Ελλήνων Συνέλευσις,ΓΚΟΥΖΙΩΚΑΣ ΑΠΟΣΤΟΛΟΣ του Χρήστου,ΚΑΡΑΒΕΝΤΖΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΚΑΡΑΓΚΟΥΝΗ ΑΝΘΗ του Ιωάννη,ΝΑΚΟΥ ΛΑΜΠΡΙΝΗ του Απόστολου,ΝΤΟΥΛΑΠΤΣΗΣ ΓΕΩΡΓΙΟΣ του Παρασκευά,ΠΕΡΙΣΤΕΡΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ναπολέοντος,ΡΑΜΙΩΤΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΣΒΑΡΝΑΣ ΓΡΗΓΟΡΙΟΣ του Ιωάννη,ΣΙΔΗΡΟΠΟΥΛΟΥ ΣΟΦΙΑ του Γεωργίου,ΤΣΙΟΥΤΡΑ ΑΛΕΞΑΝΔΡΑ του Στεφάνου,ΦΩΤΙΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΚΑΜΠΟΖΗΣ ΠΑΡΑΣΧΟΣ (ΠΑΡΗΣ) του Θεοδώρου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΛΟΠΟΥΛΟΣ ΚΥΡΙΑΚΟΣ του Ιωσήφ,ΖΩΚΑΣ ΔΑΜΙΑΝΟΣ του Γρηγορίου,ΚΕΣΙΔΟΥ ΓΕΩΡΓΙΑ του Λαζάρου,ΚΟΚΚΑΣ ΑΝΔΡΕΑΣ του Θεοδώρου,ΚΩΤΣΟΠΟΥΛΟΥ ΜΑΡΙΑ του Αποστόλου,ΜΑΝΤΖΙΟΥ ΦΑΝΗ του Ιωάννη,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΜΠΑΛΑΤΣΑΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,ΝΑΣΙΚΑΣ ΝΑΣΟΥΛΙΑΣ του Γρηγορίου,ΣΔΡΟΛΙΑΣ ΛΑΜΠΡΟΣ του Γεωργίου,ΦΟΥΝΤΑ ΙΩΑΝΝΑ-ΜΑΡΙΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΖΥΓΟΓΙΩΡΓΟΣ ΝΙΚΟΛΑΟΣ του Αστερίου,ΚΑΝΑΚΗΣ ΜΙΧΑΗΛ του Πέτρου,ΚΟΚΚΙΝΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,ΜΑΝΤΑ ΣΤΥΛΙΑΝΗ του Χρήστου,ΧΑΤΖΗ ΑΓΓΕΛΙΚΗ του Ιωάννη,Μ-Λ Κ.Κ.Ε.,ΖΑΡΔΑΣ ΝΙΚΟΛΑΟΣ του Θεοδώρου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΥΚΑΣ ΓΕΩΡΓΙΟΣ-ΑΝΤΩΝΙΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΒΡΥΩΝΗΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΓΙΑΝΝΑΚΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΜΑΘΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,ΜΠΑΛΑΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΤΖΑΒΟΛΑΚΗ ΜΑΡΙΑ του Κωνσταντίνου,ΜέΡΑ25,ΙΩΑΝΝΟΥ ΔΙΑΜΑΝΤΩ-ΑΝΑΣΤΑΣΙΑ του Ιωάννη,ΚΑΝΑΡΕΛΗ ΣΤΑΜΑΤΙΝΑ του Γεωργίου,ΛΟΚΑ ΠΟΛΥΞΕΝΗ (ΤΖΕΝΗ) του Βασιλείου,ΝΑΤΣΙΟΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΝΙΚΟΛΟΠΟΥΛΟΣ ΟΔΥΣΣΕΥΣ του Νικολάου,ΣΟΦΙΚΙΤΗΣ ΠΕΤΡΟΣ του Ανδρέα,ΦΟΙΝΙΚΙΑΔΗΣ ΜΙΧΑΗΛ του Αναστασίου,ΧΛΟΠΤΣΙΟΣ ΙΩΑΝΝΗΣ του Πασχάλη,Δημιουργία ξανά - Θ. Τζήμερος,ΓΚΕΝΣ ΓΕΩΡΓΙΟΣ-ΡΕΝΕ του Ντέτλεφ,ΚΟΛΤΣΙΔΑΣ ΓΕΩΡΓΙΟΣ του Μιχαήλ,ΜΠΟΛΜΑΤΗ ΚΩΝΣΤΑΝΤΙΝΑ του Μιχαήλ,ΣΥΝ...ΦΩΝΙΑ ΚΟΜΜΑΤΩΝ,ΔΑΡΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλεξάνδρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΡΑΓΕΩΡΓΟΣ ΛΑΜΠΡΟΣ του Ταξιάρχη,ΣΚΡΕΤΑ ΔΕΣΠΟΙΝΑ του Ιωάννη,Ανεξάρτητοι Υποψήφιοι,ΝΤΡΙΓΚΟΓΙΑΣ ΧΡΗΣΤΟΣ του Βασιλείου
22 - Λάρισας,117 E.T. Δήμου Ελασσόνας,296,130,2,0,2,128,28,0,5,1,2,2,17,11,7,0,1,0,78,2,1,5,1,2,21,42,48,6,5,37,0,0,0,0,0,0,0,0,19,1,3,0,0,14,0,17,0,11,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22 - Λάρισας,118 E.T. Δήμου Ελασσόνας,223,167,1,2,3,164,57,0,10,3,4,4,41,29,13,1,0,0,58,7,0,1,0,1,18,42,30,4,7,42,1,1,0,1,1,0,0,0,34,0,9,0,11,24,0,12,2,9,2,1,8,2,0,1,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
22 - Λάρισας,119 E.T. Δήμου Ελασσόνας,552,384,3,3,6,378,112,0,54,7,8,16,50,21,11,0,1,0,120,13,2,6,7,4,43,40,60,3,12,35,4,2,1,0,3,1,0,0,25,2,15,1,0,14,0,11,0,4,3,1,90,79,1,6,2,2,4,58,59,6,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,1,2,0,0,1,2,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,7,5,1,1,3,0,0,0,0,1,0,0,0,0,0,3,2,2,0,0
22 - Λάρισας,120 E.T. Δήμου Ελασσόνας,538,337,5,0,5,332,111,0,54,17,5,17,57,20,10,2,3,3,117,9,2,3,6,5,57,60,45,8,16,52,0,0,0,0,0,0,0,0,26,2,6,1,0,15,0,17,0,3,7,1,65,56,1,3,0,0,0,50,45,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
22 - Λάρισας,121 E.T. Δήμου Ελασσόνας,530,361,4,0,4,357,108,0,53,8,2,5,31,25,6,1,1,1,125,1,2,1,6,8,54,47,57,8,13,66,6,2,2,6,2,2,1,1,33,0,15,0,0,13,0,18,0,2,8,0,69,58,4,4,1,1,5,43,44,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,10,10,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0
22 - Λάρισας,122 E.T. Δήμου Ελασσόνας,532,343,6,0,6,337,95,95,46,12,3,9,50,13,5,2,0,0,113,1,2,2,14,7,38,61,35,4,13,48,9,2,7,5,3,2,3,3,36,1,9,2,0,10,0,15,2,6,10,1,65,49,2,4,3,1,0,43,36,3,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,0,2,1,0,0,0,0,0,1,1,11,11,0,1,2,0,2,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
22 - Λάρισας,123 E.T. Δήμου Κιλελέρ,403,315,5,1,6,309,61,61,2,16,7,6,1,21,16,7,2,3,155,10,4,42,6,15,49,72,17,22,36,67,11,4,1,1,4,1,4,0,33,1,16,1,1,22,6,3,2,23,0,2,9,3,0,2,4,1,0,3,4,0,2,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,2,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,5,1,1,1,2,2,9,3,3,1,1,1,1,2,0,0,0,0,0,0,0,4,3,3,0,0
22 - Λάρισας,124 E.T. Δήμου Κιλελέρ,428,304,2,0,2,302,86,43,4,20,9,10,5,32,8,9,3,5,129,7,7,36,3,7,51,60,26,22,28,68,11,3,2,1,0,0,6,0,40,4,20,2,1,25,4,7,0,16,4,1,4,0,0,2,1,0,0,2,1,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,9,3,3,0,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,10,3,2,1,1,2,0,1,0,1,1,1,1,0,0,2,0,1,1,1
22 - Λάρισας,125 E.T. Δήμου Κιλελέρ,317,194,3,1,4,190,65,65,11,22,10,3,4,24,6,12,6,5,64,3,8,26,4,4,11,32,16,16,15,21,7,4,1,2,1,2,1,1,16,5,2,0,3,5,2,8,0,2,3,1,9,1,1,2,0,4,0,4,6,0,2,0,4,1,2,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0,3,2,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,1,1,1,0,0,0,0,0,2,0,0,0,0,0,10,6,7,0,0
22 - Λάρισας,126 E.T. Δήμου Κιλελέρ,291,195,0,3,3,192,57,57,6,19,9,5,3,17,2,3,1,5,77,3,5,25,3,3,13,26,16,12,21,35,8,4,1,2,4,2,4,1,16,0,5,2,1,8,0,2,1,5,4,0,9,0,0,0,2,2,0,7,5,0,4,1,5,0,2,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,1,0,1,2,1,1,1,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0
22 - Λάρισας,127 E.T. Δήμου Κιλελέρ,332,228,3,0,3,225,54,26,2,15,6,1,2,21,2,6,3,6,106,7,1,2,0,6,22,74,9,6,49,67,10,2,1,3,2,2,1,1,31,0,7,2,2,25,1,11,2,9,8,2,3,0,0,1,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,2,0,0,1,1,1,0,1,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,4,2,2,2,1,3,0,1,0,0,0,0,0,0,2,1,2,0,0
22 - Λάρισας,128 E.T. Δήμου Κιλελέρ,208,147,0,0,0,147,38,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0
22 - Λάρισας,129 E.T. Δήμου Κιλελέρ,316,218,0,2,2,216,32,0,4,7,1,0,2,1,10,4,1,2,142,5,7,15,9,16,43,93,18,13,43,45,7,2,0,0,3,0,3,0,9,0,1,0,0,4,0,1,0,2,2,0,6,0,0,1,1,0,0,2,4,1,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,1,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0
22 - Λάρισας,130 E.T. Δήμου Κιλελέρ,369,269,3,0,3,266,68,68,1,32,12,8,8,0,0,0,3,3,114,15,4,29,10,22,30,40,24,17,35,41,11,1,2,2,2,0,9,0,35,6,8,13,0,19,4,6,1,10,4,8,8,0,0,1,2,2,0,2,3,1,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,2,0,1,6,1,1,1,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,2,3,2,3,1,2,2,2,0,0,0,0,0,3,2,2,1,1
22 - Λάρισας,131 E.T. Δήμου Κιλελέρ,364,228,5,0,5,223,48,0,3,18,5,4,5,15,1,5,1,7,104,10,2,26,7,33,41,22,21,11,32,38,24,5,4,2,6,5,6,2,18,4,3,0,1,10,1,4,1,2,2,2,5,0,1,1,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,4,0,0,0,0,0,0,0,0,16,0,0,1,0,3,2,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
22 - Λάρισας,132 E.T. Δήμου Κιλελέρ,295,219,0,0,0,219,34,0,2,4,2,0,5,7,5,5,1,0,135,5,6,2,11,14,29,57,27,10,39,71,12,6,1,3,3,0,1,2,15,0,2,1,0,10,4,7,0,5,0,2,1,0,0,1,0,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,1,0,1,1,0,0,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,7,2,2,1,1,2,1,1,0,0,0,0,0,0,0,3,0,1,0,0
22 - Λάρισας,133 E.T. Δήμου Κιλελέρ,258,160,3,2,5,155,46,0,2,15,7,0,8,9,3,12,3,2,56,14,2,5,4,7,14,23,15,4,13,29,6,2,0,0,2,2,2,1,34,0,10,6,1,11,29,13,1,6,8,0,4,1,0,1,2,0,0,1,1,0,0,0,5,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
22 - Λάρισας,134 E.T. Δήμου Κιλελέρ,317,208,1,0,1,207,54,26,2,18,8,3,0,18,4,8,0,1,97,16,2,5,4,8,35,39,24,16,26,65,2,0,0,0,1,0,1,0,28,6,6,7,0,13,24,6,0,3,1,1,5,1,0,1,2,0,0,2,2,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,13,1,2,1,0,1,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,1,1,1,1,0,0,2,1,1,0,0
22 - Λάρισας,135 E.T. Δήμου Κιλελέρ,530,320,6,1,7,313,64,64,2,13,6,3,5,29,2,6,3,3,160,2,2,19,6,4,94,53,16,18,14,55,26,14,5,5,8,2,5,1,14,0,6,0,0,13,2,0,0,5,0,0,4,0,2,0,0,0,0,1,0,2,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,4,3,2,0,0,0,1,0,0,0,25,25,1,2,0,3,2,0,2,6,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,2,1,0,0,0,1,0,0,1,2,0,1,0,0,0,5,3,1,1,1
22 - Λάρισας,136 E.T. Δήμου Κιλελέρ,312,218,4,2,6,212,63,63,4,13,12,9,9,17,9,8,5,2,88,14,2,16,5,7,28,40,19,12,18,42,2,0,0,0,1,0,0,1,21,4,3,1,3,7,13,4,3,9,5,1,14,1,1,3,1,0,1,3,5,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,4,0,1,0,1,0,0,0,0,0,0,0,0,0,6,5,1,1,1
22 - Λάρισας,137 E.T. Δήμου Κιλελέρ,373,270,3,2,5,265,70,0,10,15,11,13,6,19,9,9,1,7,132,30,6,11,11,20,23,47,37,22,24,51,2,0,0,0,1,0,0,0,22,2,2,0,3,9,7,5,1,6,7,1,19,1,0,0,5,4,0,11,11,0,1,1,2,1,0,0,0,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,8,0,0,0,2,2,0,0,0,1,0,0,0,0,0,3,0,1,0,0
22 - Λάρισας,138 E.T. Δήμου Κιλελέρ,448,286,1,2,3,283,79,0,1,12,19,5,12,30,8,10,6,5,125,28,3,8,11,16,23,31,19,14,65,54,11,6,0,3,0,2,0,0,33,0,18,0,0,20,0,11,0,7,1,9,6,0,1,2,1,0,0,2,0,0,3,0,7,5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,1,1,1,1,0,2,0,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,0,2,1,2,0,0,1,0,1,0,0,0,2,2,0,0,0
22 - Λάρισας,139 E.T. Δήμου Κιλελέρ,546,350,4,2,6,344,124,0,2,16,39,3,20,43,7,10,2,6,121,21,5,4,16,9,12,45,18,12,62,46,6,1,3,1,5,1,0,0,46,0,21,0,1,22,2,17,1,13,1,6,13,2,2,3,3,2,2,8,6,0,0,0,3,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,21,0,3,5,1,1,4,1,1,3,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,1,0,0,1,0,0,4,2,0,0,0
22 - Λάρισας,140 E.T. Δήμου Κιλελέρ,295,178,3,1,4,174,37,11,0,4,1,2,5,12,2,11,1,0,74,29,4,6,10,2,13,15,7,3,24,38,9,0,3,3,1,0,1,1,16,1,3,4,2,8,0,7,1,6,4,1,9,0,2,1,1,3,1,4,4,2,2,0,3,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,5,3,1,1,0,1,1,0,0,0,0,0,0,0,10,6,2,0,0,0,2,1,0,3,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,8,0,2,0,0,3,2,0,1,2,0,0,0,0,0,0,0,0,0,0
