ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΤΩΝΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ευστρατίου,ΒΑΡΕΜΕΝΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,ΒΑΣΙΛΕΙΟΥ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΖΑΒΟΓΙΑΝΝΗ ΗΡΩ του Σωκράτη,ΚΑΡΑΓΚΟΥΝΗΣ ΣΤΑΥΡΟΣ του Αθανασίου,ΜΙΧΑΛΑΤΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΜΩΡΑΪΤΗΣ ΑΘΑΝΑΣΙΟΣ (ΘΑΝΟΣ) του Χρήστου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΜΑΡΙΑ του Κωνσταντίνου,ΤΣΙΡΩΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Νέα Δημοκρατία,ΑΡΑΧΩΒΑ ΑΝΤΩΝΙΑ (ΤΟΝΙΑ) του Νικολάου,ΚΑΛΠΟΥΖΑΝΗ ΜΑΡΙΑ του Γρηγορίου,ΚΑΡΑΓΚΟΥΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΛΙΒΑΝΟΣ ΣΠΥΡΙΔΩΝ - ΠΑΝΑΓΙΩΤΗΣ (ΣΠΗΛΙΟΣ) του Διονυσίου,ΜΠΟΚΑ ΓΕΩΡΓΙΑ του Κωνσταντίνου,ΜΠΟΥΜΠΟΥΛΗ - ΦΡΑΓΚΟΓΙΑΝΝΗ ΑΦΡΟΔΙΤΗ του Βασιλείου,ΠΑΠΑΘΑΝΑΣΗΣ ΑΘΑΝΑΣΙΟΣ του Δαμιανού,ΣΑΛΜΑΣ ΜΑΡΙΟΣ του Γεωργίου,ΦΕΥΓΑΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΒΑΣΚΑΝΤΗΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Κίμωνα,ΒΟΥΡΒΑΧΗΣ ΑΣΗΜΑΚΗΣ του Σπυρίδωνος,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ ΑΘΑΝΑΣΙΑ του Παντελεήμονος,ΘΕΟΔΩΡΟΥ ΕΥΑΓΓΕΛΙΑ (ΕΒΕΛΙΝΑ) του Βασιλείου,ΚΑΡΑΓΙΑΝΝΗ ΔΙΑΜΑΝΤΩ (ΜΑΝΤΩ) του Λάμπρου,ΜΑΚΡΗΣ ΔΗΜΗΤΡΙΟΣ του Ελευθερίου,ΜΠΑΡΜΠΑΡΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΣΑΜΑΡΑ ΚΩΝΣΤΑΝΤΟΥΛΑ του Ιωάννη,Κίνημα Αλλαγής,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Χρήστου,ΑΝΤΩΝΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Ξενοφώντος,ΚΕΛΕΠΟΥΡΗΣ ΑΝΔΡΕΑΣ του Ιωάννη,ΚΙΤΣΑΚΗ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΜΠΙΣΜΠΙΚΗ ΑΙΚΑΤΕΡΙΝΗ του Αθανασίου,ΠΙΣΤΙΟΛΗ ΠΕΡΣΕΦΩΝΗ του Γεωργίου,ΤΟΡΟΥΝΙΔΗΣ ΑΘΑΝΑΣΙΟΣ (ΣΑΚΗΣ) του Στεφάνου,ΦΟΥΝΤΑ ΝΙΚΗ του Νικολάου,Κ.Κ.Ε.,ΔΗΜΑΣ ΔΗΜΗΤΡΙΟΣ του Ιωάννη,ΚΑΖΑΡΙΔΗ ΣΟΦΙΑ του Σωκράτη,ΚΑΤΣΙΓΙΑΝΝΗΣ ΜΙΧΑΗΛ του Ορφέα,ΚΟΤΟΠΟΥΛΗΣ ΣΠΥΡΙΔΩΝ του Ιωάννη,ΚΟΥΤΡΟΥΜΠΑ ΑΘΗΝΑ του Γεωργίου,ΚΩΝΣΤΑΝΤΑΚΟΠΟΥΛΟΥ ΕΙΡΗΝΗ του Φωτίου,ΛΑΜΠΡΟΚΩΣΤΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Ιωάννη,ΜΩΡΑΪΤΗΣ ΝΙΚΟΛΑΟΣ του Επαμεινώνδα,ΠΑΠΑΝΑΣΤΑΣΗΣ ΝΙΚΟΛΟΣ του Αθανασίου,Ένωση Κεντρώων,ΑΛΕΞΑΝΔΡΟΠΟΥΛΟΥ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΚΟΛΟΖΑΚΗΣ ΠΑΝΑΓΙΩΤΗΣ του Δημητρίου,ΛΥΠΗΜΕΝΟΣ ΣΤΥΛΙΑΝΟΣ του Νικολάου,ΜΙΧΑΛΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Σπυρίδωνος,ΜΠΑΝΤΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΠΑΠΑΘΑΝΑΣΗΣ ΙΩΑΝΝΗΣ του Ηλία,ΡΗΓΑ ΧΡΙΣΤΙΝΑ του Λάμπρου,ΤΗΛΕΜΑΧΟΥ ΕΛΕΥΘΕΡΙΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΠΑΠΑΓΙΑΝΝΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΕΥΘΥΜΙΟΠΟΥΛΟΣ ΔΙΟΝΥΣΙΟΣ του Δημητρίου,ΚΟΚΚΙΝΟΒΑΣΙΛΗΣ ΠΟΛΥΔΕΥΚΗΣ του Δημητρίου,ΜΠΑΘΑ ΛΕΜΟΝΙΑ του Αθανασίου,ΣΤΑΜΑΤΗ ΕΥΔΟΚΙΑ του Γεωργίου,ΤΡΙΚΑΛΙΝΟΣ ΓΕΩΡΓΙΟΣ του Ανδρέα,ΤΣΩΛΗ ΕΛΕΝΗ - ΑΝΝΑ του Νικολάου,Ελλήνων Συνέλευσις,ΓΡΙΒΑ ΛΑΜΠΡΙΝΗ του Νικολάου,ΓΡΙΒΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΓΡΟΜΗΤΣΑΡΗ ΛΑΜΠΡΙΝΗ του Νικολάου,ΔΡΟΣΟΣ ΒΑΣΙΛΕΙΟΣ του Αθανασίου,ΚΑΡΑΜΠΑ ΘΕΟΔΩΡΑ του Γεωργίου,ΚΑΤΣΟΥΔΑ ΕΥΣΤΑΘΙΑ του Παντελή,ΝΤΟΚΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΠΑΡΘΕΝΗΣ ΠΑΥΛΟΣ του Σπυρίδωνα,ΣΑΡΑΚΗΣ ΑΓΓΕΛΟΣ του Σπυρίδωνα,Ελληνική Λύση - Κ. Βελόπουλος,ΔΟΥΜΑ ΑΔΑΜΑΝΤΙΑ του Γεωργίου,ΚΑΡΑΚΑΤΣΑΝΗ ΜΑΡΙΑ του Γεωργίου,ΛΑΩΝΗΣ ΧΡΗΣΤΟΣ του Δημητρίου,ΜΕΛΕΤΗΣ ΑΘΑΝΑΣΙΟΣ του Ευσταθίου,ΜΙΧΑΗΛΙΔΗ ΚΥΡΙΑΚΗ του Χαραλάμπους,ΣΑΛΑΓΙΑΝΝΗΣ ΑΘΑΝΑΣΙΟΣ του Σπυρίδωνος,ΣΑΜΑΡΑΣ ΠΑΥΛΟΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΠΕΤΑΝΑΚΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,ΚΑΤΣΕΝΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Νικολάου,ΛΩΛΗ ΕΛΕΝΗ του Κωνσταντίνου,Μ-Λ Κ.Κ.Ε.,ΖΑΡΑΒΙΝΑΣ ΣΩΚΡΑΤΗΣ του Μιχαήλ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΒΑΣΣΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΑΡΑΚΟΒΟΥΝΗΣ ΔΗΜΗΤΡΙΟΣ του Ηλία,ΜΥΛΩΝΑΣ ΙΩΑΝΝΗΣ του Ανδρέα,ΤΣΙΡΙΜΩΚΟΣ ΔΗΜΗΤΡΙΟΣ του Χρήστου,ΤΣΙΡΙΜΩΚΟΥ ΓΕΩΡΓΙΑ του Χρήστου,ΦΛΩΤΣΙΟΥ ΑΝΝΑ του Τηλέμαχου,ΧΟΝΔΡΟΓΙΑΝΝΗ ΒΑΣΙΛΙΚΗ του Βλασίου,Λαϊκή Ενότητα,ΑΜΒΡΑΖΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΚΑΡΑΓΙΑΝΝΗΣ ΑΝΔΡΕΑΣ του Δημητρίου,ΚΑΤΣΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΛΟΥΚΑΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,ΜΠΑΝΙ - ΠΑΣΟΥΝΙ ΣΤΥΛΙΑΝΑ του Χαλίμ,ΜΠΕΤΣΗΣ ΕΛΕΥΘΕΡΙΟΣ του Λάμπρου,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΔΗΜΗΤΡΑ του Βασιλείου,ΡΑΝΤΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜέΡΑ25,ΜΙΖΑΛΟΣ ΒΛΑΣΙΟΣ του Γεωργίου,ΜΙΚΡΟΒΑΣ ΑΝΤΩΝΙΟΣ του Γεωργίου,ΜΠΟΥΡΧΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΝΙΚΟΛΟΥΔΗ ΑΓΑΠΗ του Ευαγγέλου,ΝΟΥΛΑ ΧΡΥΣΑΝΘΗ του Γεωργίου,ΣΙΔΕΡΑΣ ΛΑΜΠΡΟΣ του Βασιλείου,ΣΚΑΠΕΤΟΥΛΙΑ ΧΡΙΣΤΙΝΑ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΘΑΝΑΣΙΟΥ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΚΑΝΔΑΛΟΥ ΕΛΕΝΗ του Σωτηρίου
30 - Αιτωλοακαρνανίας,121 E.T. Δήμου Αγρινίου,501,305,3,1,4,301,123,3,48,6,3,22,2,28,9,19,102,1,0,37,18,33,2,13,34,16,9,0,1,0,0,1,2,7,1,35,0,10,0,3,18,0,1,6,1,14,2,1,2,1,2,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,5,1,2,1,0,0,2,1,1,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,3,1,0,0,1,0,1,1,0,0,0
30 - Αιτωλοακαρνανίας,122 E.T. Δήμου Αγρινίου,484,284,1,4,5,279,104,11,39,10,4,36,1,18,5,17,114,1,0,60,7,34,7,18,44,8,9,0,0,1,0,1,5,5,2,30,5,4,0,5,6,1,8,5,2,5,1,1,1,0,3,1,0,2,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,6,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,5,0,1,0,0,1,0,0,0,0,1,1
30 - Αιτωλοακαρνανίας,123 E.T. Δήμου Αγρινίου,501,312,2,0,2,310,91,10,18,9,3,18,4,16,7,16,151,1,4,51,19,59,3,4,106,7,9,0,0,0,0,1,1,3,1,20,1,11,0,9,6,0,2,3,1,23,1,2,1,0,14,0,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,8,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,1,0,0,0,2,2,1,0
30 - Αιτωλοακαρνανίας,124 E.T. Δήμου Αγρινίου,489,268,2,1,3,265,94,11,23,5,6,33,8,22,6,17,109,5,0,83,18,23,0,4,37,3,10,0,0,0,0,0,2,9,1,18,1,5,0,6,6,1,2,5,4,15,1,0,0,1,15,0,4,0,1,1,0,0,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,4,0,1,0,0,1,2,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,0,1,1,0,0,0,0,3,1
30 - Αιτωλοακαρνανίας,125 E.T. Δήμου Αγρινίου,485,288,5,0,5,283,131,12,55,7,13,34,0,42,12,10,99,4,4,46,20,19,1,14,46,12,4,0,1,0,0,0,2,2,0,15,0,8,0,5,4,0,2,1,0,14,1,0,3,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,1,1,1,2,2,0,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,3,1,2,0,0,0,0,1,3,1,3,1
30 - Αιτωλοακαρνανίας,126 E.T. Δήμου Αγρινίου,483,269,6,3,9,260,86,5,32,8,0,26,2,16,6,8,97,0,4,52,28,16,3,12,37,15,2,1,0,0,0,0,1,1,0,38,2,17,2,11,7,1,8,10,5,9,0,1,0,1,7,0,3,0,2,2,0,0,0,0,0,0,0,2,0,0,4,0,2,0,1,0,1,1,0,1,0,1,0,0,0,0,0,8,0,0,0,0,0,8,1,1,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,3,0,1,1,0,1,0,0,4,0
30 - Αιτωλοακαρνανίας,127 E.T. Δήμου Αγρινίου,481,287,3,1,4,283,96,4,38,6,4,24,2,22,4,11,117,2,1,61,17,20,2,13,42,18,11,1,0,0,1,0,4,11,0,13,0,7,0,1,5,1,0,1,2,15,0,1,0,0,10,0,7,2,2,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,1,8,1,0,0,0,0,0,0,2,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,9,1,3,0,1,1,0,0,1,1,6,2
30 - Αιτωλοακαρνανίας,128 E.T. Δήμου Αγρινίου,545,291,4,0,4,287,126,6,72,14,4,37,1,26,12,19,101,4,0,56,23,13,0,11,42,10,5,0,1,0,1,1,1,4,0,24,3,4,1,1,8,2,0,4,1,13,1,0,0,0,7,0,7,0,0,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,2,0,0,4,1,3,0,0,1,1,0,0,0,4,3
30 - Αιτωλοακαρνανίας,129 E.T. Δήμου Αγρινίου,510,302,3,0,3,299,88,6,22,6,5,35,0,37,1,5,138,9,4,66,48,51,7,9,19,12,9,1,0,0,0,1,4,5,1,23,4,12,0,3,9,0,2,4,2,26,6,0,1,15,1,1,1,0,10,2,0,0,0,0,0,0,0,1,0,0,3,0,2,2,0,1,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,1,1,0,1,0,1,0,0,1,0
30 - Αιτωλοακαρνανίας,130 E.T. Δήμου Αγρινίου,512,296,4,1,5,291,83,7,34,8,4,30,1,13,5,3,153,5,3,57,53,44,4,15,49,14,6,2,1,0,0,0,1,2,0,13,1,5,0,2,4,0,1,5,0,21,2,2,0,7,2,3,1,4,4,6,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0
30 - Αιτωλοακαρνανίας,131 E.T. Δήμου Αγρινίου,531,306,6,0,6,300,118,9,41,11,11,46,3,34,14,4,140,4,9,70,46,32,8,9,52,10,0,0,0,0,0,0,0,0,0,21,3,10,0,8,8,0,1,1,3,10,3,1,0,6,1,0,0,2,3,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0
30 - Αιτωλοακαρνανίας,132 E.T. Δήμου Αγρινίου,436,251,2,1,3,248,95,5,23,1,4,36,1,49,2,5,110,2,0,45,30,45,2,15,50,6,6,1,1,0,0,1,2,1,0,15,0,6,0,2,10,0,0,3,2,14,3,0,0,8,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,0,1,0,0,1,1,1,0,0,1,0
30 - Αιτωλοακαρνανίας,133 E.T. Δήμου Αγρινίου,426,246,3,2,5,241,83,9,28,4,4,21,2,41,8,2,104,4,3,36,34,32,11,8,54,12,12,3,0,3,0,1,3,4,0,24,5,11,0,1,11,0,0,0,1,9,0,1,0,5,0,1,0,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,3,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,0,0,2,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,134 E.T. Δήμου Αγρινίου,201,93,0,0,0,93,22,1,10,0,0,5,0,15,2,0,55,2,0,27,13,6,1,10,26,6,0,0,0,0,0,0,0,0,0,12,2,5,0,5,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,135 E.T. Δήμου Αγρινίου,386,226,1,0,1,225,64,7,21,5,5,10,0,14,5,4,119,4,5,34,37,39,5,23,43,8,2,0,0,0,0,0,1,2,0,24,3,8,0,3,15,0,1,3,0,2,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,3,0,0,0,1,0,7,3,0,0,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
30 - Αιτωλοακαρνανίας,136 E.T. Δήμου Αγρινίου,336,166,1,1,2,164,49,5,14,8,8,7,0,18,3,2,75,1,0,29,24,7,1,9,29,2,5,0,0,1,0,1,3,2,0,16,0,13,0,1,3,0,1,2,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,1,2,4,0,1,0,0,0,0
30 - Αιτωλοακαρνανίας,137 E.T. Δήμου Αγρινίου,429,233,2,1,3,230,62,11,28,4,12,3,0,16,9,4,114,1,1,47,11,23,0,20,65,6,2,1,1,0,0,0,0,0,0,29,2,24,1,3,2,3,3,4,1,4,0,0,0,3,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1,1,0,0,0,0,0,0,0,0,0,7,1,0,6,3,0,0,2,1,0,0,1,0,0,0,0,1,4,0,0,0,2,1,1,1,1,0,2,0
30 - Αιτωλοακαρνανίας,138 E.T. Δήμου Αγρινίου,367,222,1,0,1,221,74,10,23,0,6,12,1,37,6,2,86,0,1,34,34,19,9,7,31,5,10,1,0,0,0,2,1,3,1,29,1,21,1,2,6,0,0,1,1,10,0,1,0,9,0,0,0,4,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1
30 - Αιτωλοακαρνανίας,139 E.T. Δήμου Αγρινίου,421,225,3,1,4,221,67,16,17,3,4,16,1,24,11,2,115,1,5,79,15,22,7,22,33,7,6,1,1,0,1,0,1,2,1,20,4,10,0,1,9,1,1,2,1,5,0,0,2,0,0,0,0,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,1,3,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
30 - Αιτωλοακαρνανίας,140 E.T. Δήμου Αγρινίου,465,240,3,0,3,237,68,4,27,2,1,24,1,19,4,2,103,4,5,48,20,37,4,6,52,2,9,1,0,0,0,1,3,8,0,37,2,16,1,7,26,0,1,0,3,4,1,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,0,0,0,6,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
30 - Αιτωλοακαρνανίας,141 E.T. Δήμου Αγρινίου,50,37,0,1,1,36,6,0,1,0,0,0,0,4,0,0,24,0,0,15,8,4,3,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
30 - Αιτωλοακαρνανίας,142 E.T. Δήμου Αγρινίου,331,160,4,0,4,156,41,5,14,3,1,9,0,9,3,2,92,0,3,35,40,35,4,7,7,20,2,0,0,0,0,0,1,1,0,12,1,5,0,0,4,0,0,1,1,3,2,0,0,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0
30 - Αιτωλοακαρνανίας,143 E.T. Δήμου Αγρινίου,419,244,4,1,5,239,86,12,23,2,6,14,1,25,6,9,96,2,0,44,31,21,1,12,42,4,5,0,0,0,0,0,1,3,1,29,0,12,0,5,0,8,3,4,1,3,1,0,0,0,0,1,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,0,1,0,0,2,0,0,0,0,0,0,6,1,1,1,2,1,1,0,2,1,1,0,0,0,0,0,1,4,0,1,0,2,1,0,1,0,0,3,1
30 - Αιτωλοακαρνανίας,144 E.T. Δήμου Αγρινίου,421,276,5,0,5,271,116,4,38,9,5,11,2,48,4,5,98,3,0,56,19,20,2,8,27,12,4,0,0,0,0,0,1,2,0,37,3,10,1,4,11,1,0,20,2,6,0,0,0,2,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,2,1,1,0,1,1,1,0
30 - Αιτωλοακαρνανίας,145 E.T. Δήμου Αγρινίου,360,222,2,1,3,219,104,11,42,10,3,27,3,43,7,2,78,0,1,32,22,19,1,6,35,7,2,0,0,0,0,0,1,1,1,22,2,6,0,3,2,3,0,13,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,2,2,0,0,2,1,1,0,0,1,0
30 - Αιτωλοακαρνανίας,146 E.T. Δήμου Αγρινίου,399,250,2,3,5,245,94,10,36,8,3,20,3,42,7,2,77,3,1,42,15,23,4,14,23,17,14,0,0,0,1,3,2,11,1,31,1,6,0,7,6,0,2,10,4,7,2,1,1,0,1,1,1,1,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,1,0,1,0,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,1,1,1,1,1,7,6
30 - Αιτωλοακαρνανίας,147 E.T. Δήμου Αγρινίου,492,329,6,3,9,320,120,6,43,4,7,19,2,38,10,4,101,2,0,26,23,20,4,8,41,17,5,1,1,0,0,0,1,2,0,51,1,11,3,8,12,1,2,27,5,11,0,0,0,0,1,2,0,5,4,3,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,8,4,1,0,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,12,3,1,2,3,2,3,0,2,1,3,2
30 - Αιτωλοακαρνανίας,148 E.T. Δήμου Αγρινίου,491,328,4,4,8,320,122,9,45,12,5,18,0,36,8,1,126,3,2,43,38,12,4,18,58,22,4,0,0,1,0,0,1,1,0,42,2,12,0,3,4,0,1,27,1,1,0,0,0,0,0,0,0,0,0,15,0,0,2,0,0,14,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,2,0,1,1,0,0,1,0,2,2
30 - Αιτωλοακαρνανίας,149 E.T. Δήμου Αγρινίου,492,339,3,2,5,334,110,2,47,7,6,23,4,35,5,4,128,7,3,54,74,17,5,11,53,26,9,0,0,0,0,2,6,3,0,51,1,17,5,22,5,1,3,42,2,10,0,0,6,0,0,1,0,3,0,10,0,0,0,0,0,9,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,3,1,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,1,1,4,3
