ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΜΠΑΛΤΑΓΙΑΝΝΗΣ ΣΤΕΦΑΝΟΣ του Δημητρίου,ΜΠΟΥΤΑΣΗ ΙΩΑΝΝΑ του Χρήστου,ΤΕΛΙΓΙΟΡΙΔΟΥ ΟΛΥΜΠΙΑ του Ιωάννη,Νέα Δημοκρατία,ΑΝΤΩΝΙΟΥ ΜΑΡΙΑ του Βασιλείου,ΚΑΝΔΥΛΗ ΑΓΝΗ του Ανδρέα,ΤΖΗΚΑΛΑΓΙΑΣ ΖΗΣΗΣ του Γεωργίου,ΤΣΙΦΛΙΚΙΩΤΗΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΟΥΠΙΔΟΥ ΕΥΑΝΘΙΑ του Μιχαήλ,ΓΡΑΤΣΙΑΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΤΟΥΦΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,Κίνημα Αλλαγής,ΔΙΑΜΑΝΤΟΠΟΥΛΟΥ ΚΩΝΣΤΑΝΤΙΝΙΑ του Ζήση,ΖΥΜΠΙΔΗΣ ΘΕΟΦΥΛΑΚΤΟΣ του Παναγιώτη,ΠΕΤΡΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου,ΤΣΑΛΟΥΚΙΔΟΥ ΑΘΗΝΑ του Αχιλλέα,Κ.Κ.Ε.,ΑΘΑΝΑΣΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανδρέα,ΓΡΑΜΜΕΝΟΥ ΓΙΑΝΝΟΥΛΑ (ΑΝΝΕΤΑ) του Γεωργίου,ΖΕΓΑ ΓΕΩΡΓΙΑ του Πασχάλη,ΚΑΝΑΤΣΙΟΣ ΙΩΑΝΝΗΣ του Δημητρίου,Ένωση Κεντρώων,ΒΑΣΙΛΕΙΟΥ ΚΩΝΣΤΑΝΤΙΝΑ-ΠΑΡΑΣΚΕΥΗ του Κωνσταντίνου,ΜΑΡΑΤΟΣ ΓΕΡΑΣΙΜΟΣ του Νικολάου,Ο.Κ.Δ.Ε.,ΚΟΥΛΟΓΛΟΥ Ελισάβετ του Αλκιβιάδη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΒΑΣΙΛΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Δημητρίου,Ελλήνων Συνέλευσις,ΚΡΑΓΙΑ ΑΘΗΝΑ του Χρήστου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΟΥΤΥΡΑ ΑΦΡΟΔΙΤΗ του Μιχαήλ,ΠΑΤΣΙΟΣ ΓΡΗΓΟΡΗΣ του Μιχάλη,ΣΙΔΗΡΟΠΟΥΛΟΣ ΑΝΕΣΤΗΣ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΡΑΜΗΤΡΟΣ ΓΙΑΝΝΗΣ του Στεφάνου,Μ-Λ Κ.Κ.Ε.,ΚΑΡΕΛΑ ΓΕΩΡΓΙΑ του Νικολάου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΜΥΛΙΟΡΔΟΥ ΜΥΡΤΩ του Αθανασίου,ΠΑΠΑΣΤΕΡΓΙΟΥ ΑΛΚΙΒΙΑΔΗΣ του Γεωργίου,ΠΑΧΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΛΙΟΥΖΑΣ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΜέΡΑ25,ΚΑΡΟΥΛΗ ΦΙΛΙΑ του Δημητρίου,ΜΟΣΧΟΣ ΘΩΜΑΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΟΥΔΗΣ ΝΑΟΥΜ του Βασιλείου,ΜΑΝΟΥ Αλεξάνδρα του Ορφέως - Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΟΥΣΤΑΜΠΑΣΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Μιλτιάδη
16 - Καστοριάς,47 E.T. Δήμου Καστοριάς,562,341,10,3,13,328,85,2,25,2,50,181,56,28,47,47,6,1,0,4,12,2,6,1,2,8,1,2,1,1,1,1,0,0,0,0,0,0,0,0,7,2,1,1,1,0,0,0,2,0,0,0,1,0,13,8,1,6,3,1,5,2
16 - Καστοριάς,48 E.T. Δήμου Καστοριάς,547,320,4,6,10,310,83,2,23,2,48,150,36,16,54,40,7,2,0,5,17,2,5,2,0,11,0,2,0,1,4,0,0,0,0,0,0,1,0,0,5,2,0,1,1,0,0,0,6,0,0,0,1,0,9,3,2,9,0,0,6,0
16 - Καστοριάς,49 E.T. Δήμου Καστοριάς,533,296,3,6,9,287,72,4,29,4,26,162,34,27,57,30,8,0,3,2,11,1,2,2,3,3,0,0,0,0,4,0,0,0,0,1,0,1,0,0,7,1,1,3,0,0,0,0,1,0,0,0,3,0,5,0,3,6,0,0,3,0
16 - Καστοριάς,50 E.T. Δήμου Καστοριάς,539,302,3,0,3,299,62,0,22,0,34,174,50,25,47,43,5,0,0,3,12,2,3,3,1,7,1,3,1,1,9,3,1,0,0,1,0,1,1,0,7,1,1,1,0,0,1,0,4,0,4,0,1,0,7,0,5,7,2,1,1,1
16 - Καστοριάς,51 E.T. Δήμου Καστοριάς,565,302,3,3,6,296,73,2,16,0,49,161,37,17,59,34,9,1,0,6,14,0,7,2,1,9,0,1,2,1,2,1,0,0,0,0,0,0,0,0,6,1,1,0,0,0,1,0,2,0,0,0,3,0,8,0,7,5,0,0,3,0
16 - Καστοριάς,52 E.T. Δήμου Καστοριάς,560,294,5,1,6,288,80,2,27,2,43,156,30,14,57,47,7,0,2,2,8,1,5,0,0,4,0,2,0,0,2,0,0,0,0,0,0,1,0,0,12,2,1,2,0,0,0,0,3,0,0,0,1,0,5,1,2,6,0,0,3,0
16 - Καστοριάς,53 E.T. Δήμου Καστοριάς,551,327,6,1,7,320,73,0,20,2,46,195,46,20,76,47,12,0,3,7,11,3,3,0,3,6,0,1,1,4,3,1,2,0,0,0,0,0,0,0,7,0,1,1,0,0,0,0,1,0,0,0,1,0,8,1,2,1,0,1,2,0
16 - Καστοριάς,54 E.T. Δήμου Καστοριάς,563,338,7,1,8,330,94,3,33,1,49,176,44,21,63,42,9,0,0,8,9,0,7,1,0,7,0,2,1,0,4,3,1,0,0,0,0,1,0,0,7,5,0,0,1,0,0,0,1,0,0,0,0,0,11,2,4,7,0,0,3,0
16 - Καστοριάς,55 E.T. Δήμου Καστοριάς,567,312,5,1,6,306,56,1,27,0,26,188,61,18,62,43,9,2,1,5,13,2,4,5,1,5,0,4,1,0,4,0,0,0,0,2,0,0,0,0,8,1,2,0,0,0,0,0,2,0,0,0,0,0,9,2,2,8,0,0,2,0
16 - Καστοριάς,56 E.T. Δήμου Καστοριάς,566,292,7,5,12,280,93,2,29,0,53,127,25,20,43,29,8,0,0,8,15,0,9,1,0,6,0,1,1,3,3,0,0,0,0,0,0,0,0,0,9,1,2,3,0,0,0,0,1,0,1,0,1,1,7,1,4,4,1,1,6,3
16 - Καστοριάς,57 E.T. Δήμου Καστοριάς,297,212,8,2,10,202,72,3,18,3,38,78,15,19,16,22,1,0,0,0,28,5,0,14,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,9,3,2,2,0,0,0,0,3,0,0,0,0,0,7,0,5,1,0,0,0,0
16 - Καστοριάς,58 E.T. Δήμου Καστοριάς,132,89,0,1,1,88,35,1,4,4,21,26,9,3,7,4,0,0,0,0,17,0,1,16,0,3,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,5,2,2,0,0,0,0,0
16 - Καστοριάς,59 E.T. Δήμου Καστοριάς,573,334,4,1,5,329,81,3,11,3,51,192,92,18,39,30,4,1,1,0,25,0,13,4,3,19,0,0,0,17,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,2,0,0,0,0
16 - Καστοριάς,60 E.T. Δήμου Καστοριάς,566,242,0,0,0,242,66,1,15,0,43,133,88,5,4,35,7,0,4,0,15,5,6,1,2,7,0,0,0,7,4,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,1,0,3,1,1,1,0,0,1,0
16 - Καστοριάς,61 E.T. Δήμου Καστοριάς,306,160,1,0,1,159,51,2,11,0,36,70,21,11,14,16,5,3,0,1,14,0,4,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,2,2,3,0,0,0,0,0,0,0,0,0,0,6,3,0,0,0,0,3,0
16 - Καστοριάς,62 E.T. Δήμου Καστοριάς,350,168,8,0,8,160,57,3,18,0,32,78,32,11,24,9,3,0,1,1,1,1,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,7,1,1,1,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,3,0
16 - Καστοριάς,63 E.T. Δήμου Καστοριάς,286,112,0,2,2,110,25,0,7,0,15,56,17,7,20,8,3,1,0,0,8,0,2,3,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,1,1,0,0,0,0,2,0,0,1,0,0,3,1,1,4,3,0,2,1
16 - Καστοριάς,64 E.T. Δήμου Καστοριάς,402,137,2,0,2,135,34,1,14,1,17,60,19,9,16,12,5,1,1,0,13,0,1,8,1,4,1,0,0,0,2,0,0,1,0,1,0,3,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,0,7,1,3,1,0,0,0,0
16 - Καστοριάς,65 E.T. Δήμου Καστοριάς,517,114,1,1,2,112,42,0,5,1,35,27,14,1,6,4,1,0,1,0,23,0,7,6,3,9,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,0,0,0,1,0
16 - Καστοριάς,66 E.T. Δήμου Καστοριάς,437,82,0,0,0,82,24,0,10,2,11,48,20,3,16,7,2,0,1,0,4,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
16 - Καστοριάς,67 E.T. Δήμου Καστοριάς,323,78,0,0,0,78,35,1,16,1,12,24,5,0,7,10,1,0,1,0,11,0,8,3,0,2,0,0,0,2,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
16 - Καστοριάς,68 E.T. Δήμου Καστοριάς,278,30,0,0,0,30,13,0,6,0,7,6,0,0,2,3,1,1,0,0,1,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,0
16 - Καστοριάς,69 E.T. Δήμου Καστοριάς,182,25,0,1,1,24,9,0,6,0,2,11,1,3,6,1,1,0,0,1,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 - Καστοριάς,70 E.T. Δήμου Καστοριάς,379,270,9,3,12,258,53,1,10,1,34,150,49,24,43,28,6,0,2,3,18,1,9,1,1,1,0,0,0,0,4,0,0,0,0,1,0,2,0,0,8,0,3,1,0,0,0,0,2,0,0,0,5,0,5,0,0,2,0,0,1,0
16 - Καστοριάς,71 E.T. Δήμου Καστοριάς,387,253,4,3,7,246,73,4,10,3,52,122,27,17,36,34,7,0,3,3,11,2,6,1,0,3,1,0,1,0,2,1,1,0,0,0,0,0,0,0,13,5,3,1,0,0,0,0,1,0,1,0,2,0,9,3,5,3,0,0,0,0
16 - Καστοριάς,72 E.T. Δήμου Καστοριάς,511,285,4,3,7,278,77,1,19,2,48,135,35,19,63,11,13,6,2,2,12,3,2,1,3,4,0,0,1,3,4,1,0,0,0,0,0,1,0,0,10,4,2,0,1,0,1,0,4,0,0,0,0,0,10,0,8,3,0,0,3,0
16 - Καστοριάς,73 E.T. Δήμου Καστοριάς,513,253,13,1,14,239,88,3,23,0,49,107,26,9,40,22,10,1,1,4,7,3,3,0,0,2,0,2,0,0,3,0,0,0,0,0,0,0,0,0,8,2,1,0,0,0,1,0,0,0,0,0,0,0,10,0,10,1,0,0,2,0
16 - Καστοριάς,74 E.T. Δήμου Καστοριάς,514,284,7,3,10,274,76,2,14,2,46,123,29,11,51,21,11,4,2,2,15,1,4,0,5,3,0,0,2,1,5,0,0,0,0,1,0,0,0,0,15,4,1,3,0,0,0,0,0,0,0,0,1,0,14,2,11,0,0,0,10,0
16 - Καστοριάς,75 E.T. Δήμου Καστοριάς,409,253,2,1,3,250,100,1,45,1,46,65,13,8,28,13,16,14,0,1,16,4,5,2,3,6,0,4,1,1,3,2,0,0,0,0,0,1,1,0,12,3,4,3,0,0,0,0,0,0,0,0,2,1,23,0,20,3,1,1,3,1
16 - Καστοριάς,76 E.T. Δήμου Καστοριάς,413,238,4,8,12,226,58,2,25,0,26,75,17,5,24,20,11,9,0,1,16,5,4,5,0,8,0,3,0,1,6,0,0,0,0,0,0,0,0,0,10,5,0,3,0,0,0,0,0,0,0,0,0,0,39,0,38,0,0,0,3,0
16 - Καστοριάς,77 E.T. Δήμου Καστοριάς,469,224,6,2,8,216,51,2,13,2,33,112,39,5,49,17,15,5,3,3,22,1,18,1,0,3,0,0,0,3,1,0,0,0,0,0,0,1,0,0,7,0,1,4,0,0,0,0,1,0,0,0,0,0,2,0,2,1,0,0,0,0
16 - Καστοριάς,78 E.T. Δήμου Καστοριάς,471,297,3,2,5,292,64,1,13,1,42,145,37,6,71,26,13,1,3,3,40,0,34,0,4,1,0,0,0,0,6,0,0,0,0,0,0,1,0,0,5,1,0,3,0,0,0,0,1,0,0,0,1,0,8,0,4,1,0,0,6,0
16 - Καστοριάς,79 E.T. Δήμου Καστοριάς,479,244,2,1,3,241,75,1,19,1,45,92,25,12,28,25,9,1,1,1,49,0,46,0,0,2,0,0,1,0,2,1,0,0,0,0,0,0,0,0,8,0,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0
16 - Καστοριάς,80 E.T. Δήμου Καστοριάς,471,278,4,3,7,271,66,2,12,0,45,130,28,7,62,30,4,1,0,2,49,1,46,0,0,1,0,1,0,0,3,0,1,0,0,1,0,0,0,0,5,3,0,1,0,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,6,0
16 - Καστοριάς,81 E.T. Δήμου Καστοριάς,492,278,0,4,4,274,53,0,16,0,34,142,36,22,35,42,11,2,3,2,51,0,50,1,0,4,0,1,2,1,1,0,0,0,0,0,0,0,0,0,7,0,0,6,0,0,0,0,0,0,0,0,0,0,4,0,2,1,0,0,0,0
16 - Καστοριάς,82 E.T. Δήμου Καστοριάς,639,328,1,2,3,325,99,6,27,15,41,162,63,12,52,28,3,1,0,2,29,3,16,3,4,9,0,0,9,0,3,0,0,0,0,0,0,0,0,0,10,5,1,1,0,0,0,0,0,0,0,0,0,0,3,0,3,5,0,0,2,0
16 - Καστοριάς,83 E.T. Δήμου Καστοριάς,616,229,3,1,4,225,24,0,4,1,16,129,54,16,35,18,5,3,0,1,48,0,40,0,7,2,0,1,0,1,1,1,0,1,0,0,0,2,0,1,6,0,1,3,0,0,0,0,0,0,0,0,0,0,6,0,4,0,0,0,1,0
16 - Καστοριάς,84 E.T. Δήμου Καστοριάς,337,166,3,1,4,162,49,1,14,0,28,59,20,7,16,11,13,1,1,10,25,0,24,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6,2,0,2,0,0,0,0,3,0,0,0,0,0,4,1,2,1,0,0,0,0
16 - Καστοριάς,85 E.T. Δήμου Καστοριάς,298,147,1,1,2,145,40,1,8,2,27,70,17,16,22,13,10,0,2,7,10,0,8,1,0,2,0,0,1,1,2,0,0,0,0,0,0,0,0,0,4,0,2,1,1,1,0,0,0,0,0,0,0,0,3,1,1,1,0,1,2,0
16 - Καστοριάς,86 E.T. Δήμου Καστοριάς,506,194,3,0,3,191,21,0,6,1,12,146,36,27,27,35,2,0,0,0,3,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,11,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0
16 - Καστοριάς,87 E.T. Δήμου Καστοριάς,477,193,1,3,4,189,28,1,3,1,19,114,30,22,32,24,3,0,0,0,10,0,6,2,1,3,0,3,0,0,2,1,0,0,0,0,0,6,0,6,21,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
16 - Καστοριάς,88 E.T. Δήμου Καστοριάς,383,163,1,0,1,162,13,0,3,0,10,102,46,9,24,18,19,6,2,6,19,0,19,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 - Καστοριάς,89 E.T. Δήμου Νεστορίου,533,237,0,0,0,237,27,1,4,1,19,159,53,25,40,32,8,1,2,2,11,0,8,0,3,4,1,0,0,2,2,0,0,0,0,0,0,1,0,0,18,6,1,7,0,0,0,0,3,0,0,0,0,0,3,0,0,1,0,0,0,0
16 - Καστοριάς,90 E.T. Δήμου Νεστορίου,499,259,1,1,2,257,36,3,2,1,27,172,61,27,48,28,8,2,0,2,14,2,9,0,3,2,0,0,1,0,2,0,0,0,0,1,0,5,0,0,7,2,0,3,0,0,0,0,1,0,0,0,0,0,2,0,1,1,0,0,6,0
16 - Καστοριάς,91 E.T. Δήμου Νεστορίου,343,124,1,0,1,123,48,0,1,0,46,51,9,5,26,5,2,1,0,0,3,0,3,0,0,4,0,0,0,1,2,0,0,0,0,0,0,1,0,0,5,1,0,3,0,0,0,0,1,0,0,0,0,0,5,0,5,1,0,0,0,0
16 - Καστοριάς,92 E.T. Δήμου Νεστορίου,52,37,0,0,0,37,7,0,0,0,7,27,11,0,10,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0
16 - Καστοριάς,93 E.T. Δήμου Νεστορίου,304,132,0,1,1,131,13,0,3,0,7,100,20,9,51,16,4,1,2,1,8,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
16 - Καστοριάς,94 E.T. Δήμου Νεστορίου,575,213,10,1,11,202,58,1,0,0,50,95,43,13,23,12,4,0,0,4,24,5,4,3,9,9,1,2,2,1,2,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
16 - Καστοριάς,95 E.T. Δήμου Νεστορίου,240,106,10,0,10,96,12,0,2,0,9,71,37,4,15,10,3,1,0,1,4,1,0,0,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
16 - Καστοριάς,96 E.T. Δήμου Νεστορίου,545,231,3,0,3,228,34,0,9,0,24,158,118,2,29,9,12,0,0,12,10,1,5,0,2,5,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,5,1,4,0,0,0,1,1
16 - Καστοριάς,97 E.T. Δήμου Νεστορίου,139,70,1,0,1,69,8,0,0,0,8,52,25,5,10,7,1,0,0,0,5,1,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
16 - Καστοριάς,98 E.T. Δήμου Νεστορίου,424,222,3,1,4,218,31,3,2,0,22,163,88,7,47,14,2,0,0,2,11,2,4,1,3,3,0,0,2,1,0,0,0,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
16 - Καστοριάς,99 E.T. Δήμου Νεστορίου,244,97,0,0,0,97,19,0,6,0,13,69,31,6,28,2,0,0,0,0,6,1,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0
16 - Καστοριάς,100 E.T. Δήμου Νεστορίου,541,178,6,0,6,172,42,1,13,0,21,90,35,9,22,19,5,0,1,2,13,1,5,1,0,6,0,1,1,2,1,0,0,0,0,1,0,2,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,3,0
16 - Καστοριάς,101 E.T. Δήμου Νεστορίου,529,116,0,0,0,116,50,2,14,2,31,32,9,1,16,5,3,0,0,2,2,0,2,0,0,15,0,0,3,11,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,1,0,0,3,0
16 - Καστοριάς,102 E.T. Δήμου Νεστορίου,526,130,2,0,2,128,60,0,16,0,38,32,12,3,14,3,1,0,0,1,7,0,5,0,1,16,2,3,0,6,4,2,1,0,0,0,0,0,0,0,2,0,0,1,1,1,0,0,1,0,0,0,0,0,3,0,2,1,0,0,0,0
16 - Καστοριάς,103 E.T. Δήμου Νεστορίου,527,141,2,1,3,138,47,0,21,1,23,55,16,5,19,13,1,0,0,0,13,1,7,1,0,6,0,0,0,6,3,2,0,0,0,0,0,2,0,2,1,1,0,0,0,0,0,0,2,1,0,0,0,0,2,0,0,6,3,0,0,0
16 - Καστοριάς,104 E.T. Δήμου Νεστορίου,528,123,0,0,0,123,51,0,14,1,29,37,9,1,16,6,3,1,0,0,8,0,4,1,0,10,0,0,0,5,0,0,0,0,0,0,0,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,0,4,1,1,0,0,0,1,0
16 - Καστοριάς,105 E.T. Δήμου Νεστορίου,546,117,1,1,2,115,42,3,15,0,20,34,12,3,13,5,6,1,0,2,7,0,3,1,3,9,0,1,2,5,1,1,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,10,2,4,1,0,0,1,1
16 - Καστοριάς,106 E.T. Δήμου Νεστορίου,346,174,3,1,4,170,66,2,24,2,33,67,21,5,16,22,4,1,0,2,21,1,17,0,0,2,1,0,0,0,1,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,1,0,0,0,0
16 - Καστοριάς,107 E.T. Δήμου Νεστορίου,283,106,0,0,0,106,40,1,13,1,23,49,14,2,11,21,1,1,0,0,10,0,5,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,1,1
16 - Καστοριάς,108 E.T. Δήμου Άργους Ορεστικού,49,30,0,0,0,30,7,1,3,0,2,13,3,0,7,3,0,0,0,0,9,7,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16 - Καστοριάς,109 E.T. Δήμου Άργους Ορεστικού,490,295,0,2,2,293,85,0,25,4,49,141,49,18,53,16,5,3,2,0,24,3,5,5,4,5,0,0,0,2,2,1,0,0,0,1,1,0,0,0,8,2,0,2,0,0,0,0,4,0,0,0,4,0,5,0,2,3,0,0,6,0
16 - Καστοριάς,110 E.T. Δήμου Άργους Ορεστικού,532,306,8,0,8,298,88,2,31,3,40,152,41,15,44,29,5,2,2,0,21,2,7,1,3,4,1,0,1,0,3,0,0,0,0,0,0,4,0,0,6,2,0,0,0,0,0,0,1,0,0,0,1,0,8,1,5,2,0,0,3,0
16 - Καστοριάς,111 E.T. Δήμου Άργους Ορεστικού,567,351,2,1,3,348,105,1,28,2,60,175,38,14,71,35,10,1,6,1,21,1,12,0,4,9,1,2,0,2,2,0,1,0,0,0,0,4,0,3,10,2,0,2,0,0,0,0,1,0,1,0,0,0,5,0,1,3,1,1,3,2
16 - Καστοριάς,112 E.T. Δήμου Άργους Ορεστικού,555,304,4,0,4,300,97,1,23,2,60,123,28,7,39,33,1,1,0,0,17,4,3,2,4,18,0,4,2,3,4,0,0,1,0,1,0,1,0,0,11,2,2,1,0,0,0,0,1,0,0,0,1,0,18,1,15,3,0,0,3,0
16 - Καστοριάς,113 E.T. Δήμου Άργους Ορεστικού,539,283,3,3,6,277,92,1,21,0,57,124,24,15,42,27,7,1,4,0,14,2,3,2,2,12,0,7,0,0,3,0,0,0,0,4,0,2,0,0,10,2,3,3,0,0,0,0,0,0,0,0,1,0,6,1,3,1,0,0,1,0
16 - Καστοριάς,114 E.T. Δήμου Άργους Ορεστικού,543,288,2,2,4,284,89,3,21,1,49,130,36,13,39,27,9,2,2,3,21,3,9,5,2,7,2,1,2,0,5,0,0,0,0,0,0,0,0,0,8,0,1,1,0,0,1,0,0,0,0,0,0,0,9,0,7,4,0,0,1,0
16 - Καστοριάς,115 E.T. Δήμου Άργους Ορεστικού,527,279,4,5,9,270,77,5,35,2,28,126,37,7,41,29,12,1,5,3,16,4,5,0,3,7,0,5,0,2,6,2,1,0,0,2,2,0,0,0,11,3,1,2,1,0,0,0,2,0,0,0,0,0,5,1,3,3,1,0,2,1
16 - Καστοριάς,116 E.T. Δήμου Άργους Ορεστικού,539,306,1,4,5,301,97,3,41,0,44,141,39,15,49,21,7,2,1,2,9,0,5,1,2,7,1,1,0,1,3,0,0,0,0,1,0,6,0,0,7,1,0,1,0,0,0,0,3,0,0,0,0,0,13,0,8,3,0,0,4,0
16 - Καστοριάς,117 E.T. Δήμου Άργους Ορεστικού,556,327,4,6,10,317,80,1,24,2,50,148,38,23,54,17,10,0,6,2,24,6,14,1,2,13,0,7,0,1,4,3,0,0,0,1,0,4,0,4,9,2,0,2,0,0,0,0,1,0,0,0,2,1,4,1,3,13,2,5,4,1
16 - Καστοριάς,118 E.T. Δήμου Άργους Ορεστικού,553,351,5,0,5,346,82,2,21,1,53,166,63,21,41,20,13,1,4,3,18,0,7,1,4,12,4,4,1,1,6,0,0,0,0,1,0,1,0,0,8,2,2,0,0,0,1,0,3,0,0,0,1,0,16,2,9,10,0,0,8,0
16 - Καστοριάς,119 E.T. Δήμου Άργους Ορεστικού,552,334,4,6,10,324,92,2,37,3,41,149,43,14,54,24,18,4,4,5,12,1,5,1,1,10,3,2,1,0,5,1,2,0,0,0,0,5,0,5,13,4,1,7,0,0,0,0,1,0,1,0,1,0,10,3,4,1,1,0,7,4
16 - Καστοριάς,120 E.T. Δήμου Άργους Ορεστικού,546,334,4,1,5,329,98,6,35,2,39,150,41,16,57,28,8,0,7,0,19,2,9,1,1,12,1,2,0,4,7,0,0,0,0,2,0,3,0,0,12,6,1,2,0,0,0,0,0,0,0,0,1,0,12,3,8,4,0,0,1,0
16 - Καστοριάς,121 E.T. Δήμου Άργους Ορεστικού,578,340,3,2,5,335,77,7,16,0,38,155,55,14,71,10,10,1,1,3,45,30,3,5,2,25,0,6,3,7,2,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,8,0,6,3,0,0,5,0
