ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΑΓΛΙΑ ΕΙΡΗΝΗ του Νικολάου,ΚΑΚΛΑΜΑΝΗΣ ΝΙΚΟΛΑΟΣ του Σταματίου,ΜΠΕΛΑΒΙΛΑΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Νέα Δημοκρατία,ΚΑΡΑΓΙΑΝΝΗ ΙΩΑΝΝΑ του Κωνσταντίνου,ΣΤΕΦΑΝΑΔΗΣ ΧΡΙΣΤΟΔΟΥΛΟΣ του Ισίδωρου,ΣΤΕΦΑΝΗΣ ΝΙΚΟΛΑΟΣ του Αριστόδημου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΖΑΒΙΤΣΑΝΟΣ ΒΑΣΙΛΕΙΟΣ του Ζώη,Κίνημα Αλλαγής,ΒΟΥΛΓΑΡΗ ΝΙΚΗ του Ευαγγέλου,ΓΑΪΤΑΝΗΣ ΓΕΩΡΓΙΟΣ του Αβέρκιου,ΚΟΥΜΑΣ ΕΛΕΥΘΕΡΙΟΣ του Χριστόδουλου,Κ.Κ.Ε.,ΒΡΥΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Ανδρέα,ΚΑΡΟΥΤΣΟΣ ΦΑΝΟΥΡΙΟΣ του Θεοδώρου,ΠΕΡΡΟΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,Ένωση Κεντρώων,ΜΑΣΤΡΑΠΑ ΑΓΑΘΗ του Αθανασίου,ΠΑΛΤΑΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,Ο.Κ.Δ.Ε.,ΛΑΓΟΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΛΟΥΚΙΩΤΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευάγγελου,Ελλήνων Συνέλευσις,ΔΟΜΑΝΗ ΕΥΔΟΚΙΑ του Αριστείδη - Ευάγγελου,ΣΤΑΜΑΤΑΚΗΣ ΣΤΥΛΙΑΝΟΣ του Κωνσταντίνου,ΤΣΟΥΝΟΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΛΙΑΝΙΩΤΗ ΒΑΣΙΛΙΚΗ του Σπυρίδωνος,ΚΟΥΤΖΑΣ ΑΝΔΡΕΑΣ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΚΕΛΕΣΙΔΗΣ ΙΩΑΝΝΗΣ του Σταύρου,ΝΙΚΟΛΑΟΥ ΕΜΜΑΝΟΥΗΛ του Γεωργίου,ΠΑΠΑΚΩΣΤΑ ΜΥΡΤΩ του Μιχαήλ,Μ-Λ Κ.Κ.Ε.,ΠΕΤΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΟΡΦΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Παντελή,Λαϊκή Ενότητα,ΚΡΑΤΣΑ ΕΥΓΕΝΙΑ του Δημητρίου,ΜΠΟΥΣΟΥΛΑΣ ΖΑΧΑΡΙΑΣ του Θεοδώρου,ΣΤΑΘΑΚΟΠΟΥΛΟΥ - ΣΤΑΘΑΚΙΟΥ ΕΥΓΕΝΙΑ του Κωνσταντίνου,ΜέΡΑ25,ΑΝΔΡΕΟΥ ΣΤΥΛΙΑΝΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΤΡΥΠΑΚΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΞΕΝΑΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ του Εμμανουήλ
50 - Σάμου,48 E.T. Δήμου Ανατολικής Σάμου,499,322,4,9,13,309,69,3,22,19,141,34,57,32,14,5,18,3,3,5,14,3,1,5,6,1,1,0,0,0,0,4,1,3,0,11,2,2,1,1,0,0,0,0,1,1,1,0,0,0,20,7,5,3,4,4
50 - Σάμου,49 E.T. Δήμου Ανατολικής Σάμου,567,267,9,8,17,250,77,6,33,17,100,13,42,31,5,5,21,1,0,9,16,6,2,2,1,1,0,0,0,2,2,0,0,0,0,9,4,0,2,0,0,1,0,0,1,1,0,0,0,0,8,8,1,1,7,7
50 - Σάμου,50 E.T. Δήμου Ανατολικής Σάμου,580,340,17,5,22,318,94,10,47,18,140,34,60,35,12,6,19,3,3,5,14,5,0,6,3,0,1,0,0,0,0,0,0,0,0,14,3,6,2,0,0,1,0,0,1,0,1,1,0,0,12,9,3,1,3,3
50 - Σάμου,51 E.T. Δήμου Ανατολικής Σάμου,503,182,7,3,10,172,45,3,20,9,80,27,33,13,8,4,8,1,2,2,8,5,2,0,1,0,0,0,0,2,0,3,0,2,0,6,3,1,1,1,0,0,0,0,2,0,0,0,0,0,6,1,0,0,2,0
50 - Σάμου,52 E.T. Δήμου Ανατολικής Σάμου,467,163,4,3,7,156,43,7,17,5,67,22,20,8,15,10,9,0,4,1,6,1,2,0,0,0,0,0,0,1,0,2,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,8,4
50 - Σάμου,53 E.T. Δήμου Ανατολικής Σάμου,330,166,5,1,6,160,44,9,25,3,88,32,27,22,5,0,9,1,3,2,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,6,3,3,0,0,0,0,0,0,1,0,0,0,0,0,3,1,0,0,2,1
50 - Σάμου,54 E.T. Δήμου Ανατολικής Σάμου,402,165,2,2,4,161,34,6,14,2,95,34,33,22,6,2,9,1,4,1,6,1,1,1,1,1,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,2,2,1
50 - Σάμου,55 E.T. Δήμου Ανατολικής Σάμου,170,79,1,2,3,76,16,2,10,2,23,5,12,3,3,3,13,1,8,0,8,4,2,1,1,0,0,1,0,0,0,0,0,0,0,5,3,1,0,0,0,0,1,0,0,0,0,0,0,0,4,2,1,1,0,0
50 - Σάμου,56 E.T. Δήμου Ανατολικής Σάμου,332,177,4,3,7,170,50,4,22,11,72,11,38,17,7,5,11,1,0,4,12,4,0,2,0,0,0,0,0,0,0,1,0,1,0,4,0,2,0,0,0,0,0,0,0,0,2,0,1,1,5,4,0,0,6,4
50 - Σάμου,57 E.T. Δήμου Ανατολικής Σάμου,399,214,2,0,2,212,61,5,21,23,81,6,47,20,14,5,16,7,2,5,17,8,3,4,1,0,1,0,0,1,0,0,0,0,0,11,7,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,7,7
50 - Σάμου,58 E.T. Δήμου Ανατολικής Σάμου,115,20,0,0,0,20,6,0,2,0,10,1,7,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
50 - Σάμου,59 E.T. Δήμου Ανατολικής Σάμου,541,225,2,2,4,221,45,7,24,4,102,15,21,59,12,8,8,2,0,6,24,10,3,5,1,0,0,1,0,0,0,3,1,0,0,10,1,9,1,0,0,0,0,0,1,1,0,0,0,0,5,2,0,0,8,4
50 - Σάμου,60 E.T. Δήμου Ανατολικής Σάμου,540,250,5,3,8,242,56,10,36,2,99,6,30,59,16,12,8,2,0,6,33,6,1,17,3,1,1,0,0,0,0,0,0,0,0,18,5,10,0,0,0,0,0,0,0,0,1,0,0,1,3,0,2,1,3,0
50 - Σάμου,61 E.T. Δήμου Ανατολικής Σάμου,539,212,3,5,8,204,56,9,27,4,81,9,20,49,8,6,12,2,0,7,19,5,3,9,3,2,1,0,0,0,0,5,4,1,0,11,1,7,2,1,0,0,0,0,0,0,0,0,0,0,4,3,1,0,2,0
