ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΕΤΤΑ ΚΑΛΛΙΟΠΗ του Δημητρίου,ΓΟΥΛΙΑΡΟΥ ΘΕΟΔΩΡΑ του Δημητρίου,ΔΗΜΗΤΡΙΑΔΗΣ ΔΗΜΗΤΡΙΟΣ (ΜΙΜΗΣ) του Κλεάνθη,ΘΕΟΦΥΛΑΚΤΟΣ ΙΩΑΝΝΗΣ του Γαβριήλ,ΘΕΟΧΑΡΗ ΣΤΥΛΙΑΝΗ του Χαράλαμπου,ΜΟΥΜΟΥΛΙΔΗΣ ΘΕΜΙΣΤΟΚΛΗΣ (ΘΕΜΗΣ) του Σταματίου,ΝΤΖΙΜΑΝΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Νέα Δημοκρατία,ΑΚΡΙΤΙΔΗΣ ΠΟΛΥΧΡΟΝΙΟΣ (ΧΡΟΝΗΣ) του Παναγιώτη,ΑΜΑΝΑΤΙΔΗΣ ΓΕΩΡΓΙΟΣ του Ισαάκ,ΒΡΥΖΙΔΟΥ ΠΑΡΑΣΚΕΥΗ του Παναγιώτη,ΚΩΝΣΤΑΝΤΙΝΙΔΗΣ ΕΥΣΤΑΘΙΟΣ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΜΙΧΑΗΛ (ΜΙΧΑΛΗΣ) του Γεωργίου,ΠΡΩΪΟΥ-ΒΑΡΖΗ ΕΥΛΑΜΠΙΑ (ΕΥΗ) του Ευαγγέλου,ΣΕΜΕΡΤΖΙΔΟΥ ΚΑΛΛΙΟΠΗ (ΠΟΠΗ) του Μιλτιάδη,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΗΣ ΣΠΥΡΙΔΩΝ του Προκοπίου,ΖΑΡΟΓΙΑΝΝΗ ΧΡΥΣΟΥΛΑ του Οδυσσέα,ΚΑΡΑΒΕΛΙΑΣ ΣΤΕΡΓΙΟΣ του Αθανασίου,ΠΕΧΛΙΒΑΝΙΔΗΣ ΝΙΚΟΛΑΟΣ του Λαζάρου,ΤΣΙΟΤΣΙΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία,Κίνημα Αλλαγής,ΒΡΑΚΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Τριαντάφυλλου,ΓΚΡΙΤΖΕΛΗ-ΤΟΚΜΑΚΙΔΗ ΒΑΣΙΛΙΚΗ (ΒΑΣΩ) του Πάσχου,ΖΑΡΟΓΙΑΝΝΗΣ ΛΟΥΚΑΣ του Ιωάννη,ΚΑΒΟΥΡΑ-ΓΕΛΑΔΑΡΗ ΕΛΕΝΗ (ΛΕΝΑ) του Ιωάννη,ΚΟΥΚΟΥΛΟΠΟΥΛΟΣ ΠΑΡΑΣΚΕΥΑΣ (ΠΑΡΙΣ) του Δημητρίου,ΤΑΪΓΑΝΙΔΟΥ ΕΛΕΝΗ του Ιωάννη,ΤΣΙΛΦΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Χρήστου,Κ.Κ.Ε.,ΑΔΑΜΙΔΟΥ ΣΟΦΙΑ του Δημητρίου,ΑΝΤΑΡΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Φωτίου,ΚΟΥΔΟΥΝΑΣ ΓΕΩΡΓΙΟΣ του Παναγιώτη,ΚΟΥΖΙΑΚΗ ΘΕΟΔΩΡΑ-ΜΑΤΙΝΑ (ΤΙΝΑ) του Παναγιώτη,ΛΑΜΠΑΔΑ ΧΑΡΙΣ του Αριστείδη,ΤΑΤΑΡΙΔΗΣ ΠΕΤΡΟΣ του Φιλίππου,ΤΣΙΓΚΑ ΕΥΘΥΜΙΑ (ΕΦΗ) του Κωνσταντίνου,Ένωση Κεντρώων,ΚΩΤΣΙΔΗΣ ΛΑΖΑΡΟΣ του Κοσμά,ΛΑΛΑΠΑΝΟΣ ΝΙΚΟΛΑΟΣ του Σπυρίδωνα,ΛΟΥΤΣΟΠΟΥΛΟΣ ΣΠΥΡΙΔΩΝ του Κοσμά,ΜΠΑΡΜΠΕΡΗ ΣΟΦΙΑ του Ιωάννη,ΠΑΝΑΓΙΩΤΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία,Ο.Κ.Δ.Ε.,ΚΑΡΥΔΗΣ ΜΑΡΚΟΣ του Παναγιώτη,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,ΔΙΝΟΠΟΥΛΟΥ ΕΥΑΓΓΕΛΙΑ του Νικολάου,ΠΡΑΣΣΟΣ ΣΤΕΦΑΝΟΣ του Αστερίου,Ελλήνων Συνέλευσις,ΓΕΩΡΓΙΑΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Κωνσταντίνου,ΓΚΙΟΥΡΑ ΘΕΟΔΩΡΑ του Κωνσταντίνου,ΚΑΡΑΚΟΥΛΑ ΜΑΡΚΗΣΙΑ του Χαρισίου,ΠΟΥΛΑΤΣΟΓΛΟΥ ΙΩΑΝΝΗΣ του Κυριάκου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΠΑΠΑΔΑΤΟΥ ΑΛΕΞΑΝΔΡΑ του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΔΕΣΠΟΙΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Χαραλάμπους,ΛΑΖΑΡΑΤΟΥ ΔΗΜΗΤΡΟΥΛΑ του Ιωάννη,ΜΕΤΟΙΚΙΔΟΥ ΕΛΕΝΗ του Κωνσταντίνου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΛΕΞΙΟΣ του Κωνσταντίνου,ΣΑΛΤΣΙΔΗΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΧΑΡΑΛΑΜΠΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Θεοδώρου,Κ.Κ.Ε. (μ-λ),ΑΒΟΥΖΟΥΚΛΙΔΟΥ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΘΕΡΑΠΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΚΟΥΤΡΩΤΣΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΘΕΟΔΩΡΙΔΗΣ ΗΛΙΑΣ του Κωνσταντίνου,Λαϊκή Ενότητα,ΚΑΔΟΓΛΟΥ ΘΕΟΔΟΣΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΚΑΛΟΓΙΑΝΝΙΔΗΣ ΣΤΑΥΡΟΣ του Ιωάννη,ΣΑΡΔΕΛΗ ΦΩΤΕΙΝΗ του Γεωργίου,ΣΕΡΕΤΗ ΜΑΡΙΑ του Κωνσταντίνου,ΣΜΥΡΛΗ ΣΩΤΗΡΙΑ του Σταύρου,ΤΣΟΥΦΛΙΔΗΣ ΑΝΤΩΝΙΟΣ του Χαραλάμπους,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΡΑΔΗΜΟΥ ΑΛΕΞΑΝΔΡΑ του Χρήστου,ΚΩΣΤΑΚΗ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΜΕΛΛΙΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΜΠΛΕΤΣΗΣ ΒΑΣΙΛΕΙΟΣ του Παναγιώτη,ΠΛΙΑΤΣΙΟΣ ΝΙΚΟΛΑΟΣ του Κωνσταντίνου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΡΑΣΣΑΣ ΔΗΜΗΤΡΙΟΣ του Αντωνίου
15 - Κοζάνης,372 E.T. Δήμου Σερβίων,436,244,1,1,2,242,63,29,5,5,30,5,3,5,120,10,35,38,78,23,4,6,0,0,0,0,0,0,26,0,1,22,0,7,0,0,17,3,11,1,0,1,1,9,1,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1,3,1,0,0,0,1,3,1,1,0,0,0,4,0
15 - Κοζάνης,373 E.T. Δήμου Σερβίων,249,159,0,4,4,155,42,30,2,3,9,3,6,7,60,9,20,20,33,11,3,2,3,1,3,1,0,1,19,1,0,11,0,4,0,5,19,1,3,0,4,5,0,11,5,1,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,0,0,0,0,0,0
15 - Κοζάνης,374 E.T. Δήμου Σερβίων,312,179,3,2,5,174,45,34,12,1,7,11,4,4,76,6,21,33,42,16,1,6,1,0,1,1,0,0,30,1,1,28,1,14,2,1,7,0,2,0,2,1,0,5,1,1,0,0,1,0,0,0,0,0,0,0,5,5,0,3,1,0,0,5,0,0,0,0,3,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,1,1,1
15 - Κοζάνης,375 E.T. Δήμου Σερβίων,476,279,3,2,5,274,73,22,3,13,16,20,14,13,120,10,84,50,24,20,5,15,4,3,1,1,1,0,45,1,2,35,2,16,4,2,3,0,0,0,0,1,2,1,2,2,0,0,1,0,0,0,0,0,0,0,4,0,4,0,4,0,0,15,6,1,4,0,4,3,0,0,0,0,0,0,0,0,4,2,0,0,0,2,1,0,1,0,1,0,3,2
15 - Κοζάνης,376 E.T. Δήμου Σερβίων,497,288,0,3,3,285,127,84,5,5,28,27,4,20,66,10,15,9,14,17,2,4,7,0,3,4,0,0,53,1,0,38,1,25,1,4,15,1,1,0,1,3,0,1,1,0,0,0,0,0,0,0,3,0,1,1,1,1,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,2,2,0,0,0,0,0,0,0,0,3,1
15 - Κοζάνης,Ετερ. Κοζάνης (από 18ο Ε.Τ. Νομ. Θεσσαλονίκης),457,294,0,2,2,292,65,20,10,8,9,10,10,6,159,56,15,24,35,53,22,7,4,1,0,0,1,0,17,1,1,1,1,5,3,2,11,5,2,1,1,2,1,2,7,2,0,5,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,15,2,3,2,5,2,4,0,0,0,0,0,0,0,0,10,2,2,1,0,1,2,0,0,1,0,1,1,0
15 - Κοζάνης,Ετερ. Κοζάνης (από 19ο Ε.Τ. Νομ. Θεσσαλονίκης),429,271,6,2,8,263,72,30,7,8,14,8,14,7,123,28,11,20,38,38,16,8,8,1,2,2,1,4,17,2,3,5,0,12,2,3,12,6,1,2,0,2,0,4,3,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,1,0,0,16,4,3,3,2,2,3,0,0,0,0,0,0,1,1,5,2,2,2,1,1,0,0,0,0,0,0,3,1
15 - Κοζάνης,Ετερ. Κοζάνης (από Εφετείο Θεσσαλονίκης),68,41,3,1,4,37,11,5,1,3,3,3,0,2,14,5,1,1,5,6,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,2,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,Ετερ. Κοζάνης (από 1ο Ε.Τ. Νομ. Ημαθίας),80,39,0,1,1,38,9,2,0,4,4,0,1,0,14,5,4,2,2,6,2,4,2,0,1,1,0,2,9,0,0,2,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,Ετερ. Κοζάνης (από Εφετείο Λάρισσας),60,24,0,0,0,24,0,0,0,0,0,0,0,0,13,4,3,1,2,5,2,1,1,1,0,1,0,0,4,0,0,0,0,2,0,0,3,1,1,2,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15 - Κοζάνης,Ετερ. Κοζάνης (από 87ο Ε.Τ. Νομ. Αττικής-Αθηνών),608,367,2,5,7,360,106,41,15,21,15,18,35,9,159,35,39,33,44,45,15,28,5,2,2,3,2,0,27,8,4,3,1,11,4,9,35,6,6,2,17,3,4,20,4,2,1,1,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,10,3,7,1,1,2,4,0,0,0,0,0,0,0,0,6,5,1,1,2,1,1,0,0,0,0,0,4,3
15 - Κοζάνης,Ετερ. Κοζάνης (από Εφετείο Πειραιώς),66,43,1,0,1,42,17,5,3,4,3,3,5,3,12,6,2,3,4,4,0,0,1,1,0,0,0,0,3,0,0,0,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,1,1,2,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,0,2,1
Σύνολο,,162891,92946,1129,701,1830,91116,28605,8186,4280,5273,7247,4992,5033,2949,35891,6483,7807,12403,12898,9426,3147,3210,2310,591,686,551,431,272,9387,962,646,2300,597,4979,1007,2242,4225,727,632,506,959,720,762,1217,1305,419,119,69,236,233,27,3,315,74,100,106,374,159,142,82,226,38,10,3649,762,543,551,764,476,876,141,41,41,39,30,11,183,81,2701,808,356,459,308,417,673,218,97,69,60,193,1262,600
