ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΛΑΘΥΡΗΣ ΝΙΚΟΛΑΟΣ του Ιωάννη,ΜΠΕΡΜΠΕΡΗΣ ΜΩΥΣΗΣ του Γεωργίου,ΣΚΟΝΔΡΙΑΝΟΥ ΧΡΥΣΟΥΛΑ του Νικολάου,Νέα Δημοκρατία,ΚΟΝΤΟΓΕΩΡΓΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΛΑΠΠΑΣ ΚΛΕΟΜΕΝΗΣ (ΜΕΝΙΟΣ) του Κωνσταντίνου,ΟΙΚΟΝΟΜΟΥ ΘΩΜΑΪΣ (ΤΖΙΝΑ) του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΔΙΩΤΗΣ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Κίνημα Αλλαγής,ΙΩΑΝΝΟΥ ΔΗΜΗΤΡΑ του Παναγιώτη,ΠΑΠΑΔΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Στεφάνου,ΣΙΑΚΑΒΕΛΑ ΙΩΑΝΝΑ -ΣΜΑΡΑΓΔΑ του Ιωάννη,Κ.Κ.Ε.,ΓΙΑΝΝΟΥΛΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΠΑΠΑΡΟΪΔΑΜΗΣ ΒΑΣΙΛΕΙΟΣ του Κωνσταντίνου,ΣΤΑΜΟΥΛΗ ΕΛΠΙΔΑ του Σπύρου,Ένωση Κεντρώων,ΜΠΑΚΑ ΧΡΙΣΤΙΝΑ του Αθανασίου,ΠΑΝΑΓΙΩΤΟΥ ΙΩΑΝΝΗΣ του Κωνσταντίνου,Ο.Κ.Δ.Ε.,ΤΣΟΥΚΑΛΑΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΠΑΡΜΠΑΡΟΥΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου,Ελλήνων Συνέλευσις,ΨΩΡΟΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΤΣΟΜΗΤΡΟΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΟΙΚΟΝΟΜΟΥ ΧΡΙΣΤΙΑΝΑ του Νικολάου,Κ.Κ.Ε. (μ-λ),ΖΗΣΗΣ ΒΑΣΙΛΕΙΟΣ του Χρήστου,Μ-Λ Κ.Κ.Ε.,ΑΡΒΑΝΙΤΗ ΕΛΕΝΗ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΨΕΥΤΗΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,Λαϊκή Ενότητα,ΦΑΡΜΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αθανασίου,ΜέΡΑ25,ΤΡΑΓΟΠΟΥΛΟΣ ΣΠΥΡΟΣ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΝΙΟΣ ΓΕΩΡΓΙΟΣ του Νικολάου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΜΑΡΙΑ του Ηλία
34 - Ευρυτανίας,56 E.T. Δήμου Καρπενησίου,177,34,0,0,0,34,6,1,1,1,25,12,3,10,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,57 E.T. Δήμου Καρπενησίου,170,41,0,0,0,41,8,3,0,1,28,21,0,7,0,0,3,1,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,58 E.T. Δήμου Καρπενησίου,137,45,1,0,1,44,5,3,0,0,27,17,0,7,4,3,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
34 - Ευρυτανίας,59 E.T. Δήμου Καρπενησίου,117,34,0,0,0,34,7,3,1,0,18,0,0,14,0,0,7,1,4,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
34 - Ευρυτανίας,60 E.T. Δήμου Καρπενησίου,188,44,1,0,1,43,16,3,5,4,12,6,3,2,0,0,9,0,8,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
34 - Ευρυτανίας,61 E.T. Δήμου Καρπενησίου,114,37,0,0,0,37,9,0,8,0,22,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0
34 - Ευρυτανίας,62 E.T. Δήμου Καρπενησίου,464,244,3,2,5,239,75,17,34,2,103,41,25,28,6,1,23,0,12,1,12,1,4,0,3,0,2,0,0,0,0,0,0,7,2,3,0,0,0,0,0,0,0,0,2,1,2,1,6,1
34 - Ευρυτανίας,63 E.T. Δήμου Καρπενησίου,229,63,0,0,0,63,17,3,6,3,35,11,9,13,2,0,2,0,0,0,3,0,2,0,1,0,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
34 - Ευρυτανίας,64 E.T. Δήμου Καρπενησίου,468,109,0,0,0,109,35,7,20,2,58,28,6,19,0,0,6,0,4,2,2,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,1,1
34 - Ευρυτανίας,65 E.T. Δήμου Καρπενησίου,554,371,5,5,10,361,96,17,45,7,178,54,65,52,10,4,35,0,27,0,9,3,1,2,2,0,1,0,0,2,0,1,0,15,7,3,1,0,0,0,0,0,0,0,7,3,1,0,4,2
34 - Ευρυτανίας,66 E.T. Δήμου Καρπενησίου,560,362,2,2,4,358,116,15,71,5,159,63,46,44,11,8,35,0,25,2,13,3,4,2,3,0,0,0,0,0,0,0,0,7,2,1,0,0,0,0,5,1,0,0,8,2,1,0,0,0
34 - Ευρυτανίας,67 E.T. Δήμου Καρπενησίου,540,297,5,4,9,288,81,16,47,5,144,53,5,38,12,6,24,2,17,0,4,1,3,0,7,1,5,0,0,1,1,1,1,5,1,3,0,0,0,0,0,0,0,0,6,3,2,1,1,1
34 - Ευρυτανίας,68 E.T. Δήμου Καρπενησίου,547,328,3,5,8,320,92,19,42,5,145,39,61,40,6,3,38,4,20,6,12,2,6,1,2,0,2,0,0,3,1,0,0,12,1,7,0,0,0,0,0,0,1,1,4,1,3,1,2,0
