ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΛΑΜΑΡΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΛΑΦΑ ΣΟΥΛΤΑΝΑ του Παύλου,ΜΠΓΙΑΛΑΣ ΧΡΗΣΤΟΣ του Αθανασίου,Νέα Δημοκρατία,ΚΟΓΙΟΥ - ΧΑΤΖΗΖΗΣΗ ΛΑΜΠΡΙΝΗ του Δημητρίου,ΠΑΤΣΗΣ ΑΝΔΡΕΑΣ του Κωνσταντίνου,ΣΤΑΥΡΟΠΟΥΛΟΣ ΑΘΑΝΑΣΙΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΤΟΝΑ ΕΙΡΗΝΗ του Χρήστου,ΤΑΣΟΥΛΑΣ ΔΗΜΗΤΡΙΟΣ του Αχιλλέα,Κίνημα Αλλαγής,ΓΚΑΛΟΓΙΑΝΝΗΣ ΒΑΣΙΛΕΙΟΣ του Ιωάννη,ΤΑΤΑΡΙΔΗΣ ΚΥΡΙΑΚΟΣ του Δαυίδ,ΤΣΙΑΝΑ ΑΙΚΑΤΕΡΙΝΗ του Αργυρίου,Κ.Κ.Ε.,ΓΚΟΥΤΖΗΚΩΣΤΑ ΑΙΚΑΤΕΡΙΝΗ του Βασιλείου,ΚΛΕΙΣΙΑΡΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΟΥΡΜΟΥΛΗΣ ΙΩΑΝΝΗΣ του Μανούσου,Ένωση Κεντρώων,ΜΠΟΥΚΟΥΒΑΛΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΤΡΙΑΝΤΑΦΥΛΛΙΔΟΥ ΜΑΡΙΑ - ΓΕΩΡΓΙΑ του Ιωάννη,Ο.Κ.Δ.Ε.,ΚΑΛΑΜΠΑΚΑΣ ΑΡΓΥΡΙΟΣ του Πέτρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΑΝΑΝΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Ηρακλή,Ελλήνων Συνέλευσις,ΒΑΛΣΑΜΟΠΟΥΛΟΥ ΑΝΤΩΝΙΑ του Διαμαντή,ΝΑΘΑΝΑΗΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΛΙΑΝΟΣ ΑΓΓΕΛΟΣ του Χαρίλαου,ΜΠΑΓΛΑΝΗ ΧΑΡΙΚΛΕΙΑ του Βασιλείου,ΣΤΑΥΡΟΥ ΔΗΜΗΤΡΙΟΣ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΒΑΡΝΑΣΙΔΟΥ ΜΑΡΙΑ του Θεοδώρου,Μ-Λ Κ.Κ.Ε.,ΣΤΕΦΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,Λαϊκή Ενότητα,ΓΚΑΡΑΝΑΤΣΙΟΣ ΧΡΗΣΤΟΣ του Αθανασίου,ΜέΡΑ25,ΚΩΤΤΑΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,Δημιουργία ξανά - Θ. Τζήμερος,ΛΑΖΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΟΥΛΗ ΑΓΓΕΛΙΚΗ (ΑΝΤΖΕΛΑ) του Αναστασίου,Ανεξάρτητοι Υποψήφιοι,ΣΤΕΡΓΙΟΠΟΥΛΟΣ ΜΙΧΑΗΛ του Στεργίου
17 - Γρεβενών,114 E.T. Δήμου Δεσκάτης,549,228,0,1,1,227,57,6,2,44,112,68,30,9,4,1,0,31,19,7,0,8,1,2,1,1,1,0,0,0,1,0,0,0,0,6,3,1,1,0,0,0,0,0,0,6,3,0,0,1,0,0,0
17 - Γρεβενών,115 E.T. Δήμου Δεσκάτης,119,60,1,0,1,59,19,2,2,12,25,16,0,9,1,0,1,5,2,0,2,7,3,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
17 - Γρεβενών,116 E.T. Δήμου Δεσκάτης,213,120,3,1,4,116,33,5,2,25,54,45,5,2,1,1,0,18,17,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0
17 - Γρεβενών,117 E.T. Δήμου Δεσκάτης,432,231,3,2,5,226,57,25,2,25,114,44,32,33,12,2,7,14,6,4,0,5,4,1,0,4,1,1,0,0,1,0,0,0,0,6,2,1,0,0,0,0,0,0,0,5,2,3,2,5,2,0,0
17 - Γρεβενών,118 E.T. Δήμου Δεσκάτης,374,191,2,1,3,188,49,24,3,17,83,31,30,15,6,0,5,17,12,5,0,12,7,1,1,1,1,0,0,0,1,1,1,0,0,6,0,2,0,0,0,3,2,0,0,3,1,0,0,6,2,0,0
17 - Γρεβενών,119 E.T. Δήμου Δεσκάτης,292,165,2,1,3,162,35,17,0,16,84,28,22,27,6,1,4,19,5,8,0,11,3,1,5,1,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0
17 - Γρεβενών,120 E.T. Δήμου Δεσκάτης,322,167,3,1,4,163,71,28,4,28,46,22,12,11,6,1,4,26,11,5,1,6,3,0,3,0,0,0,0,0,0,0,1,1,0,2,1,0,0,0,0,0,0,0,0,2,2,1,0,2,1,0,0
17 - Γρεβενών,121 E.T. Δήμου Δεσκάτης,278,153,1,3,4,149,54,21,1,25,50,37,2,6,3,1,1,15,11,3,0,15,6,1,3,3,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0
17 - Γρεβενών,122 E.T. Δήμου Δεσκάτης,379,204,1,0,1,203,91,69,0,20,68,27,20,14,1,1,0,21,8,6,1,16,13,1,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0
17 - Γρεβενών,123 E.T. Δήμου Δεσκάτης,183,83,1,0,1,82,28,15,0,6,18,5,6,4,1,0,0,13,5,6,2,16,13,2,1,1,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,2,2,0,0,1,0,0,0
17 - Γρεβενών,124 E.T. Δήμου Δεσκάτης,215,116,0,0,0,116,49,20,0,28,28,13,4,8,0,0,0,3,0,2,0,29,16,1,6,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0
17 - Γρεβενών,Ετερ. Γρεβενών (από 6ο Ε.Τ. Νομ. Θεσσαλονίκης),451,280,2,0,2,278,64,8,10,19,131,27,48,30,11,2,4,19,5,5,5,30,5,7,3,4,0,0,0,0,0,0,0,0,0,6,3,1,1,0,0,0,0,0,0,6,3,2,1,5,3,0,0
17 - Γρεβενών,Ετερ. Γρεβενών (από Εφετείο Θεσσαλονίκης),42,22,0,0,0,22,7,0,3,3,8,0,4,2,1,1,0,1,0,0,1,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,ΚΑΤΑΣΤΗΜΑ ΚΡΑΤΗΣΗΣ ΦΕΛΛΙΟΥ,276,247,8,0,8,239,166,49,21,34,47,6,21,10,5,2,1,0,0,0,0,4,2,0,0,4,2,0,1,0,2,2,0,0,0,2,2,0,0,0,0,0,0,1,1,0,0,0,0,7,3,0,0
17 - Γρεβενών,Ετερ. Γρεβενών (από 1ο Ε.Τ. Νομ. Λάρισας),215,111,1,0,1,110,34,11,7,6,41,8,21,9,0,0,0,14,2,10,1,7,3,1,0,0,0,0,0,0,0,0,0,0,0,9,3,2,1,0,0,0,0,0,0,3,1,0,0,2,0,0,0
17 - Γρεβενών,Ετερ. Γρεβενών (από Εφετείο Λάρισσας),104,46,1,0,1,45,22,6,5,8,19,5,7,6,0,0,0,1,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17 - Γρεβενών,Ετερ. Γρεβενών (από 32ο Ε.Τ. Νομ. Αττικής-Αθηνών),437,261,2,0,2,259,79,25,11,32,109,33,33,28,5,2,3,20,6,10,1,22,11,2,5,2,2,0,0,0,2,1,0,0,0,7,2,3,1,0,0,0,0,0,0,7,3,0,0,6,5,0,0
Σύνολο,,43242,22907,281,147,428,22479,6628,2262,545,2573,9701,2554,3532,2844,646,129,344,2224,742,917,225,1309,261,399,294,222,68,40,5,2,96,53,26,6,9,615,201,92,58,28,12,15,5,30,15,522,285,221,148,189,101,2,0
