ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΒΛΑΧΟΠΟΥΛΟΥ ΑΛΕΞΑΝΔΡΑ του Δημητρίου,ΚΑΡΑΓΙΑΝΝΙΔΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΞΑΝΘΟΠΟΥΛΟΣ ΘΕΟΦΙΛΟΣ του Σάββα,ΠΑΓΚΑΛΙΔΟΥ ΔΗΜΗΤΡΑ του Παύλου,ΠΑΡΑΣΧΙΔΗΣ ΚΥΡΙΑΖΗΣ του Μιχαήλ,Νέα Δημοκρατία,ΚΥΡΙΑΖΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Τριαντάφυλλου,ΜΑΓΓΑΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΜΠΛΟΥΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Δημητρίου,ΤΟΥΦΕΚΤΣΗ ΘΕΟΔΩΡΑ (ΝΤΟΡΑ) του Βασιλείου,ΤΣΙΑΜΟΥΡΑ ΠΑΝΑΓΙΩΤΑ του Αθανασίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΝΙΚΟΛΑΪΔΗΣ ΕΛΕΥΘΕΡΙΟΣ του Παναγιώτη,ΠΟΥΤΑΧΙΔΟΥ ΔΕΣΠΟΙΝΑ του Ανθιμου,ΣΕΛΑΛΜΑΖΙΔΗΣ ΗΛΙΑΣ του Δημητρίου,ΤΣΑΠΑΚΙΔΗΣ ΚΟΣΜΑΣ του Νικολάου,ΧΟΡΟΖΙΔΟΥ ΧΡΥΣΑΝΘΗ του Αβραάμ,Κίνημα Αλλαγής,ΚΕΦΑΛΙΔΟΥ ΧΑΡΟΥΛΑ (ΧΑΡΑ) του Δημητρίου,ΝΙΚΟΛΑΪΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΞΑΝΘΟΠΟΥΛΟΣ ΙΩΑΝΝΗΣ του Παναγιώτη,ΠΑΠΟΥΤΣΗΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΧΑΡΙΣΚΟΥ ΧΡΥΣΑΝΘΗ (ΧΡΙΣΤΙΑΝΑ) του Αντωνίου,Κ.Κ.Ε.,ΚΑΨΙΜΑΝΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,ΚΟΤΖΑΜΠΑΣΗΣ ΙΩΑΝΝΗΣ του Γεωργίου,ΜΑΛΛΗ ΜΑΡΙΑ του Γεωργίου,ΜΗΤΡΟΥ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΤΖΕΛΑΣ ΣΤΑΥΡΟΣ του Γεωργίου,Ένωση Κεντρώων,ΑΠΟΣΤΟΛΙΔΗΣ ΙΩΑΝΝΗΣ του Νικολάου,ΚΑΡΑΠΑΝΟΥ ΟΥΡΑΝΙΑ του Στεφάνου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ του Ευαγγέλου,ΣΑΠΑΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Γεωργίου,ΤΣΑΚΩΝΑΣ ΧΡΙΣΤΟΦΟΡΟΣ του Χαράλαμπου,Ο.Κ.Δ.Ε.,ΒΟΥΖΑΣ ΗΛΙΑΣ του Λαζάρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΚΟΥΙΡΟΥΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΑΝΘΟΥΛΗ ΣΩΤΗΡΙΑ του Χρήστου,ΓΚΛΑΒΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Διαμαντή,ΕΦΡΑΙΜΙΔΟΥ ΕΥΘΥΜΙΑ του Αλεξάνδρου,ΚΟΡΩΝΙΔΗΣ ΓΕΩΡΓΙΟΣ του Χρήστου,ΤΕΡΖΙΔΗΣ ΘΕΟΔΩΡΟΣ του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΓΡΑΜΜΑΤΙΚΟΠΟΥΛΟΣ ΑΔΑΜ του Γεωργίου,ΚΟΥΡΤΙΔΗΣ ΜΙΧΑΗΛ του Αβραάμ,ΤΑΚΦΟΡΙΔΟΥ ΧΡΥΣΑΝΘΗ του Σωτηρίου,ΧΑΤΖΗΒΑΣΙΛΕΙΟΥ ΕΥΑ του Δημητρίου,ΨΩΜΙΑΔΗΣ ΙΩΑΝΝΗΣ του Χρήστου,Κ.Κ.Ε. (μ-λ),ΟΙΚΟΝΟΜΙΔΗΣ ΙΑΚΩΒΟΣ του Περικλή,Μ-Λ Κ.Κ.Ε.,ΚΟΣΜΑ ΧΡΥΣΑΝΘΗ του Παναγιώτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΓΙΑΓΚΙΔΗΣ ΓΕΩΡΓΙΟΣ του Κυριάκου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΟΛΓΑ του Δημητρίου,ΠΛΑΚΙΔΗΣ ΧΡΗΣΤΟΣ του Θεοδώρου,Λαϊκή Ενότητα,ΕΡΜΕΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Χρήστου,ΚΟΓΙΟΥ ΕΛΕΝΗ του Ιωάννη,ΠΡΟΚΟΒΑΣ ΑΠΟΣΤΟΛΟΣ του Κυπαρίσση,ΜέΡΑ25,ΒΡΑΣΚΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΜΑΝΙΑΔΑΚΗ ΑΓΓΕΛΙΚΗ του Αναστασίου,ΤΟΓΓΙΑΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αντωνίου,Δημιουργία ξανά - Θ. Τζήμερος,ΓΡΗΓΟΡΙΟΥ ΘΕΟΧΑΡΙΑ του Παναγιώτη,ΚΟΥΚΟΥΤΣΟΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΣΑΒΒΙΔΗΣ ΙΕΡΟΚΛΗΣ του Θεοδώρου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΣΑΠΟΥΝΙΔΟΥ ΕΛΕΝΗ του Σάββα
4 - Δράμας,21 E.T. Δήμου Δοξάτου,461,195,2,1,3,192,57,24,9,15,0,0,71,21,4,36,2,1,7,4,1,0,0,0,28,15,7,1,1,0,1,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,4,0,1,0,0,0,0,0,3,1,0,0,0,0,0,0,7,0,1,5,2,0,0,2,0,0
4 - Δράμας,22 E.T. Δήμου Δοξάτου,454,191,4,1,5,186,60,19,4,18,2,3,46,29,1,8,4,0,11,10,0,0,0,0,25,13,7,3,1,1,4,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,8,5,0,2,0,0,0,0,2,0,1,0,3,1,0,2,11,0,0,11,5,1,0,4,0,0
4 - Δράμας,23 E.T. Δήμου Δοξάτου,424,187,1,1,2,185,69,29,12,15,2,0,61,32,4,13,3,2,2,1,0,0,0,0,24,15,1,1,0,1,5,1,0,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,9,1,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,3,3,2
4 - Δράμας,24 E.T. Δήμου Δοξάτου,278,123,0,1,1,122,42,11,13,7,3,1,46,17,3,22,0,2,3,3,0,0,0,0,7,2,3,1,0,1,2,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,0,8,1,0,0,0,0,0
4 - Δράμας,25 E.T. Δήμου Δοξάτου,328,167,0,1,1,166,53,16,5,11,2,1,58,24,3,21,0,1,7,2,1,1,0,0,21,8,2,11,0,0,2,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,1,1,2,2,2,0,0,0,0,1,0,1,0,0,0,0,0,7,0,0,4,1,0,0,0,1,1
4 - Δράμας,26 E.T. Δήμου Δοξάτου,556,207,2,1,3,204,61,40,6,8,1,0,72,30,0,30,1,3,10,9,0,0,0,0,23,7,8,6,0,1,2,0,0,2,0,0,9,2,0,0,1,4,0,0,0,0,0,0,0,0,0,0,12,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,8,4,1,0,3,1,1
4 - Δράμας,27 E.T. Δήμου Δοξάτου,532,321,3,2,5,316,64,14,15,16,1,2,164,91,16,37,2,8,8,7,0,0,0,0,21,11,3,4,1,0,6,2,0,1,0,0,7,3,0,0,0,1,0,0,1,1,1,0,0,0,1,0,25,6,7,3,2,1,0,0,0,0,1,1,0,0,0,0,0,0,9,1,1,2,5,1,1,1,4,3
4 - Δράμας,28 E.T. Δήμου Δοξάτου,557,267,0,2,2,265,67,14,14,19,2,6,122,80,11,24,3,3,6,3,0,0,0,1,21,12,2,2,2,3,2,1,0,0,0,0,5,3,0,1,0,0,0,0,1,1,1,0,0,0,0,0,19,4,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,14,2,5,5,5,1,0,1,2,2
4 - Δράμας,29 E.T. Δήμου Δοξάτου,528,295,3,3,6,289,52,8,18,18,4,1,164,91,15,38,5,2,5,1,0,1,0,2,26,12,6,2,1,3,4,0,0,1,0,2,6,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,19,3,9,1,0,3,0,0,0,0,3,1,1,0,0,0,0,0,5,1,0,4,3,0,1,1,1,1
4 - Δράμας,30 E.T. Δήμου Δοξάτου,533,299,4,1,5,294,31,8,3,10,1,0,164,88,6,52,1,8,19,5,2,1,1,1,25,8,7,4,0,2,1,0,0,0,1,0,6,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,28,8,4,4,3,2,0,0,0,0,3,0,1,0,0,0,0,0,14,2,1,5,0,0,0,0,2,2
4 - Δράμας,31 E.T. Δήμου Δοξάτου,510,292,5,3,8,284,53,12,8,5,8,0,153,87,16,38,1,2,11,3,2,2,1,0,21,12,3,1,1,3,5,0,0,1,1,2,5,3,0,0,0,1,0,0,2,1,2,1,1,0,0,0,18,0,7,4,3,0,0,0,0,0,1,1,0,0,0,0,0,0,6,1,2,1,1,0,0,0,6,3
4 - Δράμας,32 E.T. Δήμου Δοξάτου,519,296,6,0,6,290,61,14,16,15,4,1,155,100,10,36,2,4,4,3,0,0,0,0,24,15,6,0,1,1,6,2,0,0,0,3,4,0,0,1,2,0,0,0,0,0,2,0,0,1,1,0,15,5,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,1,3,5,2,1,0,0,4,2
4 - Δράμας,33 E.T. Δήμου Δοξάτου,542,284,3,5,8,276,49,14,8,16,2,1,114,60,13,31,1,2,4,3,1,0,0,0,37,21,10,2,1,2,8,2,0,2,1,1,3,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0,32,6,7,5,4,2,1,1,0,0,2,0,2,0,0,0,0,0,16,2,3,4,3,1,2,0,6,2
4 - Δράμας,34 E.T. Δήμου Δοξάτου,278,182,2,0,2,180,36,3,15,7,1,1,87,26,8,47,1,3,7,5,0,1,0,0,20,10,6,1,1,1,0,0,0,0,0,0,4,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,16,5,3,4,1,0,0,0,0,0,1,0,1,0,1,1,0,0,2,1,0,0,1,0,0,0,5,2
4 - Δράμας,35 E.T. Δήμου Δοξάτου,314,193,2,0,2,191,25,1,7,0,3,0,104,22,6,56,2,8,4,1,1,0,1,0,20,14,2,0,1,0,5,0,2,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,10,1,1,5,1,0,0,0,0,0,7,0,2,2,0,0,0,0,7,0,0,6,4,1,0,3,3,1
4 - Δράμας,36 E.T. Δήμου Δοξάτου,527,289,3,3,6,283,70,19,9,15,2,2,113,45,11,43,2,3,6,4,1,0,0,0,37,8,20,0,4,2,6,0,0,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,33,4,22,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,1,1,0,1,0,6,4
4 - Δράμας,37 E.T. Δήμου Δοξάτου,485,234,0,2,2,232,48,17,9,7,2,2,98,41,3,48,2,2,15,12,0,1,0,0,30,13,13,1,1,0,3,0,0,0,0,1,4,3,0,0,1,0,0,0,0,0,1,0,0,1,0,0,27,1,11,5,2,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,2,0
4 - Δράμας,38 E.T. Δήμου Δοξάτου,389,221,1,1,2,219,50,8,15,11,3,0,101,30,6,52,0,2,7,1,0,1,1,0,40,24,13,0,1,1,5,0,1,2,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,6,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,1,0,2,1,0,0,0,0,0
4 - Δράμας,39 E.T. Δήμου Δοξάτου,385,231,3,2,5,226,42,12,10,11,1,1,106,43,9,47,0,1,5,1,0,0,0,0,34,18,15,1,0,0,5,0,0,0,2,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,3,4,5,1,0,0,0,0,0,3,0,2,1,0,0,0,0,8,1,0,3,1,0,0,1,3,3
4 - Δράμας,40 E.T. Δήμου Δοξάτου,394,174,4,2,6,168,39,10,5,6,2,2,56,30,2,19,0,4,5,1,1,0,1,0,31,22,6,1,0,0,16,0,1,1,1,11,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,8,1,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,7,0,4,1,0,0,0,0,3,3
4 - Δράμας,41 E.T. Δήμου Δοξάτου,361,171,1,0,1,170,40,6,14,4,3,4,67,27,9,26,1,1,4,2,1,0,0,0,22,10,9,2,1,0,16,1,0,2,0,12,3,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,7,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,7,0,1,3,1,0,1,0,1,0
4 - Δράμας,42 E.T. Δήμου Δοξάτου,434,197,2,1,3,194,46,19,4,10,4,2,60,36,5,12,2,1,4,1,0,0,0,2,41,24,8,4,0,2,15,0,0,0,0,13,4,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,12,3,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,0,0,0,6,4
4 - Δράμας,43 E.T. Δήμου Δράμας,540,332,6,2,8,324,86,3,17,46,5,2,153,35,8,93,1,6,4,0,0,0,1,1,29,5,13,5,2,1,13,0,3,3,1,1,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,17,3,5,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,11,3,2,2,4,0,0,2,1,0
4 - Δράμας,44 E.T. Δήμου Δράμας,507,318,3,4,7,311,80,1,17,40,0,5,135,26,11,74,4,10,3,1,1,0,0,0,38,10,14,0,6,5,14,2,1,3,5,0,4,0,0,0,0,1,0,0,0,0,6,0,5,0,0,1,13,2,5,2,1,1,0,0,0,0,2,0,1,0,0,0,0,0,8,0,3,1,5,1,0,2,3,2
4 - Δράμας,45 E.T. Δήμου Δράμας,503,305,1,2,3,302,67,7,11,31,3,4,126,26,10,69,8,5,8,4,0,1,0,0,52,16,19,3,4,5,8,0,0,5,0,0,3,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,15,3,3,2,1,2,0,0,0,0,0,0,0,0,5,4,0,0,9,1,3,2,2,1,0,1,5,4
4 - Δράμας,46 E.T. Δήμου Δράμας,498,299,4,4,8,291,72,4,14,32,3,3,130,31,9,76,3,9,16,8,1,0,0,3,26,11,7,1,1,5,5,0,1,1,2,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,13,2,1,2,0,1,0,0,0,0,1,0,0,0,2,1,1,0,3,1,0,1,13,2,3,2,5,4
4 - Δράμας,47 E.T. Δήμου Δράμας,497,285,3,1,4,281,61,5,16,26,3,1,138,28,17,63,4,10,3,2,0,0,0,1,32,13,6,5,0,5,5,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,4,3,0,2,0,0,0,0,1,1,0,0,0,0,0,0,13,3,4,2,7,0,2,2,5,2
4 - Δράμας,48 E.T. Δήμου Δράμας,500,324,2,3,5,319,84,4,19,35,6,2,130,44,9,64,2,8,6,3,0,0,0,1,37,15,11,6,2,2,10,4,0,1,4,0,7,2,0,2,0,1,0,0,0,0,1,0,0,0,1,0,16,3,5,3,1,2,0,0,0,0,2,0,1,0,1,0,1,0,13,2,1,2,4,1,0,1,8,6
4 - Δράμας,49 E.T. Δήμου Δράμας,499,292,1,2,3,289,89,17,25,29,2,3,120,31,5,62,5,12,7,2,0,1,2,2,35,14,14,0,0,2,7,1,0,4,0,1,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,2,0,2,3,0,0,0,0,0,0,0,0,1,0,0,0,6,0,2,1,1,0,0,1,7,5
4 - Δράμας,50 E.T. Δήμου Δράμας,503,299,1,2,3,296,82,4,25,45,1,5,102,18,7,58,2,10,13,4,1,0,6,1,44,16,21,3,1,3,16,0,0,6,8,0,1,0,1,0,0,0,0,0,2,1,2,0,0,0,2,0,15,2,7,3,1,2,0,0,0,0,2,0,1,0,1,0,1,0,13,1,7,1,0,0,0,0,3,3
4 - Δράμας,51 E.T. Δήμου Δράμας,503,321,3,1,4,317,65,8,16,25,4,1,152,30,17,71,4,7,12,4,3,1,1,2,38,19,10,3,3,2,8,1,0,1,2,0,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,14,1,2,3,2,0,0,0,0,0,0,0,0,0,3,2,0,0,12,2,5,1,6,0,1,4,3,2
4 - Δράμας,52 E.T. Δήμου Δράμας,500,313,3,2,5,308,96,14,27,31,2,4,109,23,7,56,3,10,2,0,1,0,0,0,37,16,11,3,0,1,7,1,0,5,0,0,4,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,21,1,8,5,0,1,0,0,1,1,2,1,1,0,3,2,0,0,15,0,4,5,1,0,1,0,9,4
4 - Δράμας,53 E.T. Δήμου Δράμας,501,312,3,4,7,305,74,5,14,38,3,3,142,36,10,77,5,5,8,1,0,0,6,1,19,11,4,1,2,0,13,0,0,5,2,0,3,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,24,6,4,6,0,2,1,1,0,0,1,0,0,0,1,0,0,1,8,2,3,0,3,0,1,0,6,3
4 - Δράμας,54 E.T. Δήμου Δράμας,498,296,5,1,6,290,72,12,9,32,5,1,118,30,18,53,0,11,7,2,1,0,0,2,41,19,11,0,0,6,5,0,1,1,1,1,1,1,0,0,0,0,0,0,1,0,6,2,0,0,3,0,20,3,6,5,2,1,0,0,0,0,1,0,0,0,2,2,0,0,9,0,2,1,3,1,0,0,4,2
4 - Δράμας,55 E.T. Δήμου Δράμας,547,316,9,4,13,303,65,8,9,24,4,4,138,25,13,76,3,8,10,4,1,3,1,0,31,14,8,2,3,0,11,0,0,6,0,1,6,3,0,0,1,0,0,0,1,0,2,1,0,0,0,0,23,4,5,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10,1,2,5,2,2,0,0,2,1
4 - Δράμας,56 E.T. Δήμου Δράμας,506,312,3,3,6,306,86,7,18,33,2,4,131,28,12,63,5,13,3,1,0,1,0,1,26,9,10,0,1,3,9,0,2,2,1,0,7,2,0,1,0,0,0,0,4,2,0,0,0,0,0,0,19,5,5,3,0,4,0,0,0,0,2,0,0,1,2,0,0,0,6,2,1,0,7,0,1,2,4,2
4 - Δράμας,57 E.T. Δήμου Δράμας,518,296,4,2,6,290,66,6,17,25,5,2,126,33,12,64,4,5,5,1,0,0,1,2,31,13,15,1,0,1,11,1,0,1,2,0,8,2,0,0,1,1,0,0,0,0,1,0,1,0,0,0,15,5,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,3,7,1,6,1,0,2,5,5
4 - Δράμας,58 E.T. Δήμου Δράμας,507,273,7,3,10,263,65,7,8,35,2,2,114,27,10,60,2,8,15,9,0,1,1,2,26,14,8,1,1,0,4,0,1,0,1,0,2,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,25,1,10,4,1,4,0,0,1,0,2,0,1,1,0,0,0,0,5,0,1,1,3,1,1,0,0,0
4 - Δράμας,59 E.T. Δήμου Δράμας,509,298,2,1,3,295,73,8,24,31,2,1,105,37,6,46,0,11,5,1,0,1,0,2,40,13,12,3,5,3,5,1,1,0,2,0,5,0,2,0,0,0,0,0,0,0,2,0,0,1,1,0,30,7,6,5,4,5,0,0,0,0,2,1,1,0,0,0,0,0,16,2,2,1,4,1,1,0,8,3
4 - Δράμας,60 E.T. Δήμου Δράμας,521,299,8,1,9,290,76,2,25,24,3,5,122,34,13,55,1,10,9,2,0,0,1,2,31,15,10,2,2,0,6,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,18,0,10,3,0,1,0,0,0,0,2,1,0,0,1,1,0,0,13,0,4,1,6,1,2,2,3,1
4 - Δράμας,61 E.T. Δήμου Δράμας,515,301,4,6,10,291,74,14,10,23,5,6,116,35,8,54,4,5,7,2,1,0,2,2,22,7,5,4,0,4,6,0,0,2,2,1,7,2,1,1,0,2,0,0,0,0,1,0,0,0,1,0,28,5,7,7,3,2,0,0,0,0,1,0,0,0,1,0,1,0,18,4,2,2,6,0,2,3,4,3
4 - Δράμας,62 E.T. Δήμου Δράμας,508,296,0,4,4,292,80,0,14,38,2,4,129,25,8,53,4,17,8,2,3,0,0,1,29,9,9,3,5,2,7,0,2,0,2,0,9,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,16,4,5,1,0,1,0,0,0,0,2,0,1,0,0,0,0,0,6,2,0,1,0,0,0,0,6,3
4 - Δράμας,63 E.T. Δήμου Δράμας,505,261,2,4,6,255,60,4,16,26,0,3,121,31,9,61,3,5,12,6,2,0,2,1,25,5,9,4,0,4,8,1,0,1,2,0,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,12,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,5,1,1,0,4,0,1,2,3,2
4 - Δράμας,64 E.T. Δήμου Δράμας,544,303,2,3,5,298,74,6,9,36,3,7,131,37,7,66,2,11,6,2,0,2,1,0,31,21,5,3,2,0,5,1,1,1,2,0,6,0,1,0,0,0,0,0,0,0,3,0,3,0,0,0,23,8,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0,0,13,1,7,1,3,0,3,0,3,3
4 - Δράμας,65 E.T. Δήμου Δράμας,509,292,4,0,4,288,73,6,10,31,3,4,137,24,7,74,2,21,6,2,0,0,0,0,28,11,12,1,2,1,6,1,2,1,0,0,5,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,14,1,2,2,3,3,0,0,0,0,0,0,0,0,2,0,1,0,11,3,2,2,3,1,2,0,2,2
4 - Δράμας,66 E.T. Δήμου Δράμας,511,318,5,2,7,311,86,6,25,32,3,6,141,26,12,69,2,20,4,3,0,0,0,0,31,14,7,1,3,1,9,3,1,2,0,0,6,1,0,0,1,1,0,0,0,0,1,0,1,0,0,0,20,0,3,6,3,6,0,0,0,0,3,0,0,2,0,0,0,0,9,1,1,1,1,0,0,1,0,0
4 - Δράμας,67 E.T. Δήμου Δράμας,557,313,4,2,6,307,93,12,21,35,2,2,111,29,9,54,5,8,4,1,1,0,0,0,36,15,10,2,3,4,3,2,0,0,0,1,6,3,1,0,0,1,0,0,2,1,0,0,0,0,0,0,30,8,10,4,2,2,0,0,0,0,2,0,2,0,1,0,1,0,10,1,0,3,7,2,0,2,2,1
4 - Δράμας,68 E.T. Δήμου Δράμας,532,325,6,2,8,317,86,11,18,32,7,6,132,34,7,65,8,12,10,4,0,0,2,2,30,16,8,1,1,2,9,0,0,3,1,2,1,0,0,0,0,0,0,0,1,0,3,0,3,0,0,0,12,1,1,4,1,1,1,0,1,0,2,1,0,0,1,1,0,0,22,5,5,1,5,0,2,1,1,1
4 - Δράμας,69 E.T. Δήμου Δράμας,518,297,8,4,12,285,62,13,6,31,2,1,115,34,13,49,1,12,7,1,0,0,1,0,42,17,16,4,1,3,15,4,1,2,3,1,3,0,0,1,0,1,0,0,2,0,1,0,0,0,0,0,10,5,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,13,2,1,1,10,3,1,3,4,1
4 - Δράμας,70 E.T. Δήμου Δράμας,521,280,5,2,7,273,77,6,17,32,4,4,110,22,7,62,2,8,9,4,1,0,0,3,26,10,9,1,1,2,5,0,2,1,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,16,2,4,4,2,2,0,0,0,0,3,0,0,2,0,0,0,0,10,0,6,1,7,0,3,3,6,4
4 - Δράμας,71 E.T. Δήμου Δράμας,523,338,5,3,8,330,65,5,12,26,2,4,141,53,15,52,0,5,9,6,0,0,0,1,40,15,12,2,5,3,12,1,6,0,0,0,5,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24,3,5,8,0,1,1,1,0,0,3,1,0,1,0,0,0,0,13,4,4,0,5,0,1,2,12,6
4 - Δράμας,72 E.T. Δήμου Δράμας,518,368,5,6,11,357,88,12,20,24,4,4,144,37,14,64,2,15,14,5,1,1,2,1,26,10,4,5,2,3,11,2,2,3,0,1,7,1,1,0,1,2,0,0,1,1,2,0,1,0,1,0,30,4,11,7,1,1,0,0,0,0,2,1,0,0,1,1,0,0,15,2,8,1,8,1,1,2,8,4
4 - Δράμας,73 E.T. Δήμου Δράμας,520,333,5,8,13,320,79,16,20,25,5,5,158,36,15,76,5,15,9,4,0,1,0,2,26,7,11,4,1,3,7,0,1,0,1,2,4,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,15,3,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,0,9,1,4,1,7,1,0,1,3,3
4 - Δράμας,74 E.T. Δήμου Δράμας,536,311,1,2,3,308,68,4,19,27,2,3,130,27,22,57,3,3,10,1,1,0,1,3,28,13,10,2,1,1,10,2,1,3,1,0,9,1,0,1,0,0,1,0,0,0,2,0,0,0,2,0,27,5,6,4,2,3,0,0,0,0,2,0,1,1,3,2,1,0,14,1,3,2,1,0,1,0,3,2
4 - Δράμας,75 E.T. Δήμου Δράμας,520,311,3,1,4,307,73,4,15,34,2,1,135,44,12,64,1,11,14,9,1,1,0,0,31,13,12,1,0,4,6,1,1,1,0,2,4,1,0,0,0,1,0,0,1,1,2,0,0,0,1,1,14,1,2,2,3,2,0,0,0,0,2,0,0,1,0,0,0,0,16,3,6,0,4,1,0,0,5,2
4 - Δράμας,76 E.T. Δήμου Δράμας,550,320,2,2,4,316,76,3,14,33,2,9,160,46,11,71,4,15,6,0,0,1,2,0,20,9,5,4,0,1,5,1,0,1,1,0,3,1,0,2,0,0,1,1,1,0,0,0,0,0,0,0,16,1,3,5,0,1,0,0,0,0,1,0,0,1,0,0,0,0,18,3,4,0,2,0,0,0,7,4
4 - Δράμας,77 E.T. Δήμου Δράμας,565,312,4,0,4,308,71,5,13,29,3,4,132,37,14,63,3,5,9,4,1,0,1,1,45,16,8,5,5,11,5,1,1,0,0,0,4,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,17,4,4,3,1,3,0,0,0,0,0,0,0,0,2,2,0,0,11,1,1,3,7,2,1,0,3,3
