ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΤΣΗΣ ΜΑΡΙΟΣ του Σπυρίδωνος,ΚΟΤΖΑΠΑΝΑΓΙΩΤΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σπυρίδωνος,ΠΡΟΒΙΔΑΚΗ ΑΓΓΕΛΙΚΗ-ΑΘΗΝΑ-ΕΛΕΝΗ του Νικολάου,ΤΣΑΚΙΡΗ ΑΣΤΥΡΟΠΗ του Αθανασίου,Νέα Δημοκρατία,ΓΙΟΓΙΑΚΑΣ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΠΑΠΑΓΙΑΝΝΗΣ ΙΩΑΝΝΗΣ του Λαμπρινού,ΠΑΡΘΕΝΙΟΥ ΟΛΓΑ του Δημητρίου,ΦΙΛΗ-ΠΑΣΧΑΛΗ ΑΝΤΙΓΟΝΗ-ΒΑΣΙΛΙΚΗ του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΜΙΓΚΟΥ ΕΛΕΝΗ του Θωμά,ΜΠΑΓΕΩΡΓΟΣ ΧΡΙΣΤΟΦΟΡΟΣ του Θεόφιλου,Κίνημα Αλλαγής,ΔΑΛΛΑ ΣΤΑΜΑΤΙΑ του Δημητρίου,ΜΠΟΤΟΣ ΣΠΥΡΙΔΩΝ του Γρηγορίου,ΠΑΣΧΟΣ ΑΛΕΞΑΝΔΡΟΣ (Αλέκος) του Χρήστου,ΣΑΜΙΟΥ ΜΑΡΙΑ του Γεωργίου,Κ.Κ.Ε.,ΓΚΙΚΑΣ ΣΩΤΗΡΙΟΣ του Δημητρίου,ΜΠΡΕΣΤΑΣ ΝΙΚΟΛΑΟΣ - ΟΡΕΣΤΗΣ του Θεοδώρου,ΡΕΠΑΝΗ-ΡΕΓΚΑ ΝΙΚΟΛΕΤΑ του Αθανασίου,ΤΣΟΥΡΑ ΜΑΡΙΑ του Χρήστου,Ένωση Κεντρώων,ΖΑΦΕΙΡΑΣ ΖΑΦΕΙΡΙΟΣ του Χρήστου,ΤΣΙΜΠΡΙΜΑΝΗ ΣΟΦΙΑ του Στυλιανού,Ο.Κ.Δ.Ε.,ΑΝΔΡΙΩΤΗΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΕΥΘΥΜΙΟΥ ΔΗΜΗΤΡΑ του Χρήστου,ΧΕΚΙΜΟΓΛΟΥ ΘΕΟΔΩΡΟΣ του Γεωργίου,Ελλήνων Συνέλευσις,ΔΗΜΗΤΡΙΟΥ ΑΙΚΑΤΕΡΙΝΗ (ΝΙΝΑ) του Νικολάου,ΤΡΙΑΝΤΑΦΥΛΛΟΥ ΒΑΣΙΛΕΙΟΣ του Φιλίππου,ΤΣΙΡΩΝΗΣ ΣΥΜΕΩΝ του Ιωάννη,Ελληνική Λύση - Κ. Βελόπουλος,ΓΙΑΝΝΟΠΟΥΛΟΣ ΠΕΤΡΟΣ του Ιωάννη,ΜΙΧΑΗΛ ΑΣΗΜΙΝΑ του Μιχαήλ,ΜΠΙΛΛΑΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,Κ.Κ.Ε. (μ-λ),ΑΝΑΣΤΑΣΙΟΥ ΧΡΙΣΤΙΝΑ του Θωμά,ΜΟΥΚΑ ΘΕΟΔΩΡΑ του Βασιλείου,ΝΕΙΛΑΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΡΑΠΤΗΣ ΧΡΙΣΤΟΦΟΡΟΣ του Λεωνίδα,Μ-Λ Κ.Κ.Ε.,ΧΟΒΟΛΟΣ ΘΕΟΔΩΡΟΣ του Ιωάννη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΗΜΗΤΡΙΟΥ ΒΑΣΙΛΕΙΟΣ του Νικολάου,ΤΣΙΜΠΟΥΛΗ ΚΑΤΙΝΑ του Δονάτου,Λαϊκή Ενότητα,ΜΑΡΚΑΤΣΕΛΗΣ ΓΕΩΡΓΙΟΣ του Αριστείδη,ΜέΡΑ25,ΚΑΤΣΟΥΚΗ ΔΗΜΗΤΡΑ του Ευαγγέλου,ΠΑΠΠΑΣ ΑΘΑΝΑΣΙΟΣ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΙΓΚΟΥ ΠΑΝΑΓΙΩΤΑ-ΛΗΤΩ του Θωμά,ΠΑΝΤΑΣ ΠΑΝΤΕΛΗΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΦΙΛΙΠΠΟΠΟΥΛΟΣ ΕΜΜΑΝΟΥΗΛ του Ιωάννη
20 - Θεσπρωτίας,162 E.T. Δήμου Φιλιατών,484,246,5,2,7,239,72,35,16,2,1,88,70,4,2,4,4,2,2,37,0,21,1,12,5,2,0,1,0,2,1,1,0,0,3,1,0,1,1,0,0,14,5,1,1,0,0,0,0,0,0,0,1,1,0,0,0,9,2,2,1,1,0,2,2
20 - Θεσπρωτίας,163 E.T. Δήμου Φιλιατών,497,264,6,0,6,258,95,43,33,1,4,99,79,1,1,10,7,5,1,35,1,20,2,10,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,10,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,0,0,0,0,0
20 - Θεσπρωτίας,164 E.T. Δήμου Φιλιατών,170,70,0,0,0,70,12,7,3,1,0,46,38,1,1,1,1,0,1,4,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,0,0,0,0,1,1
20 - Θεσπρωτίας,165 E.T. Δήμου Φιλιατών,106,53,0,0,0,53,17,5,7,1,1,26,21,1,0,1,1,0,0,2,0,2,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0
20 - Θεσπρωτίας,166 E.T. Δήμου Φιλιατών,73,22,0,1,1,21,7,6,0,0,1,13,10,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από Εφετείο Θεσσαλονίκης),86,59,0,0,0,59,19,8,1,3,3,25,8,9,2,3,0,0,0,3,1,0,0,1,3,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,3,2,0,2,1
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 56ο Ε.Τ. Νομ. Αττικής-Αθηνών),484,302,3,0,3,299,96,42,12,7,9,115,82,4,4,5,7,1,1,35,5,5,11,12,26,9,3,1,3,3,0,2,0,0,2,1,1,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,5,1,2,2,1,0,1,0
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 57ο Ε.Τ. Νομ. Αττικής-Αθηνών),507,300,6,6,12,288,87,43,6,5,6,117,76,8,7,7,3,2,1,30,4,6,7,6,24,9,3,2,1,4,2,0,0,0,2,0,0,0,0,0,0,5,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,9,4,0,1,0,1,4,2
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 58ο Ε.Τ. Νομ. Αττικής-Αθηνών),471,295,1,0,1,294,105,55,8,6,7,118,70,11,7,7,4,2,0,22,0,5,6,5,12,2,4,2,0,5,0,3,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,2,1,1,0,0,14,2,3,3,1,1,4,0
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 59ο Ε.Τ. Νομ. Αττικής-Αθηνών),495,290,1,0,1,289,106,52,5,10,5,102,64,6,6,11,4,1,1,23,7,6,2,3,21,3,2,2,0,2,0,1,0,0,1,0,0,0,0,0,0,12,3,6,1,0,0,0,0,0,0,0,0,0,0,0,0,14,4,4,2,0,0,2,0
20 - Θεσπρωτίας,Ετερ. Θεσπρωτίας (από 11ο Ε.Τ. Νομ. Αττικής-Πειραιώς),112,77,1,0,1,76,23,16,1,1,1,33,23,3,2,1,5,2,3,8,0,1,6,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,1
Σύνολο,,60733,31154,412,169,581,30573,9653,5110,1938,278,330,12569,9106,854,397,1072,490,186,94,4061,115,632,1258,1729,1140,217,351,145,60,162,34,43,18,9,138,38,40,104,27,13,48,552,204,81,64,131,29,20,21,16,84,46,191,141,14,46,21,764,166,226,227,52,84,243,116
