ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΝΤΩΝΙΟΥ ΧΡΗΣΤΟΣ του Αθανασίου,ΚΑΛΠΑΚΗΣ ΣΤΕΡΓΙΟΣ του Δημητρίου,ΚΑΡΑΣΑΡΛΙΔΟΥ ΕΥΦΡΟΣΥΝΗ (ΦΡΟΣΩ) του Γεωργίου,ΟΥΡΣΟΥΖΙΔΗΣ ΓΕΩΡΓΙΟΣ του Νικολάου,ΠΑΠΑΓΙΑΝΝΟΥΛΗ ΕΥΑΓΓΕΛΙΑ (ΕΥΗ) του Θεοδώρου,ΤΟΛΚΑΣ ΑΓΓΕΛΟΣ του Χαράλαμπου,Νέα Δημοκρατία,ΒΕΣΥΡΟΠΟΥΛΟΣ ΑΠΟΣΤΟΛΟΣ του Φωτίου,ΒΛΑΧΟΓΙΑΝΝΗ ΙΦΙΓΕΝΕΙΑ του Γεωργίου,ΚΑΡΑΤΖΙΟΥΛΑ ΝΙΚΗ του Κωνσταντίνου,ΚΟΥΤΣΟΥΠΙΑΣ ΦΩΤΙΟΣ του Δημητρίου,ΜΠΑΡΤΖΩΚΑΣ ΑΝΑΣΤΑΣΙΟΣ του Στέργιου,ΤΣΑΒΔΑΡΙΔΗΣ ΛΑΖΑΡΟΣ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΙΑΝΝΑΚΟΒΙΤΗΣ ΕΜΜΑΝΟΥΗΛ του Βασιλείου,ΕΥΤΗΡΙΑΔΟΥ ΑΝΝΑ του Παύλου,ΘΕΟΔΩΡΟΥ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΚΕΪΣΙΔΟΥ ΟΛΥΜΠΙΑ του Αντωνίου,ΠΛΑΣΤΑΡΑΣ ΙΩΑΝΝΗΣ του Θωμά,ΤΣΑΚΙΡΗΣ ΜΙΧΑΗΛ του Νικολάου,Κίνημα Αλλαγής,ΓΚΙΟΝΟΓΛΟΥ ΧΑΡΑΛΑΜΠΟΣ του Ηρακλή,ΜΠΡΟΥΣΚΕΛΗΣ ΝΙΚΟΛΑΟΣ του Δημητρίου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΘΕΟΔΩΡΟΣ του Χρήστου,ΣΑΒΒΙΔΟΥ ΕΙΡΗΝΗ του Ιωάννη,ΤΟΡΟΡΗ ΜΑΡΙΑ του Κωνσταντίνου,ΧΑΤΖΗΑΘΑΝΑΣΙΟΥ ΤΗΛΕΜΑΧΟΣ του Βασιλείου,Κ.Κ.Ε.,ΔΙΑΚΟΓΛΟΥ ΙΩΑΝΝΗΣ του Κυριάκου,ΙΑΚΩΒΙΔΗΣ ΗΛΙΑΣ του Κωνσταντίνου,ΣΟΦΡΟΝΩΦ - ΤΑΜΠΑΚΗ ΙΩΑΝΝΑ του Ελευθέριου,ΤΣΙΟΥΛΑΚΟΣ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Ιωάννη,ΤΣΟΥΚΑΛΑΣ ΘΩΜΑΣ του Παύλου,ΧΑΤΖΗΘΕΟΔΩΡΙΔΟΥ ΚΥΡΙΑΚΗ (ΚΟΥΛΑ) του Μιχαήλ,Ένωση Κεντρώων,ΑΚΕΨΩΜΑΪΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Εμμανουήλ,ΒΕΤΣΟΣ ΑΝΔΡΕΑΣ του Νικολάου,ΓΑΛΛΟΥ ΙΩΑΝΝΑ του Αδάμ,ΔΙΜΠΑΛΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,ΠΑΠΑΔΗΜΗΤΡΟΠΟΥΛΟΥ ΘΕΟΔΩΡΑ του Αριστείδη,Ο.Κ.Δ.Ε.,ΛΑΧΑΝΗΣ ΤΗΛΕΜΑΧΟΣ του Κωνσταντίνου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΟΠΟΥΛΟΥ ΔΕΣΠΟΙΝΑ του Ιωάννη,ΠΑΠΑΧΡΥΣΟΣΤΟΜΙΔΗΣ ΛΑΖΑΡΟΣ του Μιχαήλ,ΤΣΙΑΝΟΥ ΜΑΡΙΑΝΑ του Αντωνίου,Ελλήνων Συνέλευσις,ΓΑΛΑΝΗΣ ΑΘΑΝΑΣΙΟΣ του Κωνσταντίνου,ΖΑΤΙΚΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Εμμανουήλ,ΠΡΟΪΟΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΣΠΥΡΙΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Ανέστη,ΤΣΑΠΑΡΙΔΟΥ ΧΡΙΣΤΙΝΑ (ΚΑΡΟΛΙΝΑ) του Γεωργίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΡΑΓΙΑΝΝΗ ΑΝΤΩΝΙΑ του Περικλή,ΜΟΥΡΑΤΙΔΗΣ ΠΑΝΑΓΙΩΤΗΣ του Αναστασίου,ΜΠΑΝΤΩΛΑΣ ΑΠΟΣΤΟΛΟΣ-ΑΝΤΩΝΙΟΣ του Κωνσταντίνου,ΤΡΕΜΠΕΛΗ ΔΗΜΗΤΡΑ του Κωνσταντίνου,ΤΣΑΝΤΕΚΙΔΗΣ ΜΙΧΑΗΛ του Σταύρου,ΨΑΘΑΣ ΣΩΤΗΡΙΟΣ του Γεωργίου,Κ.Κ.Ε. (μ-λ),ΜΩΡΑΪΤΟΠΟΥΛΟΥ ΜΑΡΙΑ του Γεωργίου,Μ-Λ Κ.Κ.Ε.,ΧΑΤΖΗΘΕΟΔΩΡΙΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Μιχαήλ,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΣΛΑΝΙΔΟΥ ΜΙΛΕΝΑ του Αλέξιου,ΚΑΛΟΣΤΕΦΑΝΟΣ ΘΕΟΔΩΡΟΣ του Χρήστου,ΠΛΙΑΚΟΥ ΔΕΣΠΟΙΝΑ του Ζαφειρίου,ΧΑΤΖΗΠΑΡΑΣΚΕΥΑΣ ΓΕΩΡΓΙΟΣ του Φιλίππου,Λαϊκή Ενότητα,ΚΙΟΣΕΟΓΛΟΥ ΕΛΕΥΘΕΡΙΟΣ του Γεωργίου,ΚΟΥΦΑΚΗ ΑΘΗΝΑ του Νικολάου,ΟΡΦΑΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αλέξανδρου,ΜέΡΑ25,ΟΡΦΑΝΙΔΗΣ ΒΑΣΙΛΕΙΟΣ του Ελευθερίου,ΠΑΠΑΪΩΑΝΝΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,ΤΟΡΝΑΖΑΚΗ ΑΘΗΝΑ του Αριστείδη,ΧΡΗΣΤΟΥ ΠΑΣΧΑΛΙΝΗ (ΛΙΝΑ) του Θεόδωρου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΡΒΑΝΙΤΗΣ ΓΕΩΡΓΙΟΣ του Αναστασίου,ΔΙΟΝΥΣΟΠΟΥΛΟΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΑΝΤΣΑΔΟΥ ΕΥΘΥΜΙΑ του Βλαδίμηρου,ΜΠΟΥΡΑΖΑΝΗ ΙΩΑΝΝΑ του Παναγιώτη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΚΑΡΟΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Ιωακείμ
12 - Ημαθίας,60 E.T. Δήμου Αλεξανδρείας,559,346,10,1,11,335,87,38,9,27,7,17,29,177,148,5,10,15,79,20,13,6,3,5,4,3,2,21,15,11,1,1,1,0,3,2,1,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,4,2,2,2,0,1,13,6,3,5,3,0,1,1,0,0,0,0,0,0,0,0,1,0,1,1,11,3,2,5,3,2,0,1,0,0,1,0
12 - Ημαθίας,61 E.T. Δήμου Αλεξανδρείας,567,337,0,5,5,332,97,24,10,22,5,7,30,159,110,2,18,17,82,23,28,8,7,3,5,3,7,23,18,10,1,0,1,1,2,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,6,3,0,2,0,2,2,0,0,0,2,2
12 - Ημαθίας,62 E.T. Δήμου Αλεξανδρείας,544,306,1,1,2,304,89,26,5,8,7,6,29,126,89,3,14,9,49,21,17,3,5,4,3,0,3,27,14,20,1,0,0,1,3,0,2,1,0,0,0,1,1,0,1,0,0,0,0,2,1,0,0,2,2,0,0,0,2,18,4,6,9,1,2,2,0,0,1,0,2,0,1,1,0,0,0,0,0,10,2,1,6,0,1,0,0,0,0,5,3
12 - Ημαθίας,63 E.T. Δήμου Αλεξανδρείας,544,347,3,0,3,344,73,31,9,8,7,4,42,210,195,33,12,17,41,13,15,4,3,3,3,1,1,20,14,15,0,0,0,3,3,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,9,4,1,1,2,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,5,2,1,2,1,3,2,0,0,1,2,1
12 - Ημαθίας,64 E.T. Δήμου Αλεξανδρείας,403,293,7,1,8,285,68,21,5,13,8,9,40,159,79,3,36,14,117,18,14,3,2,2,2,1,5,18,6,11,4,1,2,2,7,1,3,4,0,0,0,4,3,0,0,0,2,0,0,1,1,0,1,0,0,0,0,0,0,8,2,3,5,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,3,1,2,1,0,0,0,0,0,0,2,2
12 - Ημαθίας,65 E.T. Δήμου Αλεξανδρείας,326,235,4,0,4,231,60,17,6,7,10,4,29,128,66,1,35,9,79,15,4,2,0,1,0,0,1,18,5,13,0,1,1,6,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,9,0,3,4,2,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,4,0,1,3,2,1,0,0,0,0,2,2
12 - Ημαθίας,66 E.T. Δήμου Αλεξανδρείας,332,204,2,1,3,201,67,6,8,22,18,5,22,75,49,2,8,5,32,13,14,3,1,0,2,0,9,10,1,0,0,0,1,7,14,0,9,9,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,3,0,0,1,1,2,7,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,2,1,0,0,0,0,0,4,1
12 - Ημαθίας,67 E.T. Δήμου Αλεξανδρείας,380,222,1,0,1,221,40,19,8,10,6,7,10,111,34,2,23,6,59,36,4,1,3,0,1,0,1,39,17,23,0,4,0,11,3,0,1,0,0,0,1,3,2,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,3,0,2,2,1,0,0,0,0,3,0,1,0,1,2,2,2,0,3,1,0,0,2,4,1,0,1,1,4,1
12 - Ημαθίας,68 E.T. Δήμου Αλεξανδρείας,459,260,5,3,8,252,57,16,4,10,12,14,11,94,56,9,14,9,45,26,6,0,0,1,0,2,2,16,6,12,0,2,2,0,13,1,11,5,0,1,2,3,2,0,2,0,1,1,0,0,0,0,0,2,1,0,1,0,1,30,11,5,3,3,2,1,2,0,0,0,0,0,0,0,0,5,5,0,0,11,1,0,3,2,2,0,0,0,1,10,3
12 - Ημαθίας,69 E.T. Δήμου Αλεξανδρείας,457,287,2,1,3,284,78,34,10,18,2,22,9,114,64,6,19,5,47,50,9,3,0,2,1,0,2,26,6,21,2,0,2,2,11,0,10,5,0,1,1,5,0,1,2,0,1,0,0,0,0,0,0,4,0,0,2,0,2,18,8,1,4,4,3,0,0,0,0,0,1,0,0,0,0,4,3,0,0,10,4,0,4,2,3,0,1,0,0,1,0
12 - Ημαθίας,70 E.T. Δήμου Αλεξανδρείας,456,279,3,5,8,271,65,24,14,18,4,10,6,102,65,6,9,10,35,30,4,1,2,0,1,0,1,30,8,18,0,4,3,3,22,0,19,18,1,0,1,7,4,2,0,2,2,0,0,1,0,0,0,3,0,0,2,0,3,20,5,3,6,4,2,3,0,0,0,0,0,0,0,0,0,3,3,2,0,10,4,3,1,5,2,0,2,0,1,2,1
12 - Ημαθίας,71 E.T. Δήμου Αλεξανδρείας,453,234,7,2,9,225,69,31,5,18,2,11,9,97,42,0,20,11,39,33,10,7,4,0,1,0,2,11,3,9,0,0,1,0,11,0,9,3,1,0,1,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,8,3,1,2,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,1,7,2,3,3,1,0,0,0,0,0,2,2
12 - Ημαθίας,72 E.T. Δήμου Αλεξανδρείας,467,275,6,5,11,264,74,16,11,17,8,13,13,108,61,3,18,7,38,39,10,1,2,0,2,0,2,15,2,5,0,1,3,4,12,1,6,2,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,9,2,0,3,1,8,15,5,2,8,5,1,1,0,0,0,0,0,0,0,0,0,3,2,0,1,11,2,0,3,1,2,2,0,1,0,4,4
12 - Ημαθίας,73 E.T. Δήμου Αλεξανδρείας,246,128,1,0,1,127,44,21,5,11,5,7,6,27,16,0,1,1,7,21,4,1,1,0,0,0,1,5,1,2,1,0,0,2,17,0,17,3,0,0,0,4,1,0,1,1,1,0,0,0,0,0,0,5,0,0,5,0,5,10,5,2,7,0,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,6,1,1,4,2,0,0,0,0,0,3,0
12 - Ημαθίας,74 E.T. Δήμου Αλεξανδρείας,329,180,2,0,2,178,39,25,4,16,3,1,10,77,21,4,7,7,32,46,9,3,5,0,1,1,0,8,2,6,0,1,0,3,10,0,10,1,0,0,0,3,1,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,11,3,2,1,2,1,0,1,0,0,0,2,1,0,0,0,1,0,0,0,2,0,0,1,0,2,0,0,0,0,11,3
12 - Ημαθίας,75 E.T. Δήμου Αλεξανδρείας,519,331,5,4,9,322,62,10,4,7,2,11,22,165,104,10,35,9,40,38,6,1,1,0,0,0,1,22,9,20,1,1,0,0,6,5,0,0,0,0,3,4,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,27,9,3,8,2,4,1,0,0,0,0,3,0,0,0,0,2,1,0,0,14,1,3,4,3,5,2,0,1,1,4,2
12 - Ημαθίας,76 E.T. Δήμου Αλεξανδρείας,521,281,1,4,5,276,59,17,5,6,2,4,18,151,65,7,32,19,72,26,7,0,0,1,0,1,1,12,2,7,0,4,0,1,7,1,1,1,1,0,1,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,20,4,2,18,2,4,0,0,0,0,0,3,3,3,0,0,0,0,0,0,8,1,0,3,0,1,1,0,0,1,5,0
12 - Ημαθίας,77 E.T. Δήμου Αλεξανδρείας,519,305,3,0,3,302,62,11,15,18,14,7,13,181,107,8,40,12,79,33,3,1,1,0,0,1,0,13,4,7,0,2,3,0,5,1,1,1,1,0,0,6,1,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,19,3,5,14,1,9,0,0,0,0,0,2,1,1,1,1,0,0,0,0,9,0,0,3,0,1,0,0,0,0,0,0
12 - Ημαθίας,78 E.T. Δήμου Αλεξανδρείας,422,225,4,0,4,221,41,16,2,10,0,6,14,87,56,4,16,12,34,13,10,4,3,1,1,2,1,28,17,17,0,1,0,1,5,0,5,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,26,4,5,10,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,2,2,3,2,4,2,4,0,0,4,1
12 - Ημαθίας,79 E.T. Δήμου Αλεξανδρείας,398,220,1,2,3,217,66,29,3,29,8,7,10,80,56,3,16,3,34,8,14,6,4,2,4,2,7,32,13,27,1,1,0,2,2,0,0,0,0,0,0,2,0,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,11,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,2,1,1,1,0,1,1
12 - Ημαθίας,80 E.T. Δήμου Αλεξανδρείας,484,292,3,2,5,287,128,41,5,71,5,6,11,91,45,5,31,6,30,17,14,7,0,1,0,2,6,22,4,18,0,1,0,4,4,1,2,0,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,9,0,0,1,0,1,0,0,0,0,3,0
12 - Ημαθίας,81 E.T. Δήμου Αλεξανδρείας,491,286,6,2,8,278,112,33,7,41,2,4,16,82,43,1,9,6,30,15,11,3,2,0,1,1,3,26,12,17,0,1,0,3,9,1,3,2,0,0,1,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,21,1,2,2,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,1,0,2,0,0,2,2,5,1
12 - Ημαθίας,82 E.T. Δήμου Αλεξανδρείας,439,271,3,0,3,268,73,39,7,9,2,6,16,90,59,4,12,2,40,10,24,12,5,0,4,1,4,31,18,21,2,4,2,0,6,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,9,2,6,4,1,1,0,0,0,0,2,1,0,1,1,0,0,0,0,8,2,1,3,3,3,1,1,0,0,6,2
12 - Ημαθίας,83 E.T. Δήμου Αλεξανδρείας,469,267,1,1,2,265,62,33,4,7,3,3,18,127,90,7,11,2,47,24,10,4,1,0,2,2,3,20,5,12,2,2,0,1,13,0,6,1,1,2,1,9,1,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,8,1,2,5,2,3,1,1,0,0,2,1
12 - Ημαθίας,84 E.T. Δήμου Αλεξανδρείας,453,298,8,1,9,289,106,51,9,16,10,2,23,112,67,1,23,6,39,26,10,6,0,0,1,1,0,18,4,15,0,2,1,0,6,0,3,1,0,0,2,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,23,5,7,5,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,1,0,2,2,0,0,0,0,0,4,2
12 - Ημαθίας,85 E.T. Δήμου Αλεξανδρείας,445,253,4,0,4,249,97,40,4,20,1,9,16,70,45,3,11,2,21,9,11,5,1,4,0,2,1,18,3,17,0,1,1,1,7,1,1,1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,21,5,5,4,4,6,1,0,0,0,0,4,1,1,2,3,0,0,0,0,9,3,1,0,1,1,0,1,0,1,6,4
12 - Ημαθίας,86 E.T. Δήμου Αλεξανδρείας,410,217,4,5,9,208,67,29,6,23,5,10,11,77,43,3,22,4,30,11,3,0,0,0,0,1,0,26,14,18,0,0,0,0,3,0,2,1,0,0,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,16,4,5,4,3,1,2,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,1,3,1,1,0,0,0,0,4,2
12 - Ημαθίας,87 E.T. Δήμου Αλεξανδρείας,401,218,6,1,7,211,41,29,3,17,0,8,9,99,66,3,18,2,22,20,14,3,2,0,1,2,4,17,9,10,1,1,0,0,7,1,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,2,0,0,0,2,16,7,3,6,1,1,0,0,0,0,0,5,2,1,0,0,1,0,1,0,5,2,1,0,1,0,0,0,0,0,1,1
12 - Ημαθίας,88 E.T. Δήμου Αλεξανδρείας,408,210,3,0,3,207,55,26,4,14,5,10,12,93,61,1,20,9,24,20,11,5,2,2,1,1,4,11,6,6,1,0,1,0,4,0,2,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,0,3,3,0,2,1,0,18,2,9,4,2,9,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,0,1,3,1
12 - Ημαθίας,89 E.T. Δήμου Αλεξανδρείας,388,234,1,0,1,233,63,32,1,11,3,6,16,107,88,3,13,2,57,39,8,2,2,1,6,0,1,24,8,19,0,0,2,0,4,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,9,2,3,2,2,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,5,1,1,3,0,1,0,1,0,0,8,4
12 - Ημαθίας,90 E.T. Δήμου Αλεξανδρείας,364,208,0,0,0,208,23,6,1,9,0,5,6,130,68,0,13,1,64,39,9,1,2,2,0,0,1,12,3,6,0,1,1,0,9,0,4,0,1,0,2,2,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,1,8,3,2,1,2,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,2,2,4,2,0,0,0,0,0,2,2
12 - Ημαθίας,91 E.T. Δήμου Αλεξανδρείας,535,338,3,1,4,334,65,28,6,13,4,14,19,157,86,7,28,9,56,44,27,8,4,4,7,4,10,30,14,18,2,3,2,1,8,1,6,1,2,0,2,9,4,1,3,1,5,0,0,1,1,0,1,3,1,0,1,2,0,21,6,2,1,5,2,2,0,0,0,0,1,1,0,1,0,1,0,0,0,6,1,2,0,2,3,0,0,2,2,2,1
12 - Ημαθίας,92 E.T. Δήμου Αλεξανδρείας,519,310,1,2,3,307,109,54,8,20,2,16,41,112,72,7,14,5,42,30,15,3,5,2,5,2,3,23,18,17,1,1,0,1,3,0,2,1,0,0,1,6,1,0,1,1,0,0,0,0,0,0,0,2,1,0,2,0,1,19,9,5,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,4,2,3,2,0,1,1,5,4
12 - Ημαθίας,93 E.T. Δήμου Αλεξανδρείας,559,367,8,1,9,358,75,25,10,9,3,6,20,181,115,4,28,13,66,59,20,1,3,2,4,1,3,25,14,14,1,3,4,0,8,1,4,3,0,0,0,5,2,0,0,0,0,0,0,2,1,1,1,1,0,0,1,0,1,19,9,2,4,6,0,2,3,2,1,0,1,0,0,0,0,0,0,0,0,8,1,1,2,1,5,0,1,1,1,4,1
12 - Ημαθίας,94 E.T. Δήμου Βέροιας,504,315,3,5,8,307,77,6,13,27,17,12,11,127,56,5,29,31,39,35,24,5,1,3,0,17,1,28,6,6,2,1,4,15,8,0,0,5,0,1,1,6,1,2,0,0,2,0,0,1,0,0,0,1,1,0,0,0,0,15,2,2,1,2,3,1,0,0,0,0,4,0,1,0,1,0,0,0,0,6,1,0,1,0,3,1,0,1,2,7,4
12 - Ημαθίας,95 E.T. Δήμου Βέροιας,505,317,5,3,8,309,74,11,10,20,24,16,21,103,40,7,20,14,32,50,29,9,2,3,5,14,0,46,10,5,13,2,0,28,9,2,0,4,1,2,3,4,0,1,2,0,1,0,0,2,1,0,1,0,0,0,0,0,0,20,8,6,0,7,2,2,0,0,0,0,1,1,0,1,0,1,0,1,0,11,3,1,1,3,3,2,0,2,0,6,3
12 - Ημαθίας,96 E.T. Δήμου Βέροιας,503,302,8,2,10,292,75,5,7,16,11,23,18,120,53,10,28,34,26,34,23,6,1,2,1,12,5,25,5,5,9,1,0,10,20,2,1,7,0,0,3,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,8,0,4,0,0,1,0,0,0,0,0,3,0,2,0,0,0,0,0,0,8,3,4,1,0,0,0,0,0,0,6,3
12 - Ημαθίας,97 E.T. Δήμου Βέροιας,508,346,7,3,10,336,109,7,46,16,19,15,24,118,39,6,20,19,49,29,21,8,3,1,0,3,7,37,5,8,20,3,2,2,4,0,1,0,3,0,0,3,0,0,0,0,1,0,0,0,0,0,0,2,2,0,0,0,1,18,7,2,8,3,1,2,0,0,0,0,1,1,0,1,0,0,0,0,0,18,6,1,1,3,1,0,0,0,0,4,1
12 - Ημαθίας,98 E.T. Δήμου Βέροιας,518,347,7,2,9,338,89,10,23,14,5,6,19,138,48,6,18,26,74,45,16,4,0,3,1,1,1,41,6,12,24,1,0,7,1,0,0,1,0,0,0,7,0,1,0,1,2,0,0,1,0,0,0,2,1,0,0,0,1,23,10,4,7,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,8,1,0,0,2,0,0,0,0,5,1
12 - Ημαθίας,99 E.T. Δήμου Βέροιας,383,199,2,6,8,191,62,5,3,6,38,4,12,72,19,6,8,22,17,39,13,9,0,4,0,1,0,10,1,1,3,1,2,3,4,1,1,0,0,0,2,7,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,0,3,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,5,1,0,1,1,1,1,1,0,0,5,3
12 - Ημαθίας,100 E.T. Δήμου Βέροιας,484,285,2,1,3,282,96,8,3,18,46,6,4,103,36,6,21,19,31,35,11,8,0,3,0,1,2,22,4,0,13,3,2,7,8,1,2,2,0,0,3,6,2,1,0,0,1,0,0,2,0,2,1,0,0,0,0,0,0,12,6,2,1,4,3,0,0,0,0,0,1,1,0,0,1,1,0,0,1,6,0,2,3,2,3,0,0,1,1,11,6
12 - Ημαθίας,101 E.T. Δήμου Βέροιας,512,290,5,6,11,279,68,11,15,24,17,16,15,123,50,3,19,32,33,53,21,16,0,4,4,4,1,17,1,1,4,2,1,6,10,3,2,4,1,0,2,6,1,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,11,3,3,0,1,1,2,2,1,0,0,0,0,0,0,0,1,0,0,0,8,3,0,2,1,2,0,1,0,0,9,6
12 - Ημαθίας,102 E.T. Δήμου Βέροιας,544,354,6,1,7,347,64,10,11,17,17,13,13,169,97,2,31,29,51,59,25,24,0,3,2,3,0,22,6,2,5,5,2,8,18,1,2,5,0,0,8,3,1,0,1,1,1,0,0,2,2,0,1,2,2,0,0,0,1,12,2,4,3,0,2,1,0,0,1,1,2,0,0,0,0,2,1,1,1,12,2,2,3,0,2,0,1,1,0,11,6
12 - Ημαθίας,103 E.T. Δήμου Βέροιας,522,279,7,2,9,270,70,10,5,17,19,7,22,99,38,3,13,31,28,33,21,10,0,4,2,5,4,11,6,1,3,2,1,5,10,0,1,3,0,0,3,7,2,1,1,2,2,0,0,1,0,0,0,2,1,0,1,0,0,21,6,2,17,5,9,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12,4,7,0,2,4,0,1,1,0,11,4
12 - Ημαθίας,104 E.T. Δήμου Βέροιας,512,267,4,2,6,261,61,6,12,11,15,19,19,127,46,6,19,38,25,53,16,10,1,3,5,0,2,4,3,0,0,0,1,0,11,2,2,3,2,0,5,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,22,5,7,3,0,6,1,0,0,0,0,5,3,3,0,2,1,1,1,0,6,2,1,2,1,0,0,0,0,0,5,3
12 - Ημαθίας,105 E.T. Δήμου Βέροιας,512,293,3,0,3,290,51,5,3,12,8,16,10,145,75,8,22,41,46,36,24,13,2,8,2,8,1,14,1,1,3,6,6,7,11,2,0,4,0,3,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,23,5,9,3,6,7,0,1,0,0,0,2,0,1,0,0,0,0,0,0,6,1,0,1,1,5,0,2,2,1,4,2
12 - Ημαθίας,106 E.T. Δήμου Βέροιας,516,246,0,0,0,246,92,15,13,23,19,14,26,75,33,3,19,14,23,29,21,10,1,3,1,2,1,19,7,0,5,2,3,8,10,1,2,3,3,0,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,2,0,1,1,2,4,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,1,1,1,3,1,1,0,0,2,2
