ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΒΡΑΜΑΚΗΣ ΕΛΕΥΘΕΡΙΟΣ του Αντωνίου,ΑΝΘΟΥΛΑΚΗ ΚΑΦΕΝΙΑ του Αθανασίου,ΒΕΛΛΙΚΗ ΚΥΡΙΑΚΗ του Φιντία,ΔΕΜΕΡΤΖΗΣ ΜΙΧΑΗΛ του Αθανασίου,ΚΑΡΠΟΥΧΤΣΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ηλία,ΛΑΣΠΑΣ ΑΝΑΣΤΑΣΙΟΣ του Ευαγγέλου,ΣΤΑΜΠΟΥΛΗ ΑΦΡΟΔΙΤΗ του Αποστόλου,ΦΩΤΙΟΥ ΕΥΑΓΓΕΛΟΣ του Γεωργίου,Νέα Δημοκρατία,ΑΡΑΜΠΑΤΖΗ ΦΩΤΕΙΝΗ του Αθανασίου,ΓΚΟΛΕΜΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΚΑΡΑΜΑΝΛΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αχιλλέα,ΛΕΟΝΤΑΡΙΔΗΣ ΘΕΟΦΙΛΟΣ του Χρήστου,ΜΠΑΤΖΙΟΥ ΙΩΑΝΝΑ του Δημητρίου,ΜΠΙΤΖΙΔΟΥ ΣΟΦΙΑ του Αλέξανδρου,ΧΑΤΖΗΒΑΣΙΛΕΙΟΥ ΑΝΑΣΤΑΣΙΟΣ (ΤΑΣΟΣ) του Γεωργίου,ΧΙΩΤΗ ΑΝΔΡΟΜΑΧΗ του Βασιλείου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΡΒΑΝΙΤΗΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΙΩΑΝΝΟΥ ΑΓΓΕΛΟΣ του Γεωργίου,ΚΑΛΟΓΕΡΟΥΔΗ ΙΩΑΝΝΑ του Γεωργίου,ΠΑΝΤΑΖΗΣ ΓΕΩΡΓΙΟΣ του Χριστοδούλου,ΠΑΤΣΑΛΗ ΦΩΤΕΙΝΗ του Κυριάκου,ΤΣΩΤΣΟΣ ΙΩΑΝΝΗΣ του Πέτρου,Κίνημα Αλλαγής,ΓΚΙΟΥΡΑ ΒΑΣΙΛΙΚΗ του Παναγιώτη,ΙΧΤΣΗ ΑΝΔΡΟΜΑΧΗ του Δημητρίου,ΜΑΚΚΙΝΑΣ ΚΥΡΙΑΚΟΣ του Νικολάου,ΟΙΚΟΝΟΜΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΟΦΙΑΝΟΥ ΦΑΝΟΥΛΑ του Γεωργίου,ΤΖΕΛΕΠΗΣ ΜΙΧΑΗΛ του Γεωργίου,ΤΟΣΙΟΣ ΠΑΣΧΑΛΗΣ του Θωμά,ΤΣΕΡΒΙΣΤΑΣ ΜΙΧΑΗΛ του Ευαγγέλου,Κ.Κ.Ε.,ΑΓΓΕΛΑΚΗΣ ΧΡΗΣΤΟΣ του Αντωνίου,ΒΕΡΤΖΩΝΗΣ ΕΜΜΑΝΟΥΗΛ (ΜΑΝΟΣ) του Οδυσσέα,ΜΠΡΟΥΝΤΖΙΟΥ ΖΩΗ του Θεόδωρου,ΠΑΝΑΓΙΩΤΟΥ ΘΕΜΙΣΤΟΚΛΗΣ (ΘΕΜΗΣ) του Σταύρου,ΣΑΡΑΝΤΙΔΟΥ ΕΡΜΟΦΥΛΗ (ΦΙΛΙΩ) του Χαραλάμπους,ΣΠΕΝΤΖΟΥ ΕΥΘΥΜΙΑ (ΕΦΗ) του Γεωργίου,ΦΑΡΜΑΚΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,ΧΟΥΒΑΡΔΑΣ ΙΩΑΝΝΗΣ του Κυριάκου,Ένωση Κεντρώων,ΚΥΡΙΑΚΟΠΟΥΛΟΥ ΤΑΤΙΑΝΑ του Φωτίου,ΚΩΤΑΝΟΓΛΟΥ ΚΥΡΙΑΖΗΣ του Ιωάννη,ΜΠΟΥΡΑ ΕΥΘΥΜΙΑ του Σταυρογιάννη,ΝΙΚΟΛΑΟΥ ΣΟΦΙΑ του Σωτηρίου,ΤΡΙΑΝΤΑΦΥΛΛΙΔΗΣ ΝΙΚΟΛΑΟΣ του Γεωργίου,ΤΣΙΦΤΣΗΣ ΧΡΗΣΤΟΣ του Μιχαήλ,Ο.Κ.Δ.Ε.,ΣΜΥΡΛΗΣ ΙΩΑΝΝΗΣ του Αντωνίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΓΡΑΒΑΝΗ ΚΑΤΕΡΙΝΑ του Δημητρίου,ΓΡΗΓΟΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Αχιλλέα,ΣΤΟΪΛΙΔΗΣ ΘΕΟΔΩΡΟΣ (ΡΟΡΗΣ) του Ευαγγέλου,Ελλήνων Συνέλευσις,ΑΛΜΑΣΙΔΗΣ ΛΕΩΝΙΔΑΣ του Σπυρίδωνα,ΓΕΩΡΓΙΑΔΗΣ ΗΛΙΑΣ του Γεωργίου,ΖΑΓΓΕΛΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Θεοκλήτου,ΚΟΤΣΑΡΙΔΟΥ ΑΝΑΤΟΛΗ του Θωμά,ΝΑΟΥΜ ΣΟΥΛΤΑΝΑ του Στεργίου,ΤΖΙΝΤΖΙΟΣ ΣΤΕΡΓΙΟΣ του Ευαγγέλου,Ελληνική Λύση - Κ. Βελόπουλος,ΒΕΡΒΕΡΗ ΖΩΓΡΑΦΙΑ του Θεοχάρη,ΔΗΜΗΤΡΑΚΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Νικολάου,ΙΑΤΡΟΠΟΥΛΟΥ ΜΑΡΙΑ του Παρασκευά,ΜΠΑΔΕΚΑΣ ΕΥΑΓΓΕΛΟΣ του Δημητρίου,ΜΠΟΥΜΠΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ιωάννη,ΜΠΡΙΛΑΚΗ ΣΟΦΙΑ του Ευαγγέλου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΕΝΗ του Συμεών,ΣΤΡΕΙΔΟΥ ΠΑΣΧΑΛΙΑ του Αργυρίου,Κ.Κ.Ε. (μ-λ),ΖΑΧΑΡΙΚΟΥ ΔΗΜΗΤΡΑ του Ζαχαρία,ΠΑΥΛΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Θεοδώρου,Μ-Λ Κ.Κ.Ε.,ΜΠΑΤΑΓΙΑ ΑΡΓΥΡΩ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΒΑΝΙΤΑΚΗΣ ΑΠΟΣΤΟΛΟΣ του Παντελή,ΚΑΛΟΓΡΑΙΑΚΗ ΣΟΦΙΑ του Αθανασίου,ΜΑΥΡΟΜΑΤΗ ΑΓΑΘΩ του Θεοχάρη,ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΜΙΧΑΗΛ του Κωνσταντίνου,Λαϊκή Ενότητα,ΘΕΟΔΩΡΙΔΟΥ ΑΛΕΞΙΑ του Παντελή,ΠΑΠΑΪΩΑΝΝΟΥ ΣΤΑΥΡΟΣ του Γεωργίου,ΜέΡΑ25,ΑΓΙΑΝΝΙΔΟΥ ΧΡΙΣΤΙΑΝΑ του Χαραλάμπους,ΓΙΑΝΤΣΙΟΣ ΙΩΑΝΝΗΣ του Νικολάου,ΓΛΟΥΦΤΣΙΟΣ ΠΑΝΑΓΙΩΤΗΣ του Αναστασίου,ΔΑΓΚΟΥΛΗΣ ΧΡΗΣΤΟΣ του Αποστόλου,ΙΩΑΝΝΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ (ΚΩΣΤΗΣ) του Παύλου,ΛΙΟΥΤΑ ΙΩΑΝΝΑ του Δημητρίου,ΦΛΩΡΟΥ ΣΟΦΙΑ του Αριστείδη,Δημιουργία ξανά - Θ. Τζήμερος,ΚΟΥΦΟΚΩΤΣΙΟΣ ΜΑΛΑΜΑΣ του Δημητρίου,ΛΑΓΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Στυλιανού,ΜΟΥΡΛΙΟΥΚΑ ΓΕΩΡΓΙΑ του Αθανασίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΜΑΡΗΣ ΜΙΧΑΗΛ του Κωνσταντίνου
8 - Σερρών,352 E.T. Δήμου Σερρών,535,227,8,3,11,216,60,16,5,5,5,12,11,10,10,92,25,15,33,18,4,5,38,3,5,1,1,1,0,0,2,13,0,0,1,7,1,3,4,1,12,0,0,2,0,3,5,2,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,2,4,1,2,6,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,6,1,1,0,0,3,0,1,1,0,0,0,7,0
8 - Σερρών,353 E.T. Δήμου Σερρών,535,220,4,5,9,211,52,10,3,3,2,12,6,16,12,104,26,21,45,22,4,7,40,2,5,3,0,0,0,1,1,15,1,1,0,3,2,6,2,1,10,0,0,1,2,8,4,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,10,2,1,0,1,5,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,3,3,2,0,1,0,2,0,0,0,0,2,0
8 - Σερρών,354 E.T. Δήμου Σερρών,565,240,2,1,3,237,51,10,4,5,3,13,6,17,6,113,25,17,46,27,4,7,50,0,10,2,2,5,0,3,0,13,1,0,0,2,0,4,7,0,7,0,0,0,2,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,2,2,5,8,1,1,0,0,0,0,0,0,2,1,0,1,1,0,0,0,15,6,4,1,2,1,1,1,4,1,1,2,6,1
8 - Σερρών,355 E.T. Δήμου Σερρών,540,268,2,2,4,264,48,7,4,4,4,15,6,14,8,140,25,15,57,20,14,13,69,2,10,3,2,3,0,2,3,13,1,0,0,2,2,4,4,0,9,0,0,1,1,3,4,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,2,3,1,4,10,3,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,7,2,0,0,0,4,1,2,6,0,0,0,7,0
8 - Σερρών,356 E.T. Δήμου Σερρών,558,284,2,3,5,279,83,15,7,4,3,28,7,25,14,111,26,18,52,17,2,5,53,0,8,3,1,3,2,0,0,26,1,4,0,5,1,6,12,1,8,4,0,1,0,3,2,1,0,8,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,13,2,3,1,2,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,5,2,3,0,1,0,1,2,0,0,0,3,3
8 - Σερρών,357 E.T. Δήμου Σερρών,530,315,2,0,2,313,80,17,4,9,5,29,12,24,6,144,32,23,56,25,16,7,67,3,5,2,1,1,1,1,0,20,0,1,0,4,3,14,4,3,14,3,0,0,2,2,3,1,1,4,0,0,1,0,0,0,0,0,2,1,0,0,5,0,4,2,0,0,3,20,4,8,1,3,10,0,1,2,0,0,0,0,0,1,1,0,0,0,0,0,0,13,7,5,1,1,1,0,1,0,0,0,0,5,3
8 - Σερρών,358 E.T. Δήμου Σερρών,555,337,11,2,13,324,92,17,7,9,4,32,7,25,15,138,26,30,52,25,12,12,53,1,7,0,0,0,0,0,0,30,1,1,0,5,8,11,12,0,14,4,0,0,2,5,3,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,6,1,2,15,1,1,0,0,0,0,0,0,4,0,0,0,0,1,0,0,5,2,2,0,0,0,0,1,3,0,0,0,6,0
8 - Σερρών,359 E.T. Δήμου Σερρών,548,351,3,2,5,346,83,9,7,4,6,19,6,24,15,158,36,29,62,45,14,7,61,4,10,1,1,4,2,1,0,24,0,0,0,7,4,9,5,1,16,9,0,0,3,5,7,3,3,3,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,25,3,5,3,2,13,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2,4,2,2,2,0,3,8,0,0,0,6,0
8 - Σερρών,360 E.T. Δήμου Σερρών,546,278,4,3,7,271,74,11,5,11,2,16,9,20,12,126,28,18,51,22,17,6,46,2,4,3,1,1,0,1,0,22,1,1,0,1,3,7,9,1,6,1,0,0,1,1,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,14,1,5,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,5,0,1,0,1,1,1,2,0,0,0,5,0
8 - Σερρών,361 E.T. Δήμου Σερρών,551,308,7,3,10,298,81,25,5,2,6,24,5,23,16,159,78,25,66,35,15,5,72,3,5,0,0,0,0,0,0,14,0,0,0,2,3,7,4,1,2,0,0,0,0,0,1,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,2,2,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,9,1,2,2,0,0,2,0,3,0,0,0,5,0
8 - Σερρών,362 E.T. Δήμου Σερρών,562,301,7,1,8,293,79,13,1,5,4,18,12,25,19,144,37,30,66,22,4,11,67,0,5,0,0,0,0,0,0,20,0,1,0,5,3,5,6,0,8,1,0,1,0,3,1,0,3,4,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,18,1,2,1,2,11,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,6,1,3,1,0,0,0,2,3,0,0,0,0,0
8 - Σερρών,363 E.T. Δήμου Σερρών,556,350,9,5,14,336,90,21,3,6,3,28,20,21,18,151,34,28,70,18,4,13,72,3,12,1,6,3,2,2,2,23,1,2,0,1,1,12,4,0,6,0,0,0,0,2,2,0,3,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,24,1,3,4,6,7,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,13,4,3,2,1,0,1,1,2,0,0,0,5,0
8 - Σερρών,364 E.T. Δήμου Σερρών,565,343,7,3,10,333,89,14,3,14,5,25,9,25,11,150,24,19,54,43,8,19,57,1,8,0,0,0,0,0,0,23,3,2,0,9,3,9,11,0,14,2,0,0,1,9,2,4,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1,1,4,4,13,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,3,3,0,1,1,0,0,6,0,0,0,5,0
8 - Σερρών,365 E.T. Δήμου Σερρών,553,319,5,2,7,312,70,9,8,5,5,27,6,15,17,150,35,28,51,30,7,8,76,3,5,0,0,0,0,0,0,27,0,4,0,3,6,14,10,1,8,0,0,1,2,3,4,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,2,2,4,12,1,1,0,1,0,0,0,0,2,0,0,0,0,1,0,0,11,3,0,0,2,1,1,0,4,0,0,0,11,0
8 - Σερρών,366 E.T. Δήμου Σερρών,565,296,1,1,2,294,83,14,8,9,6,20,15,21,17,123,30,21,35,17,9,8,55,2,6,0,0,0,0,0,0,23,1,1,1,7,7,9,7,0,10,1,0,1,3,2,2,1,1,8,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,19,2,4,2,1,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3,1,0,0,0,2,1,1,0,0,0,7,0
8 - Σερρών,367 E.T. Δήμου Σερρών,551,331,7,6,13,318,92,18,4,3,8,26,13,27,15,148,27,34,58,19,10,16,60,5,3,0,0,0,0,0,0,25,1,0,0,2,5,17,8,0,16,1,0,0,7,3,5,1,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,12,3,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,7,2,0,1,0,1,1,1,0,0,0,0,8,0
8 - Σερρών,368 E.T. Δήμου Σερρών,539,341,1,0,1,340,74,11,9,2,5,16,18,17,16,171,39,28,64,28,16,6,72,4,6,2,0,1,0,0,0,20,0,0,0,2,3,7,7,0,12,1,0,0,1,4,2,1,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,26,3,6,2,2,13,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,14,3,2,0,0,1,1,3,5,0,0,0,6,0
8 - Σερρών,369 E.T. Δήμου Σερρών,542,284,2,2,4,280,61,9,3,3,5,16,5,23,11,140,25,34,53,27,7,11,56,6,3,0,0,0,0,0,0,18,2,0,0,3,3,6,7,2,9,2,0,0,1,3,2,1,1,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,20,2,5,2,1,10,0,1,1,1,0,0,1,0,2,0,0,0,0,1,0,0,11,1,2,2,2,3,1,8,1,0,0,0,2,0
8 - Σερρών,370 E.T. Δήμου Σερρών,531,319,1,3,4,315,69,15,10,7,3,17,2,27,18,154,31,30,71,37,12,6,57,5,4,3,0,2,0,1,0,22,0,1,0,6,2,7,6,0,12,0,0,2,2,3,3,1,0,8,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15,1,5,1,2,9,1,0,2,0,0,0,0,0,3,0,0,0,0,1,0,0,13,4,3,2,0,4,1,0,5,0,0,0,7,0
8 - Σερρών,371 E.T. Δήμου Σερρών,557,319,2,0,2,317,92,20,7,5,4,25,10,27,11,134,24,22,44,23,13,9,62,3,6,0,0,0,0,0,0,19,0,2,0,2,6,8,5,0,16,1,1,1,6,5,2,3,1,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14,1,3,1,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,12,3,2,0,1,0,1,3,2,0,0,0,9,0
8 - Σερρών,372 E.T. Δήμου Σερρών,551,320,4,1,5,315,60,11,1,5,7,16,5,23,14,153,30,31,66,39,8,13,61,0,8,2,1,1,2,3,1,20,1,0,1,6,2,10,5,0,12,0,0,0,2,2,0,6,2,2,0,1,0,0,1,0,0,0,4,3,0,2,1,0,0,0,0,0,1,26,3,5,5,3,11,5,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,13,7,3,1,1,0,0,1,4,0,1,1,11,3
8 - Σερρών,373 E.T. Δήμου Σερρών,540,306,8,2,10,296,60,11,5,5,1,13,11,15,10,149,27,26,54,36,13,9,71,2,9,2,1,0,1,2,1,16,0,1,0,5,1,7,3,1,18,3,0,0,1,3,3,2,5,6,1,1,2,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,18,1,5,4,3,6,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,11,3,4,3,1,2,2,0,2,1,0,1,5,3
8 - Σερρών,374 E.T. Δήμου Σερρών,476,301,0,3,3,298,62,12,4,0,6,20,12,15,6,184,96,34,89,22,25,5,35,7,6,0,0,0,0,0,0,13,1,0,1,5,0,7,2,0,9,1,1,1,5,2,1,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,1,1,0,6,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,3,0
8 - Σερρών,375 E.T. Δήμου Σερρών,369,223,3,2,5,218,68,10,6,3,7,20,18,20,19,86,20,31,29,13,11,5,32,2,3,1,0,0,2,0,0,20,3,1,0,8,3,8,5,1,13,1,1,0,9,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,5,5,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,2,1,0,0,0,2,0,0,0,1,0
8 - Σερρών,376 E.T. Δήμου Σερρών,418,255,5,3,8,247,68,24,7,2,5,11,17,17,8,103,31,24,43,20,8,13,30,1,5,0,0,0,0,0,0,21,2,1,3,9,3,9,2,2,14,1,1,2,4,5,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,17,3,4,0,2,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,3,0,1,2,3,3,2,0,0,0,2,0
8 - Σερρών,377 E.T. Δήμου Σερρών,392,255,2,1,3,252,64,14,2,4,4,16,10,22,8,129,31,27,68,25,8,8,38,5,7,0,0,0,0,0,0,20,2,1,0,4,3,7,6,1,4,0,0,1,0,1,2,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,1,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,4,1,0,1,1,1,4,0,0,0,3,0
8 - Σερρών,378 E.T. Δήμου Σερρών,363,235,2,1,3,232,59,19,0,3,2,14,12,10,7,115,49,21,58,16,9,3,28,1,3,0,0,0,0,0,0,20,0,1,0,1,3,9,11,2,4,0,0,0,1,1,2,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,13,2,1,2,3,5,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,1,1,1,0,1,3,0,0,0,1,0
8 - Σερρών,379 E.T. Δήμου Σερρών,309,182,0,0,0,182,60,7,5,4,4,30,4,6,3,75,21,10,37,14,2,5,14,4,7,1,1,1,1,0,0,5,0,0,0,0,1,2,1,1,4,0,0,2,0,0,2,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,20,2,4,0,1,14,0,1,4,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,2,1
8 - Σερρών,380 E.T. Δήμου Σερρών,288,162,3,0,3,159,40,6,2,3,2,14,5,7,2,75,18,7,40,9,13,9,15,2,3,2,0,0,0,0,0,12,0,1,0,1,0,6,1,3,6,0,0,1,0,0,5,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,11,1,2,0,1,6,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,1,0,1,0,0,2,0,0,0,1,0
8 - Σερρών,381 E.T. Δήμου Σερρών,310,179,1,0,1,178,40,12,3,2,2,6,5,11,9,87,37,12,33,23,6,1,20,4,2,1,0,0,0,0,0,33,0,2,0,8,3,14,9,2,2,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8,1,2,0,1,3,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0
8 - Σερρών,382 E.T. Δήμου Σερρών,310,184,0,0,0,184,42,8,5,2,5,5,4,9,7,82,36,8,34,18,3,1,17,3,8,1,0,4,0,0,0,23,0,0,0,8,0,16,6,1,1,0,0,1,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,4,3,4,3,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,1,1,1,0,1,0,0,0,0,0,0,0
8 - Σερρών,383 E.T. Δήμου Σερρών,384,217,2,0,2,215,46,9,4,4,5,16,2,7,10,90,22,7,42,30,22,5,29,8,4,1,3,0,0,0,1,46,1,0,0,33,0,20,3,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,4,3,5,1,9,0,2,1,0,0,0,0,0,1,1,1,0,0,0,0,0,4,1,0,0,1,0,0,0,1,0,0,0,3,0
8 - Σερρών,384 E.T. Δήμου Σερρών,525,287,6,0,6,281,52,21,2,4,5,13,10,11,7,123,26,21,56,29,8,3,47,3,14,3,1,4,2,2,1,45,1,0,0,11,9,31,4,8,3,2,0,0,0,1,1,1,1,6,2,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,25,4,3,7,2,9,0,3,1,0,0,0,0,0,2,0,1,0,0,0,0,0,8,2,1,1,0,0,1,2,0,0,0,0,1,1
8 - Σερρών,385 E.T. Δήμου Σερρών,507,280,3,1,4,276,46,11,3,4,2,10,11,11,7,143,31,32,71,39,5,6,51,1,8,2,4,3,1,0,0,32,1,1,1,14,3,18,11,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,2,0,0,25,4,5,7,1,12,1,1,0,1,0,0,0,0,4,2,2,1,1,0,0,0,10,3,2,1,1,0,0,2,1,0,0,0,1,1
8 - Σερρών,386 E.T. Δήμου Σερρών,511,295,3,0,3,292,52,18,6,7,4,15,8,13,4,133,30,40,66,24,11,7,47,2,14,5,1,4,3,4,2,51,2,2,1,11,5,40,8,4,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,24,7,4,8,4,11,1,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,4,2,1,1,0,0,0,0,0,0,0,4,0
8 - Σερρών,387 E.T. Δήμου Σερρών,356,207,4,0,4,203,44,9,6,1,2,7,22,13,3,108,48,22,33,15,16,3,36,6,9,2,0,3,2,1,0,11,0,0,0,5,3,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,20,4,7,0,3,12,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,0,0,0,2,0
8 - Σερρών,388 E.T. Δήμου Σερρών,346,186,1,1,2,184,21,4,3,1,3,5,2,9,5,104,26,21,42,44,5,9,43,1,8,2,0,0,0,2,0,18,2,1,0,7,0,11,2,3,5,1,0,0,3,0,0,3,0,1,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,15,2,3,1,2,8,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,2,0,0,0,1,0
8 - Σερρών,389 E.T. Δήμου Σερρών,282,140,1,1,2,138,18,7,2,6,0,1,1,4,1,70,28,11,34,8,1,0,17,4,7,0,0,0,0,0,0,20,1,0,0,17,3,9,4,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,3,4,0,7,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
8 - Σερρών,390 E.T. Δήμου Σερρών,402,277,5,2,7,270,60,17,8,1,7,14,1,17,7,123,28,15,44,49,7,2,29,6,18,0,0,0,0,0,0,21,0,1,1,2,2,12,4,3,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,5,3,1,6,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,19,3,10,0,1,2,1,2,2,0,0,0,2,0
8 - Σερρών,391 E.T. Δήμου Σερρών,315,165,0,4,4,161,27,6,3,2,4,8,3,4,1,86,37,7,32,5,38,0,24,0,18,0,0,0,0,0,0,5,0,0,0,1,0,5,0,0,2,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,2,4,1,4,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,5,0,3,2,0,1,0,0,3,0,0,0,1,0
