ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΔΡΑΚΟΝΤΑΕΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΚΑΤΩΠΟΔΗ ΖΩΗ (ΖΕΤΑ) του Αγγέλου,ΣΤΑΥΡΑΚΑ ΜΑΥΡΕΤΑ του Ιωάννη,Νέα Δημοκρατία,ΑΥΓΕΡΙΝΟΥ ΓΕΩΡΓΙΑ του Βησσαρίωνος,ΚΑΒΒΑΔΑΣ ΑΘΑΝΑΣΙΟΣ του Ιωάννη,ΚΑΤΩΠΟΔΗ ΑΡΓΥΡΗ του Γεωργίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΛΟΓΓΙΟΣ ΧΡΗΣΤΟΣ του Διονυσίου,Κίνημα Αλλαγής,ΚΩΝΣΤΑΝΤΙΝΙΔΗ - ΡΕΚΑΤΣΙΝΑ ΣΕΒΑΣΤΗ του Αλεξάνδρου,ΛΟΥΒΡΟΥ ΑΙΚΑΤΕΡΙΝΗ του Σπυροφάνη,ΡΑΠΤΗΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνος,Κ.Κ.Ε.,ΒΕΡΓΙΝΗΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,ΒΕΡΟΙΩΤΗΣ ΑΛΕΞΑΝΔΡΟΣ του Χρήστου,ΠΛΑ ΚΑΡΥΔΗ ΔΑΝΑΗ του Έκτορα - Ευγένιου,Ένωση Κεντρώων,ΓΑΛΛΟΥ ΠΑΝΑΓΙΩΤΑ του Αδάμ,ΛΟΥΚΑΣ ΙΩΑΝΝΗΣ του Γεωργίου,Ο.Κ.Δ.Ε.,ΓΟΥΤΑΣ ΒΑΣΙΛΕΙΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΣΤΑΥΡΟΥΛΑΚΗΣ ΑΝΑΡΓΥΡΟΣ του Μιχαήλ,ΦΕΡΕΝΤΙΝΟΥ ΑΝΑΣΤΑΣΙΑ (ΤΑΣΙΑ) του Μιχαήλ,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΣΤΗ ΚΑΛΛΙΟΠΗ του Ιωάννη,ΚΤΕΝΑΣ ΓΕΩΡΓΙΟΣ του Παντελή,Κ.Κ.Ε. (μ-λ),ΕΥΘΥΜΙΟΥ ΑΘΑΝΑΣΙΟΣ του Δημητρίου,Μ-Λ Κ.Κ.Ε.,ΜΑΚΡΙΔΗΣ ΙΩΑΝΝΗΣ του Χρήστου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΛΟΓΟΘΕΤΗ ΕΛΕΝΗ του Δημητρίου,Λαϊκή Ενότητα,ΠΑΠΑΔΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Λάμπρου,ΜέΡΑ25,ΧΑΡΚΙΟΛΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Παναγιώτη,Δημιουργία ξανά - Θ. Τζήμερος,ΤΣΙΚΑΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΒΛΑΧΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ευαγγέλου
27 - Λευκάδας,49 E.T. Δήμου Λευκάδας,550,338,23,3,26,312,88,31,19,15,138,10,86,33,3,1,38,11,6,16,15,4,3,3,5,2,1,0,0,3,1,1,3,2,1,0,0,1,0,0,0,3,0,7,2,3,0,5,2
27 - Λευκάδας,50 E.T. Δήμου Λευκάδας,530,314,2,3,5,309,90,25,31,15,144,13,93,31,4,0,26,5,1,18,23,5,11,3,2,0,1,0,0,1,0,0,4,0,3,0,0,0,0,2,1,0,0,8,2,1,1,4,1
27 - Λευκάδας,51 E.T. Δήμου Λευκάδας,527,335,9,3,12,323,100,34,25,19,163,24,84,51,5,1,29,4,3,18,6,0,2,1,1,1,0,0,0,3,1,0,4,3,0,0,0,0,0,0,0,2,2,3,1,2,1,5,0
27 - Λευκάδας,52 E.T. Δήμου Λευκάδας,524,296,2,2,4,292,99,47,16,22,122,12,87,17,3,1,22,3,3,12,22,6,7,1,2,1,0,0,0,2,0,0,2,0,0,0,0,0,0,1,0,0,0,9,4,2,1,6,3
27 - Λευκάδας,53 E.T. Δήμου Λευκάδας,521,298,0,1,1,297,99,24,29,22,108,8,70,21,10,6,43,14,2,20,8,1,2,1,3,0,1,0,0,1,0,0,5,0,1,0,0,0,0,3,2,1,0,12,4,0,0,4,4
27 - Λευκάδας,54 E.T. Δήμου Λευκάδας,520,340,5,1,6,334,106,26,42,16,144,13,93,29,8,2,34,7,2,20,17,7,1,3,4,1,1,0,0,2,0,0,2,1,1,0,0,1,0,1,0,1,0,7,3,4,2,3,2
27 - Λευκάδας,55 E.T. Δήμου Λευκάδας,546,323,4,2,6,317,99,31,22,30,141,12,83,40,6,2,27,7,4,11,23,4,6,4,2,1,0,0,0,2,0,1,3,0,1,1,0,0,0,0,0,1,1,8,7,3,2,1,0
27 - Λευκάδας,56 E.T. Δήμου Λευκάδας,559,315,4,4,8,307,85,25,14,20,137,23,78,0,7,1,21,5,3,10,23,0,4,7,1,0,0,0,0,3,1,0,8,0,4,1,0,0,0,1,0,3,2,11,3,3,0,3,0
27 - Λευκάδας,57 E.T. Δήμου Λευκάδας,537,296,6,4,10,286,81,30,17,20,130,16,94,12,3,1,24,4,2,18,23,5,6,5,2,1,0,0,0,2,0,0,6,1,1,0,0,0,0,2,1,1,0,8,4,3,1,1,0
27 - Λευκάδας,58 E.T. Δήμου Λευκάδας,531,292,6,4,10,282,75,20,19,15,141,13,84,33,3,0,17,5,1,10,16,2,5,2,0,0,0,0,0,2,0,1,5,0,4,0,0,0,0,1,0,1,1,15,6,4,2,2,0
27 - Λευκάδας,59 E.T. Δήμου Λευκάδας,569,296,5,1,6,290,85,41,9,23,123,6,73,30,6,1,23,4,1,12,18,3,6,5,1,0,0,0,0,3,1,0,7,2,4,0,0,0,0,0,0,6,5,10,4,3,1,5,1
27 - Λευκάδας,60 E.T. Δήμου Λευκάδας,532,292,6,1,7,285,104,44,17,25,118,11,70,32,3,0,30,6,1,19,10,5,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,7,2,1,1,9,2
27 - Λευκάδας,61 E.T. Δήμου Λευκάδας,568,309,6,2,8,301,94,34,25,16,133,8,92,25,9,9,25,5,1,14,21,3,8,1,2,1,0,0,0,0,0,0,4,0,3,0,0,0,0,1,1,2,2,7,7,3,3,0,0
27 - Λευκάδας,62 E.T. Δήμου Λευκάδας,562,303,1,1,2,301,66,21,19,13,159,24,89,36,4,0,32,5,6,18,10,0,2,3,3,2,0,1,0,2,1,0,5,2,3,0,0,0,0,1,0,4,1,9,4,2,1,3,1
