ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΑΓΑΘΟΠΟΥΛΟΥ ΕΙΡΗΝΗ-ΕΛΕΝΗ του Δημητρίου,ΚΑΠΝΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη,ΠΕΡΠΕΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΦΟΥΡΑΣ ΠΕΤΡΟΣ του Γεωργίου,ΨΑΡΡΑ ΣΟΦΙΑ του Θεοδώρου,Νέα Δημοκρατία,ΑΝΑΝΙΑΔΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Σολομώντος,ΓΕΩΡΓΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΚΙΛΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΞΟΠΛΙΔΟΥ ΑΜΑΛΙΑ του Δημητρίου,ΣΑΧΠΕΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΗΛΙΑΔΟΥ ΧΡΙΣΤΙΝΑ (ΜΠΑΚΑ) του Γεωργίου,ΚΑΛΟΜΟΙΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γρηγορίου,ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ (ΤΟΝΗΣ) του Σάββα,ΠΑΠΑΔΟΠΟΥΛΟΥ ΧΡΥΣΗ του Μωϋσή ,ΧΑΤΖΗΣΑΒΒΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου,Κίνημα Αλλαγής,ΑΝΑΣΤΑΣΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,ΜΠΑΝΤΡΑ ΚΑΛΙΡΟΗ του Κωνσταντίνου,ΠΑΡΑΣΤΑΤΙΔΗΣ ΣΤΕΦΑΝΟΣ του Θεοδώρου,ΣΤΕΦΑΝΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Ιωάννη,ΦΡΑΓΓΙΔΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου,Κ.Κ.Ε.,ΑΛΤΙΠΑΡΜΑΚΙΔΟΥ ΜΑΡΙΑ (ΡΙΑ) του Μιλτιάδη,ΣΙΔΗΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΤΣΑΟΥΣΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Λαζάρου,ΦΑΧΟΥΡΙΔΗΣ ΙΩΑΝΝΗΣ του Αριστοτέλη,ΧΑΤΖΗ ΕΙΡΗΝΗ του Αρέθα,Ένωση Κεντρώων,ΑΝΔΡΙΩΤΗ ΕΥΣΤΡΑΤΙΑ του Γαβριήλ,ΕΛΕΥΘΕΡΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου,ΝΙΚΟΛΑΟΥ ΧΡΗΣΤΟΣ του Χαράλαμπου,Ο.Κ.Δ.Ε.,ΚΑΖΑΝΤΖΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΑΛΓΑΡΙΝΟΥ ΒΑΣΙΛΙΚΗ του Νικολάου,Ελλήνων Συνέλευσις,ΒΑΡΥΤΙΜΙΔΗΣ ΘΕΟΦΙΛΟΣ του Σάββα,ΜΑΚΕΝΑΤΖΗ ΜΑΡΓΑΡΙΤΑ του Ιωσήφ,ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΣΑΦΑΡΙΔΟΥ ΖΩΓΙΑ του Γεωργίου,ΣΥΓΚΟΥ ΜΑΛΑΜΑΤΗ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΓΕΩΡΓΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου,ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου,ΣΑΒΒΙΔΟΥ ΠΑΡΘΕΝΑ του Ιωάννη,ΤΣΑΝΤΗΛΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου,Κ.Κ.Ε. (μ-λ),ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΟΣ του Ηλία,Μ-Λ Κ.Κ.Ε.,ΖΑΧΑΡΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Ευαγγέλου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΔΗΜΟΛΑΪΔΗΣ ΟΔΥΣΣΕΥΣ του Θεοδώρου,ΜΟΥΡΑΤΙΔΟΥ ΜΑΡΙΑ του Παναγιώτη,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σταύρου,Λαϊκή Ενότητα,ΚΟΥΛΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου,ΜΠΙΜΠΑΣΗΣ ΧΡΗΣΤΟΣ του Γεωργίου,ΣΑΜΑΡΑ ΑΡΙΑΔΝΗ του Στεφάνου,ΜέΡΑ25,ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Αλεξίου,ΚΑΣΚΑΡΙΔΟΥ ΜΑΡΙΑ του ΟΔΥΣΣΕΑ,ΚΩΤΣΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου,ΣΠΥΡΛΙΑΔΟΥ ΣΟΦΙΑ του Νικολάου,Δημιουργία ξανά - Θ. Τζήμερος,ΚΑΡΑΚΑΤΣΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου,ΜΠΡΟΒΑΣ ΤΗΛΕΜΑΧΟΣ του Αθανασίου,ΠΑΠΑΡΙΖΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΡΑΦΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου
10 - Κιλκίς,20 E.T. Δήμου Κιλκίς,413,226,2,2,4,222,56,13,3,15,14,5,94,29,24,14,5,18,5,0,0,2,0,3,20,4,0,10,3,3,21,2,0,1,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,16,7,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,5,3,1,0,0,0,0,0,0,1,0
10 - Κιλκίς,21 E.T. Δήμου Κιλκίς,397,222,0,1,1,221,62,14,2,28,8,6,98,16,45,12,6,13,9,1,0,0,1,3,25,6,0,9,1,8,2,0,0,0,1,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,12,5,0,1,0,1,1,0,0,2,0,0,0,0,0,0,0,3,2,0,1,0,0,0,0,0,5,1
10 - Κιλκίς,22 E.T. Δήμου Κιλκίς,397,226,3,0,3,223,66,15,2,7,25,2,66,12,19,10,1,11,6,0,0,0,2,1,32,0,0,22,0,9,26,2,0,1,21,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,12,3,0,4,3,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,3,0,0,0,0,4,0
10 - Κιλκίς,23 E.T. Δήμου Κιλκίς,487,261,1,0,1,260,67,12,1,33,14,7,104,24,49,8,1,13,9,1,0,2,2,2,41,2,1,18,1,18,17,1,1,1,11,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,10,3,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,1,0,0,0,4,3
10 - Κιλκίς,24 E.T. Δήμου Κιλκίς,403,198,1,0,1,197,59,11,1,9,25,0,76,1,19,27,0,24,4,1,0,0,0,3,13,0,0,10,1,2,30,9,2,13,5,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
10 - Κιλκίς,25 E.T. Δήμου Κιλκίς,420,224,1,1,2,222,54,9,5,8,8,6,111,25,21,28,3,24,5,1,0,1,0,1,18,3,0,7,2,4,15,1,2,0,9,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,10,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,1,0,0,0,0,0
10 - Κιλκίς,26 E.T. Δήμου Κιλκίς,431,267,2,0,2,265,67,18,3,7,12,7,93,20,45,16,1,8,11,2,0,3,0,4,32,4,0,10,0,8,16,2,0,0,7,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,0,7,0,0,0,0,0,2,0,0,0,0,0,0,0,11,1,2,1,0,2,0,0,0,2,0
10 - Κιλκίς,27 E.T. Δήμου Κιλκίς,516,259,1,1,2,257,57,28,4,8,5,3,122,20,42,30,9,10,12,0,0,0,1,7,21,2,0,9,0,1,17,2,1,0,9,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,3,0,0,0,1,0,1,0,0,0,0,0,0,0,6,2,0,0,0,2,0,0,0,7,0
10 - Κιλκίς,28 E.T. Δήμου Κιλκίς,527,293,10,1,11,282,74,32,6,12,10,4,108,13,39,30,5,7,6,1,0,1,0,3,45,6,0,17,0,18,9,0,2,0,4,0,7,0,0,0,0,0,0,0,3,0,0,0,0,0,9,3,0,1,0,0,0,0,0,2,0,0,0,4,0,0,0,8,1,0,1,3,3,0,0,0,4,0
10 - Κιλκίς,29 E.T. Δήμου Κιλκίς,510,307,5,2,7,300,64,30,3,5,10,3,113,5,44,29,7,18,14,1,1,0,0,9,36,6,0,7,1,21,23,4,0,1,9,2,8,4,3,0,0,0,1,0,3,0,0,0,3,0,10,6,1,1,0,0,0,0,0,2,0,1,0,1,0,0,0,14,3,1,3,2,5,0,2,2,6,3
10 - Κιλκίς,30 E.T. Δήμου Κιλκίς,519,270,4,2,6,264,73,34,2,13,6,4,100,12,36,28,7,17,8,1,0,0,0,5,32,0,0,21,0,10,12,1,1,0,3,1,5,2,0,0,0,0,3,2,2,0,0,0,1,0,8,6,0,2,0,1,1,4,3,2,0,0,1,0,0,0,0,8,1,0,2,2,2,0,0,1,4,3
10 - Κιλκίς,31 E.T. Δήμου Κιλκίς,508,338,9,1,10,328,62,33,4,5,4,4,138,17,49,32,5,21,24,2,2,1,1,13,55,3,0,17,1,33,7,0,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,15,7,2,0,1,0,0,0,0,1,0,0,0,1,0,1,0,12,0,2,4,0,5,1,0,1,5,3
10 - Κιλκίς,32 E.T. Δήμου Κιλκίς,531,253,2,1,3,250,71,22,3,10,13,11,97,8,46,20,6,13,15,0,0,1,1,7,18,2,0,5,1,9,12,1,0,0,7,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,14,7,2,4,0,0,0,0,0,3,0,0,0,1,0,0,0,8,0,2,2,2,1,0,0,0,7,0
10 - Κιλκίς,33 E.T. Δήμου Κιλκίς,514,265,3,3,6,259,64,20,2,6,19,5,99,11,44,21,10,6,9,0,1,3,0,4,40,11,0,14,0,13,16,1,0,0,11,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,9,6,0,1,1,1,0,0,0,2,0,1,1,2,0,1,0,8,0,1,3,2,0,0,0,0,2,0
10 - Κιλκίς,34 E.T. Δήμου Κιλκίς,507,252,4,1,5,247,82,35,8,14,12,5,70,7,32,16,5,5,17,2,0,1,1,10,26,5,0,3,1,16,6,1,1,0,3,0,6,3,2,1,0,0,5,5,4,0,0,2,2,0,8,4,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,10,4,1,2,0,4,1,2,1,6,3
10 - Κιλκίς,35 E.T. Δήμου Κιλκίς,504,251,0,1,1,250,74,25,8,17,15,3,88,6,47,15,8,4,7,0,0,0,0,4,24,2,0,11,0,11,14,3,0,1,5,1,7,2,1,1,0,0,1,0,1,0,0,0,1,0,15,2,0,8,0,0,0,0,0,8,0,7,0,0,0,0,0,10,2,2,1,0,0,0,0,0,1,0
10 - Κιλκίς,36 E.T. Δήμου Κιλκίς,532,316,0,0,0,316,79,36,5,13,15,4,123,17,47,33,7,13,11,2,0,3,1,4,40,1,0,20,1,17,20,1,2,2,9,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,17,6,2,3,1,1,0,0,0,0,0,0,0,0,0,0,0,10,1,2,2,2,4,0,0,0,6,0
