ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΟΥΤΣΗΣ ΙΩΑΝΝΗΣ του Αποστόλου,ΘΕΛΕΡΙΤΗ ΜΑΡΙΑ του Παναγιώτη,ΠΕΤΡΟΥ ΠΑΝΑΓΙΩΤΗΣ του Κωνσταντίνου,ΤΣΟΓΚΑΣ ΓΕΩΡΓΙΟΣ του Παύλου,ΦΙΛΙΠΠΑΚΗ ΣΟΦΙΑ του Ανδρέα,ΨΥΧΟΓΙΟΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,Νέα Δημοκρατία,ΑΝΑΓΝΩΣΤΑΡΑ ΣΟΦΙΑ του Παναγιώτη,ΔΗΜΑΣ ΧΡΙΣΤΟΣ του Σταύρου,ΚΟΛΛΙΑΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ταξιάρχου,ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΜΑΡΙΑ του Ιωάννη,ΣΟΥΚΟΥΛΗ-ΒΙΛΙΑΛΗ ΜΑΡΙΑ ΕΛΕΝΗ (ΜΑΡΙΛΕΝΑ) του Δημητρίου,ΤΑΓΑΡΑΣ ΝΙΚΟΛΑΟΣ του Χρήστου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΑΛΕΞΑΝΔΡΑΚΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Εμμανουήλ,ΑΡΓΥΡΟΠΟΥΛΟΥ ΣΟΦΙΑ του Δημητρίου,ΜΑΡΚΕΛΛΟΣ ΣΤΥΛΙΑΝΟΣ του Αναστασίου,ΣΕΪΤΑΝΙΔΗΣ ΣΤΥΛΙΑΝΟΣ του Γεωργίου,ΤΣΙΟΓΚΑ ΠΑΡΑΣΚΕΥΗ του Αθανασίου,Κίνημα Αλλαγής,ΑΝΔΡΕΟΥ ΙΩΑΝΝΗΣ του Δημητρίου,ΓΚΙΛΙΤΣΗΣ ΧΡΗΣΤΟΣ του Νικολάου,ΔΗΜΑ ΜΑΡΓΑΡΙΤΑ του Νικολάου,ΣΠΑΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Ανέστη,ΦΑΡΜΑΚΗ-ΓΚΕΚΗ ΑΙΚΑΤΕΡΙΝΗ του Γεωργίου,ΧΑΝΙΑΣ ΝΙΚΟΛΑΟΣ του Ηλία,Κ.Κ.Ε.,ΑΛΩΝΙΣΤΙΩΤΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Αντωνίου,ΚΑΖΑΚΟΠΟΥΛΟΥ ΑΝΘΙΠΠΗ του Αργυρίου,ΚΕΛΛΑΡΗΣ ΙΩΑΝΝΗΣ του Γερασίμου,ΛΑΜΠΑΣ ΓΕΩΡΓΙΟΣ του Κωνσταντίνου,ΜΠΟΖΝΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΤΖΕΚΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΙΒΗ) του Δημητρίου,Ένωση Κεντρώων,ΜΑΡΑ ΑΝΝΑ του Νίκο,ΜΠΟΥΛΟΓΕΩΡΓΟΣ ΑΘΑΝΑΣΙΟΣ του Αριστείδη,ΤΟΜΑΡΑΣ ΑΘΑΝΑΣΙΟΣ του Μιλτιάδη,Ο.Κ.Δ.Ε.,ΕΡΗΜΑΚΗ ΑΝΑΣΤΑΣΙΑ του Βλασίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΧΑΡΙΛΑΟΣ του Παναγή,Ελλήνων Συνέλευσις,ΑΝΑΓΝΩΣΤΟΠΟΥΛΟΣ ΗΛΙΑΣ του Νικολάου,ΚΑΝΕΛΛΟΥ ΕΙΡΗΝΗ του Ηλία,ΜΑΛΛΙΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Χρήστου,ΜΠΑΡΛΑΜΠΑ ΕΛΕΝΗ του Κωνσταντίνου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΒΑΛΣΑΜΗ ΗΛΙΑΝΑ του Παύλου,Ελληνική Λύση - Κ. Βελόπουλος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΥ ΕΛΕΝΗ του Βασιλείου,ΚΑΛΑΡΑΣ ΙΩΑΝΝΗΣ του Αθανασίου,ΚΕΛΛΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Αναστασίου,ΜΑΥΡΙΑΣ ΜΑΡΚΟΣ του Παναγιώτη,ΜΙΧΑΗΛΙΔΟΥ ΜΑΡΓΑΡΙΤΑ του Ιωάννη,ΠΑΠΑΧΡΗΣΤΟΥ ΜΙΧΑΗΛ του Ιωάννη,Κ.Κ.Ε. (μ-λ),ΚΑΜΑΡΕΤΣΟΥ ΜΑΡΙΑΝΑ του Λουδοβίκου,ΣΠΥΡΟΠΟΥΛΟΣ ΓΕΩΡΓΙΟΣ του Σπυρίδωνα,Μ-Λ Κ.Κ.Ε.,ΣΠΥΡΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ του Παναγιώτη,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΑΡΕΤΑΣ ΑΘΑΝΑΣΙΟΣ του Φωτίου,ΓΙΑΚΙΜΤΣΟΥΚΗΣ ΕΥΑΓΓΕΛΟΣ του Αθανασίου,ΚΑΛΛΙΑΝΙΩΤΗ ΠΕΤΡΟΥΛΑ του Γεωργίου,ΚΑΤΕΜΗ ΕΥΑΓΓΕΛΙΑ (ΛΙΤΣΑ) του Δημητρίου,Λαϊκή Ενότητα,ΡΙΣΚΑ ΜΑΡΙΑΝΘΗ (ΜΑΙΡΗ) του Δημητρίου,ΤΣΑΚΟΥΜΑΓΚΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Αντωνίου,ΤΣΟΥΚΑΛΑΣ ΔΗΜΗΤΡΙΟΣ του Κωνσταντίνου,ΜέΡΑ25,ΒΑΣΙΛΑΚΟΠΟΥΛΟΣ ΘΕΟΔΩΡΟΣ του Βασιλείου,ΒΟΥΖΟΥΝΑΡΑΣ ΔΗΜΗΤΡΙΟΣ του Μιλτιάδου,ΔΗΜΗΤΡΙΑΔΗ ΜΑΡΙΑ του Αναστασίου,ΚΑΝΕΛΛΟΠΟΥΛΟΣ ΑΛΕΞΑΝΔΡΟΣ (ΑΛΕΚΟΣ) του Δημητρίου,ΚΥΡΙΑΖΟΠΟΥΛΟΣ ΧΡΗΣΤΟΣ του Σωτηρίου,ΠΑΠΑΔΟΠΟΥΛΟΥ ΕΛΠΙΝΙΚΗ του Χαράλαμπου,Δημιουργία ξανά - Θ. Τζήμερος,ΑΝΑΣΤΑΣΟΠΟΥΛΟΣ ΒΑΣΙΛΕΙΟΣ του Αναστασίου,ΚΑΨΟΥΡΟΥ ΜΑΡΙΑ του Ιωάννη,ΚΩΝΣΤΑΝΤΟΠΟΥΛΟΥ ΓΕΩΡΓΙΑ του Παναγιώτη,ΣΤΑΜΟΥ ΣΠΥΡΙΔΩΝ του Δημητρίου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΘΑΝΟΠΟΥΛΟΥ ΔΕΣΠΟΙΝΑ του Αθανασίου,Ανεξάρτητοι Υποψήφιοι,ΘΕΟΔΟΣΙΑΔΗΣ ΒΑΣΙΛΕΙΟΣ του Μιλτιάδη
43 - Κορινθίας,120 E.T. Δήμου Κορινθίων,450,303,0,0,0,303,97,14,25,14,26,16,22,129,20,41,51,5,50,42,11,3,4,3,2,1,23,7,9,4,1,11,4,9,3,1,0,0,1,3,2,0,0,0,0,0,1,0,2,2,1,1,0,0,0,16,10,2,1,2,7,1,0,0,0,0,0,2,1,0,0,1,0,0,0,0,5,1,2,0,0,1,0,1,0,1,1,0,5,3,0,0
43 - Κορινθίας,121 E.T. Δήμου Κορινθίων,471,288,0,1,1,287,69,17,13,8,20,15,10,144,22,64,33,26,61,28,15,1,3,8,5,3,15,5,4,6,0,8,0,9,1,0,1,0,1,6,1,1,0,0,0,0,2,1,1,0,0,0,0,0,0,14,3,2,2,1,4,2,0,0,0,0,0,2,1,0,2,0,0,0,0,0,10,2,0,3,2,1,1,1,0,0,0,0,4,2,0,0
43 - Κορινθίας,122 E.T. Δήμου Κορινθίων,283,213,4,0,4,209,58,15,15,2,16,10,13,92,10,35,23,10,27,40,12,7,0,6,1,0,19,5,2,2,3,11,0,7,2,3,0,1,0,4,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,7,2,1,0,0,1,3,0,0,0,0,0,2,0,0,0,0,1,0,0,0,5,2,1,1,0,0,0,1,0,0,0,0,3,1,0,0
43 - Κορινθίας,123 E.T. Δήμου Κορινθίων,537,316,2,1,3,313,59,10,12,4,19,3,11,190,23,87,52,29,128,34,16,2,2,11,0,1,30,11,20,2,4,18,5,1,0,0,1,0,0,0,2,2,0,1,0,0,1,1,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,0,2,0,0,1,0,0,0,0,0,1,0,0,0
43 - Κορινθίας,124 E.T. Δήμου Κορινθίων,385,248,8,1,9,239,78,8,27,7,32,22,10,124,16,48,25,30,26,49,4,0,1,3,0,2,12,2,2,2,0,11,1,4,1,2,0,0,0,3,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,6,4,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,0,2,0,0,1,0,0,1,0,0,0,0,0,4,0,0,0
43 - Κορινθίας,125 E.T. Δήμου Κορινθίων,500,289,1,1,2,287,80,11,8,5,41,6,20,132,12,64,32,8,34,57,24,2,2,19,4,3,13,1,6,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,5,7,3,0,1,0,1,0,0,0,0,3,0,0,1,1,2,1,1,0,10,2,0,4,0,1,3,1,0,0,0,0,1,1,1,1
43 - Κορινθίας,126 E.T. Δήμου Κορινθίων,520,300,2,0,2,298,86,18,23,14,29,18,17,123,11,57,33,20,35,44,38,4,7,26,3,5,14,7,9,1,1,5,0,3,1,1,0,0,0,0,2,2,1,1,0,0,1,1,0,0,0,0,0,0,0,14,7,3,1,1,3,2,0,0,0,0,0,1,0,0,0,0,4,1,0,1,6,3,0,3,0,0,1,2,0,0,1,1,3,3,1,0
43 - Κορινθίας,127 E.T. Δήμου Κορινθίων,510,251,5,2,7,244,89,12,24,19,32,12,12,104,25,41,28,7,25,30,17,4,3,13,4,1,5,1,1,1,1,4,0,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,3,2,3,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,2,0,1,0,0,0,0,0,4,2,0,0
43 - Κορινθίας,128 E.T. Δήμου Κορινθίων,514,277,3,1,4,273,87,9,18,8,39,11,28,115,11,57,40,3,33,47,21,1,2,17,0,2,22,7,9,3,3,8,2,5,1,1,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,8,5,3,1,0,4,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,2,2,0,0,0,1,1,0,0,0,0,5,1,0,0
43 - Κορινθίας,129 E.T. Δήμου Κορινθίων,268,162,0,4,4,158,41,12,6,2,8,4,6,74,8,33,20,6,22,29,5,4,0,5,0,0,12,1,8,0,0,3,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,3,1,2,0,0,0,0,11,8,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
43 - Κορινθίας,130 E.T. Δήμου Κορινθίων,400,252,6,2,8,244,49,24,7,6,8,1,15,147,19,80,66,27,24,43,15,0,1,12,0,0,9,1,3,1,2,3,4,4,1,1,0,0,1,1,3,0,0,0,0,0,0,0,2,1,2,0,0,0,0,4,2,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,1,2,1,1,0,0,2,2,0,0
43 - Κορινθίας,131 E.T. Δήμου Κορινθίων,400,264,2,0,2,262,64,40,9,10,11,4,16,125,20,53,53,19,20,52,7,2,1,6,1,0,33,0,27,4,13,3,6,2,1,0,0,0,0,1,3,1,0,1,1,1,0,0,2,1,1,0,2,0,0,11,1,5,0,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,3,1,1,2,1,1,0,1,0,3,1,0,0
43 - Κορινθίας,132 E.T. Δήμου Κορινθίων,411,263,0,2,2,261,58,31,10,11,9,4,16,166,14,79,51,32,45,83,4,0,0,3,1,0,20,2,11,1,6,4,3,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,0,1,0,0,1,1,0,0,0,0,4,4,0,0
43 - Κορινθίας,133 E.T. Δήμου Κορινθίων,400,238,1,0,1,237,68,12,17,2,23,14,14,93,11,58,19,7,15,25,12,2,2,7,2,1,22,3,14,4,2,3,4,4,2,0,0,0,0,3,4,2,0,1,0,0,1,1,7,2,7,0,0,0,0,13,4,8,1,0,4,1,0,0,0,0,0,3,0,0,2,2,0,0,0,0,7,1,1,1,1,1,1,1,1,0,1,0,2,1,0,0
43 - Κορινθίας,134 E.T. Δήμου Κορινθίων,393,262,3,0,3,259,49,14,6,5,14,7,11,124,11,87,26,8,16,48,13,0,8,6,0,3,30,5,14,3,1,8,2,12,3,1,0,0,0,5,0,0,0,0,0,0,2,2,1,0,1,0,0,0,0,15,1,8,0,0,1,2,2,1,0,0,0,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,6,5,0,0
43 - Κορινθίας,135 E.T. Δήμου Κορινθίων,320,229,0,1,1,228,39,0,10,13,3,8,14,138,20,65,53,18,31,43,12,5,1,11,0,1,23,8,10,2,1,7,8,4,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,2,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,1,2,0,0,0,0,0,2,1,0,0
43 - Κορινθίας,136 E.T. Δήμου Κορινθίων,321,216,3,1,4,212,53,4,10,15,8,6,14,123,13,48,43,8,34,63,5,1,0,2,0,0,19,3,7,4,2,8,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,1,1,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,3,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0
43 - Κορινθίας,137 E.T. Δήμου Κορινθίων,427,213,0,2,2,211,68,17,12,1,25,2,23,83,9,56,31,9,16,17,7,2,1,1,1,2,30,7,16,0,0,8,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,10,4,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,1,0,0,0,3,2,0,2,1,4,1,0,0
43 - Κορινθίας,138 E.T. Δήμου Κορινθίων,420,300,1,1,2,298,72,13,17,1,16,11,21,152,8,68,33,13,18,107,11,6,3,6,0,0,27,6,8,3,10,8,6,4,0,2,1,1,0,1,5,1,0,0,0,0,0,0,9,1,8,0,0,0,0,6,1,0,1,0,0,2,0,0,0,0,0,3,2,0,0,2,0,0,0,0,4,2,0,1,0,0,2,0,0,0,0,0,5,3,0,0
43 - Κορινθίας,139 E.T. Δήμου Κορινθίων,430,300,2,2,4,296,48,11,6,3,14,8,10,150,8,58,35,11,40,89,15,2,2,9,6,2,22,6,5,0,0,5,4,5,1,3,0,0,0,2,6,2,1,0,0,0,0,0,25,5,25,0,0,0,0,5,2,0,1,1,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,9,3,0,6,1,0,0,5,3,1,0,3,3,3,0,0
43 - Κορινθίας,140 E.T. Δήμου Κορινθίων,420,261,1,2,3,258,56,7,17,0,11,6,13,127,7,57,36,14,21,71,5,1,0,4,0,0,35,3,15,5,7,8,9,4,1,0,1,2,0,1,2,1,0,0,0,0,1,1,9,0,9,0,1,0,0,8,2,6,0,0,0,2,1,1,1,0,0,1,1,0,0,1,0,0,0,0,6,1,1,1,0,0,0,1,0,1,0,1,2,0,0,0
43 - Κορινθίας,141 E.T. Δήμου Κορινθίων,435,313,2,4,6,307,68,13,16,4,20,8,17,150,14,67,42,13,20,119,13,3,0,13,1,0,15,8,9,1,0,3,4,11,1,1,1,1,0,2,1,1,1,0,0,0,1,1,11,0,11,2,1,0,0,18,5,3,1,1,3,2,0,0,0,0,0,1,1,0,0,0,1,1,1,0,7,3,0,2,0,0,2,2,1,0,1,0,8,3,0,0
43 - Κορινθίας,143 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,500,315,25,0,25,290,130,20,23,60,6,12,38,85,23,43,9,13,21,21,9,3,2,3,3,0,25,8,7,3,0,15,0,11,2,2,1,3,3,1,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,11,4,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,4,4,0,0,0,2,0,0,0,1,8,4,0,0
43 - Κορινθίας,144 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,500,281,4,2,6,275,93,14,14,50,10,13,27,105,19,49,18,6,28,35,6,3,1,1,1,1,11,8,2,4,1,6,0,25,4,5,0,6,7,7,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,10,5,0,2,0,4,3,1,0,0,0,0,3,2,2,1,0,1,0,0,0,12,2,7,1,0,0,3,2,0,0,1,2,5,3,0,0
43 - Κορινθίας,145 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,500,356,7,1,8,348,134,16,32,64,9,23,4,122,27,73,30,17,17,33,8,5,1,5,0,0,17,6,8,1,1,11,0,14,1,0,1,6,6,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,25,10,8,5,1,12,2,1,0,0,0,0,1,0,0,1,1,1,1,0,1,12,1,5,7,2,0,4,2,1,1,0,2,9,6,0,0
43 - Κορινθίας,146 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,500,326,5,0,5,321,118,19,26,65,12,10,33,103,21,60,22,10,23,26,13,3,5,4,1,1,24,12,12,4,4,8,0,19,2,0,1,7,9,5,6,3,1,1,0,0,1,0,0,0,0,0,0,0,0,12,7,1,2,2,1,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,7,2,0,1,1,1,2,9,1,0,0,8,7,3,0,0
43 - Κορινθίας,147 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,500,321,4,0,4,317,126,6,30,56,14,15,39,83,20,44,20,10,17,21,12,6,5,2,2,1,13,7,3,5,1,5,0,27,5,3,2,7,10,4,6,2,5,3,0,0,0,0,0,0,0,0,0,1,0,23,12,4,0,5,10,2,1,1,1,0,0,4,0,1,1,2,2,1,0,1,11,1,6,5,0,0,2,4,0,0,0,2,4,2,0,0
43 - Κορινθίας,148 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,500,340,4,0,4,336,143,19,17,64,17,14,48,105,16,58,23,7,12,40,14,3,3,6,0,4,15,4,5,4,3,4,0,12,1,2,0,4,4,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,18,6,4,1,2,7,2,0,0,0,0,0,2,1,1,1,1,0,0,0,0,8,0,5,6,0,0,0,10,1,1,1,9,7,5,0,0
43 - Κορινθίας,149 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,530,358,3,3,6,352,116,10,23,70,10,19,32,133,25,75,33,9,29,49,12,1,1,5,1,1,15,4,5,0,3,8,0,23,4,3,1,6,5,4,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,13,3,2,1,1,2,1,0,0,0,1,0,3,3,1,2,0,0,0,0,0,14,4,8,4,1,0,1,17,1,0,0,17,2,0,0,0
43 - Κορινθίας,150 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,520,360,5,2,7,353,129,18,22,57,0,0,0,120,23,61,23,0,26,37,11,5,4,4,2,2,17,4,3,0,2,4,2,25,5,4,2,12,13,6,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,13,6,2,1,0,2,2,0,0,0,0,0,1,1,0,1,0,2,0,0,0,15,1,5,5,0,2,1,11,0,1,1,10,7,5,0,0
43 - Κορινθίας,151 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,342,2,1,3,339,116,16,37,14,17,21,27,124,21,58,26,13,20,49,17,6,5,7,4,2,26,14,5,5,1,13,2,17,4,1,0,8,7,7,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,19,8,3,5,2,6,4,0,0,0,0,0,1,1,0,0,0,1,1,0,1,10,1,1,2,3,1,2,1,0,0,0,1,4,2,0,0
43 - Κορινθίας,152 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,530,340,6,4,10,330,115,9,34,11,20,19,31,123,22,53,29,16,42,36,7,2,2,3,0,0,19,4,8,3,0,7,1,11,1,0,0,4,5,4,8,1,2,2,1,1,0,0,5,2,3,0,0,0,0,16,4,5,1,2,5,4,1,0,0,0,0,1,0,0,0,0,1,1,0,1,10,2,0,1,2,1,1,2,0,0,0,0,10,4,0,0
43 - Κορινθίας,153 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,361,11,1,12,349,125,14,38,17,15,21,23,131,10,60,19,13,37,32,8,2,1,4,2,2,23,15,3,2,2,6,0,18,3,7,1,4,7,4,5,1,1,2,2,0,1,0,0,0,0,0,0,0,0,15,5,0,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,2,0,2,6,0,0,1,1,8,2,0,0
43 - Κορινθίας,154 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,325,3,0,3,322,92,14,30,18,12,18,24,108,18,59,16,15,21,33,8,2,3,7,1,0,30,20,15,4,2,8,1,14,2,4,2,1,1,3,9,5,0,4,0,0,1,1,3,2,2,0,0,1,1,22,10,6,3,2,3,1,0,0,0,0,0,2,0,2,2,0,3,3,0,1,16,2,0,8,0,2,3,3,2,1,2,1,10,7,0,0
43 - Κορινθίας,155 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,540,345,2,3,5,340,121,19,28,20,31,18,42,128,15,70,27,7,31,38,12,2,2,6,1,1,17,6,5,8,0,4,1,10,2,1,0,2,3,1,5,1,1,0,0,0,3,0,1,0,0,0,0,0,0,20,4,0,1,1,8,2,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,1,0,3,0,0,2,7,4,3,3,3,7,2,0,0
43 - Κορινθίας,156 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,350,3,0,3,347,94,12,21,16,21,14,25,144,22,69,19,17,29,44,11,2,3,5,1,2,28,15,10,3,2,4,1,18,1,3,0,9,8,2,6,1,1,3,0,0,1,1,2,2,1,0,0,1,1,8,3,3,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,15,0,0,3,3,1,1,2,1,0,0,0,15,15,0,0
43 - Κορινθίας,157 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,351,3,4,7,344,130,9,40,17,19,11,24,114,13,48,25,16,22,25,14,2,1,7,1,1,16,7,4,3,1,5,1,24,2,2,1,5,7,3,4,1,0,1,0,0,1,1,1,1,0,0,0,2,2,22,4,3,1,1,9,3,2,0,0,0,0,2,0,0,1,1,0,0,0,0,6,0,1,1,0,0,0,0,0,0,0,0,6,2,0,0
43 - Κορινθίας,158 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,328,5,3,8,320,85,3,23,21,22,16,0,150,11,79,27,18,33,61,9,2,0,3,2,0,19,7,6,2,1,6,0,6,3,1,0,0,0,2,1,1,1,0,0,0,0,0,4,2,3,0,1,0,0,16,9,5,2,1,6,1,0,0,0,0,0,5,0,0,2,3,0,0,0,0,11,2,1,7,3,1,3,4,0,0,0,0,10,0,0,0
43 - Κορινθίας,159 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,341,10,4,14,327,108,11,27,11,18,14,23,136,15,54,25,18,25,48,8,3,2,3,1,1,19,5,9,3,3,7,0,15,3,1,1,1,2,2,8,3,0,2,0,0,1,0,1,1,0,1,0,0,0,12,5,5,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,1,5,3,0,0,0,8,3,0,0
43 - Κορινθίας,160 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,339,9,5,14,325,105,17,37,14,21,16,29,138,24,61,25,15,23,48,13,3,7,4,0,0,26,11,8,2,0,10,0,8,0,0,1,1,0,1,4,3,2,2,0,0,1,1,2,1,0,0,2,0,0,13,2,5,3,3,3,1,0,0,0,0,0,2,1,1,1,0,1,1,0,0,3,1,0,0,0,0,0,2,0,1,1,0,7,0,0,0
43 - Κορινθίας,161 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,349,9,6,15,334,121,11,31,17,29,20,25,126,21,67,21,12,35,34,9,1,1,2,2,0,15,5,6,1,1,4,2,14,3,1,2,1,2,3,4,3,2,1,0,0,0,0,0,0,0,0,0,0,0,16,10,6,0,2,3,1,1,0,0,0,0,3,1,0,0,0,0,0,0,0,15,3,2,5,1,2,0,4,0,2,1,1,6,3,0,0
43 - Κορινθίας,162 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,322,3,0,3,319,84,8,28,13,14,16,17,136,26,66,27,14,32,49,10,3,4,4,5,1,22,5,6,4,1,5,4,14,1,3,2,2,2,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12,5,4,3,1,4,4,1,0,0,0,0,3,0,0,1,1,4,1,0,0,23,5,0,4,3,0,3,1,0,0,0,0,7,5,0,0
43 - Κορινθίας,163 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,344,9,1,10,334,114,25,32,23,16,22,32,141,27,54,21,13,34,50,7,1,2,2,0,1,23,18,5,1,0,5,1,16,1,3,1,11,9,2,3,1,1,0,0,0,0,0,2,1,2,0,0,0,0,10,4,2,1,3,5,0,1,1,1,1,0,1,0,0,1,1,2,1,0,1,6,0,0,2,0,2,1,4,1,1,0,0,3,2,0,0
43 - Κορινθίας,164 E.T. Δήμου Λουτρακίου-Περαχώρας-Αγ. Θεοδώρων,550,341,4,3,7,334,114,2,32,22,18,14,31,138,16,58,3,12,30,53,14,2,5,8,4,1,10,6,2,1,0,3,0,8,0,0,1,0,3,1,1,0,0,1,1,0,0,0,2,1,2,1,0,0,0,12,4,2,1,0,2,0,0,0,0,0,0,4,0,0,1,2,1,0,0,0,23,2,2,10,0,4,3,1,0,0,1,0,5,4,0,0
