ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΡΑ ΓΙΟΥΣΟΥΦ ΑΪΧΑΝ του Μεμέτ,ΜΑΡΚΟΥ ΣΤΑΥΡΟΥΛΑ του Γεωργίου,ΤΣΙΟΥΜΑΚΑ (ΤΣΑΤΣΑΡΙΔΟΥ) ΜΑΓΔΑΛΗΝΗ του Ζαχαρία,ΦΕΡΧΑΤ ΟΖΓΚΙΟΥΡ του Ναζήφ,ΧΑΡΙΤΟΥ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Αθανασίου,Νέα Δημοκρατία,ΑΛΗ ΟΓΛΟΥ  ΦΕΡΑΛ του Ιμπράμ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Πολέμαρχου,ΙΑΤΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΚΑΤΡΑΝΤΖΗ ΜΟΥΣΤΑΦΑ του Χασάν,ΣΤΥΛΙΑΝΙΔΗΣ ΕΥΡΙΠΙΔΗΣ του Στυλιανού,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΕΩΡΓΙΟΥ ΧΡΗΣΤΟΣ του Βασιλείου,ΝΑΣΟΥΔΗΣ ΕΥΡΙΠΙΔΗΣ του Αθανασίου,ΤΣΟΥΡΝΑΚΑΚΗ ΓΕΩΡΓΙΑ του Νικολάου,Κίνημα Αλλαγής,ΑΧΜΕΤ ΙΛΧΑΝ του Σαμπρή,ΓΟΛΓΑΚΗ ΚΥΡΙΑΚΗ του Βασιλείου,ΜΑΝΑΝΑΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΟΣΜΑΝ ΟΓΛΟΥ ΣΙΠΕΛ του Ζεκή,ΤΣΙΤΗΡΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σάββα,Κ.Κ.Ε.,ΑΡΝΑΟΥΤ ΜΟΥΣΤΑΦΑ ΜΟΥΜΙΝ ΤΖΕΛΑΕΤΙΝ του Μουχαρέμ,ΚΑΣΑΠΑΝΤΩΝΙΟΥ ΑΜΑΛΙΑ του Γεωργίου,ΤΑΞΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Παναγιώτη,ΦΑΚΙΡΙΔΗΣ ΝΙΚΟΛΑΟΣ του Σπύρου,ΧΑΤΣΗ ΑΛΗ ΑΛΗ του Καμπέρ,Ένωση Κεντρώων,ΚΑΣΤΡΙΝΗΣ ΛΕΩΝΙΔΑΣ του Γρηγορίου,ΜΠΑΡΔΑ ΕΛΙΣΑΒΕΤ (ΕΛΣΑ) του Ιωάννη,ΧΑΤΖΗ ΧΟΥΣΕΪΝ ΑΛΗΜ του Μουμίν,Ο.Κ.Δ.Ε.,ΓΚΙΩΡΓΚΑΣ ΔΗΜΗΤΡΙΟΣ του Σταύρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΤΖΙΑΡΑΣ ΘΡΑΣΥΒΟΥΛΟΣ του Χρήσιμου,Ελλήνων Συνέλευσις,ΓΙΑΔΑΝΟΥ ΕΥΑΓΓΕΛΙΑ του Βασιλείου,ΦΑΡΑΣΟΠΟΥΛΟΣ ΓΑΒΡΙΗΛ του Ευθυμίου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΟΡΟΚΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΑΜΙΑΝΙΔΗΣ ΚΩΣΤΑΣ του Μιχαήλ,ΠΟΥΡΤΣΙΔΗΣ ΝΙΚΟΛΑΟΣ του Στεφάνου,ΣΑΚΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΛΑΜΠΡΟΥ ΜΑΡΙΑ του Αντωνίου,ΜΟΥΣΤΑΦΑ ΕΡΧΑΝ του Αλή,Μ-Λ Κ.Κ.Ε.,ΜΑΤΘΑΙΟΠΟΥΛΟΣ ΘΕΟΦΙΛΟΣ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΛΟΓΙΑΝΝΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,Λαϊκή Ενότητα,ΚΑΛΑΜΠΟΥΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΜέΡΑ25,ΚΡΙΘΑΡΙΔΗ ΒΑΛΕΝΤΙΝΑ του Ιβάν,ΜΙΜΙΡΙΝΗΣ ΜΙΧΑΗΛ του Κωνσταντίνου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΑΝΩΛΑΤΟΣ ΣΠΥΡΙΔΩΝ του Διονυσίου,ΜΑΡΚΟΥ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΣΤΥΛΙΔΟΥ ΟΛΓΑ του Ανέστη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΜΟΥΛΗΣ ΙΩΑΝΝΗΣ του Ευαγγέλου
2 - Ροδόπης,239 E.T. Δήμου Μαρωνείας - Σαπών,184,125,0,1,1,124,12,0,0,0,5,7,82,1,6,3,12,58,3,1,1,0,17,13,0,3,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,5,0,5,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
2 - Ροδόπης,240 E.T. Δήμου Μαρωνείας - Σαπών,328,172,7,2,9,163,30,4,0,0,22,2,53,2,0,0,44,5,0,0,0,0,40,39,0,0,0,0,40,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,241 E.T. Δήμου Μαρωνείας - Σαπών,532,315,2,2,4,311,34,5,0,0,20,2,113,4,0,0,85,22,1,0,0,0,125,123,0,0,1,0,33,0,0,0,1,29,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,242 E.T. Δήμου Μαρωνείας - Σαπών,479,237,2,11,13,224,37,6,0,0,25,1,68,8,0,0,54,3,1,0,0,0,93,92,0,0,0,0,20,0,0,0,0,20,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2 - Ροδόπης,243 E.T. Δήμου Μαρωνείας - Σαπών,205,91,3,0,3,88,25,2,4,4,0,11,44,0,1,2,1,39,4,1,0,1,6,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2,1,0,1,0,0
2 - Ροδόπης,244 E.T. Δήμου Μαρωνείας - Σαπών,499,295,1,6,7,288,53,1,2,9,0,30,157,0,2,39,3,110,12,2,2,6,27,0,3,18,0,1,4,0,0,0,2,0,9,3,5,0,0,0,0,0,2,0,2,0,0,15,3,3,1,0,0,0,0,0,5,5,0,0,2,0,2,1,0,1,0,1,0
2 - Ροδόπης,245 E.T. Δήμου Μαρωνείας - Σαπών,499,298,14,1,15,283,68,0,7,0,0,43,136,0,4,36,5,90,20,9,1,6,17,2,1,13,0,1,7,0,0,1,3,3,3,2,1,0,0,0,1,0,0,0,0,0,0,19,7,8,3,0,0,0,0,0,1,1,0,0,7,1,4,2,0,0,2,2,1
2 - Ροδόπης,246 E.T. Δήμου Μαρωνείας - Σαπών,453,219,3,4,7,212,23,2,2,0,3,6,104,3,4,22,32,39,5,2,3,0,52,45,1,5,0,0,9,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,3,2,1,0,1,1,0,2,1,0,0,4,0,1,0,0,0,0,2,0
2 - Ροδόπης,247 E.T. Δήμου Μαρωνείας - Σαπών,450,221,7,5,12,209,92,10,1,0,52,18,61,1,1,0,31,25,3,2,0,0,41,38,3,0,0,0,5,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,1,0,2,0,2,0,0,0,0,0,0
2 - Ροδόπης,248 E.T. Δήμου Μαρωνείας - Σαπών,454,223,7,3,10,213,92,16,3,1,35,21,64,2,9,1,33,14,1,0,0,1,39,34,0,1,0,0,9,0,0,0,2,3,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,1,0,2,0
2 - Ροδόπης,249 E.T. Δήμου Μαρωνείας - Σαπών,447,239,5,0,5,234,106,12,3,1,52,25,74,2,2,1,30,37,1,1,0,0,43,41,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,1,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,250 E.T. Δήμου Μαρωνείας - Σαπών,295,169,3,3,6,163,15,2,1,0,3,2,55,5,6,5,23,15,1,1,0,0,86,85,0,1,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
2 - Ροδόπης,251 E.T. Δήμου Μαρωνείας - Σαπών,296,147,2,2,4,143,22,8,0,0,3,4,40,5,0,3,28,1,2,0,0,2,72,68,1,0,0,0,6,0,1,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,252 E.T. Δήμου Μαρωνείας - Σαπών,210,90,2,0,2,88,14,0,0,1,0,11,48,0,3,3,0,40,3,1,1,1,8,0,5,3,0,0,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,8,3,3,2,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
2 - Ροδόπης,253 E.T. Δήμου Μαρωνείας - Σαπών,155,63,0,0,0,63,18,0,1,2,0,13,32,1,26,0,0,5,4,1,1,0,5,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2 - Ροδόπης,254 E.T. Δήμου Μαρωνείας - Σαπών,348,188,3,0,3,185,50,3,5,2,7,28,73,6,0,18,13,32,2,1,0,0,20,17,2,0,0,0,17,0,3,2,1,10,1,1,0,0,0,0,0,0,0,0,0,0,0,14,4,3,2,3,0,0,0,0,1,1,0,0,3,0,2,1,0,0,0,0,0
2 - Ροδόπης,255 E.T. Δήμου Μαρωνείας - Σαπών,355,205,3,2,5,200,26,12,2,0,3,5,77,6,6,12,15,32,3,2,1,0,78,70,2,1,0,2,9,1,1,0,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1
2 - Ροδόπης,256 E.T. Δήμου Μαρωνείας - Σαπών,440,188,1,8,9,179,57,21,7,5,7,14,76,7,8,10,14,35,4,1,1,0,22,9,5,3,1,0,2,0,0,0,1,0,1,0,0,1,1,0,2,0,0,0,0,0,0,7,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,6,1,4,0,0,0
2 - Ροδόπης,257 E.T. Δήμου Μαρωνείας - Σαπών,443,197,6,5,11,186,44,22,0,5,0,13,103,3,5,9,22,62,5,0,0,2,20,12,4,1,0,1,8,0,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0
2 - Ροδόπης,258 E.T. Δήμου Μαρωνείας - Σαπών,297,159,2,2,4,155,18,0,0,1,0,13,102,0,25,20,0,55,7,1,2,1,5,0,3,1,0,1,3,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,9,3,4,2,0,0,0,0,0,0,0,0,0,6,2,3,1,0,0,0,1,0
2 - Ροδόπης,259 E.T. Δήμου Μαρωνείας - Σαπών,538,226,17,4,21,205,78,5,8,4,1,32,72,3,9,2,1,41,7,2,4,0,22,9,7,3,0,1,8,0,0,0,0,4,1,1,0,0,0,0,2,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,0,2,1
2 - Ροδόπης,260 E.T. Δήμου Μαρωνείας - Σαπών,534,237,16,1,17,220,91,9,16,3,6,45,89,6,22,6,6,49,4,0,2,0,23,8,7,2,0,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,0,2,0,1,0,0,0,0,0,0,2,0,0,4,0,2,1,0,0
2 - Ροδόπης,261 E.T. Δήμου Μαρωνείας - Σαπών,530,179,1,0,1,178,79,11,12,3,2,28,56,0,9,2,7,32,5,1,1,1,19,3,4,5,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7,3,1,1,1,0,0,1,0,0,0,0,0,2,0,0,2,1,0,0,1,1
2 - Ροδόπης,262 E.T. Δήμου Μαρωνείας - Σαπών,530,251,6,5,11,240,98,15,18,7,0,47,78,2,25,5,6,36,9,3,3,3,22,6,6,9,0,0,5,0,1,1,2,0,1,0,0,0,0,0,1,1,1,0,0,1,1,14,4,4,2,0,0,0,1,0,1,0,1,0,6,2,1,1,0,0,0,0,0
2 - Ροδόπης,263 E.T. Δήμου Μαρωνείας - Σαπών,533,184,0,2,2,182,55,24,2,1,3,21,60,7,10,1,9,31,6,1,3,0,41,28,7,4,0,2,7,0,1,1,2,3,0,0,0,0,0,0,0,0,1,0,0,0,0,6,1,1,1,1,1,0,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0
2 - Ροδόπης,264 E.T. Δήμου Μαρωνείας - Σαπών,523,188,5,3,8,180,65,8,9,3,1,29,65,3,23,2,5,31,6,2,2,1,22,3,12,3,0,1,3,0,0,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,10,5,2,0,1,0,1,0,0,0,0,0,0,3,2,1,2,0,0,1,2,0
2 - Ροδόπης,265 E.T. Δήμου Μαρωνείας - Σαπών,526,196,10,3,13,183,77,10,17,4,6,32,59,4,11,1,5,37,5,0,1,1,20,8,10,0,1,0,8,0,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,6,3,1,0,2,2,0,0,0,0,0,0,0,3,0,2,0,0,0,0,2,2
2 - Ροδόπης,266 E.T. Δήμου Μαρωνείας - Σαπών,531,214,2,2,4,210,74,8,10,7,4,28,70,3,13,4,5,41,14,2,6,3,24,10,10,4,0,0,2,0,0,0,0,1,2,1,1,0,1,0,3,1,1,0,1,0,0,6,2,2,0,1,0,0,0,0,2,0,0,0,7,2,4,2,1,0,0,1,1
2 - Ροδόπης,267 E.T. Δήμου Μαρωνείας - Σαπών,538,249,6,2,8,241,96,24,7,3,5,27,76,3,18,5,6,37,12,2,4,2,28,17,4,2,0,0,6,0,1,0,2,2,2,1,0,0,0,0,1,1,3,0,1,0,0,6,4,0,1,1,0,0,0,0,0,0,2,0,3,1,0,3,0,1,0,2,0
2 - Ροδόπης,268 E.T. Δήμου Μαρωνείας - Σαπών,120,70,0,0,0,70,23,0,2,1,0,13,28,0,0,8,0,16,0,0,0,0,8,0,3,5,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,1,0
2 - Ροδόπης,269 E.T. Δήμου Μαρωνείας - Σαπών,430,283,2,2,4,279,57,4,6,6,4,20,132,36,20,16,9,45,5,2,0,0,53,26,27,0,0,0,15,0,1,0,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,10,3,4,1,0,0,0,0,0,3,3,0,0,1,0,1,2,0,0,1,1,0
2 - Ροδόπης,270 E.T. Δήμου Μαρωνείας - Σαπών,432,246,5,1,6,240,42,9,0,1,13,13,109,49,14,7,13,20,4,2,2,0,59,37,19,1,0,0,12,0,0,0,0,12,1,1,0,0,0,0,0,0,0,0,0,1,0,4,1,1,2,0,0,0,0,0,0,0,0,0,6,1,3,1,0,0,0,1,1
2 - Ροδόπης,271 E.T. Δήμου Μαρωνείας - Σαπών,303,83,4,2,6,77,23,1,0,0,7,3,16,5,0,0,2,1,2,0,0,0,24,20,0,0,0,0,8,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0
2 - Ροδόπης,272 E.T. Δήμου Μαρωνείας - Σαπών,304,81,0,1,1,80,21,0,0,0,16,0,12,4,0,0,2,0,0,0,0,0,21,15,0,0,0,0,24,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
2 - Ροδόπης,273 E.T. Δήμου Μαρωνείας - Σαπών,304,198,4,1,5,193,40,2,2,0,16,16,82,1,15,15,3,42,11,5,1,3,36,21,7,3,0,0,4,0,0,0,0,1,3,0,0,0,0,0,1,1,0,0,0,0,0,12,3,3,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,2
2 - Ροδόπης,274 E.T. Δήμου Μαρωνείας - Σαπών,303,143,0,2,2,141,34,6,3,3,10,7,61,0,13,9,0,36,2,0,0,1,36,27,2,3,0,0,0,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,275 E.T. Δήμου Μαρωνείας - Σαπών,326,195,0,5,5,190,52,1,4,4,4,33,106,0,13,11,0,77,2,0,0,2,14,9,3,2,0,0,6,0,0,2,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0
2 - Ροδόπης,276 E.T. Δήμου Μαρωνείας - Σαπών,304,160,1,1,2,158,39,1,4,8,0,24,92,0,11,13,0,61,4,1,1,1,8,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,0,0,0,1,0,8,0,4,3,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1
2 - Ροδόπης,277 E.T. Δήμου Μαρωνείας - Σαπών,416,211,0,0,0,211,39,0,5,2,0,32,108,0,10,14,1,79,16,4,2,10,16,0,6,10,0,0,2,0,0,0,2,0,3,1,1,0,1,0,2,0,2,0,2,0,0,16,4,11,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,1,1,1
2 - Ροδόπης,ΓΕΝΙΚΟ ΚΑΤΑΣΤΗΜΑ ΚΡΑΤΗΣΗΣ ΚΟΜΟΤΗΝΗΣ-ΤΕΡΜΑ ΣΙΣΜΑΝΟΓΛΟΥ,150,135,10,5,15,120,46,4,9,2,0,9,48,0,3,4,0,34,6,3,1,1,8,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0
2 - Ροδόπης,Ετερ. Ροδόπης (από 27ο Ε.Τ. Νομ. Θεσσαλονίκης),240,148,1,0,1,147,27,1,10,2,0,10,88,0,4,6,0,76,4,2,1,0,11,0,2,3,0,0,6,0,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,2,4,2,1,0,0,0
2 - Ροδόπης,Ετερ. Ροδόπης (από Εφετείο Θεσσαλονίκης),53,30,1,0,1,29,5,0,0,1,0,0,15,0,0,2,0,13,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,5,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2 - Ροδόπης,Ετερ. Ροδόπης (από 128ο Ε.Τ. Νομ. Αττικής-Αθηνών),401,241,1,1,2,239,48,0,12,7,1,23,138,0,15,17,0,102,3,3,0,0,12,0,3,6,0,2,18,0,1,1,12,0,5,3,0,0,0,0,1,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,1,0,0,6,0,2,0,0,0,0,2,2
2 - Ροδόπης,Ετερ. Ροδόπης (από Εφετείο Πειραιώς),49,26,1,0,1,25,6,0,2,0,0,2,11,0,5,0,0,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
Σύνολο,,118418,63030,1114,804,1918,61112,16603,1790,883,632,5361,5780,23124,505,1862,2550,5038,12086,1325,446,320,220,13405,10858,384,1292,73,204,2599,94,114,82,438,1579,343,114,74,41,37,6,102,34,93,16,40,42,10,1572,407,517,273,140,21,72,43,9,138,75,69,23,845,114,433,304,55,59,53,328,172
