ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΚΑΡΑ ΓΙΟΥΣΟΥΦ ΑΪΧΑΝ του Μεμέτ,ΜΑΡΚΟΥ ΣΤΑΥΡΟΥΛΑ του Γεωργίου,ΤΣΙΟΥΜΑΚΑ (ΤΣΑΤΣΑΡΙΔΟΥ) ΜΑΓΔΑΛΗΝΗ του Ζαχαρία,ΦΕΡΧΑΤ ΟΖΓΚΙΟΥΡ του Ναζήφ,ΧΑΡΙΤΟΥ ΔΗΜΗΤΡΙΟΣ (ΤΑΚΗΣ) του Αθανασίου,Νέα Δημοκρατία,ΑΛΗ ΟΓΛΟΥ  ΦΕΡΑΛ του Ιμπράμ,ΕΛΕΥΘΕΡΙΑΔΟΥ ΠΑΡΑΣΚΕΥΗ (ΒΟΥΛΑ) του Πολέμαρχου,ΙΑΤΡΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου,ΚΑΤΡΑΝΤΖΗ ΜΟΥΣΤΑΦΑ του Χασάν,ΣΤΥΛΙΑΝΙΔΗΣ ΕΥΡΙΠΙΔΗΣ του Στυλιανού,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΓΕΩΡΓΙΟΥ ΧΡΗΣΤΟΣ του Βασιλείου,ΝΑΣΟΥΔΗΣ ΕΥΡΙΠΙΔΗΣ του Αθανασίου,ΤΣΟΥΡΝΑΚΑΚΗ ΓΕΩΡΓΙΑ του Νικολάου,Κίνημα Αλλαγής,ΑΧΜΕΤ ΙΛΧΑΝ του Σαμπρή,ΓΟΛΓΑΚΗ ΚΥΡΙΑΚΗ του Βασιλείου,ΜΑΝΑΝΑΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου,ΟΣΜΑΝ ΟΓΛΟΥ ΣΙΠΕΛ του Ζεκή,ΤΣΙΤΗΡΙΔΗΣ ΑΛΕΞΑΝΔΡΟΣ του Σάββα,Κ.Κ.Ε.,ΑΡΝΑΟΥΤ ΜΟΥΣΤΑΦΑ ΜΟΥΜΙΝ ΤΖΕΛΑΕΤΙΝ του Μουχαρέμ,ΚΑΣΑΠΑΝΤΩΝΙΟΥ ΑΜΑΛΙΑ του Γεωργίου,ΤΑΞΟΠΟΥΛΟΥ ΑΙΚΑΤΕΡΙΝΗ του Παναγιώτη,ΦΑΚΙΡΙΔΗΣ ΝΙΚΟΛΑΟΣ του Σπύρου,ΧΑΤΣΗ ΑΛΗ ΑΛΗ του Καμπέρ,Ένωση Κεντρώων,ΚΑΣΤΡΙΝΗΣ ΛΕΩΝΙΔΑΣ του Γρηγορίου,ΜΠΑΡΔΑ ΕΛΙΣΑΒΕΤ (ΕΛΣΑ) του Ιωάννη,ΧΑΤΖΗ ΧΟΥΣΕΪΝ ΑΛΗΜ του Μουμίν,Ο.Κ.Δ.Ε.,ΓΚΙΩΡΓΚΑΣ ΔΗΜΗΤΡΙΟΣ του Σταύρου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΤΖΙΑΡΑΣ ΘΡΑΣΥΒΟΥΛΟΣ του Χρήσιμου,Ελλήνων Συνέλευσις,ΓΙΑΔΑΝΟΥ ΕΥΑΓΓΕΛΙΑ του Βασιλείου,ΦΑΡΑΣΟΠΟΥΛΟΣ ΓΑΒΡΙΗΛ του Ευθυμίου,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΟΡΟΚΟΣ ΓΕΩΡΓΙΟΣ του Βασιλείου,Ελληνική Λύση - Κ. Βελόπουλος,ΔΑΜΙΑΝΙΔΗΣ ΚΩΣΤΑΣ του Μιχαήλ,ΠΟΥΡΤΣΙΔΗΣ ΝΙΚΟΛΑΟΣ του Στεφάνου,ΣΑΚΑΛΗ ΕΥΑΓΓΕΛΙΑ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΛΑΜΠΡΟΥ ΜΑΡΙΑ του Αντωνίου,ΜΟΥΣΤΑΦΑ ΕΡΧΑΝ του Αλή,Μ-Λ Κ.Κ.Ε.,ΜΑΤΘΑΙΟΠΟΥΛΟΣ ΘΕΟΦΙΛΟΣ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΑΛΟΓΙΑΝΝΗΣ ΠΑΝΑΓΙΩΤΗΣ του Ιωάννη,Λαϊκή Ενότητα,ΚΑΛΑΜΠΟΥΚΑΣ ΧΡΗΣΤΟΣ του Γρηγορίου,ΜέΡΑ25,ΚΡΙΘΑΡΙΔΗ ΒΑΛΕΝΤΙΝΑ του Ιβάν,ΜΙΜΙΡΙΝΗΣ ΜΙΧΑΗΛ του Κωνσταντίνου,Δημιουργία ξανά - Θ. Τζήμερος,ΜΑΝΩΛΑΤΟΣ ΣΠΥΡΙΔΩΝ του Διονυσίου,ΜΑΡΚΟΥ ΣΤΕΦΑΝΟΣ του Γεωργίου,ΣΤΥΛΙΔΟΥ ΟΛΓΑ του Ανέστη,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΔΑΜΟΥΛΗΣ ΙΩΑΝΝΗΣ του Ευαγγέλου
2 - Ροδόπης,224 E.T. Δήμου Μαρωνείας - Σαπών,483,310,3,2,5,305,57,0,4,4,0,41,194,0,3,80,1,109,12,2,4,2,19,0,5,10,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,11,2,3,1,0,0,0,0,0,0,0,0,0,7,0,3,2,2,0,0,2,1
2 - Ροδόπης,225 E.T. Δήμου Μαρωνείας - Σαπών,487,294,2,2,4,290,45,1,8,5,0,29,189,0,3,50,0,135,10,5,0,4,20,0,0,14,0,6,3,0,0,0,2,0,3,2,1,0,0,0,0,0,2,1,1,0,0,10,3,4,2,0,0,0,0,0,1,1,0,0,6,0,2,1,1,0,0,0,0
2 - Ροδόπης,226 E.T. Δήμου Μαρωνείας - Σαπών,479,279,2,1,3,276,57,4,6,2,2,37,179,0,5,47,1,122,11,2,4,4,13,0,1,8,0,4,1,0,0,0,1,0,4,2,2,0,0,0,0,0,0,0,0,0,0,8,2,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,2
2 - Ροδόπης,227 E.T. Δήμου Μαρωνείας - Σαπών,477,216,2,7,9,207,51,4,3,0,27,4,79,0,1,4,57,10,0,0,0,0,34,29,0,0,3,0,33,0,0,0,0,31,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
2 - Ροδόπης,228 E.T. Δήμου Μαρωνείας - Σαπών,112,58,1,0,1,57,12,0,2,1,0,9,35,0,1,7,1,23,0,0,0,0,4,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2 - Ροδόπης,229 E.T. Δήμου Μαρωνείας - Σαπών,348,218,1,4,5,213,54,41,2,1,1,0,118,0,0,0,107,7,0,0,0,0,29,29,0,0,0,0,11,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,230 E.T. Δήμου Μαρωνείας - Σαπών,346,209,7,5,12,197,46,43,0,0,2,0,120,0,0,0,110,5,0,0,0,0,21,21,0,0,0,0,8,2,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2 - Ροδόπης,231 E.T. Δήμου Μαρωνείας - Σαπών,417,286,3,12,15,271,22,13,0,0,5,0,96,0,1,0,88,3,0,0,0,0,140,136,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,0,2,2,0,0,0,0
2 - Ροδόπης,232 E.T. Δήμου Μαρωνείας - Σαπών,343,152,5,1,6,146,44,19,0,0,16,7,59,5,3,0,48,1,0,0,0,0,29,28,0,0,0,0,9,1,0,0,0,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2 - Ροδόπης,233 E.T. Δήμου Μαρωνείας - Σαπών,343,171,5,0,5,166,46,9,2,0,17,12,50,0,0,0,49,0,0,0,0,0,47,44,0,0,1,1,16,0,0,0,0,16,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,1,0,0,0,1,0,0,0,1,0
2 - Ροδόπης,234 E.T. Δήμου Μαρωνείας - Σαπών,279,175,3,3,6,169,25,0,5,4,0,11,110,0,7,21,2,76,2,1,0,0,14,0,0,10,0,1,3,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,3,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,1,1,0
2 - Ροδόπης,235 E.T. Δήμου Μαρωνείας - Σαπών,491,257,4,2,6,251,61,18,5,2,14,19,105,0,2,16,18,65,13,1,3,2,50,28,3,9,1,1,13,0,0,0,0,11,2,1,0,0,0,0,0,0,0,0,0,0,0,5,1,0,4,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0
2 - Ροδόπης,236 E.T. Δήμου Μαρωνείας - Σαπών,437,326,0,1,1,325,75,1,2,4,0,60,183,0,7,40,1,132,14,4,5,2,23,0,3,15,0,1,3,0,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,16,5,4,4,0,0,0,0,0,2,2,0,0,5,0,5,2,1,0,1,1,0
2 - Ροδόπης,237 E.T. Δήμου Μαρωνείας - Σαπών,345,222,1,1,2,220,44,1,3,5,0,28,116,0,5,14,0,93,7,2,2,0,20,0,8,6,1,2,3,0,1,0,2,0,3,0,1,0,0,0,1,0,2,0,2,0,0,11,4,3,2,0,0,0,0,0,1,1,2,2,7,1,4,0,0,0,0,3,2
2 - Ροδόπης,238 E.T. Δήμου Μαρωνείας - Σαπών,335,180,3,0,3,177,38,0,2,0,0,32,98,0,4,13,0,80,7,2,1,2,15,0,6,7,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,4,1,1,6,3,1,2,0,0,0,0,0,0,0,0,0,5,0,3,0,0,0,0,0,0
