ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΙΟΥΛΟΥ ΓΕΩΡΓΙΑ του Λουκά,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,Νέα Δημοκρατία,ΕΥΣΤΑΘΙΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ανδρέα,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΠΑΝΑΚΗ ΒΑΣΙΛΙΚΗ του Λουκά,ΛΕΚΚΟΣ ΕΥΘΥΜΙΟΣ του Νικολάου,Κίνημα Αλλαγής,ΠΑΝΑΓΟΥ ΒΑΣΙΛΕΙΟΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Δημητρίου,Κ.Κ.Ε.,ΚΑΡΑΧΑΣΑΝΗ ΑΡΧΟΝΤΙΑ (ΑΝΤΑ) του Βασιλείου,ΠΑΝΑΓΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ένωση Κεντρώων,ΒΑΡΝΑΒΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΣΑΓΚΟΥΡΗ ΑΘΗΝΑ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΑΓΚΕΛΙΔΟΥ ΕΛΕΝΗ του Δημητρίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΒΑΣΙΛΙΚΗ του Ιωάννη,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΔΕΡΗ ΙΩΑΝΝΑ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΛΛΙΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΜέΡΑ25,ΚΟΥΣΕΛΑ ΧΡΥΣΟΥΛΑ (ΑΡΙΑΔΝΗ) του Ιωάννη,ΚΟΥΤΡΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΙΜΙΔΑΚΗ ΟΛΓΑ του Γεωργίου
35 - Φωκίδας,59 E.T. Δήμου Δελφών,155,100,0,1,1,99,19,3,4,3,51,8,24,9,2,0,1,6,0,5,0,3,0,1,0,3,1,0,0,0,1,0,0,0,0,0,12,0,10,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
35 - Φωκίδας,60 E.T. Δήμου Δελφών,176,79,0,1,1,78,24,4,7,6,39,2,14,14,1,1,0,2,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,3,1,0,0,0,0,0,1,0,3,0
35 - Φωκίδας,61 E.T. Δήμου Δελφών,78,52,1,1,2,50,17,6,6,1,23,4,16,1,2,0,0,5,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,62 E.T. Δήμου Δελφών,149,70,1,1,2,68,24,7,5,3,22,1,13,6,1,1,0,9,4,0,3,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,3,0,0,2,1,0,0,0,2,0
35 - Φωκίδας,63 E.T. Δήμου Δελφών,471,277,2,0,2,275,64,8,23,4,147,28,44,60,10,5,2,12,6,1,1,25,4,13,2,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,1,0,0,0,9,4,0,0,0,3,1
35 - Φωκίδας,64 E.T. Δήμου Δελφών,423,259,4,2,6,253,56,22,12,7,125,24,46,45,13,5,2,18,8,0,4,7,3,1,1,0,0,0,0,0,0,0,1,0,1,1,5,3,1,0,0,0,0,1,1,0,0,18,9,4,4,3,4,2
35 - Φωκίδας,65 E.T. Δήμου Δελφών,430,242,6,2,8,234,66,8,27,7,102,23,26,41,8,2,2,15,10,0,0,11,1,4,1,4,2,1,0,0,0,0,0,0,1,0,7,2,1,1,0,0,0,1,0,1,1,11,6,1,0,0,6,3
35 - Φωκίδας,66 E.T. Δήμου Δελφών,361,259,5,0,5,254,52,15,14,7,122,10,30,61,5,0,0,41,39,0,0,7,1,1,0,1,0,0,0,0,1,1,1,1,0,0,5,3,0,0,0,0,0,1,1,6,5,4,0,1,3,1,5,2
35 - Φωκίδας,67 E.T. Δήμου Δελφών,321,177,3,2,5,172,51,9,15,6,64,3,31,17,6,5,0,8,5,0,0,15,1,6,0,1,1,0,0,0,2,1,0,0,0,0,3,1,0,5,1,0,0,0,0,2,2,8,1,1,1,0,6,3
35 - Φωκίδας,68 E.T. Δήμου Δωρίδος,452,87,0,0,0,87,20,1,10,1,43,20,12,7,0,0,0,8,1,1,4,5,4,0,0,4,2,1,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,1
35 - Φωκίδας,69 E.T. Δήμου Δωρίδος,56,23,0,0,0,23,6,0,6,0,13,1,7,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35 - Φωκίδας,70 E.T. Δήμου Δωρίδος,278,138,3,1,4,134,33,18,7,2,75,8,34,26,2,0,1,11,4,2,2,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,0
35 - Φωκίδας,71 E.T. Δήμου Δωρίδος,144,21,1,0,1,20,8,0,6,0,9,0,4,3,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,72 E.T. Δήμου Δωρίδος,117,35,0,2,2,33,11,2,8,0,17,0,13,0,0,0,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
