ΠΕΡΙΦΕΡΕΙΑ,ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ,ΕΓΓΕΓΡΑΜΜΕΝΟΙ,ΨΗΦΙΣΑΝΤΕΣ,ΑΚΥΡΑ,ΛΕΥΚΑ,ΑΚΥΡΑ & ΛΕΥΚΑ,ΕΓΚΥΡΑ,ΣΥΡΙΖΑ,ΓΚΙΟΥΛΟΥ ΓΕΩΡΓΙΑ του Λουκά,ΚΩΣΤΟΠΑΝΑΓΙΩΤΟΥ ΗΛΙΑΣ του Κωνσταντίνου,ΤΣΑΜΑΝΤΑΝΗΣ ΧΡΗΣΤΟΣ του Ηλία,Νέα Δημοκρατία,ΕΥΣΤΑΘΙΟΥ ΠΑΝΑΓΙΩΤΗΣ του Ανδρέα,ΜΑΝΔΡΕΚΑ ΑΣΠΑΣΙΑ του Παναγιώτη,ΜΠΟΥΓΑΣ ΙΩΑΝΝΗΣ του Δημητρίου,Λαϊκός Σύνδεσμος - Χρυσή Αυγή,ΚΟΠΑΝΑΚΗ ΒΑΣΙΛΙΚΗ του Λουκά,ΛΕΚΚΟΣ ΕΥΘΥΜΙΟΣ του Νικολάου,Κίνημα Αλλαγής,ΠΑΝΑΓΟΥ ΒΑΣΙΛΕΙΟΣ του Δήμου,ΣΠΑΤΟΥΛΑΣ ΑΝΑΣΤΑΣΙΟΣ του Γεωργίου,ΣΠΥΡΟΠΟΥΛΟΥ ΠΑΝΑΓΙΩΤΑ του Δημητρίου,Κ.Κ.Ε.,ΚΑΡΑΧΑΣΑΝΗ ΑΡΧΟΝΤΙΑ (ΑΝΤΑ) του Βασιλείου,ΠΑΝΑΓΗΣ ΓΕΩΡΓΙΟΣ του Ιωάννη,ΤΣΕΛΕΣ ΔΡΟΣΟΣ του Αναστασίου,Ένωση Κεντρώων,ΒΑΡΝΑΒΑΣ ΑΠΟΣΤΟΛΟΣ του Νικολάου,ΣΑΓΚΟΥΡΗ ΑΘΗΝΑ του Δημητρίου,Ο.Κ.Δ.Ε.,ΚΑΓΚΕΛΙΔΟΥ ΕΛΕΝΗ του Δημητρίου,ΑΝΤ.ΑΡ.ΣΥ.Α.,ΜΕΞΗΣ ΛΟΥΚΑΣ του Παναγιώτη,Ελλήνων Συνέλευσις,ΑΡΒΑΝΙΤΗ ΒΑΣΙΛΙΚΗ του Ιωάννη,ΕΕΚ Τροτσκιστές - Εργ.Επ.Κόμμα,ΣΙΔΕΡΗ ΙΩΑΝΝΑ του Δημητρίου,Ελληνική Λύση - Κ. Βελόπουλος,ΚΑΠΟΔΙΣΤΡΙΑ ΙΩΑΝΝΑ του Γεωργίου,ΚΟΝΔΥΛΗΣ ΕΠΑΜΕΙΝΩΝΔΑΣ του Κωνσταντίνου,Κ.Κ.Ε. (μ-λ),ΤΣΙΝΤΖΟΣ ΧΡΗΣΤΟΣ του Φωτίου,Μ-Λ Κ.Κ.Ε.,ΜΠΟΥΚΗ ΕΥΑΓΓΕΛΙΑ του Γεωργίου,Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ,ΚΟΛΛΙΑΣ ΓΕΩΡΓΙΟΣ του Δημητρίου,Λαϊκή Ενότητα,ΑΡΒΑΝΙΤΗΣ ΣΤΑΥΡΟΣ του Θεοδώρου,ΜέΡΑ25,ΚΟΥΣΕΛΑ ΧΡΥΣΟΥΛΑ (ΑΡΙΑΔΝΗ) του Ιωάννη,ΚΟΥΤΡΗΣ ΠΑΝΑΓΙΩΤΗΣ (ΤΑΚΗΣ) του Πέτρου,Δημιουργία ξανά - Θ. Τζήμερος,ΠΑΠΑΔΗΜΗΤΡΙΟΥ ΑΘΑΝΑΣΙΟΣ του Βασιλείου,Πλεύση Ελευθερίας - Ζωή Κωνστ.,ΤΣΙΜΙΔΑΚΗ ΟΛΓΑ του Γεωργίου
35 - Φωκίδας,86 E.T. Δήμου Δωρίδος,390,208,2,2,4,204,56,13,20,6,106,48,30,15,4,2,1,9,2,0,6,19,12,2,2,1,1,0,0,0,1,1,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,4,2,0,0,0,1,1
35 - Φωκίδας,87 E.T. Δήμου Δωρίδος,267,148,3,0,3,145,36,13,8,7,84,26,38,10,3,0,3,9,0,0,4,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,4,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0
35 - Φωκίδας,88 E.T. Δήμου Δωρίδος,343,158,3,0,3,155,52,4,14,10,68,17,35,9,4,2,1,15,0,1,10,1,1,0,0,2,0,1,0,0,0,0,0,0,0,0,5,1,1,0,0,0,0,2,0,0,0,5,1,1,0,0,1,0
35 - Φωκίδας,89 E.T. Δήμου Δωρίδος,286,173,1,0,1,172,40,2,10,7,91,33,7,31,4,1,2,10,1,1,6,12,13,0,0,1,0,0,0,0,4,4,0,0,0,0,6,1,4,0,0,0,0,0,0,0,0,3,1,1,0,0,1,1
35 - Φωκίδας,90 E.T. Δήμου Δωρίδος,387,204,3,2,5,199,63,13,21,4,85,28,21,25,2,0,1,12,0,0,7,18,15,1,0,1,0,0,0,0,0,0,1,1,0,0,6,4,1,0,0,1,0,1,1,1,1,6,0,4,0,0,2,1
35 - Φωκίδας,91 E.T. Δήμου Δωρίδος,533,344,2,5,7,337,89,20,23,15,183,50,36,83,12,3,8,25,2,1,17,10,4,1,1,1,0,0,0,0,2,0,0,0,0,0,5,2,1,0,0,0,0,1,1,0,0,8,1,2,1,0,0,0
35 - Φωκίδας,92 E.T. Δήμου Δωρίδος,354,176,4,1,5,171,45,15,16,6,80,68,3,7,4,3,1,10,0,0,9,22,17,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,2,3,0,0,1,1
35 - Φωκίδας,93 E.T. Δήμου Δωρίδος,281,130,1,1,2,128,42,7,15,6,63,42,5,10,2,1,0,2,0,0,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,1,1,1,2,1
35 - Φωκίδας,94 E.T. Δήμου Δωρίδος,185,98,0,1,1,97,28,3,10,5,34,6,10,16,9,0,0,17,0,0,6,0,14,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,1,0
35 - Φωκίδας,95 E.T. Δήμου Δωρίδος,301,115,1,0,1,114,47,13,23,1,33,11,11,5,0,0,0,7,0,0,5,20,14,3,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,1,0,0,0,1,1
35 - Φωκίδας,96 E.T. Δήμου Δωρίδος,47,26,0,0,0,26,4,3,1,0,13,6,5,2,2,1,1,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
35 - Φωκίδας,97 E.T. Δήμου Δωρίδος,102,40,0,0,0,40,7,2,4,1,31,9,6,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,98 E.T. Δήμου Δωρίδος,270,156,3,1,4,152,37,19,6,2,78,19,14,38,2,0,1,16,2,2,9,7,4,0,0,2,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,3,1,1,0,0,2,1
35 - Φωκίδας,99 E.T. Δήμου Δωρίδος,213,72,2,0,2,70,23,7,3,5,34,4,2,27,0,0,0,3,0,0,0,4,4,0,0,2,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
35 - Φωκίδας,100 E.T. Δήμου Δωρίδος,444,245,2,0,2,243,50,13,11,4,143,29,20,83,1,0,1,24,2,5,11,12,6,1,0,0,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,1,0,0,0,4,3,0,1,1,2,2
35 - Φωκίδας,101 E.T. Δήμου Δωρίδος,311,152,2,2,4,148,28,5,13,5,104,10,20,70,0,0,0,4,0,0,4,5,3,0,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0
35 - Φωκίδας,102 E.T. Δήμου Δωρίδος,492,248,1,2,3,245,68,1,57,3,118,10,57,44,3,0,2,20,4,0,5,15,3,3,5,1,1,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,2,0,0,0,4,1,0,2,0,6,2
35 - Φωκίδας,103 E.T. Δήμου Δωρίδος,449,205,4,1,5,200,68,2,58,3,62,11,23,15,4,2,1,22,12,1,9,11,3,1,3,4,3,0,1,1,1,1,0,0,0,0,11,9,1,0,0,0,0,2,2,0,0,8,4,0,0,0,6,4
35 - Φωκίδας,104 E.T. Δήμου Δωρίδος,114,45,0,0,0,45,16,0,15,0,22,0,9,6,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
35 - Φωκίδας,105 E.T. Δήμου Δωρίδος,332,176,3,1,4,172,47,3,10,27,96,9,44,39,3,0,2,5,4,0,1,7,0,2,0,0,0,0,0,0,2,0,0,0,0,0,6,3,2,1,0,0,0,1,0,0,0,1,0,1,3,2,0,0
35 - Φωκίδας,106 E.T. Δήμου Δωρίδος,322,168,0,2,2,166,55,4,18,24,86,0,44,33,2,1,0,8,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6,1,1,1,1,0,0,0,0,0,0,1,0,1,1,1,2,1
35 - Φωκίδας,107 E.T. Δήμου Δωρίδος,92,27,0,0,0,27,1,0,1,0,24,1,12,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
35 - Φωκίδας,108 E.T. Δήμου Δωρίδος,110,41,0,0,0,41,12,2,9,1,23,3,8,11,0,0,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
35 - Φωκίδας,109 E.T. Δήμου Δωρίδος,226,105,2,0,2,103,25,3,21,1,58,4,35,11,1,0,1,6,1,1,4,4,1,0,1,2,1,1,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
35 - Φωκίδας,110 E.T. Δήμου Δωρίδος,74,43,1,0,1,42,6,1,5,0,28,5,12,11,1,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35 - Φωκίδας,111 E.T. Δήμου Δωρίδος,105,48,0,0,0,48,17,1,13,0,23,2,8,6,2,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,112 E.T. Δήμου Δωρίδος,159,38,1,0,1,37,12,2,7,0,14,2,4,8,0,0,0,0,0,0,0,7,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0
35 - Φωκίδας,113 E.T. Δήμου Δωρίδος,190,116,0,2,2,114,17,3,10,0,73,2,38,32,1,0,1,19,0,3,16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,114 E.T. Δήμου Δωρίδος,159,88,0,0,0,88,16,1,10,3,41,6,11,17,0,0,0,22,3,3,10,7,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,115 E.T. Δήμου Δωρίδος,317,183,0,0,0,183,45,2,19,3,92,17,27,39,7,0,5,11,3,3,2,11,2,2,1,3,0,0,0,0,0,0,0,0,0,0,7,2,0,0,0,0,0,1,1,0,0,4,1,1,0,0,2,0
35 - Φωκίδας,116 E.T. Δήμου Δωρίδος,504,249,4,1,5,244,47,6,29,3,133,15,50,64,11,2,3,37,3,2,17,7,1,2,2,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0
35 - Φωκίδας,117 E.T. Δήμου Δωρίδος,70,33,0,0,0,33,7,1,4,0,21,4,9,8,0,0,0,2,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,118 E.T. Δήμου Δωρίδος,50,20,0,0,0,20,4,0,2,0,11,1,2,6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0
35 - Φωκίδας,119 E.T. Δήμου Δωρίδος,147,60,1,0,1,59,11,2,6,1,34,7,9,17,3,1,1,9,1,1,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
35 - Φωκίδας,120 E.T. Δήμου Δωρίδος,161,80,0,1,1,79,21,5,7,3,33,1,12,19,0,0,0,16,0,0,15,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,4,2,2,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1
35 - Φωκίδας,121 E.T. Δήμου Δωρίδος,55,28,0,1,1,27,6,0,5,0,11,1,3,7,2,0,1,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,122 E.T. Δήμου Δωρίδος,313,205,1,2,3,202,62,6,23,15,79,8,21,44,3,0,2,19,0,2,14,19,9,1,1,2,0,0,0,0,1,0,0,0,0,0,8,2,2,0,0,0,0,0,0,0,0,4,1,1,3,2,2,1
35 - Φωκίδας,123 E.T. Δήμου Δωρίδος,408,262,4,2,6,256,86,13,40,13,115,9,28,68,4,1,2,24,1,3,16,6,3,1,0,3,1,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,3,1,1,1,7,1,2,2,1,2,0
35 - Φωκίδας,124 E.T. Δήμου Δωρίδος,538,320,0,1,1,319,69,17,20,4,161,63,16,61,10,3,2,40,1,2,30,10,3,2,0,1,0,1,0,0,2,0,0,0,0,0,6,1,4,0,0,1,0,9,3,1,1,3,1,1,1,0,5,2
35 - Φωκίδας,125 E.T. Δήμου Δωρίδος,176,114,1,0,1,113,35,10,6,3,46,21,14,8,4,0,2,20,4,0,12,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0
35 - Φωκίδας,126 E.T. Δήμου Δωρίδος,93,61,1,0,1,60,5,0,0,0,40,3,10,24,2,0,1,4,0,0,4,6,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,127 E.T. Δήμου Δωρίδος,300,191,1,0,1,190,32,7,8,2,94,15,19,46,7,1,2,25,2,0,17,8,7,0,0,3,1,1,4,0,1,0,0,0,0,0,7,4,0,1,0,0,0,1,1,0,0,3,1,0,1,0,3,1
35 - Φωκίδας,128 E.T. Δήμου Δωρίδος,84,56,1,0,1,55,2,1,1,0,49,11,21,14,1,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,129 E.T. Δήμου Δωρίδος,159,100,0,0,0,100,33,6,11,2,49,5,26,11,1,1,0,13,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
35 - Φωκίδας,130 E.T. Δήμου Δωρίδος,226,135,1,2,3,132,37,2,19,6,66,18,12,29,9,1,6,9,0,0,6,3,1,2,0,1,0,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,1
35 - Φωκίδας,131 E.T. Δήμου Δωρίδος,308,187,1,0,1,186,64,11,13,21,77,6,32,36,3,0,2,23,4,6,9,8,6,1,0,1,0,0,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,3,0,1,0,0,1,1
35 - Φωκίδας,132 E.T. Δήμου Δωρίδος,318,181,2,0,2,179,57,8,21,21,67,9,10,41,12,3,2,17,4,2,8,8,3,0,1,0,0,0,0,0,0,0,0,0,0,0,4,1,1,0,0,0,0,2,1,0,0,8,6,1,0,0,4,2
35 - Φωκίδας,133 E.T. Δήμου Δωρίδος,243,165,3,1,4,161,23,2,6,6,92,16,27,46,2,0,0,26,4,0,19,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,8,3,0,1,0,2,1
35 - Φωκίδας,Ε.Τ. ΦΥΛΑΚΩΝ ΑΜΦΙΣΣΑΣ,65,49,5,0,5,44,30,13,4,5,4,2,1,1,2,0,1,3,1,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,Ε.Τ. ΦΥΛΑΚΩΝ ΜΑΛΑΝΔΡΙΝΟΥ,58,53,7,1,8,45,36,14,10,7,3,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35 - Φωκίδας,Ετερ. Φωκίδας (από 142ο Ε.Τ. Νομ. Αττικής-Αθηνών),494,312,8,3,11,301,78,20,20,11,151,37,52,37,7,4,2,18,7,0,7,17,3,1,2,1,1,0,0,0,2,1,0,0,1,1,12,4,4,0,0,0,0,6,3,0,0,3,2,0,3,1,2,0
35 - Φωκίδας,Ετερ. Φωκίδας (από 143ο Ε.Τ. Νομ. Αττικής-Αθηνών),497,326,4,4,8,318,68,19,16,7,174,33,54,61,6,3,1,24,3,4,9,21,4,13,2,2,1,1,0,0,1,0,0,0,0,0,9,5,2,0,0,0,0,0,0,0,0,7,3,1,3,2,3,1
35 - Φωκίδας,Ετερ. Φωκίδας (από Εφετείο Πειραιώς),67,46,0,0,0,46,8,3,2,2,26,2,10,12,5,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3
Σύνολο,,42930,24753,320,213,533,24220,7063,1199,2755,1164,10835,1802,3671,4268,644,163,245,1788,343,281,664,1444,338,422,268,186,57,30,13,3,72,22,48,33,13,5,729,309,138,25,10,20,6,145,68,70,39,728,189,188,100,37,297,129
