"ΠΕΡΙΦΕΡΕΙΑ","ΕΚΛΟΓΙΚΟ ΤΜΗΜΑ","ΕΓΓΕΓΡΑΜΜΕΝΟΙ","ΨΗΦΙΣΑΝΤΕΣ","ΑΚΥΡΑ","ΛΕΥΚΑ","ΑΚΥΡΑ & ΛΕΥΚΑ","ΕΓΚΥΡΑ","ΣΥΡΙΖΑ","ΑΓΑΘΟΠΟΥΛΟΥ ΕΙΡΗΝΗ-ΕΛΕΝΗ του Δημητρίου","ΚΑΠΝΙΔΗΣ ΑΝΑΣΤΑΣΙΟΣ του Παναγιώτη","ΠΕΡΠΕΡΙΔΗΣ ΓΕΩΡΓΙΟΣ του Χαράλαμπου","ΦΟΥΡΑΣ ΠΕΤΡΟΣ του Γεωργίου","ΨΑΡΡΑ ΣΟΦΙΑ του Θεοδώρου","Νέα Δημοκρατία","ΑΝΑΝΙΑΔΟΥ ΑΝΑΣΤΑΣΙΑ (ΝΑΤΑΣΑ) του Σολομώντος","ΓΕΩΡΓΑΝΤΑΣ ΓΕΩΡΓΙΟΣ του Παύλου","ΚΙΛΤΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Βασιλείου","ΞΟΠΛΙΔΟΥ ΑΜΑΛΙΑ του Δημητρίου","ΣΑΧΠΕΚΙΔΗΣ ΝΙΚΟΛΑΟΣ του Αναστασίου","Λαϊκός Σύνδεσμος - Χρυσή Αυγή","ΗΛΙΑΔΟΥ ΧΡΙΣΤΙΝΑ (ΜΠΑΚΑ) του Γεωργίου","ΚΑΛΟΜΟΙΡΟΠΟΥΛΟΣ ΠΑΝΑΓΙΩΤΗΣ του Γρηγορίου","ΠΑΠΑΔΟΠΟΥΛΟΣ ΑΝΤΩΝΙΟΣ (ΤΟΝΗΣ) του Σάββα","ΠΑΠΑΔΟΠΟΥΛΟΥ ΧΡΥΣΗ του Μωϋσή ","ΧΑΤΖΗΣΑΒΒΑΣ ΧΡΗΣΤΟΣ του Κωνσταντίνου","Κίνημα Αλλαγής","ΑΝΑΣΤΑΣΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Δημητρίου","ΜΠΑΝΤΡΑ ΚΑΛΙΡΟΗ του Κωνσταντίνου","ΠΑΡΑΣΤΑΤΙΔΗΣ ΣΤΕΦΑΝΟΣ του Θεοδώρου","ΣΤΕΦΑΝΙΔΟΥ ΑΛΕΞΑΝΔΡΑ του Ιωάννη","ΦΡΑΓΓΙΔΗΣ ΓΕΩΡΓΙΟΣ του Σταύρου","Κ.Κ.Ε.","ΑΛΤΙΠΑΡΜΑΚΙΔΟΥ ΜΑΡΙΑ (ΡΙΑ) του Μιλτιάδη","ΣΙΔΗΡΟΠΟΥΛΟΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΤΣΑΟΥΣΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Λαζάρου","ΦΑΧΟΥΡΙΔΗΣ ΙΩΑΝΝΗΣ του Αριστοτέλη","ΧΑΤΖΗ ΕΙΡΗΝΗ του Αρέθα","Ένωση Κεντρώων","ΑΝΔΡΙΩΤΗ ΕΥΣΤΡΑΤΙΑ του Γαβριήλ","ΕΛΕΥΘΕΡΙΑΔΗΣ ΧΑΡΑΛΑΜΠΟΣ του Δημητρίου","ΝΙΚΟΛΑΟΥ ΧΡΗΣΤΟΣ του Χαράλαμπου","Ο.Κ.Δ.Ε.","ΚΑΖΑΝΤΖΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΑΝΤ.ΑΡ.ΣΥ.Α.","ΜΑΛΓΑΡΙΝΟΥ ΒΑΣΙΛΙΚΗ του Νικολάου","Ελλήνων Συνέλευσις","ΒΑΡΥΤΙΜΙΔΗΣ ΘΕΟΦΙΛΟΣ του Σάββα","ΜΑΚΕΝΑΤΖΗ ΜΑΡΓΑΡΙΤΑ του Ιωσήφ","ΜΙΧΑΗΛΙΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΣΑΦΑΡΙΔΟΥ ΖΩΓΙΑ του Γεωργίου","ΣΥΓΚΟΥ ΜΑΛΑΜΑΤΗ του Δημητρίου","Ελληνική Λύση - Κ. Βελόπουλος","ΓΕΩΡΓΙΑΔΗΣ ΚΩΝΣΤΑΝΤΙΝΟΣ του Γεωργίου","ΚΑΤΣΙΛΟΓΙΑΝΝΗ ΕΛΕΝΗ του Αθανασίου","ΣΑΒΒΙΔΟΥ ΠΑΡΘΕΝΑ του Ιωάννη","ΤΣΑΝΤΗΛΟΓΙΑΝΝΗΣ ΝΙΚΟΛΑΟΣ του Αθανασίου","Κ.Κ.Ε. (μ-λ)","ΧΑΤΖΗΝΙΚΟΛΑΟΥ ΝΙΚΟΛΑΟΣ του Ηλία","Μ-Λ Κ.Κ.Ε.","ΖΑΧΑΡΟΠΟΥΛΟΥ ΙΩΑΝΝΑ του Ευαγγέλου","Ε.ΠΑ.Μ - Α.Κ.Κ.ΕΛ","ΔΗΜΟΛΑΪΔΗΣ ΟΔΥΣΣΕΥΣ του Θεοδώρου","ΜΟΥΡΑΤΙΔΟΥ ΜΑΡΙΑ του Παναγιώτη","ΠΑΠΑΚΩΝΣΤΑΝΤΙΝΟΥ ΚΩΝΣΤΑΝΤΙΝΟΣ του Σταύρου","Λαϊκή Ενότητα","ΚΟΥΛΙΝΑΣ ΑΝΑΣΤΑΣΙΟΣ του Δημητρίου","ΜΠΙΜΠΑΣΗΣ ΧΡΗΣΤΟΣ του Γεωργίου","ΣΑΜΑΡΑ ΑΡΙΑΔΝΗ του Στεφάνου","ΜέΡΑ25","ΓΕΩΡΓΙΑΔΗΣ ΓΕΩΡΓΙΟΣ του Αλεξίου","ΚΑΣΚΑΡΙΔΟΥ ΜΑΡΙΑ του ΟΔΥΣΣΕΑ","ΚΩΤΣΑΡΗΣ ΔΗΜΗΤΡΙΟΣ του Γεωργίου","ΣΠΥΡΛΙΑΔΟΥ ΣΟΦΙΑ του Νικολάου","Δημιουργία ξανά - Θ. Τζήμερος","ΚΑΡΑΚΑΤΣΑΝΙΔΗΣ ΔΗΜΗΤΡΙΟΣ του Νικολάου","ΜΠΡΟΒΑΣ ΤΗΛΕΜΑΧΟΣ του Αθανασίου","ΠΑΠΑΡΙΖΟΥ ΑΘΑΝΑΣΙΑ του Χρήστου","Πλεύση Ελευθερίας - Ζωή Κωνστ.","ΡΑΦΤΟΠΟΥΛΟΣ ΝΙΚΟΛΑΟΣ του Σπύρου"
"10 - Κιλκίς","129 E.T. Δήμου Κιλκίς","0392","0207","0001","0000","0001","0206","0034","0019","0002","0003","0005","0001","0088","0003","0016","0026","0004","0025","0006","0000","0000","0002","0000","0003","0057","0001","0000","0048","0000","0008","0004","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0002","0001","0000","0000","0000","0000","0000","0000","0008","0003","0001","0000","0002","0000","0000","0000","0000","0002","0001","0000","0000","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0000","0004","0001"
"10 - Κιλκίς","130 E.T. Δήμου Κιλκίς","0415","0243","0004","0000","0004","0239","0007","0003","0000","0001","0000","0001","0180","0029","0035","0066","0006","0036","0027","0000","0000","0002","0000","0023","0009","0000","0000","0002","0000","0007","0001","0000","0001","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0009","0002","0001","0000","0005","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0002","0000","0000","0000","0001","0001","0000","0000","0000","0002","0000"
"10 - Κιλκίς","131 E.T. Δήμου Κιλκίς","0475","0285","0001","0004","0005","0280","0014","0004","0002","0000","0000","0002","0196","0014","0042","0077","0011","0034","0028","0000","0000","0001","0000","0027","0012","0000","0000","0001","0006","0005","0001","0000","0000","0000","0001","0000","0004","0000","0000","0000","0001","0000","0000","0000","0002","0000","0000","0000","0000","0000","0012","0002","0000","0004","0002","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0006","0000","0001","0000","0001","0001","0000","0000","0000","0002","0000"
"10 - Κιλκίς","132 E.T. Δήμου Κιλκίς","0415","0247","0001","0001","0002","0245","0009","0001","0001","0001","0000","0000","0176","0014","0025","0079","0008","0036","0027","0000","0000","0001","0000","0026","0013","0000","0000","0002","0002","0008","0001","0000","0001","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0012","0002","0000","0003","0002","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0003","0000","0001","0001","0001","0001","0000","0000","0000","0002","0000"
"10 - Κιλκίς","133 E.T. Δήμου Κιλκίς","0490","0281","0000","0001","0001","0280","0006","0003","0001","0000","0000","0000","0185","0014","0046","0080","0008","0024","0049","0001","0000","0000","0001","0047","0015","0000","0000","0000","0004","0011","0003","0000","0000","0001","0001","0000","0004","0004","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0007","0003","0000","0003","0000","0000","0000","0000","0000","0003","0000","0001","0001","0000","0000","0000","0000","0006","0003","0001","0001","0000","0001","0000","0000","0000","0001","0001"
"10 - Κιλκίς","134 E.T. Δήμου Κιλκίς","0526","0327","0005","0002","0007","0320","0052","0015","0007","0011","0003","0007","0184","0023","0077","0064","0006","0012","0027","0002","0000","0020","0000","0001","0020","0004","0000","0008","0000","0007","0003","0000","0002","0000","0000","0000","0004","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0019","0006","0000","0006","0002","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0004","0001","0000","0002","0000","0001","0000","0000","0000","0005","0000"
"10 - Κιλκίς","135 E.T. Δήμου Κιλκίς","0468","0256","0000","0002","0002","0254","0037","0009","0005","0004","0002","0004","0146","0016","0064","0042","0009","0006","0016","0001","0000","0011","0000","0003","0016","0002","0000","0004","0000","0009","0007","0001","0001","0001","0001","0001","0003","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0012","0004","0001","0005","0000","0001","0000","0001","0000","0000","0000","0000","0000","0010","0000","0000","0000","0002","0002","0003","0003","0001","0000","0000","0000","0000","0003","0000"
"10 - Κιλκίς","136 E.T. Δήμου Κιλκίς","0285","0180","0005","0001","0006","0174","0036","0010","0000","0002","0015","0002","0104","0002","0016","0078","0001","0005","0003","0001","0000","0001","0000","0000","0012","0000","0000","0004","0000","0008","0000","0000","0000","0000","0000","0000","0002","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0007","0001","0003","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0006","0002","0001","0000","0001","0002","0000","0000","0000","0002","0000"
"10 - Κιλκίς","137 E.T. Δήμου Κιλκίς","0360","0205","0004","0001","0005","0200","0043","0013","0002","0001","0018","0004","0118","0004","0017","0090","0000","0006","0004","0000","0000","0004","0000","0000","0014","0003","0000","0003","0000","0008","0003","0000","0000","0001","0000","0001","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0008","0002","0000","0001","0001","0000","0000","0000","0000","0002","0000","0000","0001","0001","0001","0000","0000","0005","0001","0001","0002","0000","0000","0000","0000","0000","0001","0000"
"10 - Κιλκίς","138 E.T. Δήμου Κιλκίς","0435","0235","0002","0000","0002","0233","0063","0027","0005","0006","0001","0004","0086","0003","0034","0026","0009","0007","0014","0002","0000","0000","0002","0004","0025","0004","0001","0013","0001","0004","0012","0000","0001","0000","0004","0003","0003","0000","0000","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0022","0006","0002","0007","0000","0000","0000","0001","0000","0001","0000","0000","0000","0000","0000","0000","0000","0002","0000","0000","0000","0000","0001","0000","0000","0000","0002","0000"
"10 - Κιλκίς","139 E.T. Δήμου Κιλκίς","0467","0266","0002","0001","0003","0263","0069","0044","0003","0004","0004","0004","0115","0012","0033","0039","0008","0009","0015","0006","0000","0001","0001","0006","0025","0000","0001","0008","0002","0012","0004","0000","0001","0000","0000","0000","0004","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0019","0005","0001","0009","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0006","0002","0001","0000","0000","0002","0000","0000","0000","0004","0000"
"10 - Κιλκίς","140 E.T. Δήμου Κιλκίς","0404","0216","0003","0000","0003","0213","0066","0028","0006","0008","0004","0007","0051","0002","0016","0024","0002","0000","0008","0000","0002","0000","0001","0004","0027","0000","0000","0002","0021","0004","0043","0000","0040","0001","0000","0000","0002","0000","0000","0000","0000","0000","0002","0000","0000","0000","0000","0000","0000","0000","0004","0002","0000","0000","0000","0001","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0000","0006","0001","0001","0001","0001","0000","0000","0000","0000","0003","0000"
